branch,macroarea,in_branch_frac,repeat,model,f1
Austronesian,Papunesia,0.0,0,Freq,0.7232580804933775
Austronesian,Papunesia,0.0,0,T-CF,0.4926424771125917
Austronesian,Papunesia,0.0,0,Learned,0.4938727252392593
Austronesian,Papunesia,0.0,1,Freq,0.720733675246449
Austronesian,Papunesia,0.0,1,T-CF,0.48883989199380085
Austronesian,Papunesia,0.0,1,Learned,0.506942114429053
Austronesian,Papunesia,0.0,2,Freq,0.7222834683410823
Austronesian,Papunesia,0.0,2,T-CF,0.486746872453626
Austronesian,Papunesia,0.0,2,Learned,0.5046413906597006
Austronesian,Papunesia,0.0,3,Freq,0.7227308312962342
Austronesian,Papunesia,0.0,3,T-CF,0.5064468197287063
Austronesian,Papunesia,0.0,3,Learned,0.48014826886513606
Austronesian,Papunesia,0.0,4,Freq,0.7221556503538961
Austronesian,Papunesia,0.0,4,T-CF,0.49499113262713895
Austronesian,Papunesia,0.0,4,Learned,0.5002636245985717
Austronesian,Papunesia,0.01,0,Freq,0.725223282046366
Austronesian,Papunesia,0.01,0,T-CF,0.6231446420297496
Austronesian,Papunesia,0.01,0,Learned,0.6320599466359903
Austronesian,Papunesia,0.01,1,Freq,0.7226349678058445
Austronesian,Papunesia,0.01,1,T-CF,0.6452092220677755
Austronesian,Papunesia,0.01,1,Learned,0.6484046717474317
Austronesian,Papunesia,0.01,2,Freq,0.7222834683410823
Austronesian,Papunesia,0.01,2,T-CF,0.6277301123200563
Austronesian,Papunesia,0.01,2,Learned,0.6246784578759846
Austronesian,Papunesia,0.01,3,Freq,0.7227308312962342
Austronesian,Papunesia,0.01,3,T-CF,0.6343926249021393
Austronesian,Papunesia,0.01,3,Learned,0.6362619629647382
Austronesian,Papunesia,0.01,4,Freq,0.7221556503538961
Austronesian,Papunesia,0.01,4,T-CF,0.6382271645177268
Austronesian,Papunesia,0.01,4,Learned,0.6399527073447411
Austronesian,Papunesia,0.05,0,Freq,0.725223282046366
Austronesian,Papunesia,0.05,0,T-CF,0.7136717314544089
Austronesian,Papunesia,0.05,0,Learned,0.7209893112208215
Austronesian,Papunesia,0.05,1,Freq,0.7226349678058445
Austronesian,Papunesia,0.05,1,T-CF,0.709517646870856
Austronesian,Papunesia,0.05,1,Learned,0.7154611832750164
Austronesian,Papunesia,0.05,2,Freq,0.7247599418428158
Austronesian,Papunesia,0.05,2,T-CF,0.7248078735880107
Austronesian,Papunesia,0.05,2,Learned,0.7262777804406525
Austronesian,Papunesia,0.05,3,Freq,0.7249356915751969
Austronesian,Papunesia,0.05,3,T-CF,0.7201265398073143
Austronesian,Papunesia,0.05,3,Learned,0.72704468836377
Austronesian,Papunesia,0.05,4,Freq,0.7267570978926009
Austronesian,Papunesia,0.05,4,T-CF,0.7187205419482656
Austronesian,Papunesia,0.05,4,Learned,0.7211011519596096
Austronesian,Papunesia,0.1,0,Freq,0.7298886385786639
Austronesian,Papunesia,0.1,0,T-CF,0.7407212129926984
Austronesian,Papunesia,0.1,0,Learned,0.7576411190464778
Austronesian,Papunesia,0.1,1,Freq,0.7275080285673201
Austronesian,Papunesia,0.1,1,T-CF,0.7383406029813545
Austronesian,Papunesia,0.1,1,Learned,0.7445717298566841
Austronesian,Papunesia,0.1,2,Freq,0.729153685152343
Austronesian,Papunesia,0.1,2,T-CF,0.7403058045343431
Austronesian,Papunesia,0.1,2,Learned,0.7528958762721885
Austronesian,Papunesia,0.1,3,Freq,0.7249356915751969
Austronesian,Papunesia,0.1,3,T-CF,0.7429580277684578
Austronesian,Papunesia,0.1,3,Learned,0.7493009953825752
Austronesian,Papunesia,0.1,4,Freq,0.7293454121331224
Austronesian,Papunesia,0.1,4,T-CF,0.7379411717713975
Austronesian,Papunesia,0.1,4,Learned,0.7500679033056927
Austronesian,Papunesia,0.2,0,Freq,0.7347616993401397
Austronesian,Papunesia,0.2,0,T-CF,0.7552924635319306
Austronesian,Papunesia,0.2,0,Learned,0.7673552860726326
Austronesian,Papunesia,0.2,1,Freq,0.7352729712888846
Austronesian,Papunesia,0.2,1,T-CF,0.7482145424914921
Austronesian,Papunesia,0.2,1,Learned,0.76561376599722
