branch,macroarea,in_branch_frac,repeat,model,f1
Oceanic,Papunesia,0.0,0,Freq,0.5106751298326602
Oceanic,Papunesia,0.0,0,T-CF,0.34131563762261974
Oceanic,Papunesia,0.0,0,Learned,0.3271783035199077
Oceanic,Papunesia,0.0,1,Freq,0.5204847085978073
Oceanic,Papunesia,0.0,1,T-CF,0.34968263127524524
Oceanic,Papunesia,0.0,1,Learned,0.2974610502019619
Oceanic,Papunesia,0.0,2,Freq,0.5213502596653202
Oceanic,Papunesia,0.0,2,T-CF,0.32919792267743797
Oceanic,Papunesia,0.0,2,Learned,0.2879399884593191
Oceanic,Papunesia,0.0,3,Freq,0.5144258511252164
Oceanic,Papunesia,0.0,3,T-CF,0.31592613964223887
Oceanic,Papunesia,0.0,3,Learned,0.32862088863242933
Oceanic,Papunesia,0.0,4,Freq,0.5112521638776688
Oceanic,Papunesia,0.0,4,T-CF,0.3271783035199077
Oceanic,Papunesia,0.0,4,Learned,0.3234275822273514
Oceanic,Papunesia,0.01,0,Freq,0.5106751298326602
Oceanic,Papunesia,0.01,0,T-CF,0.4209463358338142
Oceanic,Papunesia,0.01,0,Learned,0.3871898442008078
Oceanic,Papunesia,0.01,1,Freq,0.5204847085978073
Oceanic,Papunesia,0.01,1,T-CF,0.3857472590882862
Oceanic,Papunesia,0.01,1,Learned,0.3845931909982689
Oceanic,Papunesia,0.01,2,Freq,0.5213502596653202
Oceanic,Papunesia,0.01,2,T-CF,0.4241200230813618
Oceanic,Papunesia,0.01,2,Learned,0.3857472590882862
Oceanic,Papunesia,0.01,3,Freq,0.5144258511252164
Oceanic,Papunesia,0.01,3,T-CF,0.3998845931909983
Oceanic,Papunesia,0.01,3,Learned,0.3698788228505482
Oceanic,Papunesia,0.01,4,Freq,0.5112521638776688
Oceanic,Papunesia,0.01,4,T-CF,0.396133871898442
Oceanic,Papunesia,0.01,4,Learned,0.3724754760530871
Oceanic,Papunesia,0.05,0,Freq,0.5106751298326602
Oceanic,Papunesia,0.05,0,T-CF,0.588863242931333
Oceanic,Papunesia,0.05,0,Learned,0.5781881130986728
Oceanic,Papunesia,0.05,1,Freq,0.5204847085978073
Oceanic,Papunesia,0.05,1,T-CF,0.6105020196191575
Oceanic,Papunesia,0.05,1,Learned,0.5804962492787075
Oceanic,Papunesia,0.05,2,Freq,0.5213502596653202
Oceanic,Papunesia,0.05,2,T-CF,0.5980957876514714
Oceanic,Papunesia,0.05,2,Learned,0.5444316214656665
Oceanic,Papunesia,0.05,3,Freq,0.5144258511252164
Oceanic,Papunesia,0.05,3,T-CF,0.5868436237738026
Oceanic,Papunesia,0.05,3,Learned,0.5605885747259088
Oceanic,Papunesia,0.05,4,Freq,0.5112521638776688
Oceanic,Papunesia,0.05,4,T-CF,0.5934795152914022
Oceanic,Papunesia,0.05,4,Learned,0.5761684939411426
Oceanic,Papunesia,0.1,0,Freq,0.5106751298326602
Oceanic,Papunesia,0.1,0,T-CF,0.6102135025966532
Oceanic,Papunesia,0.1,0,Learned,0.6067512983266012
Oceanic,Papunesia,0.1,1,Freq,0.5204847085978073
Oceanic,Papunesia,0.1,1,T-CF,0.6229082515868436
Oceanic,Papunesia,0.1,1,Learned,0.6220427005193306
Oceanic,Papunesia,0.1,2,Freq,0.5213502596653202
Oceanic,Papunesia,0.1,2,T-CF,0.605597230236584
Oceanic,Papunesia,0.1,2,Learned,0.6087709174841316
Oceanic,Papunesia,0.1,3,Freq,0.5178880553952683
Oceanic,Papunesia,0.1,3,T-CF,0.6102135025966532
Oceanic,Papunesia,0.1,3,Learned,0.6327178303519908
Oceanic,Papunesia,0.1,4,Freq,0.5089440276976341
Oceanic,Papunesia,0.1,4,T-CF,0.6171379111367571
Oceanic,Papunesia,0.1,4,Learned,0.6283900750144259
Oceanic,Papunesia,0.2,0,Freq,0.5129832660126947
Oceanic,Papunesia,0.2,0,T-CF,0.6286785920369302
Oceanic,Papunesia,0.2,0,Learned,0.6653202538949798
Oceanic,Papunesia,0.2,1,Freq,0.5265435660703982
Oceanic,Papunesia,0.2,1,T-CF,0.6376226197345644
Oceanic,Papunesia,0.2,1,Learned,0.65666474321985
Oceanic,Papunesia,0.2,2,Freq,0.5282746682054241
Oceanic,Papunesia,0.2,2,T-CF,0.6393537218695903
Oceanic,Papunesia,0.2,2,Learned,0.6621465666474322
Oceanic,Papunesia,0.2,3,Freq,0.5178880553952683
Oceanic,Papunesia,0.2,3,T-CF,0.6292556260819389
Oceanic,Papunesia,0.2,3,Learned,0.6650317368724755
Oceanic,Papunesia,0.2,4,Freq,0.5161569532602424
Oceanic,Papunesia,0.2,4,T-CF,0.6306982111944605
Oceanic,Papunesia,0.2,4,Learned,0.657530294287363
Bantu,Africa,0.0,0,Freq,0.4844124700239808
Bantu,Africa,0.0,0,T-CF,0.31894484412470026
Bantu,Africa,0.0,0,Learned,0.33525179856115106
Bantu,Africa,0.0,1,Freq,0.4762589928057554
Bantu,Africa,0.0,1,T-CF,0.30071942446043165
Bantu,Africa,0.0,1,Learned,0.34916067146282975
