,obj_V_N,obj_V_P,nsubj_V_N,nsubj_V_P,case_N_D,case_PN_D,amod_N_A,nmod_N_N,nmod_N_PN,aux_V_A,adv_V_D,adv_J_D,cop_N_C,cop_J_C,obl_V_N,xcomp_V_V,ccomp_V_V,nsubj_J_N
stan1318,4081.0,1056.0,7135.0,499.0,25272.0,17.0,17737.0,33302.0,66.0,1220.0,337.0,49.0,160.0,169.0,10457.0,,2065.0,410.0
nucl1235,2606.0,324.0,2691.0,964.0,1463.0,94.0,5786.0,5817.0,1407.0,3763.0,1571.0,347.0,517.0,608.0,3886.0,337.0,413.0,224.0
bela1254,7881.0,1446.0,8229.0,3943.0,18736.0,4127.0,17473.0,16103.0,4730.0,954.0,5896.0,620.0,365.0,229.0,11365.0,2130.0,1003.0,553.0
stan1289,12507.0,7025.0,9790.0,4626.0,39987.0,15614.0,18511.0,19873.0,7384.0,12505.0,6588.0,1918.0,1695.0,1565.0,14536.0,2636.0,2374.0,703.0
mand1415,4518.0,90.0,3409.0,620.0,2738.0,197.0,1225.0,6472.0,2386.0,1778.0,1890.0,307.0,921.0,46.0,2111.0,1292.0,1379.0,343.0
copt1239,651.0,862.0,464.0,2884.0,3153.0,146.0,25.0,955.0,58.0,2280.0,944.0,,,,1808.0,375.0,381.0,
czec1258,3792.0,2084.0,3475.0,1045.0,7391.0,323.0,6186.0,2760.0,150.0,3207.0,5907.0,852.0,824.0,943.0,6526.0,1610.0,1355.0,317.0
dani1285,2472.0,838.0,1965.0,3045.0,5980.0,947.0,3508.0,3155.0,736.0,2321.0,3570.0,713.0,464.0,551.0,3212.0,388.0,421.0,176.0
dutc1256,4445.0,1243.0,5736.0,6051.0,12738.0,3737.0,6607.0,5197.0,2183.0,6071.0,6528.0,1204.0,868.0,924.0,7201.0,1235.0,987.0,365.0
stan1293,6868.0,2168.0,3135.0,8542.0,11191.0,2985.0,7885.0,4419.0,1584.0,7206.0,5701.0,1725.0,1620.0,2266.0,5775.0,2088.0,1352.0,794.0
faro1244,432.0,506.0,307.0,1376.0,744.0,179.0,100.0,53.0,77.0,669.0,1128.0,36.0,82.0,98.0,615.0,5.0,430.0,36.0
finn1318,7230.0,1364.0,5338.0,2444.0,1739.0,250.0,7993.0,9256.0,2656.0,4472.0,5980.0,1198.0,2003.0,1242.0,10531.0,1850.0,700.0,650.0
stan1290,8980.0,1826.0,6709.0,7191.0,36410.0,10234.0,17122.0,18393.0,5828.0,6516.0,6754.0,1879.0,2700.0,1410.0,13648.0,2445.0,830.0,841.0
mode1248,1284.0,259.0,1308.0,483.0,2728.0,271.0,2575.0,2905.0,413.0,1520.0,1071.0,178.0,141.0,183.0,1690.0,270.0,431.0,91.0
hebr1245,2672.0,339.0,4105.0,870.0,15122.0,1988.0,5283.0,5305.0,1037.0,,2337.0,576.0,237.0,257.0,7129.0,920.0,526.0,430.0
hind1269,8227.0,892.0,7138.0,2973.0,34861.0,15732.0,9566.0,10506.0,6594.0,16201.0,859.0,264.0,1664.0,803.0,14490.0,317.0,601.0,419.0
hung1274,612.0,123.0,747.0,144.0,314.0,24.0,1903.0,759.0,229.0,15.0,885.0,188.0,39.0,39.0,1117.0,113.0,147.0,88.0
