,obj_V_N,obj_V_P,nsubj_V_N,nsubj_V_P,case_N_D,case_PN_D,amod_N_A,nmod_N_N,nmod_N_PN,aux_V_A,adv_V_D,adv_J_D,cop_N_C,cop_J_C,obl_V_N,xcomp_V_V,ccomp_V_V,nsubj_J_N
stan1318,0.0012251899044351876,0.0,0.3025928521373511,0.969939879759519,0.9936688825577714,1.0,0.0018605175621582003,0.013302504354092847,0.0,0.9983606557377049,0.18397626112759644,0.2857142857142857,0.99375,0.9940828402366864,0.06474132160275414,,0.0009685230024213075,0.7341463414634146
nucl1235,0.523407521105142,0.7438271604938271,0.7138610182088443,0.9470954356846473,0.16473000683527,0.10638297872340426,0.9987901832008296,0.9585697094722365,0.9857853589196873,0.4092479404730268,0.9478039465308721,0.9740634005763689,0.009671179883945842,0.0756578947368421,0.6484817292846115,0.0830860534124629,0.0774818401937046,0.78125
bela1254,0.13044029945438396,0.6908713692946058,0.6232835095394337,0.956632006086736,0.9985589239965841,1.0,0.9874091455388313,0.006272123206855865,0.0040169133192389005,0.8480083857442348,0.7915535956580733,0.9435483870967742,0.8054794520547945,0.8384279475982532,0.32468103827540695,0.044131455399061034,0.014955134596211365,0.7685352622061483
stan1289,0.010314224034540657,0.88355871886121,0.743003064351379,0.9768698659749243,0.9936229274514217,0.9998719098245165,0.2137647885041327,0.012479243194283701,0.0021668472372697724,0.9901639344262295,0.6285670916818458,0.8952033368091762,0.9716814159292035,0.9865814696485623,0.2094799119427628,0.05083459787556904,0.11120471777590564,0.8748221906116643
mand1415,0.0006640106241699867,0.0,0.9991199765327076,1.0,0.7158509861212564,0.8629441624365483,1.0,0.9975278121137207,0.9991617770326907,0.5798650168728909,0.9873015873015873,0.996742671009772,1.0,1.0,0.8905731880625296,0.20046439628482973,0.13705583756345177,1.0
copt1239,0.0,0.0,0.7693965517241379,0.9410540915395285,1.0,1.0,0.08,0.0010471204188481676,0.0,1.0,0.3103813559322034,,,,0.05033185840707965,0.0,0.0,
czec1258,0.14662447257383968,0.7068138195777351,0.6293525179856115,0.9234449760765551,1.0,1.0,0.9500484966052376,0.02572463768115942,0.02666666666666667,0.6676021203617087,0.696631115625529,0.9495305164319249,0.8519417475728155,0.9639448568398727,0.28777198896720807,0.029192546583850933,0.28413284132841327,0.9053627760252366
dani1285,0.020226537216828478,0.22673031026252982,0.8402035623409669,0.8308702791461412,0.9938127090301003,1.0,0.9686431014823261,0.19841521394611727,0.3220108695652174,0.993968117190866,0.4977591036414566,0.9200561009817672,0.9633620689655172,0.9745916515426497,0.1980074719800747,0.30927835051546393,0.4845605700712589,0.9715909090909091
dutc1256,0.6170978627671541,0.7425583266291231,0.7758019525801952,0.8431664187737564,0.9952896844088553,0.9991972170189992,0.9925836234296957,0.03771406580719646,0.062299587723316535,0.9085817822434524,0.7440257352941176,0.9493355481727574,0.7131336405529954,0.6136363636363636,0.5783918900152757,0.058299595141700404,0.0486322188449848,0.9178082191780822
stan1293,0.0068433313919627255,0.13284132841328414,0.8845295055821372,0.9974244907515805,0.999285139844518,1.0,0.9828788839568802,0.0687938447612582,0.23232323232323232,0.9952817096863724,0.6295386774250131,0.9484057971014492,0.9888888888888889,0.9902912621359223,0.11151515151515151,0.0004789272030651341,0.051775147928994084,0.9836272040302267
faro1244,0.05324074074074074,0.1482213438735178,0.8273615635179153,0.7674418604651163,0.9986559139784946,1.0,0.96,0.32075471698113206,0.4025974025974026,0.9955156950672646,0.5673758865248227,0.9722222222222222,0.5609756097560976,0.8979591836734694,0.13658536585365855,0.0,0.03255813953488372,0.9444444444444444
finn1318,0.25269709543568464,0.5557184750733137,0.8484451105282877,0.9599018003273322,0.15756181713628523,0.08,0.9942449643438008,0.7747407087294728,0.8825301204819277,0.9979874776386404,0.5222408026755853,0.9716193656093489,0.763854218671992,0.9202898550724637,0.34241762415725,0.011891891891891892,0.0014285714285714286,0.9323076923076923
stan1290,0.0010022271714922048,0.911829134720701,0.9530481442837979,0.9892921707690169,1.0,1.0,0.3026515593972667,0.004512586310009243,0.0006863417982155113,0.9998465316144874,0.553301747112822,0.9776476849387973,1.0,0.973758865248227,0.11547479484173505,0.0,0.0,0.9560047562425684
mode1248,0.02336448598130841,0.9034749034749034,0.6269113149847095,0.94824016563147,0.999633431085044,1.0,0.9720388349514563,0.03717728055077452,0.0774818401937046,1.0,0.48552754435107376,0.949438202247191,0.8439716312056738,0.9016393442622951,0.1881656804733728,0.0,0.02320185614849188,0.7032967032967034
hebr1245,0.0187125748502994,0.07079646017699115,0.6004872107186358,0.9862068965517241,0.9988758100780321,1.0,0.0,0.04354382657869934,0.008678881388621022,,0.6187419768934531,0.4357638888888889,0.9957805907172996,0.9377431906614786,0.1641183896759714,0.003260869565217391,0.011406844106463879,0.8488372093023255
hind1269,0.9517442567156922,0.984304932735426,0.9967778089100588,0.9996636394214599,0.0006023923582226557,0.0005720823798627002,0.9997909261969475,0.9880068532267275,0.9902942068547164,0.002407258811184495,0.9976717112922002,1.0,0.0,0.0,0.9979986197377502,0.9873817034700315,0.0,0.9809069212410502
hung1274,0.4738562091503268,0.7642276422764228,0.7295850066934404,0.9236111111111112,0.0031847133757961785,0.0,1.0,0.9591567852437418,0.9563318777292577,0.4666666666666667,0.8915254237288136,0.9574468085106383,0.2564102564102564,0.20512820512820512,0.6768128916741272,0.11504424778761062,0.12244897959183673,0.625
icel1247,0.11455108359133127,0.2958677685950413,0.6163461538461539,0.679586082969297,0.9970707934779791,0.9960485877359871,0.9111495089123317,0.30718954248366015,0.2189311010946555,0.9190980360462296,0.47130957889865804,0.8618968386023295,0.7721266517078036,0.8384499245093106,0.14772173489278753,0.020151133501259445,0.008839950372208437,0.8622183708838822
iris1253,0.0024242424242424242,0.02717391304347826,0.000752162467092892,0.01054481546572935,0.9986974643973602,0.999001996007984,0.00930809804529941,0.004331504475887958,0.0007283321194464676,,0.13806451612903226,0.5533980582524272,0.9985250737463127,1.0,0.09097490347490347,0.125,0.0654911838790932,0.0547945205479452
ital1282,0.022703133297928838,0.6248313090418354,0.7250465416010311,0.9576994434137291,1.0,1.0,0.3019916000541932,0.01660213924798215,0.010447422212128094,0.9997301672962763,0.7127395315826828,0.9750467872738615,0.9691455696202531,0.9786666666666667,0.20937711577522003,0.0008237232289950577,0.005847953216374269,0.7883683360258481
nucl1643,1.0,1.0,1.0,1.0,0.0,0.0,0.9913544668587896,0.9982390232448932,0.9976771196283392,7.852991989948171e-05,1.0,1.0,0.0,,1.0,,1.0,1.0
komi1268,0.1111111111111111,,,1.0,,,,,,1.0,1.0,,,,0.4,,,
kore1280,0.9985907553551296,1.0,1.0,1.0,0.001277139208173691,0.0,0.9581151832460733,0.958362738179252,1.0,0.09375,0.9994323020153278,1.0,0.0,,0.8695652173913043,,0.9852941176470589,1.0
