representation,split,split_type,model,mae,brier,spearman_rho,kl
wals_s42_A,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
wals_s42_A,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
wals_s42_A,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
wals_s42_A,A_random,A,mlp,0.3761544901330306,0.1598944601875587,0.34256134290756435,0.41414202942173056
wals_s42_A,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
wals_s42_A,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_A,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_A,family_Afro-Asiatic,family,mlp,0.22570055030815073,0.07410039260242487,0.7555424215415453,0.2429608167491996
wals_s42_A,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
wals_s42_A,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_A,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_A,family_Indo-European,family,mlp,0.38672911215764055,0.16843392431037213,-0.3745584618771511,0.42892284339230113
wals_s42_A,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
wals_s42_A,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_A,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_A,family_Uralic,family,mlp,0.32011900788528014,0.16868865611569508,0.03055478774758649,0.4497968204783326
wals_s42_A,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
wals_s42_A,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_A,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_A,family_Dravidian,family,mlp,0.41844565007734796,0.2150546793768966,0.0701113473199446,0.5923763911377633
wals_s42_A,value_No_dom_order,value,zero_order_0.5,,,,
wals_s42_A,value_No_dom_order,value,majority_per_config,,,,
wals_s42_A,value_No_dom_order,value,family_mean,,,,
wals_s42_A,value_No_dom_order,value,mlp,,,,
wals_s42_A,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
