condition,repr,linearizer,source_glot,target_glot,kendall_tau,pair_accuracy,exact_match,arc_accuracy,n_sentences,n_arcs
self,wals_s42_A,mlp,stan1318,stan1318,0.3600241000469407,0.6800120500234702,0.006122448979591836,0.645129623845433,490,22411
self,gold_oracle,profile,stan1318,stan1318,0.19586256216970035,0.5979312810848502,0.00816326530612245,0.645486591406006,490,22411
self,wals_s42_A,mlp,nucl1235,nucl1235,0.13060828094651825,0.565304140473259,0.0020491803278688526,0.4811710398445092,488,8232
self,gold_oracle,profile,nucl1235,nucl1235,0.36911067741411646,0.6845553387070582,0.012295081967213115,0.6454081632653061,488,8232
self,wals_s42_A,mlp,bela1254,bela1254,0.2772767102852057,0.6386383551426028,0.024439918533604887,0.6931067044381491,491,8472
self,gold_oracle,profile,bela1254,bela1254,0.31362769849865657,0.6568138492493283,0.016293279022403257,0.6867327667610954,491,8472
self,wals_s42_A,mlp,stan1289,stan1289,0.3264310362305705,0.6632155181152852,0.0,0.6950014788524105,500,16905
self,gold_oracle,profile,stan1289,stan1289,0.41781943262444643,0.7089097163122232,0.0,0.7165335699497191,500,16905
self,wals_s42_A,mlp,mand1415,mand1415,0.37105592422165057,0.6855279621108252,0.0,0.5490877497827976,500,11510
self,gold_oracle,profile,mand1415,mand1415,0.5839407907628922,0.7919703953814462,0.0,0.6902693310165073,500,11510
self,wals_s42_A,mlp,copt1239,copt1239,0.2977225588865259,0.648861279443263,0.0,0.7738310254866546,404,9966
self,gold_oracle,profile,copt1239,copt1239,0.45767518236002075,0.7288375911800103,0.0,0.7382099137066025,404,9966
self,wals_s42_A,mlp,czec1258,czec1258,0.17050965548133248,0.5852548277406663,0.008456659619450317,0.6327962992502791,473,6269
self,gold_oracle,profile,czec1258,czec1258,0.3152768329769632,0.6576384164884816,0.008456659619450317,0.6680491306428458,473,6269
self,wals_s42_A,mlp,dani1285,dani1285,0.25706537906647414,0.6285326895332369,0.008264462809917356,0.6904451038575667,484,8425
self,gold_oracle,profile,dani1285,dani1285,0.29620851630799105,0.6481042581539956,0.010330578512396695,0.6621958456973294,484,8425
self,wals_s42_A,mlp,dutc1256,dutc1256,0.31907547243716045,0.6595377362185803,0.0,0.6741420319401971,494,8829
self,gold_oracle,profile,dutc1256,dutc1256,0.47814448470337734,0.7390722423516887,0.004048582995951417,0.6970211802016083,494,8829
self,wals_s42_A,mlp,stan1293,stan1293,0.36085628578914214,0.6804281428945711,0.004597701149425287,0.7143916913946587,435,6740
self,gold_oracle,profile,stan1293,stan1293,0.4214171215444668,0.7107085607722333,0.0022988505747126436,0.701780415430267,435,6740
self,wals_s42_A,mlp,faro1244,faro1244,0.21263154401322026,0.6063157720066101,0.0,0.6158456190818651,301,8343
self,gold_oracle,profile,faro1244,faro1244,0.4531331309573238,0.7265665654786619,0.0,0.5327819729114227,301,8343
self,wals_s42_A,mlp,finn1318,finn1318,0.19916454186784038,0.5995822709339201,0.0,0.6381252070221928,490,6038
self,gold_oracle,profile,finn1318,finn1318,0.30558797134964205,0.652793985674821,0.0,0.6576681020205366,490,6038
self,wals_s42_A,mlp,stan1290,stan1290,0.3636752558057418,0.6818376279028708,0.0,0.7486720133319446,416,9601
self,gold_oracle,profile,stan1290,stan1290,0.43949950108944896,0.7197497505447245,0.0,0.7398187688782418,416,9601
self,wals_s42_A,mlp,mode1248,mode1248,0.30387395401422035,0.6519369770071102,0.009070294784580499,0.7743705300284118,441,10207
self,gold_oracle,profile,mode1248,mode1248,0.3473274443665696,0.6736637221832849,0.011337868480725623,0.753600470265504,441,10207
self,wals_s42_A,mlp,hebr1245,hebr1245,0.3038952338567964,0.6519476169283982,0.0,0.6224766751484309,490,11790
self,gold_oracle,profile,hebr1245,hebr1245,0.3986818716957859,0.6993409358478929,0.0,0.6330788804071247,490,11790
self,wals_s42_A,mlp,hind1269,hind1269,-0.04083494342149019,0.47958252828925485,0.0,0.35097493036211697,500,10052
self,gold_oracle,profile,hind1269,hind1269,0.6119894494952609,0.8059947247476306,0.0,0.8464982093115798,500,10052
