,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.4053542,0.020071983,0.13591921,0.121950984,0.09675521,0.1194002,0.2377367,0.1385271,0.19157279,0.066488564,0.07475954,0.042686105,0.25187266,0.37494522,0.027162611,0.035198867,0.13048542,0.7782262,0.16980326,0.06944883,0.17760396,0.15028518,0.2445581,0.44608963,0.35767716,0.035211682,0.0685339,0.025235832,0.047603846,0.15499318,0.090869606,0.17751741,0.1236884,0.10219574,0.30275035,0.24872595,0.02613753,0.91148835,0.16686141,0.1371836
copt1239,0.4053542,0.0,0.35226232,0.25512153,0.2641257,0.15718323,0.24667108,0.15226477,0.47281379,0.50559,0.21684086,0.23140419,0.28907734,0.3838786,0.4944082,0.38602567,0.36350173,0.17684895,0.28336024,0.53074133,0.30708557,0.28428984,0.2975173,0.46704274,0.16379756,0.48331046,0.40066183,0.22194207,0.4732461,0.34707612,0.31347954,0.26279473,0.1675992,0.28194505,0.17606264,0.5523109,0.6433229,0.29218167,0.26409566,0.17021841,0.22903109
czec1258,0.020071983,0.35226232,2.3841858e-07,0.1211282,0.10638213,0.093572915,0.15171218,0.16022062,0.15170652,0.26560974,0.05858618,0.08423543,0.041681647,0.29871207,0.38143003,0.018370926,0.029818535,0.10490954,0.7537786,0.1876589,0.068214595,0.20080698,0.1682663,0.274998,0.34123647,0.3658687,0.032023966,0.053581893,0.02271986,0.05279696,0.12916613,0.051613927,0.1736241,0.124969244,0.07411903,0.34275788,0.2788561,0.037139297,0.8967372,0.14175755,0.15569258
dani1285,0.13591921,0.25512153,0.1211282,0.0,0.017814219,0.07754809,0.1899305,0.21807474,0.27486086,0.37519264,0.081710935,0.05215603,0.07747948,0.3454222,0.49881476,0.187671,0.19741678,0.21810555,0.51663876,0.30895984,0.07350767,0.2924077,0.26312315,0.42006677,0.39759433,0.41703302,0.0963639,0.0734061,0.15416592,0.070173085,0.040142655,0.087857306,0.09039736,0.24761409,0.026524425,0.445875,0.5025927,0.13517964,0.6182625,0.07410413,0.2051456
dutc1256,0.121950984,0.2641257,0.10638213,0.017814219,0.0,0.06290257,0.16889232,0.21835613,0.23442388,0.3285092,0.06407535,0.04526037,0.061748683,0.30539727,0.46063286,0.15850806,0.15432209,0.20075953,0.52804375,0.26795322,0.069953024,0.24891424,0.22245002,0.37222308,0.42379344,0.38228053,0.0991258,0.070637286,0.123174965,0.05284977,0.033219635,0.08164352,0.08870667,0.23037875,0.03374344,0.40236998,0.4531309,0.111900985,0.63895714,0.08286053,0.18390065
faro1244,0.09675521,0.15718323,0.093572915,0.07754809,0.06290257,0.0,0.049463928,0.1746822,0.16197783,0.19727516,0.02520144,0.044012725,0.066066265,0.15909433,0.29902965,0.10942471,0.0938887,0.10206807,0.4223534,0.19661218,0.09703243,0.09675336,0.09007996,0.21655989,0.3366357,0.2649538,0.1308341,0.05790168,0.13817197,0.055630505,0.1281032,0.10447705,0.038713872,0.1534993,0.03227222,0.27052677,0.3150561,0.053726554,0.51749885,0.094732225,0.058189988
finn1318,0.1194002,0.24667108,0.15171218,0.1899305,0.16889232,0.049463928,0.0,0.32004875,0.09368479,0.06935102,0.073586226,0.11346561,0.13941371,0.049144804,0.17673856,0.12398106,0.100517094,0.1700294,0.42586756,0.11860031,0.20087194,0.023210704,0.023183167,0.08907592,0.4820217,0.16486597,0.21094286,0.15567005,0.16958094,0.091539085,0.28477693,0.22640777,0.08316463,0.20143527,0.13239479,0.13605821,0.17628467,0.06714195,0.5440321,0.2198199,0.027944565
hebr1245,0.2377367,0.15226477,0.16022062,0.21807474,0.21835613,0.1746822,0.32004875,0.0,0.45760095,0.55782247,0.14851403,0.17078495,0.1486615,0.53277516,0.6146668,0.2029913,0.22035277,0.057112455,0.64629304,0.5179,0.14402467,0.365326,0.360649,0.5321759,0.06264031,0.6273799,0.20628929,0.08988577,0.26488388,0.2783758,0.18254274,0.07226539,0.2233122,0.11721665,0.12820876,0.6701925,0.6089147,0.18786132,0.65575373,0.09118724,0.25819695
hind1269,0.1385271,0.47281379,0.15170652,0.27486086,0.23442388,0.16197783,0.09368479,0.45760095,0.0,0.10702962,0.16629213,0.24133456,0.23178178,0.09262514,0.09426731,0.10546172,0.089944124,0.322976,0.5741067,0.010103941,0.31654269,0.079009354,0.05351132,0.05234599,0.6364976,0.085698664,0.22013706,0.27761686,0.13336807,0.09053975,0.37560427,0.30968672,0.22137976,0.36810088,0.22813487,0.058700085,0.056287825,0.13902634,0.80990887,0.3949132,0.14885628
hung1274,0.19157279,0.50559,0.26560974,0.37519264,0.3285092,0.19727516,0.06935102,0.55782247,0.10702962,0.0,0.19992626,0.25479442,0.26063305,0.041264594,0.17694676,0.19765586,0.16947943,0.32669032,0.5869899,0.1138165,0.33919054,0.063072324,0.0674147,0.063498855,0.76460993,0.17959183,0.3398676,0.31849402,0.22354949,0.18928272,0.4642663,0.39840645,0.23096907,0.30684417,0.3261941,0.099680305,0.10452491,0.1500839,0.7221699,0.41908115,0.09945059
