,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.03180635,0.0005837679,0.011906028,0.009144306,0.010432184,0.0083504915,0.01948297,0.005255878,0.008342981,0.007157266,0.008515656,0.00388515,0.011772871,0.011470258,0.000102460384,0.00026845932,0.010010719,0.051409006,0.007475972,0.0068510175,0.0083299875,0.0065912604,0.008144617,0.029976904,0.013403118,0.0016561747,0.008405745,0.0012572408,0.0027474165,0.012644708,0.008186817,0.016899705,0.008285403,0.011018872,0.012408078,0.00997442,0.0022186637,0.07111585,0.019153416,0.0097801685
copt1239,0.03180635,0.0,0.027280629,0.0059453845,0.007903278,0.0066602826,0.013067663,0.0066140294,0.036584556,0.03165871,0.009122729,0.0077109933,0.014757156,0.020131826,0.027272701,0.030523837,0.02896154,0.008269072,0.007150352,0.041252732,0.012677193,0.015685022,0.018025398,0.029230952,0.0055473447,0.026762128,0.033206165,0.008997858,0.045101583,0.02062738,0.008257091,0.012349248,0.0038098097,0.012843847,0.005823374,0.038732708,0.053393006,0.01786083,0.0102702975,0.003021896,0.00936383
czec1258,0.0005837679,0.027280629,1.1920929e-07,0.009082973,0.0069751143,0.008792639,0.008485973,0.014414132,0.0077117085,0.011410654,0.0057036877,0.0065538287,0.002333045,0.01331228,0.013407826,0.0005437732,0.00086808205,0.007189214,0.047952652,0.010471761,0.004329622,0.00892657,0.0073726177,0.01050508,0.02357155,0.015234411,0.00074088573,0.005707741,0.002514422,0.0028708577,0.008808792,0.004978001,0.014841855,0.006026089,0.008288503,0.015767276,0.01426667,0.0019375682,0.066168845,0.015022337,0.009209931
dani1285,0.011906028,0.0059453845,0.009082973,5.9604645e-08,0.00023287535,0.0010202527,0.0045399666,0.0047320127,0.016784608,0.016363382,0.0012364984,0.000870049,0.0032607317,0.010257006,0.01397866,0.01128155,0.010516405,0.0026198626,0.017573178,0.020340443,0.0029733777,0.006236255,0.0068147182,0.014278531,0.008440375,0.01404506,0.012627184,0.0015795231,0.020029366,0.005619824,0.0014506578,0.0031595826,0.0018395782,0.005131066,0.000151515,0.021255612,0.029525697,0.0048861504,0.028006613,0.00226748,0.0030702949
dutc1256,0.009144306,0.007903278,0.0069751143,0.00023287535,2.9802322e-07,0.0006389022,0.00307101,0.0061082244,0.013194501,0.012946129,0.00054627657,0.00054985285,0.0022801757,0.008046627,0.011203349,0.008585095,0.007827818,0.0026365519,0.019600451,0.016422689,0.002630949,0.0044404864,0.0047671795,0.01115793,0.010802448,0.011430562,0.010496378,0.0014802814,0.01648295,0.003605187,0.0020741224,0.0031089187,0.0020282269,0.004708767,0.00027287006,0.017499328,0.024662673,0.0031523108,0.031398654,0.0034800768,0.002108574
faro1244,0.010432184,0.0066602826,0.008792639,0.0010202527,0.0006389022,0.0,0.0015164018,0.0074973702,0.012503862,0.01056993,0.0003668666,0.00069803,0.003313005,0.005520165,0.009029567,0.009656608,0.008522868,0.0029871464,0.016180634,0.015547097,0.0041815042,0.002616644,0.0032551885,0.009142935,0.011962295,0.009290278,0.013460815,0.0023981333,0.018601298,0.00398165,0.0041838884,0.0049892664,0.0008048415,0.0052193403,0.0007060766,0.015291989,0.02327007,0.0032714605,0.027459502,0.0039722323,0.00057923794
finn1318,0.0083504915,0.013067663,0.008485973,0.0045399666,0.00307101,0.0015164018,5.9604645e-08,0.014988005,0.0065149665,0.004220605,0.001665473,0.0031209588,0.0050964355,0.0014119148,0.0036447644,0.0075740814,0.0061687827,0.006881535,0.020199656,0.008521438,0.0077655315,0.00017040968,0.0004517436,0.0034455657,0.02151215,0.004037261,0.0139065385,0.0060427785,0.015253544,0.0022944212,0.009712756,0.009435475,0.002996862,0.008575618,0.004004061,0.0076313615,0.014133275,0.0027340055,0.034433067,0.010145247,0.0003631115
hebr1245,0.01948297,0.0066140294,0.014414132,0.0047320127,0.0061082244,0.0074973702,0.014988005,0.0,0.03288108,0.03247398,0.007024586,0.0049214363,0.006470382,0.025348246,0.031132877,0.018904865,0.018850327,0.0022536516,0.026554108,0.038425565,0.0037125945,0.017920613,0.018725753,0.030335784,0.0012108684,0.032090068,0.016266465,0.0027970076,0.028700054,0.016121507,0.0020564198,0.002613008,0.008729458,0.0039647818,0.0041665435,0.04128015,0.0487262,0.01136452,0.032672286,0.001295805,0.011392176
hind1269,0.005255878,0.036584556,0.0077117085,0.016784608,0.013194501,0.012503862,0.0065149665,0.03288108,5.9604645e-08,0.001992762,0.0107598305,0.014192164,0.011899829,0.0048013926,0.0025302172,0.00464803,0.0037320852,0.01962334,0.045146704,0.00024467707,0.01746285,0.005066216,0.0036053061,0.0012364984,0.044258118,0.0035173893,0.011922777,0.017312586,0.006819546,0.0032464266,0.02291733,0.019656658,0.017436922,0.019730031,0.016096592,0.0017136335,0.0018618107,0.0065124035,0.06763935,0.028698027,0.009675205
hung1274,0.008342981,0.03165871,0.011410654,0.016363382,0.012946129,0.01056993,0.004220605,0.03247398,0.001992762,1.7881393e-07,0.0096876025,0.012785196,0.012461901,0.0020185113,0.0019434094,0.007832825,0.0063149333,0.018451571,0.03756714,0.0024366975,0.017935216,0.0029540658,0.002294898,0.00053328276,0.043049753,0.002830267,0.017059863,0.017043173,0.01216507,0.0047233105,0.02370137,0.020991504,0.014068246,0.018510401,0.015472889,0.0016997457,0.0041258335,0.006680548,0.057306886,0.02633512,0.006804049
icel1247,0.007157266,0.009122729,0.0057036877,0.0012364984,0.00054627657,0.0003668666,0.001665473,0.007024586,0.0107598305,0.0096876025,0.0,0.00029981136,0.0015286207,0.006072998,0.009179771,0.006585121,0.005758941,0.0020515919,0.021359622,0.013870597,0.0024933815,0.0027194023,0.002955377,0.00852859,0.0123716,0.009816468,0.009515941,0.0013995767,0.014211655,0.0026595592,0.0035036802,0.003308475,0.0022324324,0.0034585595,0.00078719854,0.014765263,0.020815492,0.0015681982,0.03371346,0.0043887496,0.0009331703
iris1253,0.008515656,0.0077109933,0.0065538287,0.000870049,0.00054985285,0.00069803,0.0031209588,0.0049214363,0.014192164,0.012785196,0.00029981136,2.9802322e-07,0.0013474226,0.008674502,0.01266551,0.008110464,0.0074021816,0.0011012554,0.021443307,0.01779008,0.0015436411,0.0046152472,0.004998386,0.011789918,0.00967145,0.013332069,0.009928107,0.00061666965,0.01608628,0.00428617,0.0021383166,0.002242148,0.0024007559,0.0023591518,0.0005041957,0.018984139,0.025378525,0.0023583174,0.032424033,0.0026723146,0.0018274784
ital1282,0.00388515,0.014757156,0.002333045,0.0032607317,0.0022801757,0.003313005,0.0050964355,0.006470382,0.011899829,0.012461901,0.0015286207,0.0013474226,0.0,0.011131346,0.013990223,0.0037959814,0.0036652088,0.0016092062,0.03322518,0.015479684,0.00056415796,0.006381631,0.005935669,0.011802673,0.013008714,0.015336335,0.0041460395,0.0009009838,0.009119809,0.003255844,0.0030533671,0.0012279153,0.0070850253,0.00141716,0.002644956,0.01885426,0.021486163,0.00095129013,0.046682954,0.0059044957,0.00435704
komi1268,0.011772871,0.020131826,0.01331228,0.010257006,0.008046627,0.005520165,0.0014119148,0.025348246,0.0048013926,0.0020185113,0.006072998,0.008674502,0.011131346,0.0,0.0010415912,0.010800004,0.008928418,0.014447272,0.022545278,0.005690038,0.015415072,0.0007240176,0.0009331703,0.0013683438,0.033094645,0.0011504889,0.020032823,0.013202786,0.018180847,0.004320979,0.018041432,0.017769873,0.0067851543,0.01649481,0.009745777,0.0034115314,0.010120392,0.006567657,0.038974285,0.018610537,0.0029270053
kore1280,0.011470258,0.027272701,0.013407826,0.01397866,0.011203349,0.009029567,0.0036447644,0.031132877,0.0025302172,0.0019434094,0.009179771,0.01266551,0.013990223,0.0010415912,0.0,0.010270715,0.008541822,0.01908511,0.029198706,0.0027256012,0.019277334,0.002322495,0.0019660592,0.0005758405,0.040038466,0.00015306473,0.019964337,0.01724726,0.016139925,0.0045882463,0.022396326,0.021410644,0.0112115145,0.02124554,0.013435185,0.0011254549,0.0062178373,0.008391142,0.048578143,0.024845123,0.006126344
latv1249,0.000102460384,0.030523837,0.0005437732,0.01128155,0.008585095,0.009656608,0.0075740814,0.018904865,0.00464803,0.007832825,0.006585121,0.008110464,0.0037959814,0.010800004,0.010270715,0.0,9.214878e-05,0.009608865,0.049319625,0.0068083405,0.006850958,0.0074643493,0.0057981014,0.007297814,0.029058695,0.012145877,0.001954019,0.008094072,0.0015655756,0.0022938848,0.012390733,0.008005321,0.015893102,0.008258879,0.010312915,0.01145184,0.009434044,0.0019813776,0.06897706,0.018601239,0.008992195
lith1251,0.00026845932,0.02896154,0.00086808205,0.010516405,0.007827818,0.008522868,0.0061687827,0.018850327,0.0037320852,0.0063149333,0.005758941,0.0074021816,0.0036652088,0.008928418,0.008541822,9.214878e-05,1.1920929e-07,0.009285092,0.046307564,0.005766034,0.006878555,0.005985141,0.00448066,0.005821228,0.028851807,0.010282218,0.0027785897,0.007818997,0.0021578074,0.0016545653,0.012265623,0.008176267,0.014345467,0.008192301,0.009562433,0.009770513,0.00846827,0.00153929,0.065732956,0.017944336,0.0076182485
malt1254,0.010010719,0.008269072,0.007189214,0.0026198626,0.0026365519,0.0029871464,0.006881535,0.0022536516,0.01962334,0.018451571,0.0020515919,0.0011012554,0.0016092062,0.014447272,0.01908511,0.009608865,0.009285092,1.1920929e-07,0.026423812,0.024076045,0.0008997321,0.008808851,0.0091561675,0.017491162,0.0061997175,0.020329952,0.009696305,0.00031483173,0.01768589,0.007736206,0.0019720197,0.0010121465,0.0052523613,0.0006477833,0.0017672181,0.026399612,0.031698644,0.0038805604,0.035989404,0.0020056367,0.0047640204
mand1415,0.051409006,0.007150352,0.047952652,0.017573178,0.019600451,0.016180634,0.020199656,0.026554108,0.045146704,0.03756714,0.021359622,0.021443307,0.03322518,0.022545278,0.029198706,0.049319625,0.046307564,0.026423812,0.0,0.048139393,0.032771707,0.021929622,0.025328875,0.034283757,0.024390996,0.027047396,0.057848513,0.026507199,0.06721389,0.032425642,0.025704503,0.0332067,0.009854019,0.03407502,0.018118858,0.040629268,0.06143099,0.033513367,0.0028127432,0.017897248,0.017398357
