,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.03286892,0.0015203357,0.010305643,0.010946214,0.0128670335,0.0065113306,0.020164728,0.0071128607,0.0036693811,0.007688999,0.007761419,0.002995491,0.0137164,0.011048853,0.002123952,0.0007739663,0.011218011,0.055347323,0.007912219,0.009860754,0.007868588,0.0071906447,0.006932974,0.030642033,0.0121536255,0.004326701,0.009529173,0.0010802746,0.0018345714,0.015406966,0.009286821,0.02049458,0.0063421726,0.007891595,0.012701154,0.013504684,0.0034158826,0.06596458,0.01822263,0.010547757
copt1239,0.03286892,5.9604645e-08,0.031365693,0.0089306235,0.0076809525,0.0060403943,0.016241431,0.009073436,0.038555443,0.03357464,0.0107136965,0.009298682,0.017641127,0.017733634,0.03453952,0.03820449,0.03444481,0.011067331,0.006949544,0.040047824,0.009091914,0.012780726,0.017751098,0.033153653,0.011055052,0.020638645,0.045250952,0.010999322,0.038107574,0.024073064,0.010207713,0.009940445,0.0031573176,0.013673902,0.009375215,0.0361948,0.07104182,0.01570642,0.007965922,0.0039492846,0.013099253
czec1258,0.0015203357,0.031365693,0.0,0.008315206,0.010343909,0.0133937,0.009725511,0.015523493,0.010606468,0.007448375,0.0073623657,0.0070167184,0.002345562,0.017412543,0.015683293,0.0005890727,0.0012356043,0.008651316,0.056344688,0.012106359,0.007923424,0.010305405,0.010069251,0.011651039,0.024719775,0.014690459,0.0018237829,0.0076577067,0.000600934,0.0032225251,0.010921955,0.0067866445,0.02069664,0.0061371326,0.0065640807,0.018344462,0.019227386,0.004929602,0.06629872,0.01563692,0.014393091
dani1285,0.010305643,0.0089306235,0.008315206,5.9604645e-08,0.0004568696,0.001666069,0.005175829,0.0073845983,0.014315903,0.0120257735,0.00068837404,0.0006581545,0.0033352375,0.007865071,0.014780402,0.012629509,0.01071763,0.004569471,0.022685826,0.015933871,0.0018082857,0.0035404563,0.0052215457,0.013285577,0.014054954,0.0076364875,0.017046392,0.0037133694,0.011850178,0.005331278,0.0034266114,0.001779139,0.0035140514,0.004606843,0.00087219477,0.016997397,0.035864353,0.0036025643,0.029112697,0.0034151673,0.005991161
dutc1256,0.010946214,0.0076809525,0.010343909,0.0004568696,2.3841858e-07,0.00064587593,0.0037241578,0.009153545,0.013693988,0.011398733,0.000623405,0.0006597638,0.0041092634,0.0056850314,0.013224959,0.015179515,0.01216656,0.0056884885,0.019085228,0.0150581,0.0023155808,0.0022024512,0.0039504766,0.011932611,0.016102552,0.006464243,0.020317674,0.0044547915,0.013775885,0.0053983927,0.0048724413,0.0028008223,0.00203228,0.004849851,0.0013731718,0.014879763,0.035802722,0.0031734705,0.02538079,0.0036116838,0.003812015
faro1244,0.0128670335,0.0060403943,0.0133937,0.001666069,0.00064587593,5.9604645e-08,0.0028550625,0.010314226,0.014301956,0.011500418,0.001047492,0.0015417933,0.0057807565,0.0042406917,0.012470186,0.018275142,0.013949335,0.0071023703,0.015275359,0.015294433,0.0038337708,0.0014381409,0.003269732,0.01132226,0.017216146,0.0053661466,0.024420321,0.005872488,0.016702414,0.0064969063,0.00755924,0.00421381,0.00093722343,0.0058344603,0.0020970702,0.013758063,0.036518455,0.0035056472,0.021296144,0.0043030977,0.0022105575
finn1318,0.0065113306,0.016241431,0.009725511,0.005175829,0.0037241578,0.0028550625,0.0,0.01813984,0.005998194,0.0034986138,0.0022202134,0.0037407875,0.005090475,0.0020085573,0.00494349,0.013061762,0.007643163,0.01126945,0.026762366,0.0063026547,0.007714212,0.00026875734,0.000315845,0.0033502579,0.027973115,0.0025562048,0.018996656,0.009248495,0.010563731,0.0022556782,0.014356554,0.007892549,0.006357074,0.0067115426,0.0045295954,0.005572915,0.020461977,0.0016749501,0.035620093,0.01157552,0.00057423115
hebr1245,0.020164728,0.009073436,0.015523493,0.0073845983,0.009153545,0.010314226,0.01813984,1.1920929e-07,0.036935925,0.029713333,0.01002419,0.0065574646,0.008063853,0.026627243,0.03853911,0.018923461,0.020496666,0.0015483499,0.031401098,0.03918928,0.0034071803,0.015561819,0.020439386,0.033736885,0.0012629628,0.026588619,0.021613061,0.0025550127,0.021568775,0.018384278,0.0025284886,0.0027851462,0.011838138,0.0052013397,0.005084276,0.041846454,0.061442137,0.011175394,0.03335929,0.0022023916,0.018928349
hind1269,0.0071128607,0.038555443,0.010606468,0.014315903,0.013693988,0.014301956,0.005998194,0.036935925,0.0,0.0011433959,0.009914875,0.013985038,0.01246959,0.0061947703,0.0010357499,0.012483478,0.0068284273,0.026147783,0.049515903,0.00012117624,0.020597875,0.007675767,0.004362941,0.0008969307,0.05149126,0.0042150617,0.017576993,0.023157,0.008485317,0.003601551,0.028355002,0.020051897,0.020692647,0.019057453,0.015138745,0.0017383695,0.006321907,0.009353578,0.06333071,0.029313803,0.009023786
hung1274,0.0036693811,0.03357464,0.007448375,0.0120257735,0.011398733,0.011500418,0.0034986138,0.029713333,0.0011433959,0.0,0.007597089,0.010454178,0.008132935,0.006103933,0.002272129,0.008780479,0.003717482,0.019643247,0.04750204,0.0011873841,0.015826523,0.00521183,0.002963066,0.00060892105,0.04273057,0.004581094,0.013515651,0.017116368,0.0057668686,0.0017437339,0.023827493,0.015211821,0.018135846,0.012905717,0.011085629,0.0030117035,0.0072509646,0.005279064,0.05993712,0.023896515,0.006381154
