,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,0.979689,0.6268436,0.66634846,0.46927875,0.6096102,0.5434332,0.56536496,0.55732167,0.38305414,0.5070061,0.63967025,0.6148047,0.6565677,0.8171418,0.618672,0.6067331,0.90328366,0.78487533,0.7475891,0.339167,0.37108982,0.37549323,0.8373702,0.7693271,1.0797654,0.3331684,0.6598307,0.44623333,0.40756547,0.7304547,0.7126775,0.6307547,0.5327816,0.6717117,0.95425177,0.8561321,0.40712446,0.93491554,0.7228195,0.74329615
copt1239,0.979689,0.0,0.52465796,0.60117924,0.71569777,0.5650661,0.52033794,0.25532675,0.72435737,0.6612016,0.55564296,0.2776246,0.43390042,0.6064789,0.9404023,0.4300568,0.56322515,0.48409206,0.57206035,0.8682329,0.60406375,0.67623436,0.859431,0.7173778,0.1595434,0.78410786,0.5803905,0.39873052,0.55539167,0.5593762,0.33015066,0.390898,0.43862152,0.4190238,0.5639298,0.9865797,0.76122063,0.5656242,0.42323154,0.28591043,0.5231379
czec1258,0.6268436,0.52465796,0.0,0.5858499,0.65939224,0.2739203,0.3325014,0.33536643,0.46103102,0.41157502,0.39717048,0.59923863,0.46689183,0.37546587,0.8301234,0.14324725,0.10605317,0.6047566,0.810843,0.59009385,0.3446527,0.26909703,0.52033794,0.49942017,0.60125774,0.7480868,0.26376837,0.51115894,0.32713616,0.37539458,0.58133185,0.41808856,0.4628036,0.6448251,0.5714158,0.6290237,0.5081622,0.2918017,0.82461,0.674466,0.23950934
dani1285,0.66634846,0.60117924,0.5858499,2.9802322e-07,0.18079692,0.32075357,0.24103826,0.3210606,0.44624656,0.3442182,0.110746145,0.35447234,0.11574191,0.3425387,0.63298017,0.30934823,0.43271196,0.26348633,0.5092809,0.62297153,0.20918459,0.39421052,0.3482933,0.59908867,0.61326265,0.7341882,0.27603018,0.17678356,0.1737588,0.20114464,0.19301504,0.15278387,0.08874947,0.56494915,0.014719307,0.7841991,0.5428177,0.22954684,0.6929095,0.3237344,0.6108755
dutc1256,0.46927875,0.71569777,0.65939224,0.18079692,1.1920929e-07,0.50797457,0.4267817,0.43235785,0.42469543,0.31849176,0.26118803,0.4881493,0.2534926,0.5645598,0.7388926,0.44269526,0.55246365,0.43057853,0.573189,0.597872,0.27579063,0.4730147,0.2317357,0.650754,0.6903497,0.81598604,0.39573908,0.3461029,0.30925375,0.35219556,0.34591085,0.26063162,0.22293562,0.7576293,0.16947234,0.85172606,0.5948888,0.36568964,0.75822455,0.50695425,0.58446014
faro1244,0.6096102,0.5650661,0.2739203,0.32075357,0.50797457,1.1920929e-07,0.19587421,0.24549937,0.461659,0.31595254,0.12811494,0.34174168,0.2904343,0.31747216,0.84873927,0.13533646,0.29368174,0.44013983,0.8275404,0.5869305,0.20049042,0.21452129,0.5388511,0.580603,0.6091962,0.8696089,0.15155327,0.38037044,0.2254147,0.36388022,0.4635259,0.23973513,0.27214193,0.5352688,0.3330276,0.7519171,0.5951071,0.24674201,0.8655478,0.41943002,0.38933647
finn1318,0.5434332,0.52033794,0.3325014,0.24103826,0.4267817,0.19587421,0.0,0.16084838,0.23443973,0.11571884,0.15314835,0.34928226,0.2092995,0.079247296,0.4704604,0.1883992,0.27160597,0.42132998,0.48029035,0.4308213,0.16605777,0.11510259,0.3262443,0.34289348,0.47290844,0.5683491,0.09966475,0.24725741,0.10796583,0.14640355,0.361955,0.22818244,0.15485585,0.38865995,0.22819835,0.58054316,0.36566406,0.10028094,0.6062616,0.3283019,0.32321405
hebr1245,0.56536496,0.25532675,0.33536643,0.3210606,0.43235785,0.24549937,0.16084838,5.9604645e-08,0.3542853,0.20301312,0.17480087,0.15499264,0.16047871,0.26774687,0.63586783,0.23019028,0.37445927,0.35744476,0.4402513,0.65174556,0.17256391,0.23462123,0.46752995,0.5663891,0.23230976,0.77053475,0.14258653,0.16581446,0.1790399,0.23434633,0.2025109,0.19976395,0.13982862,0.27148348,0.30652672,0.83774227,0.5565327,0.16002923,0.4623285,0.17994112,0.30763394
hind1269,0.55732167,0.72435737,0.46103102,0.44624656,0.42469543,0.461659,0.23443973,0.3542853,0.0,0.24649733,0.40162337,0.552909,0.42312038,0.2889791,0.33528495,0.35047507,0.36485344,0.3635443,0.57409406,0.22322989,0.30052203,0.25743842,0.22013026,0.22581035,0.75052774,0.47915268,0.3267355,0.4521398,0.23924059,0.2780637,0.60402536,0.368334,0.35557818,0.6303143,0.4147128,0.38928354,0.26217526,0.26806223,0.82717586,0.63298225,0.27591997
hung1274,0.38305414,0.6612016,0.41157502,0.3442182,0.31849176,0.31595254,0.11571884,0.20301312,0.24649733,0.0,0.2218703,0.47090256,0.29881704,0.179694,0.46234846,0.33982235,0.42421824,0.5607723,0.47112572,0.47681743,0.18380332,0.13716573,0.20846564,0.3992297,0.53174657,0.64649355,0.16836518,0.34970343,0.19711924,0.23406821,0.41977137,0.33803213,0.21361381,0.5138063,0.3279822,0.6423676,0.41791803,0.17274559,0.615987,0.45189244,0.31504875
icel1247,0.5070061,0.55564296,0.39717048,0.110746145,0.26118803,0.12811494,0.15314835,0.17480087,0.40162337,0.2218703,0.0,0.27261603,0.12674046,0.26838315,0.6597841,0.20786107,0.37387323,0.3332433,0.5435326,0.59648186,0.102591515,0.22284943,0.3736546,0.61264104,0.50933766,0.7981904,0.0994097,0.19814664,0.102499664,0.22134489,0.2657736,0.15110266,0.083135664,0.46852863,0.1301595,0.82071185,0.5692582,0.12700707,0.65123796,0.3026169,0.4477169
iris1253,0.63967025,0.2776246,0.59923863,0.35447234,0.4881493,0.34174168,0.34928226,0.15499264,0.552909,0.47090256,0.27261603,0.0,0.16347438,0.51881826,0.9083245,0.36544454,0.54592896,0.31007624,0.6380062,0.9088519,0.2334603,0.50713354,0.7001977,0.81858873,0.2497735,1.0325489,0.30917645,0.1381318,0.3007068,0.3586886,0.19395804,0.22120154,0.24514025,0.21820694,0.3386861,1.1105825,0.84028774,0.3470732,0.56966186,0.06960446,0.4834268
ital1282,0.6148047,0.43390042,0.46689183,0.11574191,0.2534926,0.2904343,0.2092995,0.16047871,0.42312038,0.29881704,0.12674046,0.16347438,1.7881393e-07,0.3087033,0.7837957,0.23610717,0.3461632,0.21423447,0.5180583,0.7838001,0.106508315,0.3747065,0.42404354,0.6738161,0.4055158,0.8919638,0.20164657,0.029396951,0.112676024,0.17280447,0.11447567,0.068960726,0.041356564,0.44276756,0.1087361,0.94808424,0.6415096,0.1767956,0.5977675,0.20760304,0.45265675
komi1268,0.6565677,0.6064789,0.37546587,0.3425387,0.5645598,0.31747216,0.079247296,0.26774687,0.2889791,0.179694,0.26838315,0.51881826,0.3087033,1.7881393e-07,0.40151596,0.3057084,0.35282946,0.54454666,0.36290318,0.4895032,0.28526217,0.15298158,0.40805185,0.41165626,0.52703595,0.51987576,0.20463717,0.31485087,0.1819135,0.17410576,0.479064,0.34393686,0.21049196,0.59107876,0.32433462,0.619686,0.4498344,0.13742626,0.50973773,0.51580966,0.41349024
kore1280,0.8171418,0.9404023,0.8301234,0.63298017,0.7388926,0.84873927,0.4704604,0.63586783,0.33528495,0.46234846,0.6597841,0.9083245,0.7837957,0.40151596,0.0,0.80015874,0.8291327,0.7538742,0.30969334,0.37022555,0.7264436,0.527467,0.44164133,0.3761984,0.8234607,0.22622883,0.6324526,0.73544383,0.5996133,0.51388067,0.8196042,0.8379197,0.624038,0.71098596,0.6110033,0.38655597,0.34864187,0.51073444,0.58621955,0.7962121,0.62055075
latv1249,0.618672,0.4300568,0.14324725,0.30934823,0.44269526,0.13533646,0.1883992,0.23019028,0.35047507,0.33982235,0.20786107,0.36544454,0.23610717,0.3057084,0.80015874,0.0,0.07021159,0.3376258,0.7319541,0.49341434,0.19683969,0.254215,0.420066,0.38170904,0.54450786,0.6533354,0.17971516,0.31826097,0.18008357,0.25421494,0.40175992,0.17013079,0.25334597,0.5349014,0.28569287,0.57545114,0.40623063,0.21619809,0.8448267,0.4475289,0.26537025
lith1251,0.6067331,0.56322515,0.10605317,0.43271196,0.55246365,0.29368174,0.27160597,0.37445927,0.36485344,0.42421824,0.37387323,0.54592896,0.3461632,0.35282946,0.8291327,0.07021159,0.0,0.42645347,0.82285833,0.49770975,0.2737736,0.29917598,0.43311882,0.38545513,0.69702244,0.6897688,0.25999635,0.40859586,0.22519046,0.24696851,0.519326,0.28076977,0.38381815,0.6203691,0.4114558,0.5355458,0.41780287,0.25546366,0.95857704,0.62601924,0.31678045
malt1254,0.90328366,0.48409206,0.6047566,0.26348633,0.43057853,0.44013983,0.42132998,0.35744476,0.3635443,0.5607723,0.3332433,0.31007624,0.21423447,0.54454666,0.7538742,0.3376258,0.42645347,1.1920929e-07,0.77894264,0.6718964,0.32371104,0.6413866,0.47337854,0.5078106,0.66912323,0.78752613,0.48536462,0.24983537,0.2786451,0.39243472,0.30635798,0.1890747,0.24843651,0.5714679,0.2763418,0.68288076,0.48494834,0.45048976,0.9074557,0.3894506,0.4915471
mand1415,0.78487533,0.57206035,0.810843,0.5092809,0.573189,0.8275404,0.48029035,0.4402513,0.57409406,0.47112572,0.5435326,0.6380062,0.5180583,0.36290318,0.30969334,0.7319541,0.82285833,0.77894264,0.0,0.6607195,0.63720244,0.5675666,0.6323365,0.72724056,0.41911823,0.44868517,0.54377747,0.43971628,0.50544715,0.39185488,0.5465251,0.600338,0.38966268,0.66906494,0.4633177,0.9094691,0.70881605,0.37851548,0.14626908,0.548856,0.73385644
mara1378,0.7475891,0.8682329,0.59009385,0.62297153,0.597872,0.5869305,0.4308213,0.65174556,0.22322989,0.47681743,0.59648186,0.9088519,0.7838001,0.4895032,0.37022555,0.49341434,0.49770975,0.6718964,0.6607195,0.0,0.6303568,0.3918379,0.43975663,0.2587425,1.0403482,0.34186208,0.55448437,0.8321779,0.49685484,0.5263104,0.960097,0.5967678,0.6435704,0.88157517,0.5820268,0.305036,0.30804193,0.47294223,0.9364226,0.90531725,0.49895984
mode1248,0.339167,0.60406375,0.3446527,0.20918459,0.27579063,0.20049042,0.16605777,0.17256391,0.30052203,0.18380332,0.102591515,0.2334603,0.106508315,0.28526217,0.7264436,0.19683969,0.2737736,0.32371104,0.63720244,0.6303568,1.1920929e-07,0.1969356,0.30054867,0.6041795,0.54479456,0.93172634,0.08460343,0.14892995,0.059890807,0.13531554,0.26279664,0.15869862,0.13520318,0.41330987,0.20673215,0.8515948,0.6165997,0.10349423,0.76633936,0.32038528,0.351291
nort2671,0.37108982,0.67623436,0.26909703,0.39421052,0.4730147,0.21452129,0.11510259,0.23462123,0.25743842,0.13716573,0.22284943,0.50713354,0.3747065,0.15298158,0.527467,0.254215,0.29917598,0.6413866,0.5675666,0.3918379,0.1969356,0.0,0.34334952,0.46562207,0.6245831,0.70914507,0.10921651,0.42308235,0.19042039,0.20498991,0.5327029,0.37239158,0.2928444,0.5215307,0.39495933,0.628286,0.4927774,0.11898869,0.7368722,0.5596353,0.38270605
nucl1235,0.37549323,0.859431,0.52033794,0.3482933,0.2317357,0.5388511,0.3262443,0.46752995,0.22013026,0.20846564,0.3736546,0.7001977,0.42404354,0.40805185,0.44164133,0.420066,0.43311882,0.47337854,0.6323365,0.43975663,0.30054867,0.34334952,0.0,0.33331066,0.81686825,0.5856211,0.36099482,0.51377296,0.29410893,0.29582465,0.5319753,0.4678285,0.36431807,0.7049022,0.33709317,0.45716476,0.3124922,0.3523065,0.90206975,0.71317923,0.46013963
nucl1301,0.8373702,0.7173778,0.49942017,0.59908867,0.650754,0.580603,0.34289348,0.5663891,0.22581035,0.3992297,0.61264104,0.81858873,0.6738161,0.41165626,0.3761984,0.38170904,0.38545513,0.5078106,0.72724056,0.2587425,0.6041795,0.46562207,0.33331066,0.0,0.83569026,0.20404857,0.57633203,0.737409,0.5146178,0.51439995,0.7667689,0.577148,0.59010124,0.72731245,0.57609373,0.103565514,0.06098169,0.55521643,0.9853281,0.78009015,0.3385623
nucl1347,0.7693271,0.1595434,0.60125774,0.61326265,0.6903497,0.6091962,0.47290844,0.23230976,0.75052774,0.53174657,0.50933766,0.2497735,0.4055158,0.52703595,0.8234607,0.54450786,0.69702244,0.66912323,0.41911823,1.0403482,0.54479456,0.6245831,0.81686825,0.83569026,0.0,0.80648583,0.47217906,0.35485584,0.55009663,0.5295919,0.28776288,0.48953825,0.41339988,0.33119202,0.56769365,1.117029,0.83554476,0.48943442,0.23490512,0.23011738,0.5278896
nucl1643,1.0797654,0.78410786,0.7480868,0.7341882,0.81598604,0.8696089,0.5683491,0.77053475,0.47915268,0.64649355,0.7981904,1.0325489,0.8919638,0.51987576,0.22622883,0.6533354,0.6897688,0.78752613,0.44868517,0.34186208,0.93172634,0.70914507,0.5856211,0.20404857,0.80648583,5.9604645e-08,0.80937874,0.9038485,0.7717848,0.70311123,0.93038076,0.8292055,0.74885595,0.90610754,0.6811879,0.20968169,0.2007209,0.71165305,0.6972203,0.91268456,0.577163
poli1260,0.3331684,0.5803905,0.26376837,0.27603018,0.39573908,0.15155327,0.09966475,0.14258653,0.3267355,0.16836518,0.0994097,0.30917645,0.20164657,0.20463717,0.6324526,0.17971516,0.25999635,0.48536462,0.54377747,0.55448437,0.08460343,0.10921651,0.36099482,0.57633203,0.47217906,0.80937874,0.0,0.25068015,0.08167142,0.14696068,0.36708957,0.25135297,0.18195009,0.35844547,0.2767014,0.783478,0.55732465,0.050456285,0.64455247,0.3452015,0.3892454
port1283,0.6598307,0.39873052,0.51115894,0.17678356,0.3461029,0.38037044,0.24725741,0.16581446,0.4521398,0.34970343,0.19814664,0.1381318,0.029396951,0.31485087,0.73544383,0.31826097,0.40859586,0.24983537,0.43971628,0.8321779,0.14892995,0.42308235,0.51377296,0.737409,0.35485584,0.9038485,0.25068015,0.0,0.14504504,0.16222346,0.117580295,0.11995381,0.07977396,0.38505036,0.16084671,1.0280062,0.7280602,0.1848017,0.48556638,0.17121178,0.46035147
russ1263,0.44623333,0.55539167,0.32713616,0.1737588,0.30925375,0.2254147,0.10796583,0.1790399,0.23924059,0.19711924,0.102499664,0.3007068,0.112676024,0.1819135,0.5996133,0.18008357,0.22519046,0.2786451,0.50544715,0.49685484,0.059890807,0.19042039,0.29410893,0.5146178,0.55009663,0.7717848,0.08167142,0.14504504,5.9604645e-08,0.07437605,0.3070802,0.123639464,0.09154004,0.45944357,0.17022806,0.7663028,0.5305851,0.045312405,0.6518246,0.36215776,0.38706654
