,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,1.7881393e-07,0.28968847,0.13741994,0.17386854,0.09339172,0.14727706,0.106184185,0.12139171,0.1338383,0.07569349,0.13930023,0.24215329,0.13459021,0.11879468,0.14256757,0.14657491,0.1697362,0.20985818,0.16992033,0.23180819,0.07873601,0.08049047,0.08096874,0.24307907,0.25352257,0.2636798,0.065550745,0.16399193,0.12105125,0.10465509,0.2020393,0.22104937,0.11437887,0.11273849,0.14264363,0.34157085,0.22540623,0.083533466,0.30124944,0.17029124,0.14235246
copt1239,0.28968847,5.9604645e-08,0.12300229,0.16057384,0.13356984,0.19924664,0.14440602,0.06591982,0.24995184,0.15955019,0.13759845,0.0736441,0.11830765,0.17520154,0.2605698,0.15833366,0.23353946,0.1782785,0.062119007,0.35445255,0.17222512,0.17622328,0.29545403,0.31768185,0.02317518,0.31570923,0.1591456,0.09441435,0.14517224,0.10806608,0.045562565,0.087975025,0.114218,0.08179873,0.13121265,0.4922415,0.3347472,0.13553578,0.054291606,0.06886017,0.13212395
czec1258,0.13741994,0.12300229,0.0,0.09213352,0.056711137,0.06452811,0.0301947,0.029214442,0.0607121,0.039149582,0.06728071,0.15916342,0.06302637,0.052543342,0.117991805,0.020338774,0.030525744,0.057732284,0.12962484,0.15445411,0.04916352,0.035443008,0.084029675,0.11563069,0.1579805,0.16232371,0.04572755,0.10744971,0.059140205,0.046189606,0.11294031,0.08618003,0.05727607,0.07211214,0.07277858,0.22018933,0.12214154,0.053593516,0.23011094,0.12866288,0.01173687
dani1285,0.17386854,0.16057384,0.09213352,1.1920929e-07,0.043393016,0.03646946,0.0354262,0.059337497,0.13098013,0.08074182,0.0094181895,0.091466665,0.018998563,0.05195719,0.1787808,0.04149133,0.0920409,0.031860292,0.1302622,0.24172336,0.031448305,0.06745356,0.13324606,0.24965227,0.1605348,0.25482726,0.040867567,0.040713787,0.012048304,0.025776982,0.08229685,0.021338046,0.018313468,0.081392825,0.005758524,0.38558698,0.21830451,0.033827543,0.19231302,0.08844119,0.10820562
dutc1256,0.09339172,0.13356984,0.056711137,0.043393016,0.0,0.058894694,0.019200206,0.034500778,0.073325455,0.025635242,0.034560323,0.13477188,0.043183327,0.03917247,0.10222232,0.047811806,0.07365382,0.066958606,0.08798528,0.15509081,0.02496159,0.023399651,0.06720281,0.16104192,0.15143406,0.16804338,0.016060352,0.070693314,0.03375131,0.024569035,0.094709754,0.05745071,0.025302768,0.07199377,0.035150826,0.289047,0.14369595,0.03143686,0.1870681,0.10032523,0.05115491
faro1244,0.14727706,0.19924664,0.06452811,0.03646946,0.058894694,0.0,0.041379213,0.07497156,0.12170851,0.08584726,0.020672023,0.12503946,0.0388003,0.07049835,0.20530361,0.026162446,0.060272872,0.03394097,0.19388968,0.23618102,0.024502635,0.060445964,0.121858716,0.2344389,0.20682192,0.27987885,0.038182557,0.07201469,0.029828787,0.043716908,0.11735833,0.05066973,0.042967618,0.096639454,0.03748995,0.3544469,0.21822178,0.045325458,0.27490944,0.124902904,0.09336847
finn1318,0.106184185,0.14440602,0.0301947,0.0354262,0.019200206,0.041379213,0.0,0.02315098,0.0422495,0.014581442,0.026051044,0.13647038,0.03454572,0.010302901,0.078917325,0.01845634,0.03896475,0.037573695,0.09636921,0.12524652,0.015299201,0.008660436,0.051338136,0.1253494,0.16190606,0.14202207,0.009040594,0.070746005,0.018088043,0.014250755,0.103343666,0.055483818,0.017977178,0.060848117,0.025591612,0.23964888,0.110948205,0.016473413,0.19970328,0.10108429,0.029839814
hebr1245,0.12139171,0.06591982,0.029214442,0.059337497,0.034500778,0.07497156,0.02315098,1.7881393e-07,0.08869374,0.029818952,0.041081727,0.083411574,0.030344665,0.040811837,0.11166459,0.04165715,0.0850057,0.06969231,0.04845035,0.19258422,0.037798584,0.037887037,0.10598719,0.1731267,0.07537842,0.18662852,0.029789865,0.047573924,0.034801424,0.015061319,0.04604143,0.04941231,0.020915389,0.021591663,0.03646213,0.31019258,0.16833317,0.022660494,0.11752498,0.048820198,0.03458351
hind1269,0.1338383,0.24995184,0.0607121,0.13098013,0.073325455,0.12170851,0.0422495,0.08869374,0.0,0.027180076,0.12334961,0.29730678,0.13654917,0.03661841,0.028318644,0.06961608,0.042436063,0.09693664,0.17454433,0.03613478,0.07707733,0.024844706,0.016527891,0.03870511,0.30024344,0.061932445,0.06310195,0.20025522,0.10091293,0.08991355,0.23858392,0.17415684,0.10401946,0.15700418,0.11933243,0.10062188,0.030317664,0.08544105,0.33468086,0.23468971,0.034504056
hung1274,0.07569349,0.15955019,0.039149582,0.08074182,0.025635242,0.08584726,0.014581442,0.029818952,0.027180076,0.0,0.06551027,0.18623137,0.06976688,0.016531348,0.040924013,0.04957688,0.05888617,0.08446163,0.08594167,0.09409201,0.036117136,0.0069871545,0.027935863,0.094106615,0.1792919,0.104157746,0.019251943,0.11101186,0.05021733,0.035802245,0.13458502,0.107079804,0.040662825,0.07279259,0.06341785,0.19690037,0.08295888,0.032298446,0.2099083,0.12666655,0.025479078
