,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,1.166863,0.9600794,1.1578482,0.9321478,1.1626579,0.9052752,1.1977448,1.1502634,0.8748301,0.9526704,1.1245813,1.0221413,1.0869644,1.0819814,0.85853213,1.280577,1.0780308,1.078857,0.89688724,1.1107454,1.1754149,0.9251198,1.0134985,0.9854749,1.102926,1.1729982,0.8791934,0.9604946,1.1858859,1.0570097,0.8620338,1.1790235,0.9103082,1.0892884,1.1330678,1.1962996,1.1511598,0.954864,0.9109944,0.823051
copt1239,1.166863,0.0,0.878701,1.0005555,0.91167116,1.0063162,1.0846434,1.110233,0.96199656,0.92348605,1.0130398,1.0496519,0.96622574,1.0687457,1.075423,1.2074574,0.97789806,1.163059,0.98185205,0.94384015,1.006719,1.0481153,1.2214602,0.8483083,0.8793441,0.90901,0.96711576,1.0248886,0.8897424,0.99946266,0.9351089,1.119763,1.0758734,0.90115607,0.7607312,0.90868294,0.92123705,0.8907381,1.0968261,1.1747901,0.9098229
czec1258,0.9600794,0.878701,1.1920929e-07,0.92891926,0.8192953,0.9579325,0.9762716,1.0962086,1.0480446,1.1411548,1.0314214,1.1997256,1.2766128,1.1574069,0.92526513,1.0997512,1.0148419,0.7508468,1.073293,0.9449788,0.83626014,0.893099,0.98037946,1.0835693,1.0982329,1.0939506,1.2768786,0.997996,1.03706,0.9076705,0.9025295,0.8362739,1.0136923,1.25343,0.9137118,1.121143,1.228032,0.8852309,1.0348326,0.8575532,0.9623209
dani1285,1.1578482,1.0005555,0.92891926,5.9604645e-08,1.0324367,0.9063649,0.89079034,1.0307302,0.9474784,0.936621,1.0690331,1.1361121,1.0773774,1.1145557,0.935503,0.9894313,0.9431925,0.9882188,1.0657573,0.9451133,0.8664023,0.8511597,1.1660683,1.210839,1.0202596,0.7553116,0.9351513,0.95018363,0.96924174,0.8513866,1.0126908,1.0680383,1.066932,1.2989155,1.014334,0.9221295,0.7576984,1.0296924,0.74165905,1.1671796,1.1430789
dutc1256,0.9321478,0.91167116,0.8192953,1.0324367,0.0,0.91679364,1.0654287,1.1582068,1.0938013,1.0208776,1.0751908,1.0172257,1.2330443,1.0772052,1.2442698,1.0473006,0.8311342,1.1701956,1.0524698,0.9569123,0.8232089,0.8883734,0.9497474,0.77017653,0.89311576,1.1666659,1.0183545,1.1926786,1.1245708,1.0129911,0.98812366,0.815016,1.0876868,0.82496595,1.0639768,0.93784714,0.9104693,1.1148973,0.871348,1.1143485,0.98408633
faro1244,1.1626579,1.0063162,0.9579325,0.9063649,0.91679364,0.0,1.000513,0.8380097,0.986249,1.0621147,0.88245606,0.9482203,1.0764874,1.1132126,1.0349717,1.1558222,0.85282964,1.2299925,0.969969,0.82959616,0.68278146,0.9064211,1.2338965,0.9821661,1.1805432,1.1087337,0.97133714,0.92414826,1.1414347,0.8274096,0.9362098,0.9934706,0.97984827,1.0560459,0.8874084,0.7607833,0.80614036,1.2042204,1.2085543,1.109675,0.942205
finn1318,0.9052752,1.0846434,0.9762716,0.89079034,1.0654287,1.000513,0.0,1.0260661,0.9159013,0.98732114,0.92578804,0.95564526,0.9593004,1.1917287,0.81513816,0.97323805,0.9611879,0.92380226,0.9298717,1.0527185,0.96999735,1.0424632,1.0601605,0.7595329,0.9867158,1.027517,0.88356435,1.1142017,0.9382604,1.1232107,0.9260085,1.1581407,0.9055011,1.1903923,1.0317295,0.989782,0.9293194,0.84281087,0.835653,0.9462474,0.8878586
hebr1245,1.1977448,1.110233,1.0962086,1.0307302,1.1582068,0.8380097,1.0260661,0.0,1.1682421,1.2498198,0.9314652,1.1127613,0.9834003,0.9840552,0.93172663,0.8706738,0.9209436,0.94741464,1.0795346,1.0603533,0.8362968,0.8687029,1.1170157,0.8992116,0.9024477,1.0408432,0.9345826,0.9131354,1.0653853,1.0279412,1.012575,1.2293259,0.8586579,0.9842475,0.85960674,1.1281189,1.0728201,0.74986225,1.3060715,0.9947652,0.9071253
hind1269,1.1502634,0.96199656,1.0480446,0.9474784,1.0938013,0.986249,0.9159013,1.1682421,0.0,1.3332123,0.7549561,0.87953734,0.7559382,0.8007091,1.1783059,1.1222951,0.8448794,1.1340991,0.9217733,1.178421,1.109601,0.86023587,1.0846384,0.9016009,1.0182687,1.0235342,0.8764196,1.0722368,0.94671386,0.9587092,1.1833392,1.1246711,1.1397402,0.9136263,0.829831,0.97902864,0.804831,1.1867194,0.9226407,1.1342658,0.8050559
hung1274,0.8748301,0.92348605,1.1411548,0.936621,1.0208776,1.0621147,0.98732114,1.2498198,1.3332123,5.9604645e-08,1.1244413,0.91442907,1.1544073,1.0552466,0.93365866,0.831821,1.238912,1.137061,1.059398,1.064439,1.0460182,1.2637222,0.8336046,0.998671,0.8522707,0.9055589,0.7526717,0.9760879,0.89107865,0.85577655,0.7407648,1.0302904,1.0053767,0.9690803,1.2421497,0.8592341,1.2143577,0.98082054,0.7634943,1.0137564,1.1012218
