,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.02630651,0.00087994337,0.0063735843,0.010349989,0.0093483925,0.005804062,0.015274763,0.0044801235,0.0069049597,0.0049076676,0.0027789474,0.003096044,0.010320663,0.009361327,0.00019294024,0.0008544326,0.007324934,0.05068195,0.0069337487,0.0077736974,0.0037754178,0.00489223,0.007358849,0.02727431,0.013456762,0.0038042665,0.006170094,0.006657064,0.00092095137,0.008305073,0.006141126,0.015363038,0.00734818,0.009302437,0.011352122,0.011801481,0.00058573484,0.06975192,0.013600111,0.0071234107
copt1239,0.02630651,2.9802322e-07,0.027368426,0.008594215,0.00441736,0.0049207807,0.012878001,0.00410378,0.031534493,0.017369151,0.00927043,0.012634397,0.011675358,0.01414901,0.024136186,0.029391706,0.027556777,0.011686623,0.009508967,0.033324838,0.0070585012,0.017753184,0.013181448,0.023556292,0.002364099,0.025930583,0.032296836,0.0077366233,0.0577358,0.021968126,0.006178975,0.01226902,0.00288558,0.016603589,0.0049285293,0.036468863,0.054434896,0.01955551,0.0129932165,0.0033216476,0.008650005
czec1258,0.00087994337,0.027368426,0.0,0.007327318,0.012289107,0.011374176,0.009408355,0.013844192,0.008767307,0.011666298,0.0068657994,0.0033451319,0.0036650896,0.015415072,0.015007794,0.0006713271,0.003258586,0.0054998994,0.056158185,0.0119488835,0.0075626373,0.0073447227,0.008198202,0.01259166,0.02555108,0.02000904,0.0012645721,0.00618279,0.00598377,0.003066957,0.008077145,0.0044303536,0.018227518,0.005466044,0.009865344,0.017801464,0.017578602,0.0018828511,0.07419479,0.013073266,0.010143638
dani1285,0.0063735843,0.008594215,0.007327318,0.0,0.001116097,0.0012592673,0.003197968,0.0051220655,0.010108054,0.00632149,0.0010448694,0.0019187927,0.0014244914,0.0059271455,0.0095668435,0.008292437,0.0077568293,0.004756689,0.024288774,0.011813164,0.002458334,0.004519522,0.0029519796,0.008574903,0.01079607,0.011859,0.010552049,0.0012038946,0.024094105,0.0041276217,0.0010091662,0.0037518144,0.0035149455,0.008289516,0.0006096959,0.015853345,0.02499789,0.0037759542,0.036953807,0.0035663843,0.0024410486
dutc1256,0.010349989,0.00441736,0.012289107,0.001116097,0.0,8.7976456e-05,0.0027874112,0.0043060184,0.012842357,0.005565524,0.001147151,0.0034143925,0.0028262138,0.004352987,0.009548187,0.012711942,0.010756493,0.0062972307,0.016377568,0.01426059,0.0025743246,0.0050851107,0.00283736,0.0088323355,0.008055687,0.011380672,0.017099857,0.0018794537,0.032886446,0.0069792867,0.001578033,0.0058250427,0.0006941557,0.010005593,0.0005694032,0.017213583,0.029079378,0.0062939525,0.026908696,0.0025539398,0.0012844205
faro1244,0.0093483925,0.0049207807,0.011374176,0.0012592673,8.7976456e-05,0.0,0.002193749,0.004350722,0.011867166,0.004688263,0.0007494688,0.0028460026,0.002342999,0.0038415194,0.008769512,0.011527121,0.009536505,0.0057940483,0.017549038,0.0133674145,0.0022605658,0.004239142,0.0021989346,0.007955492,0.008518577,0.010820746,0.016439736,0.00165236,0.0313524,0.0062479973,0.0016432405,0.0054376125,0.00081276894,0.009065151,0.00073355436,0.01621449,0.027442455,0.005417466,0.028441906,0.0026129484,0.0007801652
finn1318,0.005804062,0.012878001,0.009408355,0.003197968,0.0027874112,0.002193749,0.0,0.011434078,0.004399061,0.0005657077,0.0009893179,0.0035088658,0.0032078028,0.0008197427,0.002470851,0.0075351596,0.00412488,0.009811878,0.024252474,0.005209267,0.0060785413,0.00046801567,4.5835972e-05,0.0018690825,0.018824995,0.004190147,0.016099513,0.0046360493,0.023682415,0.0026180744,0.005746722,0.009051025,0.003965676,0.012233973,0.0044300556,0.0067943335,0.014653027,0.0029987097,0.039779723,0.008780003,0.0005480647
hebr1245,0.015274763,0.00410378,0.013844192,0.0051220655,0.0043060184,0.004350722,0.011434078,0.0,0.026026547,0.016447425,0.006070316,0.005454719,0.0050236583,0.015984535,0.024108946,0.016924202,0.01864326,0.0024001598,0.02530235,0.029361963,0.0015328526,0.014280856,0.0108991265,0.022266448,0.0018504262,0.028196573,0.015824199,0.0022947788,0.037812233,0.0146029,0.0016975999,0.0028759837,0.0058456063,0.005128503,0.0024864674,0.034946144,0.04682046,0.011163712,0.03130603,0.00027507544,0.0075939894
hind1269,0.0044801235,0.031534493,0.008767307,0.010108054,0.012842357,0.011867166,0.004399061,0.026026547,1.1920929e-07,0.003358066,0.007420659,0.009077251,0.00904721,0.0054243803,0.0020510554,0.005388856,0.0018897057,0.018987238,0.044806063,0.00028443336,0.016357303,0.0022965074,0.0042179227,0.0014651418,0.03862703,0.0037119389,0.015421212,0.013383329,0.013157845,0.002182901,0.015642822,0.017162025,0.016225755,0.020546556,0.014443755,0.0016379952,0.0033820271,0.004340589,0.067288935,0.022551179,0.0078056455
hung1274,0.0069049597,0.017369151,0.011666298,0.00632149,0.005565524,0.004688263,0.0005657077,0.016447425,0.003358066,1.1920929e-07,0.002882719,0.0058916807,0.0057187676,0.0006566644,0.0012546182,0.008582652,0.0040454865,0.013936758,0.027168155,0.0038104653,0.009602547,0.0005351305,0.0007067919,0.00076794624,0.024935901,0.0027054548,0.019551456,0.008013189,0.024190605,0.0034073591,0.009698808,0.013151467,0.0064477324,0.01578033,0.008071721,0.0044391155,0.0113784075,0.0042569637,0.044256687,0.013224065,0.001788199
