,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.03220886,0.0012792945,0.008372724,0.012584567,0.010762215,0.010143518,0.020136595,0.0033976436,0.00912565,0.0073197484,0.0040050745,0.006245315,0.011402786,0.007033646,0.0008023977,0.0016176105,0.008047044,0.061667204,0.00603354,0.012665033,0.0057452917,0.005246043,0.0053616166,0.042202473,0.012777567,0.0058359504,0.012470007,0.005096078,0.0019776225,0.012240469,0.0074296594,0.019479513,0.00915581,0.013591766,0.0073935986,0.009704173,0.0019052029,0.07452935,0.0115817785,0.0107655525
copt1239,0.03220886,0.0,0.024413645,0.008897901,0.0058508515,0.0060787797,0.011370659,0.008124411,0.03415537,0.010877788,0.009683907,0.014542282,0.012987852,0.0175668,0.01857233,0.027029216,0.022751033,0.017513275,0.008485556,0.035954535,0.0052292943,0.024289906,0.015568316,0.029099524,0.007905722,0.026679277,0.039556265,0.0056869984,0.058917522,0.021169186,0.007512033,0.014946938,0.0027747154,0.015493691,0.0049182773,0.037026167,0.038995445,0.019022107,0.009454906,0.007698238,0.007911921
czec1258,0.0012792945,0.024413645,5.9604645e-08,0.005243838,0.009548068,0.007019818,0.008806825,0.012159646,0.006474972,0.0076898932,0.0049650073,0.0017645955,0.0031756759,0.012012124,0.007175803,0.00075674057,0.0018645525,0.0039316416,0.053463936,0.0094207525,0.007626593,0.007369101,0.004609406,0.007646203,0.030248284,0.015001893,0.0039868355,0.0071211457,0.0077685714,0.002229035,0.0069588423,0.0030802488,0.015138805,0.00467515,0.008084953,0.011056006,0.013884187,0.0010859966,0.06340587,0.006223738,0.008387506
dani1285,0.008372724,0.008897901,0.005243838,0.0,0.0012655854,0.0010291934,0.0038704276,0.007849991,0.010959327,0.0037313104,0.0014423728,0.002210915,0.0032052398,0.00760597,0.005600333,0.006789863,0.005397558,0.007078171,0.027045012,0.013216317,0.0017594695,0.008268118,0.0034438372,0.009944081,0.018435717,0.011787593,0.015098393,0.0015608072,0.024712086,0.004153788,0.0030211806,0.003986478,0.0042667985,0.006279707,0.0013270974,0.014422059,0.017328858,0.003134191,0.034835458,0.0028384924,0.002737224
dutc1256,0.012584567,0.0058508515,0.009548068,0.0012655854,0.0,0.0005789399,0.0017763376,0.009911358,0.012264729,0.0021853447,0.0012202859,0.004309237,0.004956186,0.004599154,0.004472792,0.010048091,0.0070340037,0.0102184415,0.01899451,0.013610542,0.0023171306,0.0073493123,0.0030685067,0.009730041,0.019418836,0.009251595,0.023385048,0.002725482,0.032849133,0.005567193,0.004550576,0.007839918,0.0012736917,0.009409368,0.0020094514,0.014371276,0.016132474,0.005251527,0.027021348,0.0044175386,0.0010690689
faro1244,0.010762215,0.0060787797,0.007019818,0.0010291934,0.0005789399,0.0,0.00194031,0.0066399574,0.012022316,0.0019720793,0.00054067373,0.002566278,0.0028163195,0.0055562854,0.004457295,0.0077285767,0.005539298,0.0065398216,0.0223521,0.013693213,0.0011026859,0.007202506,0.0025331974,0.009625375,0.016527414,0.010832906,0.01887852,0.0013118982,0.02877003,0.0046525598,0.0026081204,0.0050013065,0.0017508268,0.0061079264,0.000962317,0.014726281,0.016581476,0.003750205,0.029496968,0.002243042,0.0009275675
finn1318,0.010143518,0.011370659,0.008806825,0.0038704276,0.0017763376,0.00194031,1.1920929e-07,0.014675617,0.0071409345,0.0013065934,0.0011906624,0.0046821833,0.0056832433,0.0009824634,0.0010658503,0.0071903467,0.004205227,0.010926962,0.025020182,0.007521689,0.005538225,0.0025469065,0.00084227324,0.004391551,0.028576195,0.004356265,0.02395475,0.006277323,0.028415501,0.003219545,0.007980049,0.010474324,0.0033480525,0.011302173,0.00539124,0.007945001,0.008463025,0.003952503,0.036143184,0.0073592663,0.001050055
hebr1245,0.020136595,0.008124411,0.012159646,0.007849991,0.009911358,0.0066399574,0.014675617,0.0,0.029863,0.011135876,0.008513689,0.0070831776,0.004981816,0.023012936,0.019776583,0.01620543,0.015368819,0.004197657,0.03273809,0.034008026,0.0028080344,0.023570657,0.014227331,0.027702272,0.0045726895,0.033325374,0.016840577,0.0025317073,0.03510624,0.016006708,0.0016605854,0.0035088062,0.009074211,0.0031173825,0.004113674,0.03628403,0.039338768,0.011914134,0.031564116,0.0016068816,0.009510636
hind1269,0.0033976436,0.03415537,0.006474972,0.010959327,0.012264729,0.012022316,0.0071409345,0.029863,0.0,0.009159565,0.008270502,0.008514702,0.011836708,0.005463183,0.0030711293,0.0033938885,0.0028957725,0.01660657,0.055465043,0.00042301416,0.017534375,0.0016807318,0.004014015,0.0006312132,0.053802133,0.00409317,0.017559648,0.017774701,0.012326598,0.0022315383,0.019250095,0.016082585,0.019109964,0.018312871,0.017171502,0.00082856417,0.0018353462,0.0042618513,0.07325387,0.018177867,0.010740817
hung1274,0.00912565,0.010877788,0.0076898932,0.0037313104,0.0021853447,0.0019720793,0.0013065934,0.011135876,0.009159565,0.0,0.0008225441,0.002759695,0.0028461814,0.0031647086,0.0033351183,0.00697577,0.0035805702,0.0070593357,0.028491616,0.010805786,0.0036363602,0.0040971637,0.0014953017,0.00691092,0.024711072,0.008821785,0.020268679,0.0047218204,0.026235878,0.0034370422,0.0049149394,0.007332206,0.003001213,0.0070331097,0.0053041577,0.011647522,0.0120716095,0.003359139,0.0366531,0.004860878,0.00030106306
