,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.18877551,0.025510205,0.08163265,0.12755102,0.10204082,0.05612245,0.14285715,0.05102041,0.05102041,0.05102041,0.05102041,0.06632653,0.071428575,0.08163265,0.015306123,0.020408163,0.12244898,0.21428572,0.07653061,0.10204082,0.05102041,0.045918368,0.071428575,0.1734694,0.10714286,0.07653061,0.08163265,0.05102041,0.010204081,0.10204082,0.10204082,0.1377551,0.1122449,0.12244898,0.091836736,0.08163265,0.015306123,0.22959183,0.13265306,0.071428575
copt1239,0.18877551,0.0,0.18367347,0.11734694,0.06122449,0.0867347,0.14285715,0.06632653,0.18877551,0.14795919,0.1377551,0.1377551,0.12244898,0.11734694,0.1377551,0.18367347,0.17857143,0.12755102,0.06632653,0.19387755,0.096938774,0.14795919,0.14285715,0.14795919,0.05612245,0.1632653,0.20408164,0.10714286,0.23979592,0.17857143,0.0867347,0.11734694,0.05102041,0.15816326,0.06632653,0.18877551,0.22959183,0.1734694,0.06122449,0.05612245,0.11734694
czec1258,0.025510205,0.18367347,0.0,0.07653061,0.12244898,0.10714286,0.071428575,0.1377551,0.06632653,0.07653061,0.05612245,0.05612245,0.06122449,0.0867347,0.096938774,0.030612245,0.045918368,0.096938774,0.21938775,0.091836736,0.096938774,0.06632653,0.06122449,0.0867347,0.16836734,0.12244898,0.05102041,0.07653061,0.05612245,0.025510205,0.096938774,0.07653061,0.14285715,0.096938774,0.11734694,0.10714286,0.10714286,0.030612245,0.23469388,0.12755102,0.0867347
dani1285,0.08163265,0.11734694,0.07653061,0.0,0.05612245,0.071428575,0.0867347,0.10204082,0.1122449,0.091836736,0.05102041,0.06122449,0.045918368,0.071428575,0.091836736,0.0867347,0.091836736,0.10204082,0.15306123,0.11734694,0.071428575,0.08163265,0.07653061,0.08163265,0.12244898,0.096938774,0.096938774,0.05102041,0.13265306,0.071428575,0.06122449,0.08163265,0.096938774,0.12244898,0.06122449,0.12244898,0.15306123,0.07653061,0.15816326,0.08163265,0.08163265
dutc1256,0.12755102,0.06122449,0.12244898,0.05612245,0.0,0.025510205,0.10204082,0.05612245,0.14795919,0.11734694,0.07653061,0.07653061,0.06122449,0.0867347,0.11734694,0.13265306,0.12755102,0.096938774,0.10714286,0.15306123,0.045918368,0.10714286,0.10204082,0.10714286,0.06632653,0.13265306,0.14285715,0.045918368,0.17857143,0.11734694,0.045918368,0.07653061,0.040816326,0.12755102,0.025510205,0.15816326,0.18877551,0.1122449,0.1122449,0.035714287,0.0867347
faro1244,0.10204082,0.0867347,0.10714286,0.071428575,0.025510205,0.0,0.07653061,0.071428575,0.12244898,0.091836736,0.05102041,0.06122449,0.045918368,0.071428575,0.10204082,0.10714286,0.10204082,0.091836736,0.12244898,0.1377551,0.040816326,0.08163265,0.07653061,0.091836736,0.08163265,0.11734694,0.1377551,0.040816326,0.15306123,0.091836736,0.05102041,0.08163265,0.035714287,0.12244898,0.040816326,0.14285715,0.1632653,0.0867347,0.12755102,0.05102041,0.06122449
finn1318,0.05612245,0.14285715,0.071428575,0.0867347,0.10204082,0.07653061,0.0,0.11734694,0.05612245,0.015306123,0.035714287,0.06632653,0.06122449,0.025510205,0.045918368,0.05102041,0.045918368,0.11734694,0.16836734,0.08163265,0.0867347,0.0051020407,0.010204081,0.025510205,0.1377551,0.071428575,0.12244898,0.07653061,0.10714286,0.045918368,0.096938774,0.11734694,0.091836736,0.1377551,0.096938774,0.0867347,0.0867347,0.040816326,0.18367347,0.10714286,0.035714287
hebr1245,0.14285715,0.06632653,0.1377551,0.10204082,0.05612245,0.071428575,0.11734694,0.0,0.1632653,0.13265306,0.091836736,0.091836736,0.07653061,0.13265306,0.15306123,0.1377551,0.13265306,0.06122449,0.13265306,0.18877551,0.05102041,0.12244898,0.11734694,0.14285715,0.030612245,0.17857143,0.15816326,0.06122449,0.19387755,0.13265306,0.040816326,0.06122449,0.07653061,0.091836736,0.040816326,0.19387755,0.20408164,0.12755102,0.12755102,0.020408163,0.1122449
hind1269,0.05102041,0.18877551,0.06632653,0.1122449,0.14795919,0.12244898,0.05612245,0.1632653,0.0,0.06122449,0.071428575,0.091836736,0.096938774,0.071428575,0.05102041,0.05612245,0.05102041,0.15306123,0.21428572,0.025510205,0.13265306,0.05102041,0.045918368,0.05102041,0.19387755,0.06632653,0.11734694,0.1122449,0.08163265,0.040816326,0.13265306,0.14285715,0.1377551,0.15306123,0.14285715,0.040816326,0.040816326,0.045918368,0.22959183,0.15306123,0.08163265
hung1274,0.05102041,0.14795919,0.07653061,0.091836736,0.11734694,0.091836736,0.015306123,0.13265306,0.06122449,0.0,0.040816326,0.06122449,0.06632653,0.030612245,0.040816326,0.05612245,0.040816326,0.12244898,0.1734694,0.0867347,0.10204082,0.010204081,0.015306123,0.030612245,0.15306123,0.07653061,0.12755102,0.08163265,0.10204082,0.05102041,0.10204082,0.12244898,0.096938774,0.13265306,0.1122449,0.091836736,0.08163265,0.045918368,0.18877551,0.12244898,0.030612245
