,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.19256645,0.0667724,0.08514744,0.055413842,0.054274917,0.05472976,0.080335796,0.07670915,0.040311813,0.059027255,0.12964904,0.09749442,0.07005137,0.08681464,0.07569283,0.069042385,0.11219013,0.12551486,0.12983477,0.038507044,0.032752275,0.06832546,0.12801886,0.16747886,0.15557343,0.09179467,0.0909909,0.08202869,0.05595547,0.11588222,0.11078608,0.08000231,0.08848858,0.08177024,0.19560933,0.13250154,0.04183048,0.21757352,0.10135478,0.06973404
copt1239,0.19256645,0.0,0.11480254,0.09747553,0.06813544,0.09481305,0.08571166,0.04631543,0.20851141,0.10269976,0.07971263,0.05596775,0.08455235,0.1044544,0.17270362,0.10331488,0.120500445,0.078716874,0.045691967,0.24146569,0.10316908,0.1148808,0.14613104,0.20246893,0.013252139,0.20848447,0.24088198,0.06099516,0.2068466,0.15717942,0.04434955,0.0614267,0.046165645,0.10904688,0.07552338,0.31113178,0.27806157,0.10625315,0.0322634,0.044623137,0.090470195
czec1258,0.0667724,0.11480254,5.9604645e-08,0.056957662,0.04652953,0.024768233,0.031080842,0.044759154,0.05003929,0.034273446,0.04321301,0.095730126,0.0614053,0.048227668,0.08103162,0.008913994,0.013143063,0.047197044,0.11058009,0.09429389,0.030440211,0.024559319,0.061655343,0.07729,0.11646718,0.10631621,0.093979,0.06110668,0.06216669,0.049092233,0.07133871,0.047991216,0.049909353,0.08200073,0.052072406,0.1453116,0.08956921,0.03344989,0.18281382,0.079006135,0.019523144
dani1285,0.08514744,0.09747553,0.056957662,1.7881393e-07,0.03204459,0.022224784,0.038555145,0.030573547,0.094209075,0.0558542,0.024974346,0.040112674,0.009953678,0.052422345,0.11402303,0.04482746,0.06008011,0.05515629,0.07195848,0.15737313,0.017926633,0.046494365,0.10042912,0.15428501,0.082585335,0.1711371,0.06966519,0.014168501,0.03760606,0.029366732,0.03594935,0.014556408,0.020730495,0.05644071,0.011582732,0.25532818,0.18009388,0.013070762,0.117500305,0.039792657,0.06660718
dutc1256,0.055413842,0.06813544,0.04652953,0.03204459,0.0,0.01961267,0.01570791,0.02977091,0.081514835,0.018268645,0.011750162,0.0668177,0.045990765,0.029005826,0.076052964,0.0375849,0.04050505,0.03677261,0.04590553,0.117655516,0.021494925,0.023364544,0.042848587,0.10205692,0.069390416,0.122434735,0.13062185,0.035881102,0.09499425,0.06410223,0.047749817,0.03841567,0.010382175,0.08340168,0.016052663,0.18677622,0.1448847,0.027494311,0.10022795,0.044985473,0.031662762
faro1244,0.054274917,0.09481305,0.024768233,0.022224784,0.01961267,1.1920929e-07,0.014434755,0.034347236,0.06845552,0.025879145,0.008735836,0.0648818,0.034196794,0.026251614,0.08628476,0.015907526,0.020465195,0.029907763,0.07723421,0.11604214,0.0065211058,0.022011995,0.049431622,0.09916186,0.09668511,0.13090569,0.09383947,0.032550037,0.059059143,0.044434845,0.05467826,0.029417217,0.015387297,0.075009525,0.012535155,0.1795196,0.13323456,0.015532732,0.14155662,0.052230418,0.032195866
finn1318,0.05472976,0.08571166,0.031080842,0.038555145,0.01570791,0.014434755,5.9604645e-08,0.040440142,0.046847463,0.005584419,0.009162664,0.08744967,0.059149086,0.004270971,0.039410353,0.020931125,0.01914388,0.02952081,0.05087787,0.07329178,0.022781968,0.008472979,0.022031963,0.05677706,0.091703355,0.07527202,0.12949473,0.0504508,0.08475298,0.05833,0.07069075,0.051132202,0.015724123,0.093127966,0.020851672,0.12690282,0.09411591,0.02227521,0.12466729,0.06414515,0.01567781
hebr1245,0.080335796,0.04631543,0.044759154,0.030573547,0.02977091,0.034347236,0.040440142,0.0,0.1063928,0.045561194,0.039125383,0.024746895,0.022024333,0.064668715,0.10639554,0.05130166,0.06757665,0.06584704,0.03964597,0.16730458,0.026297152,0.040018022,0.107480526,0.15467918,0.027354598,0.16280478,0.0852195,0.011767089,0.07286435,0.039548755,0.010016382,0.018624127,0.021027207,0.024152815,0.036407232,0.26207793,0.18249744,0.022063434,0.06440401,0.009397268,0.041140854
hind1269,0.07670915,0.20851141,0.05003929,0.094209075,0.081514835,0.06845552,0.046847463,0.1063928,0.0,0.03906578,0.08337319,0.19283503,0.13119602,0.046629667,0.024842799,0.056082606,0.047994256,0.09788799,0.12948114,0.018486202,0.07492268,0.02878654,0.055580795,0.030574024,0.20718437,0.03804195,0.11463547,0.13245142,0.07388008,0.06349534,0.15817285,0.12193942,0.09962386,0.14702147,0.095754266,0.072436094,0.021182358,0.06204146,0.24793547,0.15997511,0.03417188
hung1274,0.040311813,0.10269976,0.034273446,0.0558542,0.018268645,0.025879145,0.005584419,0.045561194,0.03906578,1.7881393e-07,0.021933615,0.10463816,0.07575393,0.012292266,0.028472781,0.033129573,0.027713656,0.051144898,0.05343747,0.06411821,0.030645192,0.003673792,0.02206403,0.05182606,0.102965415,0.066238046,0.12760574,0.064723074,0.09197456,0.05829239,0.08050388,0.0702976,0.029014468,0.09348506,0.03984964,0.11731285,0.078727424,0.028063059,0.13397884,0.07256544,0.011804521
icel1247,0.059027255,0.07971263,0.04321301,0.024974346,0.011750162,0.008735836,0.009162664,0.039125383,0.08337319,0.021933615,2.3841858e-07,0.06499839,0.040752888,0.016716003,0.07938838,0.025853276,0.028941393,0.023065507,0.060625374,0.12156159,0.014758229,0.025187135,0.03693527,0.10000855,0.08405948,0.1278171,0.1300546,0.034560204,0.085427046,0.06440711,0.05801928,0.03662604,0.0075548887,0.08955175,0.0067070127,0.18114036,0.14770311,0.021336377,0.12059468,0.051506698,0.03985268
