,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,1.0140759,0.6829278,0.6833552,0.51039326,0.6028169,0.50936925,0.5739037,0.51826286,0.4113086,0.53166354,0.5958996,0.7156341,0.6021518,0.75627124,0.62928975,0.58984387,0.87478745,0.7624666,0.6929617,0.3543793,0.3474998,0.38989198,0.7492044,0.7148024,1.0250006,0.3421408,0.6443255,0.47160274,0.40315443,0.80856377,0.7539269,0.65836096,0.515,0.70304435,0.8867191,0.79896414,0.43304032,0.94290245,0.67731416,0.69005
copt1239,1.0140759,0.0,0.58508277,0.637194,0.7433467,0.63528645,0.58743834,0.23605502,0.7697995,0.70066935,0.61542153,0.30877286,0.47604996,0.6818244,0.9577211,0.48715776,0.61714184,0.5036864,0.6183796,0.94595206,0.62844336,0.79087305,0.93025523,0.81312406,0.1546086,0.8324234,0.62335443,0.40730208,0.5826862,0.5906236,0.30826586,0.3781013,0.48230493,0.45124316,0.6270485,1.0187737,0.8782097,0.6172381,0.40912372,0.3220213,0.5335414
czec1258,0.6829278,0.58508277,0.0,0.52623034,0.65204024,0.22300011,0.3285969,0.3300249,0.46815056,0.42210954,0.3940624,0.56354994,0.4666819,0.37789208,0.82007307,0.17003727,0.1326651,0.55893564,0.8340624,0.668352,0.34531444,0.3258322,0.5499382,0.5360707,0.6090661,0.74877846,0.2773692,0.50959134,0.32289195,0.38630408,0.55361444,0.42162186,0.44753188,0.7037527,0.54239404,0.61359537,0.49517304,0.3268832,0.8525258,0.64355356,0.25013214
dani1285,0.6833552,0.637194,0.52623034,0.0,0.19110948,0.33505982,0.21834874,0.33914292,0.4308073,0.3058142,0.0986706,0.3319019,0.10028666,0.32914782,0.6176914,0.24064094,0.4146459,0.33752447,0.47493362,0.6789627,0.1955148,0.40996057,0.35861182,0.6000624,0.5991615,0.71310794,0.25186855,0.17468059,0.17030507,0.23601222,0.17477763,0.17790353,0.08329475,0.57119244,0.0091279745,0.801165,0.5526494,0.21216613,0.66178155,0.32401448,0.55941516
dutc1256,0.51039326,0.7433467,0.65204024,0.19110948,0.0,0.5285783,0.3880998,0.4391988,0.4499299,0.29639852,0.25235742,0.4525016,0.251633,0.5646773,0.7898659,0.36474967,0.53626776,0.4457028,0.613502,0.7163063,0.27038807,0.48580062,0.23592061,0.67778313,0.64589757,0.8464694,0.39965546,0.3444417,0.32360506,0.41438758,0.3456282,0.29357916,0.22484988,0.77921546,0.17624772,0.87448263,0.62872016,0.4034199,0.7825715,0.5080412,0.5665574
faro1244,0.6028169,0.63528645,0.22300011,0.33505982,0.5285783,2.9802322e-07,0.2073211,0.266863,0.45628917,0.30055606,0.14471173,0.3550707,0.36505437,0.3029918,0.82997155,0.14907467,0.2791977,0.49431694,0.82199013,0.65466416,0.1965546,0.26358306,0.55462444,0.610706,0.61527264,0.8679457,0.14674097,0.40370566,0.22835886,0.40092677,0.49119198,0.28879315,0.28764015,0.572662,0.3544156,0.72565323,0.58866763,0.24170023,0.88094753,0.4091543,0.3427298
finn1318,0.50936925,0.58743834,0.3285969,0.21834874,0.3880998,0.2073211,0.0,0.18329042,0.20411986,0.09454483,0.13986564,0.34120762,0.21523994,0.07603198,0.45532978,0.15889615,0.25731593,0.4313789,0.4605971,0.4606896,0.13836706,0.12844402,0.30621254,0.34580487,0.4544083,0.5634531,0.101713955,0.20564616,0.08193165,0.16331506,0.32534146,0.21991253,0.12512797,0.4477142,0.2286753,0.5934867,0.38440454,0.09823352,0.6082865,0.3336311,0.27939236
hebr1245,0.5739037,0.23605502,0.3300249,0.33914292,0.4391988,0.266863,0.18329042,0.0,0.37314075,0.2362684,0.21951026,0.15528291,0.21929955,0.3070017,0.6680608,0.22043788,0.3642025,0.36186153,0.49181503,0.7187768,0.17498225,0.29634494,0.49666393,0.59455,0.19881588,0.7682493,0.167009,0.167902,0.19302183,0.24655807,0.19701338,0.20047069,0.17985731,0.2984864,0.353114,0.8383731,0.6264189,0.20643991,0.48315704,0.16651231,0.27341312
hind1269,0.51826286,0.7697995,0.46815056,0.4308073,0.4499299,0.45628917,0.20411986,0.37314075,0.0,0.21855217,0.38204336,0.5462274,0.4262027,0.24498451,0.3749975,0.32685018,0.33222127,0.3423229,0.5888001,0.24498749,0.2696849,0.22743642,0.2680356,0.2165007,0.6992674,0.46482593,0.31876576,0.42176706,0.20747083,0.29220736,0.5435952,0.36461383,0.33527315,0.690319,0.4437784,0.37699503,0.2390374,0.2783072,0.8320098,0.6178657,0.24492556
hung1274,0.4113086,0.70066935,0.42210954,0.3058142,0.29639852,0.30055606,0.09454483,0.2362684,0.21855217,0.0,0.21197957,0.44107717,0.30627656,0.15209818,0.46663386,0.29582787,0.38818717,0.50550044,0.48383337,0.51918507,0.16703796,0.1495527,0.20059168,0.37292928,0.5090958,0.6309122,0.19410414,0.2954846,0.18696952,0.23437977,0.40294892,0.3254941,0.17875701,0.5831882,0.31772888,0.6206648,0.41948175,0.1985588,0.6512656,0.4344108,0.27970338
