,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,0.24512005,0.15576798,0.09617144,0.06359279,0.12528956,0.08496994,0.099291146,0.09832126,0.056661665,0.08736223,0.270737,0.10946238,0.11871368,0.21677321,0.13797206,0.15182334,0.23836106,0.1860004,0.25307775,0.05411488,0.06643045,0.068072975,0.22109765,0.1252045,0.27625877,0.06332761,0.095864356,0.12992859,0.08806372,0.16264993,0.19826704,0.11979228,0.0441792,0.14660752,0.23026043,0.25600988,0.080216944,0.30599773,0.17229408,0.099674225
copt1239,0.24512005,5.9604645e-08,0.24290055,0.18242449,0.14968222,0.25541157,0.14380085,0.111389935,0.3255757,0.25849998,0.17549813,0.10096085,0.1036008,0.23074877,0.39773238,0.14812815,0.3108117,0.2504496,0.091252446,0.36265475,0.21352196,0.18267524,0.34103286,0.4604327,0.05564475,0.39595348,0.20261025,0.09926152,0.2376551,0.10317999,0.033451915,0.08847141,0.15403289,0.16485626,0.14142329,0.49025798,0.5620047,0.122923434,0.052945197,0.040683508,0.14550203
czec1258,0.15576798,0.24290055,0.0,0.09046811,0.108163774,0.062305987,0.061214328,0.06119752,0.099341035,0.09037137,0.097147346,0.23757112,0.08640802,0.076152146,0.1953792,0.042657673,0.024486601,0.06557655,0.23364133,0.19881958,0.05213213,0.08392918,0.11146337,0.14503479,0.14643699,0.24414194,0.11657286,0.10823512,0.063747644,0.09075165,0.16762024,0.11881256,0.07900041,0.13771051,0.13384306,0.1868797,0.19444156,0.16047639,0.3220483,0.21609813,0.062461793
dani1285,0.09617144,0.18242449,0.09046811,0.0,0.021612167,0.062449396,0.024188876,0.034688115,0.07150471,0.0704959,0.034039557,0.19878495,0.038817644,0.03630197,0.1885624,0.027607262,0.0921523,0.076746166,0.15590656,0.18152612,0.04200852,0.03481096,0.07939303,0.17637342,0.088064015,0.22405744,0.039000392,0.04403287,0.035634875,0.038392067,0.0966506,0.06839365,0.027229786,0.07107091,0.04634309,0.2157886,0.22120112,0.05723679,0.24235547,0.14278406,0.0536592
dutc1256,0.06359279,0.14968222,0.108163774,0.021612167,1.1920929e-07,0.09586918,0.02007407,0.04051912,0.07421106,0.061097085,0.02745068,0.19555908,0.04225719,0.0503605,0.18139827,0.03858304,0.11652058,0.124982536,0.10859549,0.17453206,0.040079176,0.030864656,0.07586664,0.18761975,0.064232826,0.2072832,0.04216361,0.0340482,0.057987988,0.029090047,0.0815382,0.08831215,0.038993537,0.050049305,0.039970815,0.21115482,0.23808777,0.044984877,0.20190614,0.12185317,0.037769496
faro1244,0.12528956,0.25541157,0.062305987,0.062449396,0.09586918,0.0,0.06647229,0.04690945,0.12722522,0.09793723,0.07550371,0.17567885,0.056949496,0.089716434,0.27806664,0.06089306,0.064074874,0.078615844,0.25802398,0.28659046,0.04195547,0.091023386,0.12974882,0.23632169,0.17319024,0.3529284,0.06187296,0.07068604,0.031102061,0.0886305,0.14061934,0.08585435,0.043903887,0.114509284,0.07924533,0.28337485,0.27019602,0.10757756,0.31308627,0.1813913,0.09923422
finn1318,0.08496994,0.14380085,0.061214328,0.024188876,0.02007407,0.06647229,5.9604645e-08,0.018154502,0.06689727,0.04283166,0.02115357,0.18742728,0.04072702,0.028968275,0.15732759,0.01609695,0.07591593,0.10071957,0.1029793,0.15000504,0.033178985,0.01923424,0.074833095,0.1572321,0.05470735,0.18724662,0.044169247,0.038012207,0.04140562,0.023496866,0.07120311,0.071857095,0.030353308,0.048323274,0.044417202,0.18667597,0.21555007,0.05297333,0.19261354,0.11825007,0.015361667
hebr1245,0.099291146,0.111389935,0.06119752,0.034688115,0.04051912,0.04690945,0.018154502,0.0,0.121671975,0.07660872,0.037860155,0.10989219,0.014718711,0.066188514,0.23663074,0.026528358,0.09600401,0.09053761,0.12523669,0.23578084,0.03901571,0.045443356,0.12706912,0.23582846,0.056797266,0.28574806,0.041321695,0.022469938,0.04098642,0.023635387,0.039427757,0.033442616,0.02575171,0.056250393,0.036772072,0.2772271,0.30369985,0.042659104,0.15898019,0.07298434,0.040703773
hind1269,0.09832126,0.3255757,0.099341035,0.07150471,0.07421106,0.12722522,0.06689727,0.121671975,1.7881393e-07,0.03394252,0.08355892,0.40194702,0.14842194,0.028170466,0.05257392,0.08715898,0.085983455,0.14915133,0.19181955,0.07004392,0.058437705,0.041103244,0.012295067,0.04635769,0.15130329,0.09405494,0.08870202,0.14552176,0.09549624,0.09393376,0.23199618,0.22131193,0.10765338,0.08668244,0.15914822,0.063990355,0.06741762,0.14565396,0.3844239,0.29975826,0.05674523
hung1274,0.056661665,0.25849998,0.09037137,0.0704959,0.061097085,0.09793723,0.04283166,0.07660872,0.03394252,0.0,0.05124837,0.3173653,0.11057234,0.03235829,0.0935967,0.085372806,0.09627044,0.18042469,0.1432367,0.1330592,0.035758972,0.02195096,0.023712635,0.105623126,0.10015911,0.14945889,0.056752384,0.10909647,0.09143019,0.05997199,0.16488934,0.19082856,0.083835244,0.038424432,0.13058388,0.12495947,0.14422613,0.088084996,0.28560406,0.20915449,0.04643482
icel1247,0.08736223,0.17549813,0.097147346,0.034039557,0.02745068,0.07550371,0.02115357,0.037860155,0.08355892,0.05124837,5.9604645e-08,0.20552176,0.04540819,0.043028653,0.17203426,0.042991996,0.11326504,0.13864619,0.10286653,0.18430609,0.040281415,0.029455662,0.08639687,0.18333215,0.072226465,0.20847166,0.037115216,0.05711651,0.04673654,0.036147177,0.09099102,0.09800339,0.032906175,0.057055056,0.037698925,0.21619362,0.23963857,0.03877169,0.19978178,0.13164514,0.046425045
iris1253,0.270737,0.10096085,0.23757112,0.19878495,0.19555908,0.17567885,0.18742728,0.10989219,0.40194702,0.3173653,0.20552176,0.0,0.08858943,0.31109363,0.56730646,0.17781365,0.3065092,0.231951,0.23339492,0.54860973,0.20317161,0.25014955,0.4147547,0.584558,0.16842318,0.623978,0.17327327,0.08362365,0.18037397,0.1463973,0.058623314,0.06301105,0.14454812,0.20785958,0.11773533,0.6415632,0.6773328,0.12728524,0.118525505,0.04701978,0.22314972
ital1282,0.10946238,0.1036008,0.08640802,0.038817644,0.04225719,0.056949496,0.04072702,0.014718711,0.14842194,0.11057234,0.04540819,0.08858943,0.0,0.09064126,0.28079695,0.03945881,0.12173009,0.087187946,0.14155602,0.28120178,0.04326421,0.07098967,0.1532417,0.2823769,0.062785864,0.33207583,0.044570804,0.014274359,0.051742792,0.029627144,0.04047197,0.025076926,0.022301555,0.07437885,0.032425404,0.33074248,0.35024637,0.03633529,0.1585542,0.0632723,0.070108294
komi1268,0.11871368,0.23074877,0.076152146,0.03630197,0.0503605,0.089716434,0.028968275,0.066188514,0.028170466,0.03235829,0.043028653,0.31109363,0.09064126,0.0,0.081407666,0.041188836,0.08049232,0.09966928,0.14251667,0.087807,0.05154276,0.023062706,0.039920926,0.08171153,0.09313816,0.11236751,0.06959307,0.101101816,0.06518847,0.053603828,0.15058696,0.1389066,0.054872215,0.07978511,0.096862555,0.11237311,0.121569216,0.10403544,0.28012896,0.22113079,0.03546256
kore1280,0.21677321,0.39773238,0.1953792,0.1885624,0.18139827,0.27806664,0.15732759,0.23663074,0.05257392,0.0935967,0.17203426,0.56730646,0.28079695,0.081407666,2.3841858e-07,0.18619102,0.20676672,0.27345967,0.20283985,0.02742052,0.17203432,0.109059036,0.072419524,0.03204769,0.201733,0.022222936,0.20370185,0.28845268,0.22974885,0.18117177,0.33424312,0.36662495,0.23643637,0.1628372,0.28707242,0.037204325,0.058576703,0.2566157,0.42521238,0.4227786,0.112957895
latv1249,0.13797206,0.14812815,0.042657673,0.027607262,0.03858304,0.06089306,0.01609695,0.026528358,0.08715898,0.085372806,0.042991996,0.17781365,0.03945881,0.041188836,0.18619102,0.0,0.057649553,0.05153656,0.1422773,0.1596483,0.04578036,0.0468238,0.10776311,0.1663853,0.083108306,0.20838243,0.076931894,0.047126353,0.03788477,0.04185307,0.085853815,0.05336702,0.030444682,0.09513408,0.050025165,0.20164186,0.2204951,0.09087634,0.22066861,0.13909405,0.027089953
lith1251,0.15182334,0.3108117,0.024486601,0.0921523,0.11652058,0.064074874,0.07591593,0.09600401,0.085983455,0.09627044,0.11326504,0.3065092,0.12173009,0.08049232,0.20676672,0.057649553,1.7881393e-07,0.075457454,0.28997505,0.19495219,0.062458754,0.10259175,0.09413481,0.13210875,0.20097649,0.24599385,0.14068878,0.13232559,0.0744856,0.13043958,0.22659165,0.15426409,0.094582856,0.16337639,0.15762758,0.16636884,0.1581105,0.19356078,0.42203766,0.27378356,0.08749658
