,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,0.4130876,0.014271677,0.13221145,0.13557452,0.09453446,0.14595997,0.22900248,0.13809347,0.22536427,0.078683615,0.060866416,0.050335646,0.31494856,0.4272983,0.02471751,0.024500012,0.083441556,0.81143206,0.22470939,0.07629228,0.16722494,0.15737587,0.24869913,0.48249876,0.31086302,0.06758815,0.062330186,0.022136033,0.048041284,0.12528527,0.08274084,0.19470972,0.11987972,0.12077069,0.32141298,0.30891085,0.024889946,0.93727046,0.15635276,0.117397785
copt1239,0.4130876,0.0,0.38304937,0.3025384,0.23586243,0.20753205,0.2020424,0.1834861,0.41550976,0.5007938,0.20823604,0.2787578,0.2604584,0.3430791,0.45016378,0.37748796,0.48625112,0.27192205,0.24712837,0.5066656,0.2739362,0.27847552,0.2709909,0.40774053,0.22589141,0.37390822,0.45132005,0.23228377,0.5311606,0.4249062,0.29132056,0.20755011,0.16764748,0.308177,0.19160163,0.48083895,0.64008,0.28134316,0.22465003,0.21829587,0.29310858
czec1258,0.014271677,0.38304937,0.0,0.10285878,0.12932044,0.09045023,0.14453077,0.20420033,0.11070293,0.25565702,0.071430326,0.08740157,0.067517936,0.30558515,0.37171394,0.015491426,0.029964268,0.08981961,0.75810015,0.19824469,0.10161108,0.16429663,0.14808172,0.22561586,0.4290309,0.27402407,0.06549138,0.06336439,0.029062629,0.050863087,0.12814987,0.07486999,0.1849652,0.15048331,0.092196286,0.2944643,0.29130268,0.03425181,0.9006098,0.1580782,0.13425672
dani1285,0.13221145,0.3025384,0.10285878,0.0,0.035899997,0.08157188,0.19150859,0.2780453,0.17420846,0.38092148,0.07659674,0.114243925,0.09296274,0.3135463,0.41251773,0.16641253,0.19823903,0.23870796,0.50132465,0.25123984,0.13881624,0.25410235,0.2058773,0.32681155,0.49353737,0.29971975,0.121765554,0.09863782,0.18657649,0.052183032,0.056203246,0.122303724,0.067056715,0.30862767,0.041272044,0.35046345,0.468058,0.1218521,0.64435256,0.13440847,0.21648937
dutc1256,0.13557452,0.23586243,0.12932044,0.035899997,0.0,0.03256595,0.15936488,0.23016453,0.22780186,0.3581571,0.048383236,0.06123072,0.0562855,0.30547452,0.46751338,0.17937046,0.21667433,0.20170099,0.44729114,0.29864573,0.07844758,0.23766816,0.198937,0.35234213,0.4578454,0.31918448,0.11695194,0.057320595,0.22360325,0.058419466,0.018256724,0.087776124,0.04692447,0.23645228,0.027321637,0.3869211,0.51948833,0.1026808,0.5414334,0.06472391,0.15768778
faro1244,0.09453446,0.20753205,0.09045023,0.08157188,0.03256595,5.9604645e-08,0.07480925,0.19876516,0.16626567,0.24105716,0.013277411,0.032702625,0.04522538,0.22180492,0.3789237,0.103702486,0.14523613,0.12061578,0.4751616,0.23956352,0.060333908,0.13583523,0.11482823,0.2491731,0.41656232,0.24112815,0.10874295,0.02546966,0.18124717,0.07177526,0.0670684,0.06611252,0.06738895,0.14501071,0.04472518,0.30634665,0.39988238,0.04582858,0.5626497,0.073358536,0.06467229
finn1318,0.14595997,0.2020424,0.14453077,0.19150859,0.15936488,0.07480925,5.9604645e-08,0.31463832,0.08493698,0.09173328,0.051276624,0.09661323,0.12947088,0.070647836,0.19275904,0.11094099,0.1395948,0.17319006,0.43123436,0.13820857,0.18170464,0.015877724,0.015447855,0.08713108,0.5146836,0.10442066,0.2557972,0.12288964,0.21923894,0.17659634,0.2337535,0.17558485,0.09597641,0.19407046,0.16525185,0.14169717,0.21252602,0.061941147,0.5386176,0.24643505,0.026359916
hebr1245,0.22900248,0.1834861,0.20420033,0.2780453,0.23016453,0.19876516,0.31463832,0.0,0.45088387,0.61009514,0.20995396,0.22826701,0.16667897,0.5875735,0.65892845,0.21904147,0.31304055,0.0899753,0.67875683,0.5851407,0.13581717,0.3893897,0.38423324,0.5321271,0.07208812,0.56041384,0.22038001,0.12762779,0.28665632,0.30345446,0.19540453,0.059394717,0.30717516,0.14270288,0.13068926,0.64861155,0.68432367,0.20405495,0.6587616,0.09256923,0.33868605
hind1269,0.13809347,0.41550976,0.11070293,0.17420846,0.22780186,0.16626567,0.08493698,0.45088387,0.0,0.106119335,0.115947664,0.18643343,0.21023196,0.09494132,0.11274499,0.09164405,0.085700095,0.28445196,0.5642999,0.028981328,0.30071718,0.05819738,0.043376684,0.044839203,0.6739688,0.064187706,0.24740064,0.21626425,0.14934933,0.14773923,0.2947892,0.2688343,0.16902614,0.34805048,0.21743762,0.06090361,0.09098852,0.11027324,0.77056116,0.38341683,0.11415583
hung1274,0.22536427,0.5007938,0.25565702,0.38092148,0.3581571,0.24105716,0.09173328,0.61009514,0.106119335,5.9604645e-08,0.20449704,0.21717149,0.28864455,0.075211465,0.19353908,0.19081795,0.15780091,0.34145808,0.6402922,0.11026943,0.35692805,0.053986847,0.07009399,0.072090566,0.8618531,0.12211132,0.39203286,0.30683988,0.263157,0.27554536,0.44078398,0.40174407,0.27693582,0.33209407,0.4061833,0.101113796,0.102240145,0.1687426,0.79236996,0.50041926,0.07767379
icel1247,0.078683615,0.20823604,0.071430326,0.07659674,0.048383236,0.013277411,0.051276624,0.20995396,0.115947664,0.20449704,1.1920929e-07,0.03223276,0.046641707,0.18170196,0.3200757,0.0786922,0.11468208,0.120539546,0.485218,0.19635057,0.07597977,0.09927344,0.072960794,0.19910228,0.4259736,0.20246738,0.1047464,0.03505999,0.14776975,0.06871796,0.08563405,0.073432684,0.05417043,0.14812636,0.050400615,0.253731,0.3386898,0.028571308,0.58375394,0.10564846,0.05555457
iris1253,0.060866416,0.2787578,0.08740157,0.114243925,0.06123072,0.032702625,0.09661323,0.22826701,0.18643343,0.21717149,0.03223276,0.0,0.031918168,0.25457537,0.44863337,0.097688556,0.11629975,0.109647095,0.6066212,0.2738998,0.0364995,0.15329075,0.1288653,0.2826258,0.4748842,0.30467427,0.09970963,0.031760156,0.13920546,0.064468205,0.072022855,0.07737774,0.09787911,0.10656959,0.08698422,0.3468994,0.41213214,0.035665095,0.68076694,0.09196013,0.0713343
ital1282,0.050335646,0.2604584,0.067517936,0.09296274,0.0562855,0.04522538,0.12947088,0.16667897,0.21023196,0.28864455,0.046641707,0.031918168,0.0,0.33077186,0.50561035,0.09181404,0.12002486,0.079117954,0.6436366,0.31464922,0.020261347,0.18755573,0.17377287,0.3214851,0.40399474,0.35595918,0.07937348,0.01967895,0.1112777,0.06377053,0.05085826,0.034236312,0.10311806,0.09869647,0.05695504,0.39952052,0.45498222,0.03234017,0.71467566,0.06671566,0.11896902
komi1268,0.31494856,0.3430791,0.30558515,0.3135463,0.30547452,0.22180492,0.070647836,0.5875735,0.09494132,0.075211465,0.18170196,0.25457537,0.33077186,0.0,0.075785756,0.25807297,0.25831223,0.42072666,0.3484323,0.081162214,0.4178573,0.05066365,0.045511425,0.04616934,0.78049195,0.03476262,0.4618765,0.3311981,0.38513058,0.30594188,0.42110068,0.41394228,0.1807062,0.44536144,0.34079468,0.050647676,0.139498,0.21708786,0.5104089,0.48780483,0.106710255
kore1280,0.4272983,0.45016378,0.37171394,0.41251773,0.46751338,0.3789237,0.19275904,0.65892845,0.11274499,0.19353908,0.3200757,0.44863337,0.50561035,0.075785756,1.7881393e-07,0.31756896,0.32254958,0.54882157,0.39336675,0.074442744,0.6173563,0.134907,0.13166404,0.047917545,0.78214276,0.028507471,0.5848135,0.48984683,0.4510063,0.43212616,0.585502,0.5390973,0.32695353,0.6297982,0.4442991,0.031835794,0.08887434,0.35069925,0.60389173,0.6608446,0.26358432
latv1249,0.02471751,0.37748796,0.015491426,0.16641253,0.17937046,0.103702486,0.11094099,0.21904147,0.09164405,0.19081795,0.0786922,0.097688556,0.09181404,0.25807297,0.31756896,2.3841858e-07,0.015372872,0.08154893,0.7626926,0.1727857,0.12545925,0.11448032,0.1087302,0.16903383,0.43563724,0.23048711,0.101873934,0.08080518,0.038140416,0.09378016,0.18896753,0.09745884,0.21461743,0.13186622,0.13493758,0.24588841,0.22167534,0.029883564,0.89790636,0.20363253,0.09985232
lith1251,0.024500012,0.48625112,0.029964268,0.19823903,0.21667433,0.14523613,0.1395948,0.31304055,0.085700095,0.15780091,0.11468208,0.11629975,0.12002486,0.25831223,0.32254958,0.015372872,0.0,0.1345892,0.8371018,0.14698511,0.16361225,0.12667888,0.124349356,0.16352266,0.5656743,0.23417658,0.121699035,0.12848234,0.024369776,0.0901528,0.22226131,0.15795618,0.25181442,0.17664772,0.1933775,0.2257846,0.18258452,0.048681438,0.99807394,0.26645494,0.11095953
malt1254,0.083441556,0.27192205,0.08981961,0.23870796,0.20170099,0.12061578,0.17319006,0.0899753,0.28445196,0.34145808,0.120539546,0.109647095,0.079117954,0.42072666,0.54882157,0.08154893,0.1345892,5.9604645e-08,0.8054678,0.41943836,0.06354916,0.22169709,0.22812378,0.3596701,0.24444014,0.4366361,0.12999558,0.054095805,0.12732202,0.19026172,0.18897885,0.04409492,0.26579696,0.022629678,0.14592022,0.48624188,0.4679671,0.06866598,0.8274786,0.11575812,0.16119546
mand1415,0.81143206,0.24712837,0.75810015,0.50132465,0.44729114,0.4751616,0.43123436,0.67875683,0.5642999,0.6402922,0.485218,0.6066212,0.6436366,0.3484323,0.39336675,0.7626926,0.8371018,0.8054678,0.0,0.5235982,0.7056467,0.4800881,0.45570487,0.5010412,0.7061745,0.3585809,0.8341529,0.62358403,0.9478469,0.67510515,0.5658842,0.64876425,0.31191778,0.8487304,0.47710037,0.4567495,0.7121022,0.6502968,0.05258715,0.5930745,0.53612375
mara1378,0.22470939,0.5066656,0.19824469,0.25123984,0.29864573,0.23956352,0.13820857,0.5851407,0.028981328,0.11026943,0.19635057,0.2738998,0.31464922,0.081162214,0.074442744,0.1727857,0.14698511,0.41943836,0.5235982,0.0,0.42037636,0.09310347,0.0858354,0.03837198,0.8226136,0.035508215,0.36012006,0.3272497,0.24014008,0.20829576,0.38078958,0.39101398,0.2295258,0.48950374,0.30855846,0.022360206,0.059122443,0.19615424,0.7631948,0.49178004,0.15820813
mode1248,0.07629228,0.2739362,0.10161108,0.13881624,0.07844758,0.060333908,0.18170464,0.13581717,0.30071718,0.35692805,0.07597977,0.0364995,0.020261347,0.4178573,0.6173563,0.12545925,0.16361225,0.06354916,0.7056467,0.42037636,5.9604645e-08,0.25849056,0.24161702,0.42217177,0.35424173,0.45709938,0.07527876,0.018586934,0.14653164,0.097117305,0.057653844,0.030869126,0.15888435,0.06453675,0.07765275,0.51274514,0.5616964,0.06296772,0.7349528,0.03834629,0.15393174
nort2671,0.16722494,0.27847552,0.16429663,0.25410235,0.23766816,0.13583523,0.015877724,0.3893897,0.05819738,0.053986847,0.09927344,0.15329075,0.18755573,0.05066365,0.134907,0.11448032,0.12667888,0.22169709,0.4800881,0.09310347,0.25849056,0.0,0.01032728,0.03727287,0.5929146,0.0673877,0.3095643,0.18938237,0.21902764,0.21826857,0.31763458,0.24285597,0.1543082,0.24788868,0.23689157,0.08426833,0.124951124,0.09047365,0.6152673,0.34593338,0.043666065
