,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.32794374,0.10833609,0.1007638,0.068080544,0.109669864,0.06488502,0.100458145,0.08729708,0.04410523,0.090679884,0.18121791,0.14314425,0.06497079,0.1438412,0.11474919,0.102017045,0.15871108,0.15133166,0.19709241,0.06512672,0.04215896,0.058997154,0.22203374,0.24832886,0.23330176,0.04022515,0.12214857,0.08417809,0.057905197,0.17555583,0.18599242,0.106239974,0.086744726,0.10923374,0.3318479,0.21568954,0.05469662,0.29392248,0.1541754,0.09330797
copt1239,0.32794374,0.0,0.18046117,0.18180072,0.20290571,0.21856976,0.22563958,0.08143598,0.32909733,0.2505592,0.17018068,0.05695021,0.122255206,0.23083287,0.3896523,0.20986241,0.29041535,0.19276339,0.11161882,0.46097887,0.20803988,0.25226617,0.3490743,0.49745315,0.018704593,0.43810177,0.19835448,0.08991766,0.19758117,0.16884637,0.043502808,0.081077754,0.12424725,0.10958511,0.16943616,0.69458914,0.51700044,0.17113835,0.050355792,0.06055516,0.21183294
czec1258,0.10833609,0.18046117,1.7881393e-07,0.07241833,0.07200599,0.046503723,0.03534937,0.048915744,0.065721214,0.046970963,0.059099913,0.12129027,0.08901465,0.04680252,0.14599991,0.015097678,0.02338463,0.038891077,0.12978876,0.15405351,0.061671674,0.0434767,0.06734151,0.15419978,0.168199,0.17477238,0.04217744,0.072003126,0.051663876,0.04038459,0.10389513,0.07963282,0.056758463,0.0862906,0.06697643,0.2757929,0.16174287,0.04187596,0.2380743,0.12650073,0.023125172
dani1285,0.1007638,0.18180072,0.07241833,0.0,0.030463815,0.024201393,0.03362423,0.04827571,0.11558342,0.06433225,0.0033031702,0.06260431,0.015883148,0.04258001,0.18930292,0.04455173,0.07734835,0.041250885,0.09532106,0.23710907,0.014277101,0.06728172,0.09638363,0.26651037,0.14835167,0.26975238,0.021951914,0.023716092,0.0062886477,0.021285176,0.06285524,0.03638184,0.008757532,0.07265502,0.001278162,0.423481,0.27673942,0.018933594,0.18452764,0.07948899,0.09741253
dutc1256,0.068080544,0.20290571,0.07200599,0.030463815,0.0,0.059239447,0.03858471,0.050736427,0.08522475,0.03945625,0.02799499,0.10417044,0.058318734,0.04804474,0.16081363,0.06319815,0.08404267,0.07536727,0.095823884,0.18897247,0.038576245,0.04449612,0.06761843,0.23068094,0.16528386,0.23213148,0.029812813,0.053604722,0.034638464,0.030789673,0.08654392,0.067752,0.030477464,0.08757573,0.028707683,0.37621862,0.23537582,0.027684093,0.19897485,0.103390515,0.07282221
faro1244,0.109669864,0.21856976,0.046503723,0.024201393,0.059239447,0.0,0.04467511,0.07093787,0.12296492,0.080642045,0.017390251,0.08990747,0.03851372,0.06247914,0.2262429,0.020167768,0.044457316,0.02782017,0.16659206,0.24045992,0.015203297,0.07766974,0.104142606,0.25427383,0.20164502,0.29201114,0.03181559,0.050323606,0.013812721,0.043046653,0.10027599,0.049185157,0.035377443,0.100703,0.026139796,0.39375025,0.2654658,0.03765267,0.2678951,0.12224305,0.09574509
finn1318,0.06488502,0.22563958,0.03534937,0.03362423,0.03858471,0.04467511,1.1920929e-07,0.05134791,0.029619157,0.011434555,0.030183494,0.12636107,0.07488847,0.0027531385,0.077819765,0.02848792,0.034056127,0.0505026,0.083426476,0.10949379,0.03972721,0.010720313,0.025593996,0.12959659,0.18243337,0.13244474,0.014074326,0.062458932,0.02202946,0.010638595,0.110720515,0.09000099,0.033098638,0.07770985,0.031636238,0.2543891,0.136594,0.01207,0.2200225,0.11991805,0.028657973
hebr1245,0.100458145,0.08143598,0.048915744,0.04827571,0.050736427,0.07093787,0.05134791,0.0,0.119005024,0.057234406,0.03766632,0.03511995,0.0401448,0.05430585,0.18051744,0.067782044,0.10518819,0.07837057,0.04368514,0.24530339,0.05110413,0.05895543,0.118741214,0.27486026,0.051390886,0.24898154,0.03132981,0.014689386,0.049797118,0.024016023,0.019336343,0.039358556,0.020119548,0.017114997,0.044917524,0.440257,0.281574,0.02248162,0.09174377,0.02389723,0.057844996
hind1269,0.08729708,0.32909733,0.065721214,0.11558342,0.08522475,0.12296492,0.029619157,0.119005024,0.0,0.01960677,0.11210626,0.24710941,0.18305999,0.029296994,0.029041529,0.072060585,0.048231125,0.105475426,0.1387235,0.033888757,0.11778498,0.018750548,0.0075646043,0.047019064,0.28273898,0.0558483,0.06982446,0.15875536,0.09322184,0.060961604,0.21306688,0.19167608,0.11277151,0.15279293,0.10952711,0.13178897,0.05035001,0.06810379,0.31963974,0.22438312,0.024274051
hung1274,0.04410523,0.2505592,0.046970963,0.06433225,0.03945625,0.080642045,0.011434555,0.057234406,0.01960677,5.9604645e-08,0.05738914,0.15817851,0.111017466,0.010611355,0.05823934,0.05783212,0.05271113,0.09098035,0.0837754,0.09472269,0.063408375,0.0016999841,0.015675485,0.11726856,0.19340193,0.112821996,0.02309966,0.08755398,0.052725494,0.023056984,0.13061297,0.12900138,0.0575341,0.0788185,0.06281972,0.23074168,0.11656201,0.023207068,0.22718853,0.13142008,0.019928038
