,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,0.08859497,0.005972266,0.030798435,0.018410325,0.014576495,0.0010937452,0.076990485,0.005497396,0.012582362,0.008612931,0.00990653,0.005387068,0.00062179565,0.013219833,0.0021754503,0.0017706156,0.01960659,0.098650455,0.006734848,0.011483312,0.0014843941,0.0022841096,0.0031248927,0.13640916,0.014807224,0.0056431293,0.01755488,0.0004387498,0.004656136,0.033546865,0.025074184,0.021432996,0.011568248,0.033972323,0.0061769485,0.0082217455,0.0006840229,0.14101273,0.043106794,0.0031800866
copt1239,0.08859497,5.9604645e-08,0.052799106,0.015379608,0.026839912,0.031912208,0.070774615,0.00043952465,0.085799634,0.16410446,0.04260093,0.047198355,0.059250116,0.093686104,0.06494397,0.07219416,0.07345843,0.027275324,0.0034741163,0.094335675,0.052310288,0.073693454,0.070366204,0.098478794,0.0061768293,0.061344385,0.05050409,0.030239403,0.094350696,0.05853361,0.016127825,0.020338595,0.023397386,0.069134355,0.013666153,0.10367602,0.1267649,0.077822745,0.0066100955,0.013984263,0.059173226
czec1258,0.005972266,0.052799106,0.0,0.011900544,0.005340457,0.003195405,0.0021499991,0.04377997,0.0050969124,0.035233915,0.001645863,0.0064980984,0.0056489706,0.0062978864,0.004521191,0.0015680194,0.0017845035,0.007995486,0.057906866,0.0075767636,0.010298252,0.0019134879,0.0013250709,0.0074881315,0.089390695,0.0047356486,0.0004916191,0.0073143244,0.006565094,0.00016248226,0.016643822,0.009656072,0.0066534877,0.01589948,0.012928128,0.009743154,0.01714325,0.0049278736,0.095772326,0.0248788,0.0017944574
dani1285,0.030798435,0.015379608,0.011900544,0.0,0.0016192198,0.003082633,0.020638764,0.010714531,0.031425416,0.081364274,0.0069563985,0.010257065,0.015549183,0.034139574,0.02223736,0.021911442,0.022498727,0.002490759,0.02168405,0.037052393,0.0139837265,0.022553325,0.020882905,0.038054943,0.039309025,0.020736694,0.010348856,0.0033510923,0.03440392,0.014753103,0.0016177297,0.00059217215,0.0008917451,0.024165392,0.000351429,0.04242593,0.057115793,0.024682224,0.04156983,0.0044671893,0.014592588
dutc1256,0.018410325,0.026839912,0.005340457,0.0016192198,2.3841858e-07,0.0002989173,0.010819912,0.020572007,0.02065748,0.060382366,0.0018799305,0.0044313073,0.0075280666,0.021298587,0.015472829,0.012253761,0.012591004,0.0007687807,0.034433126,0.0253672,0.007534802,0.012533903,0.011467457,0.02512449,0.056601644,0.014689684,0.003915727,0.0009443164,0.02143526,0.0072733164,0.0032330751,0.0006531477,0.00015157461,0.01528728,0.0027343035,0.029368877,0.041207433,0.01370734,0.05910778,0.0074881315,0.0065161586
faro1244,0.014576495,0.031912208,0.003195405,0.003082633,0.0002989173,1.1920929e-07,0.007828593,0.025014102,0.016216874,0.053563297,0.0008402467,0.0038692355,0.006062746,0.016872585,0.012117922,0.008865178,0.009167969,0.0013996363,0.03902954,0.020427585,0.0071105957,0.009116232,0.008183837,0.020142972,0.063360214,0.011581838,0.0022144318,0.0014026761,0.017082572,0.0047339797,0.005370319,0.0017641187,0.0006842613,0.014283538,0.0041789412,0.023981988,0.034790993,0.010667264,0.066657364,0.010466456,0.0044118166
finn1318,0.0010937452,0.070774615,0.0021499991,0.020638764,0.010819912,0.007828593,0.0,0.060394704,0.0049059987,0.020931125,0.0037412047,0.0059223175,0.0031555295,0.0019188523,0.009241998,0.00083845854,0.0006554723,0.012189984,0.0795365,0.006861806,0.008159399,0.00044077635,0.00073236227,0.0043578744,0.11408281,0.010251522,0.0018641949,0.010735154,0.0019304752,0.0015645027,0.023643374,0.016209781,0.013077259,0.010325551,0.023095489,0.007439375,0.011872053,0.00068086386,0.11869413,0.032194912,0.00073856115
hebr1245,0.076990485,0.00043952465,0.04377997,0.010714531,0.020572007,0.025014102,0.060394704,0.0,0.07439375,0.14860535,0.03462416,0.039244413,0.0501616,0.081697464,0.055319905,0.061631262,0.062803805,0.02120471,0.004120052,0.082416534,0.04424429,0.06304628,0.05995232,0.086187184,0.009430349,0.052056015,0.041719615,0.02384293,0.08230156,0.04903847,0.011812568,0.015022814,0.017565787,0.06010765,0.009252489,0.091144264,0.11289203,0.067062914,0.010437131,0.010610819,0.049769342
hind1269,0.005497396,0.085799634,0.0050969124,0.031425416,0.02065748,0.016216874,0.0049059987,0.07439375,0.0,0.023673594,0.012105584,0.020082176,0.015637457,0.002952814,0.0029047132,0.00182724,0.00202626,0.02568239,0.08714849,0.00024580956,0.025022507,0.0024277568,0.0021042824,0.0010105968,0.12729639,0.0039311647,0.007800281,0.024307072,0.0034499168,0.0035734773,0.039908767,0.028514206,0.02291286,0.02929461,0.031964004,0.00090044737,0.004386246,0.00814724,0.13811862,0.052179158,0.008407176
hung1274,0.012582362,0.16410446,0.035233915,0.081364274,0.060382366,0.053563297,0.020931125,0.14860535,0.023673594,5.9604645e-08,0.041294217,0.03962177,0.029229581,0.012278616,0.04272276,0.022953928,0.021800935,0.060749352,0.17831236,0.022429764,0.038984418,0.02110213,0.023688138,0.014977634,0.22662675,0.046293795,0.034902275,0.056818783,0.011708498,0.031443894,0.08326423,0.07124603,0.06576753,0.03179735,0.086829245,0.0179317,0.011795759,0.016896188,0.23084593,0.09591001,0.027570486
icel1247,0.008612931,0.04260093,0.001645863,0.0069563985,0.0018799305,0.0008402467,0.0037412047,0.03462416,0.012105584,0.041294217,1.7881393e-07,0.0020498633,0.002747178,0.01081866,0.011060715,0.0051697493,0.005261421,0.0026493669,0.051171243,0.015752375,0.004626572,0.005089104,0.0046441555,0.01432699,0.07833874,0.011048555,0.0005401969,0.002138853,0.010890484,0.0025712848,0.008836985,0.0043964386,0.0029147267,0.009852231,0.008751035,0.018286765,0.027037859,0.005536616,0.081363976,0.014686048,0.0014141202
iris1253,0.00990653,0.047198355,0.0064980984,0.010257065,0.0044313073,0.0038692355,0.0059223175,0.039244413,0.020082176,0.03962177,0.0020498633,0.0,0.00080639124,0.014106631,0.021745145,0.00990814,0.0096434355,0.0028560758,0.061033607,0.024395049,0.0005257726,0.009059668,0.009265304,0.020363271,0.08629131,0.02202475,0.0034952164,0.0019669533,0.013754129,0.0076084137,0.008574188,0.0060874224,0.005886495,0.00332731,0.013632834,0.026270628,0.034301758,0.0055300593,0.08543706,0.012637436,0.00260365
