,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.03180641,0.0005836487,0.011905968,0.009144187,0.010432184,0.008350432,0.01948297,0.005255878,0.008343041,0.007157266,0.008515596,0.0038852096,0.011772871,0.011470199,0.00010251999,0.00026851892,0.010010719,0.051408947,0.0074759126,0.0068510175,0.008329868,0.006591141,0.008144617,0.029976904,0.013403118,0.0016561747,0.008405745,0.001257062,0.002747357,0.012644708,0.008186817,0.016899586,0.008285344,0.011018932,0.0124079585,0.00997442,0.0022187233,0.07111597,0.019153357,0.009780049
copt1239,0.03180641,0.0,0.02728057,0.0059453845,0.007903218,0.006660402,0.013067663,0.006614089,0.036584556,0.03165877,0.0091228485,0.0077109933,0.014757097,0.020131886,0.027272582,0.030523896,0.028961599,0.008269012,0.007150352,0.041252792,0.012677312,0.015685022,0.018025339,0.029231012,0.005547464,0.026762247,0.033206105,0.008997977,0.045101643,0.02062738,0.008257151,0.012349308,0.00380975,0.012843788,0.005823493,0.038732648,0.053393006,0.017860949,0.0102702975,0.0030218363,0.00936383
czec1258,0.0005836487,0.02728057,0.0,0.009082973,0.0069749355,0.008792639,0.008485973,0.014414132,0.0077115297,0.011410594,0.0057036877,0.0065538883,0.002333045,0.013312161,0.013407707,0.00054371357,0.00086808205,0.007189274,0.047952473,0.010471761,0.004329622,0.008926451,0.0073723793,0.01050508,0.02357155,0.01523447,0.0007407665,0.005707741,0.002514422,0.0028708577,0.008808792,0.004978001,0.014841735,0.006026089,0.008288503,0.015767097,0.01426667,0.0019375682,0.066168845,0.015022337,0.009209871
dani1285,0.011905968,0.0059453845,0.009082973,5.9604645e-08,0.00023269653,0.0010203123,0.004540026,0.004732132,0.016784668,0.016363442,0.001236558,0.0008701086,0.0032607913,0.010257065,0.013978541,0.01128155,0.010516405,0.002619803,0.017573178,0.020340502,0.0029734373,0.006236255,0.0068145394,0.0142784715,0.008440435,0.014045179,0.012627184,0.0015795827,0.020029247,0.005619645,0.0014507174,0.0031595826,0.001839459,0.0051311255,0.00015163422,0.021255612,0.029525638,0.00488621,0.028006673,0.00226748,0.0030702949
dutc1256,0.009144187,0.007903218,0.0069749355,0.00023269653,1.7881393e-07,0.000638783,0.00307101,0.006108105,0.013194323,0.01294601,0.00054627657,0.00054973364,0.002280116,0.008046627,0.01120317,0.008585095,0.00782764,0.0026366115,0.019600332,0.01642263,0.002630949,0.004440367,0.004766941,0.01115793,0.010802329,0.011430383,0.010496318,0.0014801621,0.01648277,0.0036050677,0.0020740032,0.0031089187,0.0020281672,0.0047087073,0.00027281046,0.01749903,0.024662673,0.0031521916,0.031398773,0.0034800172,0.0021084547
faro1244,0.010432184,0.006660402,0.008792639,0.0010203123,0.000638783,5.9604645e-08,0.001516521,0.0074974895,0.012503862,0.010570049,0.0003669262,0.0006979704,0.0033130646,0.005520284,0.009029508,0.009656787,0.008522928,0.002987206,0.016180634,0.015547156,0.004181564,0.002616644,0.0032551289,0.009142995,0.011962414,0.009290338,0.013460875,0.0023981929,0.018601298,0.0039817095,0.004183948,0.0049893856,0.0008048415,0.0052194,0.00070625544,0.01529187,0.02327019,0.0032715201,0.027459621,0.003972292,0.00057917833
finn1318,0.008350432,0.013067663,0.008485973,0.004540026,0.00307101,0.001516521,1.7881393e-07,0.014988184,0.0065149665,0.0042206645,0.0016655326,0.0031210184,0.0050965548,0.0014119744,0.0036446452,0.0075742602,0.0061688423,0.0068815947,0.020199597,0.008521438,0.007765591,0.00017040968,0.0004516244,0.003445685,0.02151215,0.004037261,0.013906598,0.006042838,0.015253603,0.0022945404,0.009712875,0.009435594,0.002996862,0.008575797,0.0040041804,0.0076313615,0.014133334,0.0027342439,0.034433186,0.010145366,0.0003631115
hebr1245,0.01948297,0.006614089,0.014414132,0.004732132,0.006108105,0.0074974895,0.014988184,1.1920929e-07,0.0328812,0.03247404,0.007024646,0.004921496,0.0064705014,0.025348186,0.031132877,0.018905044,0.018850327,0.002253592,0.026553988,0.038425624,0.003712654,0.017920434,0.018725693,0.030335903,0.0012109876,0.032090068,0.016266465,0.0027970076,0.028700113,0.016121507,0.0020564795,0.0026131272,0.008729398,0.003964722,0.0041666627,0.04128009,0.04872626,0.011364639,0.032672226,0.0012958646,0.011392117
hind1269,0.005255878,0.036584556,0.0077115297,0.016784668,0.013194323,0.012503862,0.0065149665,0.0328812,0.0,0.001992762,0.01075989,0.014192104,0.011899829,0.0048013926,0.002530098,0.0046480894,0.0037320852,0.01962334,0.045146644,0.00024473667,0.01746285,0.0050661564,0.003605187,0.001236558,0.044258177,0.003517449,0.011922777,0.017312586,0.0068194866,0.0032464266,0.02291727,0.019656599,0.017436862,0.019730031,0.016096592,0.0017135739,0.0018619299,0.006512463,0.06763941,0.028697968,0.009675145
hung1274,0.008343041,0.03165877,0.011410594,0.016363442,0.01294601,0.010570049,0.0042206645,0.03247404,0.001992762,1.7881393e-07,0.0096876025,0.012785256,0.01246202,0.0020185113,0.0019433498,0.007832885,0.0063149333,0.018451631,0.03756702,0.002436757,0.017935276,0.0029539466,0.0022947788,0.00053334236,0.043049812,0.0028303862,0.017059863,0.017043173,0.012165129,0.004723251,0.02370143,0.020991385,0.014068246,0.01851046,0.015472949,0.001699686,0.0041258335,0.006680727,0.057307005,0.02633518,0.006804049
