,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,1.1920929e-07,0.10608202,0.0018439293,0.037136078,0.026341379,0.026871204,0.010919094,0.07677215,0.00582844,0.0075989366,0.019885838,0.026606202,0.0136419535,0.008305967,0.0069289207,0.00015747547,0.0002643466,0.03676063,0.122143805,0.009757578,0.024908721,0.008266807,0.0057418346,0.0057726502,0.117124975,0.0076799393,0.0024257302,0.031172514,0.0027800202,0.0025565624,0.04657954,0.031517684,0.04235673,0.026978314,0.036135375,0.012061894,0.020352364,0.0053215623,0.19536948,0.07050252,0.018330336
copt1239,0.10608202,0.0,0.083423555,0.019056022,0.028062105,0.027482271,0.056590497,0.005986035,0.14226305,0.13128185,0.03511983,0.0275864,0.045435786,0.08502203,0.108820975,0.102365494,0.10103607,0.019545674,0.0049292445,0.15997726,0.031600237,0.06727177,0.07611102,0.12076169,0.004293859,0.10501087,0.08932263,0.023989737,0.14144725,0.08005071,0.016195476,0.025993407,0.016055584,0.028883636,0.019237459,0.15434909,0.19962305,0.06530368,0.01696819,0.004917681,0.040496826
czec1258,0.0018439293,0.083423555,0.0,0.024084508,0.015837967,0.016858995,0.0071894526,0.056133807,0.012925327,0.014577031,0.011315286,0.016246438,0.0063430667,0.00934279,0.010505617,0.0014360547,0.0016334653,0.023477972,0.100376606,0.01882261,0.01422441,0.00627321,0.004952371,0.011004329,0.091395974,0.010858238,0.0005905032,0.019021034,0.0082678795,0.001531601,0.031127393,0.018788397,0.029613256,0.016086996,0.023162127,0.021120846,0.03341335,0.002095759,0.16693074,0.051702023,0.011595011
dani1285,0.037136078,0.019056022,0.024084508,0.0,0.0009866357,0.0017737746,0.013117313,0.009293437,0.062422812,0.05720216,0.0032496452,0.0012394786,0.006242633,0.029664576,0.043504536,0.035250485,0.034649253,0.0010322928,0.029662669,0.07482314,0.0022771955,0.018681228,0.022826672,0.050091684,0.025616407,0.041362047,0.027191281,0.0007942915,0.059325278,0.022698045,0.001544416,0.0017445683,0.0015949607,0.002421081,0.00014948845,0.07302451,0.10367203,0.015299559,0.06803763,0.005958438,0.006563306
dutc1256,0.026341379,0.028062105,0.015837967,0.0009866357,1.7881393e-07,0.0005529523,0.007234633,0.015801609,0.048007965,0.043510914,0.00078219175,0.00024360418,0.0025778413,0.020401716,0.031944036,0.024776697,0.024196088,0.0019996166,0.038785875,0.0590052,0.001216352,0.011435926,0.014571428,0.037362337,0.03618437,0.03019017,0.018793166,0.00089114904,0.0456177,0.014299691,0.0041921735,0.0020021796,0.002756238,0.0016005635,0.00097203255,0.057539225,0.08497256,0.008618474,0.08304125,0.0115760565,0.0029884577
faro1244,0.026871204,0.027482271,0.016858995,0.0017737746,0.0005529523,5.9604645e-08,0.005680263,0.017284632,0.04657507,0.040928066,0.00058054924,0.0004503131,0.0033786297,0.017753005,0.029338121,0.025047839,0.024177253,0.0024343133,0.036017716,0.05734384,0.0026458502,0.009551108,0.012859166,0.034981906,0.037601173,0.027593791,0.020831764,0.0017716289,0.046587586,0.014165223,0.0062764883,0.003658712,0.0018132925,0.0021687746,0.0014052987,0.05479616,0.08280116,0.008457363,0.08031911,0.012411833,0.0015832186
finn1318,0.010919094,0.056590497,0.0071894526,0.013117313,0.007234633,0.005680263,0.0,0.042075574,0.020866215,0.0163185,0.0036193728,0.0070790052,0.0042343736,0.0034760833,0.009711564,0.009769022,0.0087788105,0.013978004,0.06375444,0.02812761,0.009847045,0.00053685904,0.001578629,0.012785494,0.07162154,0.00878036,0.011308014,0.011393428,0.023970902,0.0032982826,0.02217704,0.0140987635,0.012684286,0.009698153,0.012325406,0.025742888,0.04655105,0.0017981529,0.12132478,0.03460169,0.0013973713
hebr1245,0.07677215,0.005986035,0.056133807,0.009293437,0.015801609,0.017284632,0.042075574,5.9604645e-08,0.1139341,0.10807133,0.021587431,0.015557706,0.026731074,0.06903541,0.08842397,0.073780835,0.07347584,0.008066356,0.020051599,0.13046187,0.015342772,0.05133301,0.058008313,0.09779543,0.0045416355,0.0858649,0.058988214,0.010825098,0.106247485,0.057586372,0.0049884915,0.010372043,0.01142782,0.014156222,0.009243548,0.12892437,0.16656244,0.04453987,0.04174137,0.0013149977,0.028913438
hind1269,0.00582844,0.14226305,0.012925327,0.062422812,0.048007965,0.04657507,0.020866215,0.1139341,1.1920929e-07,0.0019081831,0.038489282,0.048656285,0.0326764,0.009693146,0.0035554767,0.0059487224,0.0055037737,0.06341547,0.15207005,0.000603199,0.0496158,0.015119314,0.011084199,0.0015508533,0.16036147,0.0045650005,0.015215814,0.056617618,0.0039343834,0.010212183,0.07752317,0.058660626,0.06491411,0.051594496,0.060913265,0.0013439059,0.0054470897,0.017293036,0.2349481,0.10468656,0.032788932
hung1274,0.0075989366,0.13128185,0.014577031,0.05720216,0.043510914,0.040928066,0.0163185,0.10807133,0.0019081831,0.0,0.03403765,0.043333888,0.030064583,0.0056012273,0.0024811625,0.007847905,0.0068802238,0.058303118,0.13770312,0.0030949712,0.04611647,0.011291444,0.008263946,0.00072568655,0.15298235,0.0030491948,0.018132627,0.052235246,0.008473694,0.00965029,0.072986305,0.055769563,0.05709517,0.04694891,0.05587125,0.0018076301,0.0090818405,0.015299737,0.21673042,0.096754074,0.027083158
icel1247,0.019885838,0.03511983,0.011315286,0.0032496452,0.00078219175,0.00058054924,0.0036193728,0.021587431,0.038489282,0.03403765,0.0,0.00067412853,0.0012415051,0.014120579,0.024041831,0.018389463,0.017736256,0.0035366416,0.04559821,0.048472583,0.0019524097,0.0067124963,0.009204209,0.028630137,0.044684887,0.02270031,0.014564872,0.0021928549,0.037279427,0.009553611,0.008019567,0.0036578178,0.0044080615,0.0018707514,0.0028058887,0.046885848,0.07204592,0.0047869086,0.09384757,0.016787946,0.000982821
iris1253,0.026606202,0.0275864,0.016246438,0.0012394786,0.00024360418,0.0004503131,0.0070790052,0.015557706,0.048656285,0.043333888,0.00067412853,0.0,0.002455473,0.020374238,0.032485962,0.02511555,0.024486601,0.0015180707,0.03861344,0.059779704,0.0010331869,0.011359096,0.014615238,0.037602663,0.0359174,0.030850172,0.019318283,0.00069600344,0.046197116,0.0147845745,0.004407823,0.0020090938,0.0025765896,0.0008686781,0.0010880828,0.05810368,0.085555255,0.008491635,0.08227724,0.011163771,0.0026675463
ital1282,0.0136419535,0.045435786,0.0063430667,0.006242633,0.0025778413,0.0033786297,0.0042343736,0.026731074,0.0326764,0.030064583,0.0012415051,0.002455473,5.9604645e-08,0.013892472,0.022149682,0.012702227,0.0124902725,0.005888343,0.059934556,0.042021513,0.0018115044,0.006732166,0.008243263,0.025259912,0.052845478,0.02133876,0.008097947,0.003657639,0.028257906,0.006599784,0.010301352,0.004145503,0.009704113,0.0024737716,0.0058590174,0.042224586,0.06373215,0.002557218,0.1121335,0.022539437,0.0030067563
komi1268,0.008305967,0.08502203,0.00934279,0.029664576,0.020401716,0.017753005,0.0034760833,0.06903541,0.009693146,0.0056012273,0.014120579,0.020374238,0.013892472,5.9604645e-08,0.0022131205,0.0075052977,0.006259203,0.031234562,0.08923483,0.014161527,0.02435273,0.0014353395,0.0009227395,0.003780365,0.10490161,0.001707077,0.014098287,0.027296484,0.016670644,0.003614843,0.042764664,0.031003058,0.02806753,0.024388611,0.028571665,0.01127857,0.027347863,0.005577147,0.15605307,0.05919677,0.008965731
kore1280,0.0069289207,0.108820975,0.010505617,0.043504536,0.031944036,0.029338121,0.009711564,0.08842397,0.0035554767,0.0024811625,0.024041831,0.032485962,0.022149682,0.0022131205,0.0,0.006100416,0.0050848722,0.045037925,0.11391461,0.0061379075,0.035865426,0.005726099,0.0036815405,0.0006611943,0.12852007,0.000110685825,0.014823794,0.040041745,0.010861099,0.005481899,0.05833423,0.043212414,0.04295522,0.036584556,0.041959763,0.004388869,0.01562494,0.010198474,0.18828851,0.07905471,0.01815492
latv1249,0.00015747547,0.102365494,0.0014360547,0.035250485,0.024776697,0.025047839,0.009769022,0.073780835,0.0059487224,0.007847905,0.018389463,0.02511555,0.012702227,0.0075052977,0.006100416,5.9604645e-08,5.9127808e-05,0.03475213,0.11788416,0.01006943,0.023726344,0.007181883,0.0048341155,0.005470574,0.113208055,0.0068172216,0.0023681521,0.029493988,0.0034857988,0.0020294785,0.04478848,0.02986002,0.040074646,0.025560975,0.034060717,0.012137353,0.021127105,0.0046482086,0.19040972,0.06794107,0.016814232
lith1251,0.0002643466,0.10103607,0.0016334653,0.034649253,0.024196088,0.024177253,0.0087788105,0.07347584,0.0055037737,0.0068802238,0.017736256,0.024486601,0.0124902725,0.006259203,0.0050848722,5.9127808e-05,2.3841858e-07,0.0343045,0.115554154,0.009598374,0.023581922,0.006179273,0.003954947,0.0045976043,0.11275983,0.0057150126,0.0029111505,0.029140651,0.0039269924,0.0016573071,0.044585943,0.029818892,0.038886547,0.025242448,0.033450365,0.011228502,0.020714521,0.0042749047,0.18782288,0.06724346,0.015781581
malt1254,0.03676063,0.019545674,0.023477972,0.0010322928,0.0019996166,0.0024343133,0.013978004,0.008066356,0.06341547,0.058303118,0.0035366416,0.0015180707,0.005888343,0.031234562,0.045037925,0.03475213,0.0343045,0.0,0.03263247,0.07610345,0.0018262267,0.019528687,0.023625314,0.0511657,0.02419275,0.0433982,0.02637577,0.00038796663,0.058842063,0.023557842,0.001932025,0.0009702444,0.0027798414,0.00104177,0.0006173849,0.074777305,0.10444164,0.01510489,0.07067561,0.0059015155,0.007168472
mand1415,0.122143805,0.0049292445,0.100376606,0.029662669,0.038785875,0.036017716,0.06375444,0.020051599,0.15207005,0.13770312,0.04559821,0.03861344,0.059934556,0.08923483,0.11391461,0.11788416,0.115554154,0.03263247,5.9604645e-08,0.16909456,0.046983838,0.07404137,0.08372605,0.12751502,0.016910255,0.109185636,0.109253526,0.037504017,0.15963125,0.091680884,0.030582488,0.04205185,0.02187252,0.04348606,0.029927194,0.15980023,0.20898324,0.078047454,0.010177255,0.015712678,0.04770887
