,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.069862425,0.0012753606,0.025636733,0.018437386,0.018425822,0.008063793,0.0509395,0.0048844814,0.0062649846,0.013626099,0.018303812,0.009500086,0.0070145726,0.006470561,0.00011140108,0.00021106005,0.024456859,0.0813846,0.0079218745,0.017315567,0.006390691,0.0046108365,0.0051836967,0.077284336,0.007186115,0.0019192696,0.02114302,0.0020769238,0.0021368265,0.03206992,0.021487474,0.02886343,0.01830089,0.024526775,0.010150135,0.01628983,0.0037113428,0.12854862,0.04710704,0.012848854
copt1239,0.069862425,1.7881393e-07,0.05477339,0.011733532,0.01733327,0.017330527,0.036405683,0.0044594407,0.094987035,0.0870595,0.022289991,0.017247617,0.029037535,0.055421412,0.07230532,0.067857504,0.06681961,0.01284647,0.0040423274,0.10734093,0.020245194,0.04379368,0.049547493,0.08016914,0.00339669,0.069275975,0.05865681,0.015360177,0.09503305,0.051232398,0.010382354,0.016975641,0.010078728,0.019131005,0.012064874,0.10333651,0.13771051,0.042228162,0.011134863,0.0032806396,0.025951982
czec1258,0.0012753606,0.05477339,0.0,0.01670891,0.01121521,0.011746466,0.005689323,0.03701538,0.009938717,0.011289299,0.00789398,0.011275768,0.0044888854,0.007893443,0.009147167,0.0010890961,0.0012663603,0.015596569,0.0670535,0.0143466,0.009956777,0.0052514076,0.004254937,0.00900799,0.0599159,0.009501338,0.00049209595,0.012908936,0.0058920383,0.0013692975,0.021422148,0.012791812,0.02038604,0.01101172,0.015765011,0.016588867,0.025786877,0.001591742,0.10963684,0.034430802,0.00846827
dani1285,0.025636733,0.011733532,0.01670891,1.1920929e-07,0.00063335896,0.0013709068,0.009343803,0.0060628057,0.043725073,0.040100813,0.0023536086,0.00093746185,0.0043979287,0.020957232,0.031039,0.024642527,0.024178028,0.0009946227,0.019411027,0.052556455,0.0018689632,0.013377368,0.01607728,0.03533554,0.016201794,0.029317617,0.018809855,0.0007414222,0.04161632,0.015153766,0.0012304783,0.0015184879,0.0012512803,0.0023553371,0.0001129508,0.05151558,0.07498598,0.010622025,0.042969704,0.0038359165,0.0048834085
dutc1256,0.018437386,0.01733327,0.01121521,0.00063335896,1.7881393e-07,0.00046277046,0.005372107,0.010150194,0.03401202,0.030889273,0.0006441474,0.00024276972,0.0019777417,0.014762759,0.023257792,0.017596483,0.017145157,0.0014654994,0.024988055,0.041886926,0.0011806488,0.0084728,0.010522485,0.02676022,0.022897184,0.021858096,0.01329869,0.00073456764,0.032399356,0.009637594,0.0029829144,0.0016425252,0.0018666387,0.0016980767,0.0005660057,0.041093767,0.062142313,0.006147504,0.052348793,0.007371962,0.002403438
faro1244,0.018425822,0.017330527,0.011746466,0.0013709068,0.00046277046,0.0,0.00385499,0.01173991,0.032179117,0.028116226,0.00040721893,0.00041490793,0.0025196671,0.012198389,0.020609558,0.017389357,0.016694486,0.0019143224,0.02326256,0.039785326,0.0023522973,0.0066135526,0.008767068,0.024213135,0.024631143,0.019255519,0.014664173,0.0015127659,0.03262794,0.00919354,0.004844129,0.0030755997,0.0012004972,0.0021768808,0.0010112524,0.038107634,0.059417427,0.0057459474,0.050910234,0.0083627105,0.0011242032
finn1318,0.008063793,0.036405683,0.005689323,0.009343803,0.005372107,0.00385499,5.9604645e-08,0.028535903,0.01463449,0.011283815,0.0026017427,0.005191624,0.0036135316,0.002444744,0.007053137,0.0072948933,0.0064758062,0.009780109,0.040836155,0.019770443,0.007813513,0.0003965497,0.0010932684,0.008965433,0.047477603,0.006374359,0.009041607,0.008324206,0.0176512,0.0022855997,0.016119123,0.010592163,0.008361876,0.0075418353,0.008519471,0.018114626,0.03402865,0.0015282631,0.07734245,0.023376822,0.0009191036
hebr1245,0.0509395,0.0044594407,0.03701538,0.0060628057,0.010150194,0.01173991,0.028535903,5.9604645e-08,0.07804376,0.07383728,0.014299214,0.0100008845,0.017052352,0.047269464,0.061410487,0.04949844,0.049311876,0.00536561,0.015738428,0.08981359,0.009544253,0.035153627,0.039422035,0.06723708,0.0028921366,0.0593881,0.038452625,0.006890714,0.071821034,0.037736118,0.0030184984,0.0065268874,0.008311152,0.009298086,0.0061831474,0.08916724,0.11756748,0.029330313,0.028678656,0.0009287596,0.019775212
hind1269,0.0048844814,0.094987035,0.009938717,0.043725073,0.03401202,0.032179117,0.01463449,0.07804376,0.0,0.0015268326,0.026884198,0.034337103,0.023862243,0.007037878,0.0026831627,0.0046740174,0.0042483807,0.04392433,0.10057795,0.00044041872,0.035953045,0.010553956,0.007807255,0.0011817217,0.108566046,0.0035615563,0.01239413,0.03985685,0.003712356,0.007658541,0.05484903,0.041725993,0.04430282,0.036803722,0.042152822,0.0011377931,0.004340768,0.0126068,0.15494472,0.07178861,0.022702813
hung1274,0.0062649846,0.0870595,0.011289299,0.040100813,0.030889273,0.028116226,0.011283815,0.07383728,0.0015268326,5.9604645e-08,0.023670077,0.030485213,0.021973252,0.004010141,0.0019524693,0.0061751604,0.005342126,0.04015708,0.09042972,0.0024120212,0.03343016,0.0077207685,0.0057293177,0.00054985285,0.103236616,0.0025476217,0.014699161,0.036700368,0.0072678924,0.007357478,0.051722348,0.03970301,0.03869611,0.033295512,0.038605213,0.0015182495,0.007134974,0.011130989,0.14183277,0.06607562,0.018498957
icel1247,0.013626099,0.022289991,0.00789398,0.0023536086,0.0006441474,0.00040721893,0.0026017427,0.014299214,0.026884198,0.023670077,0.0,0.00051242113,0.0009778738,0.010037661,0.01736176,0.012807131,0.012291372,0.0024302602,0.029745817,0.034000695,0.0017203689,0.0048623085,0.006466031,0.020169973,0.02902472,0.01634252,0.010274887,0.0016392469,0.026166916,0.00621593,0.005870402,0.0028631687,0.0029750466,0.0017148852,0.0019000769,0.033104837,0.052209973,0.0032383204,0.059942424,0.011081159,0.0007867813
iris1253,0.018303812,0.017247617,0.011275768,0.00093746185,0.00024276972,0.00041490793,0.005191624,0.0100008845,0.034337103,0.030485213,0.00051242113,0.0,0.0016937852,0.0146968365,0.023673296,0.017561972,0.01708734,0.00097596645,0.025445461,0.042322755,0.00087863207,0.008342445,0.010462165,0.026800632,0.02285415,0.02242595,0.013391972,0.0005007982,0.032446325,0.009910643,0.0031896234,0.0015452504,0.001871705,0.00087046623,0.0007289052,0.041424572,0.062289357,0.0058264732,0.052407265,0.007126689,0.0021160245
ital1282,0.009500086,0.029037535,0.0044888854,0.0043979287,0.0019777417,0.0025196671,0.0036135316,0.017052352,0.023862243,0.021973252,0.0009778738,0.0016937852,1.7881393e-07,0.010920644,0.017306149,0.009101272,0.008967161,0.0036488175,0.039886355,0.030701756,0.0012660027,0.0055944324,0.00653708,0.01895219,0.03371203,0.016733825,0.005650878,0.00235039,0.020078361,0.0047215223,0.007029712,0.0027427673,0.0068143606,0.0016508102,0.0039482117,0.03132087,0.04760301,0.0018849373,0.072449505,0.01451391,0.002570033
komi1268,0.0070145726,0.055421412,0.007893443,0.020957232,0.014762759,0.012198389,0.002444744,0.047269464,0.007037878,0.004010141,0.010037661,0.0146968365,0.010920644,0.0,0.0016565919,0.006295085,0.005239606,0.02191466,0.057096124,0.010164976,0.018511057,0.0009813309,0.000697732,0.0027127862,0.07035571,0.0013113022,0.012028217,0.01968509,0.01341325,0.0029884577,0.030789196,0.022801697,0.018735409,0.018207371,0.019817173,0.007993102,0.020490944,0.0046123266,0.09994376,0.040400922,0.006124854
kore1280,0.006470561,0.07230532,0.009147167,0.031039,0.023257792,0.020609558,0.007053137,0.061410487,0.0026831627,0.0019524693,0.01736176,0.023673296,0.017306149,0.0016565919,0.0,0.00561589,0.0047052503,0.032105744,0.07404703,0.0043966174,0.027264953,0.0041496158,0.002806127,0.0005340576,0.0874635,0.000102341175,0.0131441355,0.02916044,0.009609759,0.0046373606,0.042276144,0.031968176,0.029358745,0.027435124,0.029548466,0.003002882,0.011860371,0.008297563,0.122418344,0.054800093,0.012833953
latv1249,0.00011140108,0.067857504,0.0010890961,0.024642527,0.017596483,0.017389357,0.0072948933,0.04949844,0.0046740174,0.0061751604,0.012807131,0.017561972,0.009101272,0.006295085,0.00561589,5.9604645e-08,5.0723553e-05,0.02349478,0.07882035,0.007766366,0.016863465,0.0056034327,0.003917694,0.004707992,0.07531613,0.0062940717,0.002014041,0.020358026,0.002492547,0.0017400384,0.031273544,0.020755768,0.027556002,0.017737329,0.023415029,0.009778261,0.016384542,0.003355503,0.12570226,0.04587984,0.011931896
lith1251,0.00021106005,0.06681961,0.0012663603,0.024178028,0.017145157,0.016694486,0.0064758062,0.049311876,0.0042483807,0.005342126,0.012291372,0.01708734,0.008967161,0.005239606,0.0047052503,5.0723553e-05,0.0,0.023179412,0.0769546,0.007302046,0.016801,0.004758835,0.0031713843,0.0039288998,0.075009584,0.005313039,0.0024880767,0.020115137,0.0028678179,0.0014194846,0.03115654,0.020771325,0.02660811,0.01754582,0.022939622,0.008940041,0.015960276,0.0030654073,0.12364972,0.045375586,0.01109457
