,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,1.8131583,0.010872006,1.3359293,0.83212954,0.58638537,0.025766551,1.717531,0.027509212,0.022948205,0.32340783,0.79459524,0.26776397,0.02962333,0.048743427,0.0019489527,0.0027968287,1.2321187,1.8360319,0.033286452,0.9049953,0.022787154,0.018408239,0.03092748,1.8090284,0.052295923,0.025778115,1.112476,0.003195107,0.005463779,1.5335624,1.1909223,1.247476,0.87319237,1.2652223,0.042767048,0.03651589,0.020323873,1.8904105,1.6928234,0.103434384
copt1239,1.8131583,1.1920929e-07,1.7251828,0.18252313,0.5658952,0.81140745,1.71998,0.019089162,1.8912644,1.8915685,1.122666,0.613086,1.2193182,1.8495378,1.8702866,1.8149388,1.8218466,0.2545783,0.028478444,1.9010253,0.5401967,1.7855356,1.8121548,1.881817,0.0050476193,1.8696767,1.680969,0.3459245,1.8550638,1.7873915,0.09632009,0.29438937,0.24264145,0.5636396,0.2240541,1.9039086,1.9132795,1.6825157,0.015145779,0.02754283,1.4984885
czec1258,0.010872006,1.7251828,5.9604645e-08,1.205493,0.7024953,0.47157717,0.023334086,1.6132147,0.060550153,0.059649587,0.23375547,0.67442864,0.19107336,0.05725068,0.08014315,0.011933029,0.014936149,1.0998106,1.7605675,0.069710135,0.7845567,0.033332527,0.033373535,0.06380278,1.7172387,0.084404826,0.007021606,0.9809113,0.023326159,0.010703504,1.4181743,1.0571518,1.1203419,0.75447553,1.1290641,0.08253801,0.07692522,0.006668806,1.8225483,1.5914512,0.06521523
dani1285,1.3359293,0.18252313,1.205493,5.9604645e-08,0.12841237,0.30652386,1.2294476,0.10828352,1.504605,1.4963186,0.5411879,0.15760165,0.6192933,1.4451919,1.5025113,1.3467717,1.3601538,0.009858727,0.27312988,1.5265238,0.12945169,1.3357034,1.3721426,1.4960343,0.1803981,1.5059121,1.1377491,0.033836722,1.4076915,1.3097415,0.03839785,0.024624646,0.035530746,0.14060116,0.007130325,1.5435557,1.547955,1.1456882,0.28794026,0.09287989,0.94810116
dutc1256,0.83212954,0.5658952,0.7024953,0.12841237,5.9604645e-08,0.054033518,0.72836804,0.4426365,1.020385,1.0081056,0.16561288,0.010922968,0.22308075,0.95616925,1.0272768,0.8441067,0.8580964,0.08642799,0.6671958,1.0461946,0.044001758,0.8383354,0.87514836,1.0118512,0.5648986,1.0323533,0.64154434,0.050071597,0.9092685,0.8056976,0.2746808,0.08375561,0.112353384,0.03766495,0.098813355,1.0678644,1.0703917,0.6421897,0.7139512,0.41193777,0.47304732
faro1244,0.58638537,0.81140745,0.47157717,0.30652386,0.054033518,0.0,0.46186566,0.6980742,0.7374681,0.72980154,0.053482354,0.07014793,0.13369292,0.6660175,0.72980106,0.588187,0.59836423,0.25256687,0.86767995,0.7614746,0.16447413,0.55675185,0.5939038,0.7236268,0.824009,0.73338294,0.43956262,0.19874823,0.6565033,0.5455755,0.51995677,0.25770628,0.22088915,0.14237726,0.24731201,0.77738285,0.78682685,0.41551375,0.9543462,0.6681998,0.24735963
finn1318,0.025766551,1.71998,0.023334086,1.2294476,0.72836804,0.46186566,0.0,1.6399277,0.04798293,0.04399818,0.24425197,0.70666003,0.23888087,0.02678734,0.05049473,0.020825386,0.020332277,1.1378597,1.7114836,0.05548328,0.852382,0.0069561005,0.012341976,0.042630076,1.7329798,0.05232966,0.049465954,1.0285225,0.037620544,0.0103600025,1.4636052,1.1176646,1.0936571,0.81300676,1.14726,0.06033957,0.0635435,0.018327475,1.7975063,1.6134148,0.040726125
hebr1245,1.717531,0.019089162,1.6132147,0.10828352,0.4426365,0.6980742,1.6399277,5.9604645e-08,1.8332353,1.8331108,0.9886145,0.48279494,1.0629294,1.7961835,1.8254058,1.724705,1.7351536,0.1593476,0.08666289,1.8469174,0.3986113,1.7179917,1.7446198,1.8283875,0.011137426,1.8270915,1.5521662,0.2328617,1.7676165,1.6996131,0.03601855,0.18263471,0.19177055,0.42434,0.14601898,1.8574189,1.8610088,1.5717912,0.06594753,0.005906403,1.3998814
hind1269,0.027509212,1.8912644,0.060550153,1.504605,1.020385,0.7374681,0.04798293,1.8332353,0.0,0.0038352013,0.46800023,0.99636096,0.43269163,0.0064430237,0.005590141,0.019405723,0.015922904,1.4182415,1.8657904,0.00034749508,1.125117,0.020651698,0.012312591,0.0008958578,1.8955599,0.0067783,0.10056245,1.3122278,0.01519829,0.023925602,1.6972741,1.3879023,1.3876208,1.0908297,1.4280213,0.0019185543,0.0014008284,0.08187449,1.9343691,1.8202245,0.17232233
hung1274,0.022948205,1.8915685,0.059649587,1.4963186,1.0081056,0.72980154,0.04399818,1.8331108,0.0038352013,2.3841858e-07,0.45703155,0.9729065,0.41327924,0.006444454,0.01411438,0.01924634,0.01582247,1.4066551,1.8725557,0.004505813,1.0999328,0.021049976,0.013608336,0.003837645,1.8993497,0.0154572725,0.095856726,1.296939,0.013104141,0.023681998,1.6854029,1.3779585,1.380326,1.0637654,1.4258871,0.006021619,0.0044251084,0.07293874,1.9343503,1.8109211,0.16392487
icel1247,0.32340783,1.122666,0.23375547,0.5411879,0.16561288,0.053482354,0.24425197,0.9886145,0.46800023,0.45703155,0.0,0.15771574,0.029331863,0.41472238,0.4770363,0.32987344,0.33952606,0.45631152,1.1934792,0.49001914,0.2584194,0.32318193,0.35045916,0.46025318,1.1266067,0.48199648,0.2046901,0.36767185,0.3825978,0.29964644,0.7707436,0.44035608,0.45924395,0.23179293,0.47490346,0.5085699,0.5106443,0.19101661,1.2701201,0.9527072,0.09522176
iris1253,0.79459524,0.613086,0.67442864,0.15760165,0.010922968,0.07014793,0.70666003,0.48279494,0.99636096,0.9729065,0.15771574,5.9604645e-08,0.18792105,0.9333137,1.0154942,0.8146174,0.8290262,0.10366738,0.7327535,1.0222528,0.02347505,0.8196325,0.8548828,0.98898757,0.61207616,1.0214468,0.60571903,0.05701506,0.8727442,0.78047264,0.2928772,0.09718335,0.1533128,0.014897525,0.13771224,1.045267,1.04344,0.6070006,0.76223534,0.43936074,0.4577592
ital1282,0.26776397,1.2193182,0.19107336,0.6192933,0.22308075,0.13369292,0.23888087,1.0629294,0.43269163,0.41327924,0.029331863,0.18792105,0.0,0.3974632,0.46601826,0.28593755,0.29750633,0.5153298,1.3322725,0.45423847,0.2540744,0.3154952,0.33479822,0.4328394,1.2089626,0.47312337,0.14511031,0.40907222,0.3231203,0.26870954,0.8167792,0.47858495,0.5844845,0.23256046,0.56829154,0.47837955,0.46971136,0.15357357,1.3726593,1.0185615,0.116310894
komi1268,0.02962333,1.8495378,0.05725068,1.4451919,0.95616925,0.6660175,0.02678734,1.7961835,0.0064430237,0.006444454,0.41472238,0.9333137,0.3974632,1.7881393e-07,0.0064373016,0.020913959,0.017044663,1.361527,1.8149583,0.008039415,1.0775379,0.0073192716,0.0041151047,0.0029696226,1.8630695,0.007027805,0.09957045,1.2570987,0.023278356,0.018838882,1.6546674,1.3409517,1.3074359,1.0387796,1.3660628,0.00786382,0.010926008,0.06749129,1.8947086,1.7772028,0.13010693
kore1280,0.048743427,1.8702866,0.08014315,1.5025113,1.0272768,0.72980106,0.05049473,1.8254058,0.005590141,0.01411438,0.4770363,1.0154942,0.46601826,0.0064373016,0.0,0.034727335,0.02993244,1.4252961,1.8224502,0.005323231,1.1596884,0.020197213,0.014077425,0.0033560991,1.880675,8.8095665e-05,0.13011193,1.3274708,0.0354293,0.03477764,1.7067251,1.4037809,1.3641899,1.1231778,1.4189887,0.0037834644,0.007980943,0.10182083,1.90662,1.8176241,0.17258102
latv1249,0.0019489527,1.8149388,0.011933029,1.3467717,0.8441067,0.588187,0.020825386,1.724705,0.019405723,0.01924634,0.32987344,0.8146174,0.28593755,0.020913959,0.034727335,1.1920929e-07,0.00020837784,1.2468326,1.8262258,0.024716318,0.9326519,0.014460862,0.010421634,0.021911323,1.8121133,0.03779888,0.03268361,1.1309357,0.003467381,0.0020636916,1.5510725,1.2084303,1.2485243,0.9001588,1.2707258,0.032890677,0.02881968,0.024581373,1.8892994,1.7050943,0.10138923
lith1251,0.0027968287,1.8218466,0.014936149,1.3601538,0.8580964,0.59836423,0.020332277,1.7351536,0.015922904,0.01582247,0.33952606,0.8290262,0.29750633,0.017044663,0.02993244,0.00020837784,0.0,1.2615395,1.8287506,0.020806253,0.9494324,0.012312233,0.008165598,0.017955959,1.8204291,0.032776892,0.037877858,1.1465423,0.0032840967,0.00210917,1.564677,1.2246146,1.2583389,0.91632855,1.2837996,0.028178096,0.024697125,0.027675867,1.8931749,1.7156911,0.104231596
malt1254,1.2321187,0.2545783,1.0998106,0.009858727,0.08642799,0.25256687,1.1378597,0.1593476,1.4182415,1.4066551,0.45631152,0.10366738,0.5153298,1.361527,1.4252961,1.2468326,1.2615395,5.9604645e-08,0.36555725,1.4418144,0.075047314,1.248175,1.2837349,1.4117907,0.24704355,1.4301699,1.0256139,0.00905019,1.3067418,1.2130659,0.06058234,0.0064135194,0.05092883,0.082849026,0.013034761,1.4623713,1.462965,1.0395731,0.3757164,0.1391452,0.858031
mand1415,1.8360319,0.028478444,1.7605675,0.27312988,0.6671958,0.86767995,1.7114836,0.08666289,1.8657904,1.8725557,1.1934792,0.7327535,1.3322725,1.8149583,1.8224502,1.8262258,1.8287506,0.36555725,0.0,1.8719316,0.69558793,1.7620835,1.7905192,1.8495214,0.05028206,1.8189154,1.7433586,0.4715498,1.8696265,1.7919685,0.204458,0.42507,0.2829938,0.7127181,0.30367416,1.8657403,1.8848336,1.7195278,0.015528917,0.10245806,1.5108231
