,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,1.235849,0.021153629,0.7764565,0.54905283,0.40697092,0.04185134,1.1743788,0.057953417,0.047116518,0.3215472,0.5687237,0.33160466,0.02860874,0.06126088,0.0017672181,0.0028777719,0.7496761,1.1507351,0.07528168,0.68611014,0.018986583,0.014473796,0.051933467,1.3197175,0.061044633,0.050307333,0.71537125,0.013672471,0.008051217,1.0220667,0.77216154,0.64490736,0.6507541,0.7024392,0.08583468,0.09927279,0.053896666,1.4047657,1.1455766,0.15208554
copt1239,1.235849,0.0,1.0402092,0.10789752,0.24058151,0.3597892,0.99465966,0.009586871,1.5142279,1.4773879,0.44679374,0.22996926,0.4441123,1.3347248,1.4728664,1.262528,1.2757874,0.12302852,0.02540046,1.5554185,0.16969323,1.1676338,1.2334098,1.4784099,0.009970069,1.4634026,0.9470362,0.14260226,1.3908862,1.1439693,0.03689754,0.12032682,0.17949367,0.18803006,0.14319241,1.5646114,1.6098319,0.9110114,0.020399392,0.010462761,0.703024
czec1258,0.021153629,1.0402092,1.7881393e-07,0.58919436,0.3835649,0.2645985,0.021276653,0.97413516,0.13849229,0.12457514,0.19378024,0.40406662,0.20169306,0.07696831,0.13456833,0.0274207,0.031966925,0.56487215,0.9629254,0.16473925,0.50903577,0.031952858,0.039592624,0.12715775,1.1228803,0.13272858,0.009036481,0.53332084,0.06522262,0.011639059,0.8248962,0.5838818,0.47386605,0.47852743,0.5197488,0.17905915,0.20083761,0.013266683,1.221766,0.94898987,0.075822115
dani1285,0.7764565,0.10789752,0.58919436,0.0,0.029427826,0.08993757,0.5631065,0.08305216,1.089788,1.0481584,0.13542253,0.027172685,0.13030916,0.90031743,1.0544465,0.80646265,0.8212324,0.003127873,0.10495877,1.1392713,0.014380932,0.7275138,0.79048455,1.0533637,0.15193343,1.0451336,0.5035242,0.0047338605,0.93790615,0.69215715,0.03597915,0.006079972,0.019643545,0.019456983,0.0039126277,1.1553301,1.2046059,0.47723085,0.20997256,0.07048166,0.32061344
dutc1256,0.54905283,0.24058151,0.3835649,0.029427826,0.0,0.0189538,0.36098832,0.20498532,0.8484247,0.8067515,0.040252805,0.0027355552,0.03982973,0.66595006,0.81577283,0.5767237,0.5901979,0.026291728,0.21353501,0.897915,0.021856844,0.50584024,0.5627553,0.81279916,0.3036499,0.80698967,0.31371146,0.01955694,0.7005564,0.47264028,0.12448436,0.03586799,0.012571812,0.017220795,0.0146128535,0.9145275,0.9637088,0.28754854,0.37394804,0.18542457,0.16619194
faro1244,0.40697092,0.3597892,0.2645985,0.08993757,0.0189538,5.9604645e-08,0.23086411,0.32706052,0.67485255,0.6338969,0.0069686174,0.026249409,0.01943314,0.4983514,0.63916016,0.4289767,0.4396749,0.083542764,0.301432,0.7221041,0.07586801,0.35472846,0.40650797,0.6380345,0.44077194,0.63049674,0.21603382,0.0736683,0.54620135,0.33301622,0.23084998,0.10346246,0.03687924,0.061282992,0.059717,0.7356689,0.7861716,0.17949915,0.50397146,0.3026787,0.07803792
finn1318,0.04185134,0.99465966,0.021276653,0.5631065,0.36098832,0.23086411,5.9604645e-08,0.95414984,0.14806229,0.124111235,0.17173326,0.38022977,0.19942564,0.06184143,0.13008267,0.04569304,0.047179163,0.5442922,0.88267183,0.17468631,0.50273824,0.015918076,0.029908061,0.12686658,1.0985415,0.12597185,0.042669952,0.51747656,0.09440583,0.015997052,0.81120646,0.5781417,0.4246009,0.46593642,0.49284488,0.18170297,0.21298862,0.013281226,1.1571052,0.92041916,0.043958247
hebr1245,1.1743788,0.009586871,0.97413516,0.08305216,0.20498532,0.32706052,0.95414984,0.0,1.4734621,1.4394,0.40434182,0.19434011,0.38864058,1.3011701,1.4404658,1.2043569,1.2199997,0.092484415,0.054244995,1.5167904,0.12727618,1.1287537,1.1926231,1.4420103,0.011836946,1.4322366,0.87133473,0.107853115,1.330377,1.0913284,0.0149303675,0.08226836,0.16391349,0.14739007,0.11626655,1.531338,1.5725493,0.8543401,0.051950455,0.0034740567,0.66540885
hind1269,0.057953417,1.5142279,0.13849229,1.089788,0.8484247,0.67485255,0.14806229,1.4734621,1.1920929e-07,0.004678488,0.5801729,0.8750388,0.60837746,0.022840977,0.0039682984,0.044460654,0.039039373,1.0679415,1.4022871,0.0012639165,1.0118601,0.06967014,0.046736658,0.0016525388,1.5948632,0.0052494407,0.20668149,1.035333,0.020698905,0.08074802,1.3409791,1.0964962,0.93505883,0.97256655,1.0093079,0.0030885339,0.0068193674,0.20455897,1.6441942,1.4491811,0.33856207
hung1274,0.047116518,1.4773879,0.12457514,1.0481584,0.8067515,0.6338969,0.124111235,1.4394,0.004678488,0.0,0.54059947,0.8280597,0.567372,0.013858795,0.008141458,0.03769493,0.0322873,1.0244263,1.3644902,0.0080625415,0.9660483,0.054749846,0.03567481,0.0025448203,1.5656894,0.00897491,0.18939292,0.99175483,0.018792927,0.06813538,1.3008701,1.0568585,0.88996184,0.9241187,0.96958953,0.009086609,0.015250981,0.17786723,1.6081741,1.4080999,0.30324638
icel1247,0.3215472,0.44679374,0.19378024,0.13542253,0.040252805,0.0069686174,0.17173326,0.40434182,0.5801729,0.54059947,1.1920929e-07,0.047955215,0.007899165,0.41672778,0.5510366,0.3436401,0.35417593,0.12419808,0.38979512,0.6260179,0.10506588,0.28314942,0.3295216,0.54679334,0.5293433,0.54348814,0.14969778,0.10970205,0.4510064,0.2583605,0.29358143,0.1433593,0.073755324,0.08760691,0.099009335,0.6410476,0.68745315,0.12111163,0.60445863,0.37796032,0.04584515
iris1253,0.5687237,0.22996926,0.40406662,0.027172685,0.0027355552,0.026249409,0.38022977,0.19434011,0.8750388,0.8280597,0.047955215,0.0,0.04260218,0.69003534,0.84508324,0.59953403,0.61318463,0.020817518,0.21120125,0.9247713,0.014039874,0.52888197,0.5867985,0.8387023,0.29241627,0.8366943,0.33039463,0.014610529,0.7225839,0.49572086,0.113609076,0.031001389,0.014159262,0.008296967,0.015708447,0.9412859,0.9892977,0.30211103,0.36072177,0.17159069,0.17966765
ital1282,0.33160466,0.4441123,0.20169306,0.13030916,0.03982973,0.01943314,0.19942564,0.38864058,0.60837746,0.567372,0.007899165,0.04260218,5.9604645e-08,0.45182246,0.5890331,0.35917258,0.3717026,0.11446327,0.41356617,0.65495443,0.08465439,0.31518275,0.3603652,0.57884026,0.5160873,0.58271444,0.14533913,0.09751916,0.4617687,0.2788176,0.27264816,0.12604767,0.08591908,0.07034767,0.0989387,0.67385626,0.71499264,0.13146895,0.60938746,0.3622961,0.06866664
komi1268,0.02860874,1.3347248,0.07696831,0.90031743,0.66595006,0.4983514,0.06184143,1.3011701,0.022840977,0.013858795,0.41672778,0.69003534,0.45182246,2.3841858e-07,0.014896393,0.020213544,0.016013563,0.88047177,1.2080929,0.03312856,0.83193314,0.01574266,0.0070900917,0.013255715,1.433281,0.013601482,0.13490999,0.85030836,0.02441281,0.030080497,1.162403,0.9167774,0.7386272,0.7900612,0.82074034,0.03439182,0.050920904,0.11186576,1.4738455,1.2695328,0.2037763
kore1280,0.06126088,1.4728664,0.13456833,1.0544465,0.81577283,0.63916016,0.13008267,1.4404658,0.0039682984,0.008141458,0.5510366,0.84508324,0.5890331,0.014896393,0.0,0.045399785,0.039320886,1.0359805,1.3455542,0.0065710545,0.9887302,0.056353986,0.036972225,0.0017147064,1.5603832,0.00013256073,0.20644397,1.005808,0.030215204,0.07360941,1.3125901,1.069142,0.89198667,0.9481948,0.97217435,0.006417215,0.0153687,0.19376177,1.5992103,1.4164234,0.31112397
latv1249,0.0017672181,1.262528,0.0274207,0.80646265,0.5767237,0.4289767,0.04569304,1.2043569,0.044460654,0.03769493,0.3436401,0.59953403,0.35917258,0.020213544,0.045399785,5.9604645e-08,0.00026375055,0.7811521,1.1695879,0.060182214,0.72163117,0.015978336,0.00963825,0.038970172,1.3465749,0.045151114,0.06290662,0.747731,0.009933889,0.0085891485,1.0563984,0.8049216,0.6699619,0.68571633,0.7298753,0.06956422,0.08308333,0.065285325,1.4277377,1.1781194,0.1649645
lith1251,0.0028777719,1.2757874,0.031966925,0.8212324,0.5901979,0.4396749,0.047179163,1.2199997,0.039039373,0.0322873,0.35417593,0.61318463,0.3717026,0.016013563,0.039320886,0.00026375055,3.5762787e-07,0.79629403,1.1793246,0.0539757,0.73765165,0.014765263,0.0077982545,0.03334695,1.3612139,0.0390355,0.070288956,0.7631156,0.008876562,0.009728253,1.0728556,0.8213723,0.6817257,0.7009748,0.74408066,0.06248969,0.076036096,0.07032758,1.4383138,1.1932583,0.17048669
malt1254,0.7496761,0.12302852,0.56487215,0.003127873,0.026291728,0.083542764,0.5442922,0.092484415,1.0679415,1.0244263,0.12419808,0.020817518,0.11446327,0.88047177,1.0359805,0.7811521,0.79629403,0.0,0.1268726,1.1178839,0.00748384,0.70775425,0.7699353,1.032116,0.16622365,1.0276005,0.47782993,0.0012105703,0.9107542,0.6709703,0.041416347,0.0034392476,0.02174282,0.009657919,0.0051746964,1.1349807,1.1822954,0.45415694,0.23210865,0.07920325,0.30563092
mand1415,1.1507351,0.02540046,0.9629254,0.10495877,0.21353501,0.301432,0.88267183,0.054244995,1.4022871,1.3644902,0.38979512,0.21120125,0.41356617,1.2080929,1.3455542,1.1695879,1.1793246,0.1268726,1.1920929e-07,1.4431592,0.18476069,1.0470296,1.1145672,1.3591661,0.061102927,1.3338258,0.892346,0.14737481,1.305497,1.0427278,0.07712883,0.13899672,0.13766778,0.19538277,0.12805825,1.4460516,1.501018,0.82952356,0.042578638,0.050103664,0.6076038
mara1378,0.07528168,1.5554185,0.16473925,1.1392713,0.897915,0.7221041,0.17468631,1.5167904,0.0012639165,0.0080625415,0.6260179,0.9247713,0.65495443,0.03312856,0.0065710545,0.060182214,0.0539757,1.1178839,1.4431592,2.9802322e-07,1.0619309,0.088453114,0.06257206,0.004586756,1.6338078,0.008220851,0.2372235,1.085418,0.030166626,0.101614356,1.38761,1.1463107,0.98398286,1.0226828,1.0590395,0.00084614754,0.0023379922,0.2358535,1.6789744,1.4932129,0.37622297
