,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,1.9157457,0.0077254176,1.8284731,1.6912122,1.3336554,0.016729593,1.9140577,0.017673194,0.010007262,1.0765662,1.6870096,1.31938,0.010829806,0.022292674,0.0016147494,0.0022194386,1.8029003,1.8844125,0.02066952,1.782489,0.0076945424,0.0070043206,0.015906155,1.9344466,0.023283243,0.049600184,1.7971416,0.0043212175,0.0029819012,1.8877743,1.832828,1.7026265,1.7453005,1.7967414,0.022079289,0.02206701,0.046020806,1.9282997,1.8989828,0.15763915
copt1239,1.9157457,0.0,1.8629642,0.016695201,0.077035844,0.318056,1.8488121,0.001876533,1.9667158,1.9551365,0.5297049,0.08132315,0.33383518,1.9411104,1.9633429,1.9302325,1.933001,0.027463317,0.013523579,1.9702352,0.04002428,1.910727,1.9267116,1.9608102,0.002572298,1.9627972,1.7569418,0.030103624,1.9485862,1.9112847,0.00515306,0.018960476,0.07306749,0.057276547,0.02780205,1.969614,1.9735073,1.7538948,0.0014588237,0.002466023,1.5652441
czec1258,0.0077254176,1.8629642,2.3841858e-07,1.7582384,1.6039097,1.2262896,0.011732399,1.8600619,0.043945074,0.032941937,0.9644818,1.6021614,1.2129984,0.029660702,0.0486207,0.012826741,0.014657557,1.729584,1.828468,0.048678696,1.7084506,0.016799748,0.020108521,0.04053825,1.8854512,0.049765527,0.021704912,1.7231836,0.021813154,0.009801924,1.8289614,1.7632468,1.6189654,1.6678196,1.7208347,0.050638437,0.05155766,0.021122515,1.8802443,1.843069,0.1097762
dani1285,1.8284731,0.016695201,1.7582384,0.0,0.022718608,0.2018627,1.7457259,0.017296731,1.9090602,1.8893766,0.3801697,0.026203454,0.21155882,1.8712358,1.907299,1.8500991,1.8544627,0.0031413436,0.024710119,1.915315,0.009786308,1.8277961,1.8493807,1.9004526,0.027769208,1.9070613,1.6266018,0.0037163496,1.8761997,1.8249686,0.009247482,0.003699541,0.02495414,0.017602026,0.0019373894,1.9153903,1.9203656,1.6240492,0.025039732,0.011305213,1.4146734
dutc1256,1.6912122,0.077035844,1.6039097,0.022718608,5.9604645e-08,0.09450412,1.5890596,0.077997684,1.8011025,1.7726467,0.22820985,0.0031510592,0.10450971,1.7490788,1.8001826,1.719562,1.7252797,0.017689288,0.07371241,1.810286,0.019033015,1.6918025,1.7196057,1.7890935,0.09908515,1.8001688,1.4511366,0.016328037,1.7544785,1.6870747,0.057770073,0.030195057,0.005841017,0.014995098,0.013142407,1.8107233,1.8173957,1.4444407,0.09198558,0.06429267,1.21442
faro1244,1.3336554,0.318056,1.2262896,0.2018627,0.09450412,1.7881393e-07,1.1942962,0.32575732,1.4763947,1.4359947,0.03753501,0.10130352,0.037852764,1.4002013,1.473074,1.3677294,1.3742205,0.18659794,0.27720493,1.489763,0.18442935,1.3232727,1.3608172,1.4577777,0.3624686,1.47289,1.0660708,0.18313754,1.4176217,1.3214208,0.2878548,0.22367936,0.09498924,0.15805864,0.16912037,1.4894238,1.5006665,1.0380795,0.33988452,0.29910886,0.783467
finn1318,0.016729593,1.8488121,0.011732399,1.7457259,1.5890596,1.1942962,0.0,1.8550757,0.04558456,0.032753766,0.9429308,1.5904717,1.2146443,0.023579657,0.045640767,0.01999706,0.020345211,1.7232435,1.7934506,0.050252914,1.7082231,0.0092296,0.01534456,0.039369583,1.8792081,0.04590261,0.045823574,1.7178911,0.032203734,0.010186613,1.8251699,1.7625375,1.5887547,1.6665838,1.706734,0.050085068,0.05401689,0.02241975,1.8602278,1.835196,0.08493304
hebr1245,1.9140577,0.001876533,1.8600619,0.017296731,0.077997684,0.32575732,1.8550757,1.1920929e-07,1.9693636,1.9578149,0.53296363,0.08013362,0.32643962,1.9463462,1.9681082,1.9298663,1.9332612,0.024921238,0.02444607,1.9730055,0.03454423,1.9162309,1.9312843,1.9644701,0.0015801191,1.9679589,1.747633,0.027117133,1.9469764,1.913599,0.002336502,0.014552593,0.0803954,0.051701188,0.029122233,1.9732392,1.9758742,1.753345,0.005829811,0.001281321,1.5742621
hind1269,0.017673194,1.9667158,0.043945074,1.9090602,1.8011025,1.4763947,0.04558456,1.9693636,0.0,0.001983881,1.2399563,1.8022001,1.4843214,0.004135549,0.0008133054,0.009563863,0.008086801,1.8941565,1.9293094,0.00012975931,1.8819855,0.014243841,0.008214772,0.00031924248,1.9796627,0.0010982752,0.12270093,1.890368,0.0057945848,0.014885306,1.9545102,1.9172727,1.8016841,1.8534654,1.8834062,0.00028771162,0.00040191412,0.11298245,1.9709688,1.960658,0.24682492
hung1274,0.010007262,1.9551365,0.032941937,1.8893766,1.7726467,1.4359947,0.032753766,1.9578149,0.001983881,0.0,1.1934836,1.7708455,1.4390657,0.0017809868,0.0037657022,0.0051482916,0.0039901137,1.8714263,1.9179127,0.002917111,1.8566743,0.008402169,0.0041789412,0.0012965798,1.9710994,0.0041807294,0.102711916,1.8671234,0.00303787,0.00874877,1.9392791,1.8976755,1.7743335,1.8248906,1.8624138,0.0030921698,0.0033976436,0.09059143,1.9607264,1.9461051,0.21611387
