,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.30253345,0.06056577,0.2266661,0.17138249,0.06588966,0.092989564,0.085268915,0.12946475,0.05248022,0.080031455,0.14844942,0.19496018,0.12401503,0.07655114,0.11915666,0.15501082,0.4001382,0.18497217,0.11609697,0.06795168,0.052027404,0.085549355,0.17613637,0.18079495,0.21064723,0.039794147,0.20959324,0.12594545,0.13786441,0.20324302,0.29346716,0.18285608,0.037721336,0.22029823,0.12742281,0.13269752,0.07484901,0.22679245,0.11157924,0.084840834
copt1239,0.30253345,0.0,0.117401004,0.08884668,0.087923825,0.1653266,0.08075702,0.079440355,0.09786481,0.12066811,0.10109711,0.04499513,0.067112446,0.057888567,0.11206585,0.09452528,0.12347019,0.17216927,0.041261315,0.113797784,0.12917227,0.12515664,0.15779519,0.08620757,0.02452892,0.052663207,0.1446011,0.056662858,0.09916514,0.09922731,0.042012036,0.05663991,0.046069562,0.143359,0.090509415,0.16539353,0.10186207,0.09989661,0.03521633,0.05909592,0.089171946
czec1258,0.06056577,0.117401004,0.0,0.0978086,0.066731155,0.016767919,0.009889603,0.010040939,0.041527987,0.00873065,0.0063478947,0.02958417,0.06853968,0.021511972,0.032317758,0.023860395,0.06006223,0.2381379,0.07469118,0.037915885,0.0131677985,0.005790472,0.04622203,0.06646359,0.05274594,0.08274728,0.0034282207,0.07713997,0.036459863,0.05260396,0.07080436,0.11959362,0.05363071,0.014962673,0.094790936,0.070658386,0.04777503,0.0085375905,0.097926915,0.018595517,0.0051709414
dani1285,0.2266661,0.08884668,0.0978086,0.0,0.008413076,0.15160757,0.055101156,0.09316343,0.022020042,0.1071015,0.06968498,0.042762697,0.0059355497,0.047742963,0.073476315,0.033168256,0.017188609,0.044156075,0.07302934,0.041973293,0.054524064,0.12750423,0.045147777,0.015466392,0.10276002,0.024068713,0.110453546,0.0071495175,0.018643439,0.014699876,0.019709945,0.013199568,0.017494857,0.13175619,0.000538826,0.046748698,0.024749279,0.058465123,0.15106124,0.05979806,0.06931287
dutc1256,0.17138249,0.087923825,0.066731155,0.008413076,0.0,0.123838186,0.035315216,0.06294477,0.009094536,0.07125735,0.049661458,0.033331513,0.00581491,0.033139467,0.042690754,0.021242976,0.01107657,0.076530874,0.052722514,0.025109649,0.03277111,0.090887845,0.02319181,0.009765387,0.08157188,0.016297877,0.076480806,0.00841248,0.010561585,0.0047178864,0.015176237,0.028904319,0.013748169,0.09148604,0.0065710545,0.029810488,0.008701086,0.034179747,0.12836003,0.03949803,0.043615997
faro1244,0.06588966,0.1653266,0.016767919,0.15160757,0.123838186,5.9604645e-08,0.03838229,0.03936082,0.08325696,0.035485327,0.021169126,0.05496216,0.12130803,0.056049943,0.081709564,0.049933672,0.10317433,0.2907501,0.14188886,0.07166833,0.038566053,0.02171725,0.09058881,0.11422306,0.091360986,0.14645249,0.018514097,0.13411242,0.07329476,0.10584676,0.13148636,0.1666162,0.1016134,0.038582683,0.14993232,0.11609954,0.10049772,0.041251183,0.146002,0.053573906,0.027766168
finn1318,0.092989564,0.08075702,0.009889603,0.055101156,0.035315216,0.03838229,0.0,0.008870542,0.020470083,0.012148738,0.00443089,0.013019919,0.032619953,0.0035188198,0.01902014,0.013277173,0.038574517,0.17739367,0.043955266,0.0253883,0.009557426,0.017075062,0.031690717,0.03490013,0.036605597,0.044050753,0.014649153,0.03757137,0.015209138,0.025210738,0.033918083,0.07339281,0.020952344,0.024784386,0.054086387,0.051841795,0.023430169,0.002836287,0.076767266,0.0063111186,0.0047477484
hebr1245,0.085268915,0.079440355,0.010040939,0.09316343,0.06294477,0.03936082,0.008870542,0.0,0.048520923,0.0055007935,0.012601614,0.023602486,0.05859971,0.012104392,0.022896886,0.036432087,0.07519835,0.24343026,0.036730587,0.052423596,0.025440931,0.007007003,0.058405995,0.06893712,0.022332847,0.06711954,0.013402641,0.06146753,0.04282278,0.051222324,0.047726154,0.10900539,0.038725495,0.013847172,0.091225564,0.089371145,0.04938537,0.009580016,0.04997474,0.0062083006,0.011141479
hind1269,0.12946475,0.09786481,0.041527987,0.022020042,0.009094536,0.08325696,0.020470083,0.048520923,1.1920929e-07,0.051243067,0.030596733,0.024796784,0.017902613,0.024530709,0.030258298,0.007955909,0.0067701936,0.09660351,0.06370735,0.0063360333,0.016467452,0.06450236,0.011911154,0.004902482,0.078327715,0.021113098,0.05013317,0.02309525,0.004645467,0.006072581,0.030483902,0.045345247,0.02141869,0.06529689,0.019469738,0.013655901,0.003988445,0.02127564,0.13248724,0.031677604,0.022975504
hung1274,0.05248022,0.12066811,0.00873065,0.1071015,0.07125735,0.035485327,0.012148738,0.0055007935,0.051243067,0.0,0.013997495,0.04106325,0.073090434,0.021190464,0.017096221,0.042119563,0.078100204,0.2658761,0.054365993,0.05220729,0.02006501,0.0033653378,0.046931744,0.07687527,0.046968102,0.08321887,0.0053230524,0.07895225,0.045485973,0.053910017,0.067334116,0.13714552,0.05518931,0.005624771,0.104442716,0.0804801,0.050281107,0.008804858,0.07818973,0.016352117,0.014716864
icel1247,0.080031455,0.10109711,0.0063478947,0.06968498,0.049661458,0.021169126,0.00443089,0.012601614,0.030596733,0.013997495,0.0,0.016904235,0.04587382,0.011273146,0.033059716,0.01516366,0.047617316,0.194969,0.0670622,0.034371197,0.008012295,0.013898551,0.039404392,0.051439464,0.04910916,0.06976235,0.009361029,0.053605378,0.020783007,0.038393617,0.052512765,0.08799952,0.033513367,0.025899112,0.06938988,0.065847695,0.0395025,0.0060771704,0.09450251,0.014305711,0.006452918
iris1253,0.14844942,0.04499513,0.02958417,0.042762697,0.033331513,0.05496216,0.013019919,0.023602486,0.024796784,0.04106325,0.016904235,0.0,0.02530104,0.011198521,0.045349956,0.013884246,0.040315807,0.13789833,0.045841813,0.032236338,0.027594268,0.043709576,0.054959476,0.031659722,0.028136492,0.03622365,0.042813182,0.026829839,0.021245718,0.03219998,0.024407327,0.04215169,0.014824271,0.05451119,0.042404413,0.06852883,0.034698606,0.021061718,0.06964266,0.010441601,0.014428079
ital1282,0.19496018,0.067112446,0.06853968,0.0059355497,0.00581491,0.12130803,0.032619953,0.05859971,0.017902613,0.073090434,0.04587382,0.02530104,1.7881393e-07,0.025348246,0.0525766,0.023970485,0.020267606,0.076227546,0.046465814,0.039053082,0.038549006,0.09052646,0.04045379,0.016813815,0.066738605,0.01999402,0.08002329,0.0012002587,0.012445569,0.01087302,0.0068496466,0.016739488,0.004310131,0.09759998,0.0065321326,0.051374614,0.018311083,0.03576976,0.108624816,0.03391564,0.045893133
komi1268,0.12401503,0.057888567,0.021511972,0.047742963,0.033139467,0.056049943,0.0035188198,0.012104392,0.024530709,0.021190464,0.011273146,0.011198521,0.025348246,0.0,0.023713112,0.020105124,0.044805825,0.16592723,0.02975291,0.034705818,0.020772576,0.027291536,0.042716503,0.034532964,0.025664568,0.035627365,0.029128313,0.027365983,0.017783642,0.025820196,0.022743523,0.05920005,0.011610389,0.03888321,0.048404872,0.06430197,0.026990473,0.009215713,0.057991028,0.0071690083,0.013220847
kore1280,0.07655114,0.11206585,0.032317758,0.073476315,0.042690754,0.081709564,0.01902014,0.022896886,0.030258298,0.017096221,0.033059716,0.045349956,0.0525766,0.023713112,2.3841858e-07,0.041485786,0.055186987,0.20733488,0.034218132,0.034256637,0.02430296,0.03142625,0.023058534,0.04567659,0.057652116,0.044857025,0.0291484,0.054029286,0.03305441,0.025919318,0.045728147,0.11310953,0.04298532,0.021032393,0.06987488,0.045608282,0.024499536,0.014009714,0.08556652,0.021487534,0.027171016
