,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,5.9604645e-08,0.29559988,0.10460824,0.13154405,0.07987589,0.108793974,0.07586789,0.099324584,0.10212058,0.0491668,0.09300417,0.19886756,0.13772905,0.09393263,0.135171,0.114840806,0.12892681,0.21668947,0.16207689,0.19678676,0.0646134,0.04922515,0.073129535,0.20723104,0.22630101,0.24446267,0.049307346,0.16315663,0.09294444,0.07393134,0.16765398,0.18439609,0.12331605,0.083917975,0.12482411,0.30290663,0.18671548,0.06731123,0.30197054,0.16986138,0.103239
copt1239,0.29559988,2.9802322e-07,0.14663458,0.16137522,0.13849825,0.19815141,0.17757815,0.06666112,0.2696628,0.18884146,0.15421295,0.04666716,0.09521097,0.18005413,0.32279032,0.17229092,0.22942615,0.19779885,0.08353704,0.3988809,0.17174351,0.1957041,0.31216466,0.4010254,0.015136242,0.37873173,0.16099584,0.070269525,0.16995656,0.1440242,0.040781975,0.0883044,0.0924418,0.09462279,0.13734585,0.5842251,0.39476871,0.1380868,0.047146916,0.045239806,0.15559304
czec1258,0.10460824,0.14663458,1.7881393e-07,0.07013035,0.04761529,0.037905276,0.028152347,0.040651858,0.055202365,0.037821233,0.050499856,0.1207729,0.06844503,0.04121083,0.12856025,0.011326194,0.019463599,0.07487166,0.12146276,0.1404267,0.0413841,0.028771639,0.06725842,0.12664598,0.14146417,0.16889727,0.0326761,0.09163314,0.04271847,0.03576374,0.09107214,0.06506753,0.05326587,0.06713045,0.060782254,0.24133211,0.12131512,0.035009682,0.23113006,0.110803425,0.013259649
dani1285,0.13154405,0.16137522,0.07013035,0.0,0.030197918,0.024986982,0.034901857,0.058405876,0.105860114,0.07122797,0.007999718,0.08023852,0.018364847,0.038989365,0.17888778,0.03903371,0.06716329,0.034972906,0.116553664,0.21418059,0.02043128,0.06306136,0.10911685,0.22016662,0.14795572,0.25415027,0.03144467,0.037702978,0.00917083,0.018779397,0.06762338,0.022215962,0.014834821,0.07923663,0.0022169948,0.3622355,0.21525282,0.024594545,0.20563811,0.08044636,0.08688897
dutc1256,0.07987589,0.13849825,0.04761529,0.030197918,0.0,0.048784792,0.024675608,0.028660119,0.06559241,0.026360631,0.02405864,0.094614506,0.038571954,0.03219843,0.121390045,0.03949094,0.06831634,0.08418691,0.07089192,0.15725482,0.028232276,0.027907252,0.06779754,0.1712771,0.11639917,0.19012225,0.021645606,0.057782054,0.027253926,0.018785775,0.06303221,0.043963373,0.020117462,0.059933305,0.022240639,0.30469215,0.16065049,0.016191363,0.17392188,0.07986283,0.04463154
faro1244,0.108793974,0.19815141,0.037905276,0.024986982,0.048784792,0.0,0.032146394,0.068941,0.090651155,0.06502193,0.015164554,0.10908663,0.041242063,0.045448184,0.18381876,0.017296314,0.032149553,0.038199842,0.16804063,0.19129151,0.015008628,0.047962964,0.09194696,0.18811727,0.18846399,0.25043273,0.025930524,0.07065815,0.013321936,0.029041648,0.09956366,0.041173637,0.03973359,0.08778602,0.029186606,0.31364053,0.18514013,0.03156799,0.2755676,0.113579094,0.06672007
finn1318,0.07586789,0.17757815,0.028152347,0.034901857,0.024675608,0.032146394,0.0,0.03895402,0.0290308,0.012040079,0.022599459,0.12703961,0.056774914,0.0037345886,0.07244438,0.020388067,0.037049234,0.07070321,0.08438611,0.10590297,0.024549544,0.0077852607,0.03406775,0.10954708,0.15117264,0.13305295,0.011359394,0.08107191,0.015789747,0.009747803,0.0966537,0.065205395,0.0323506,0.058914125,0.028716445,0.22330105,0.103103936,0.009532809,0.21261322,0.106897235,0.023387134
hebr1245,0.099324584,0.06666112,0.040651858,0.058405876,0.028660119,0.068941,0.03895402,5.9604645e-08,0.101023436,0.037986934,0.039070785,0.046150625,0.031586766,0.046599925,0.14676201,0.055714667,0.09367287,0.11322403,0.039823115,0.21579981,0.040097058,0.042024314,0.11553264,0.22014779,0.043801427,0.22554582,0.025925994,0.033317566,0.046384513,0.026261091,0.023201525,0.046119034,0.019185543,0.016067684,0.04239267,0.37031436,0.20740438,0.019494832,0.098199904,0.029196084,0.040875673
hind1269,0.10212058,0.2696628,0.055202365,0.105860114,0.06559241,0.090651155,0.0290308,0.101023436,0.0,0.026955128,0.09364462,0.2446624,0.150482,0.03206414,0.029378533,0.050433338,0.04878515,0.11875713,0.13655138,0.030551016,0.08826083,0.023357093,0.007965565,0.033855915,0.24752331,0.05650854,0.06474805,0.18655026,0.07423264,0.061582208,0.1959244,0.14783144,0.10752696,0.1330443,0.09733218,0.107099295,0.031118155,0.06357533,0.31517428,0.21518117,0.027948141
hung1274,0.0491668,0.18884146,0.037821233,0.07122797,0.026360631,0.06502193,0.012040079,0.037986934,0.026955128,1.7881393e-07,0.04805565,0.15111053,0.0851863,0.018247843,0.053866267,0.045025706,0.06299615,0.1270343,0.07337648,0.09799552,0.042889833,0.0032072663,0.0267936,0.10603404,0.14897013,0.119873405,0.019022763,0.1083951,0.04442227,0.026593387,0.10911846,0.1022864,0.05393243,0.05770564,0.059456944,0.21161687,0.09346557,0.02012372,0.20814908,0.119461894,0.020720482
