,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.37732482,0.03224182,0.14335173,0.06767422,0.101242125,0.04967618,0.0761475,0.048600197,0.027909517,0.083692074,0.17509323,0.113235116,0.0664556,0.06790334,0.06362474,0.069386244,0.2591645,0.1874668,0.07855356,0.053049743,0.024525583,0.036713958,0.06967515,0.29945272,0.10208005,0.027417362,0.13514161,0.08782536,0.05093795,0.14113504,0.17389894,0.097875595,0.06808007,0.118590415,0.080874205,0.054763854,0.040157914,0.43794554,0.15199697,0.046653807
copt1239,0.37732482,0.0,0.27869993,0.46208203,0.3072899,0.48087126,0.33683145,0.13699341,0.34807724,0.27819407,0.39991862,0.11967772,0.30355215,0.33666396,0.29530728,0.3695749,0.4372869,0.55048573,0.0922606,0.40620428,0.4043765,0.32272196,0.40465176,0.3791026,0.021529853,0.27928174,0.33002192,0.22174567,0.42991233,0.33533937,0.11059266,0.3408438,0.27218705,0.16647941,0.39129102,0.46649665,0.35948944,0.306553,0.057574928,0.09706962,0.21300334
czec1258,0.03224182,0.27869993,0.0,0.092769146,0.03565669,0.059763372,0.01885873,0.035645723,0.02671498,0.0139116645,0.042599738,0.10030931,0.052661836,0.028768957,0.06068641,0.022964478,0.037641525,0.1786282,0.1465851,0.06072676,0.029126108,0.00856328,0.033105552,0.051582336,0.23940378,0.08190185,0.009237587,0.065834284,0.048276782,0.022592008,0.08087975,0.08697218,0.037284672,0.053637445,0.06833905,0.08236611,0.042702556,0.012247384,0.3704973,0.09764063,0.013109565
dani1285,0.14335173,0.46208203,0.092769146,0.0,0.047778726,0.02853012,0.048428297,0.16637701,0.0735749,0.10271031,0.01608324,0.17838597,0.031246603,0.048553407,0.14653617,0.030924559,0.035486937,0.042821944,0.28625727,0.09776938,0.031378925,0.08637619,0.067108095,0.09578323,0.4422143,0.16264737,0.0626086,0.07075173,0.012924254,0.03989345,0.17266291,0.028492749,0.035755754,0.20140654,0.0052589774,0.12509763,0.10048902,0.05438912,0.55342627,0.206765,0.12401587
dutc1256,0.06767422,0.3072899,0.03565669,0.047778726,0.0,0.061482668,0.027032971,0.060801208,0.03675306,0.028918624,0.028178811,0.114834845,0.030189931,0.03333515,0.07665205,0.028541982,0.048643053,0.14018261,0.15252537,0.06482273,0.032520592,0.03163135,0.035313725,0.061697423,0.27386492,0.089485586,0.02629292,0.051243246,0.039248824,0.025466561,0.082487345,0.050472915,0.015628159,0.1015479,0.029906988,0.096913934,0.052980304,0.020426989,0.38525492,0.11386597,0.042351663
faro1244,0.101242125,0.48087126,0.059763372,0.02853012,0.061482668,1.7881393e-07,0.044313014,0.15700918,0.06882346,0.0889864,0.012434125,0.18450058,0.04695201,0.05208373,0.15674847,0.018513322,0.019351482,0.07129085,0.31908983,0.09456885,0.01556474,0.0612036,0.06108451,0.09562904,0.4531803,0.18247813,0.04243058,0.09520066,0.01344794,0.04522091,0.19078034,0.04828781,0.052758694,0.18857265,0.035379887,0.11797756,0.09936154,0.048671603,0.5929691,0.2208569,0.10836667
finn1318,0.04967618,0.33683145,0.01885873,0.048428297,0.027032971,0.044313014,0.0,0.06355435,0.010863364,0.0158723,0.02175051,0.13440973,0.044751585,0.0025755763,0.039745748,0.0130598545,0.024339497,0.13246244,0.15645921,0.030923843,0.021906018,0.009536743,0.012950182,0.025073111,0.29536068,0.05569464,0.008163393,0.066666126,0.020567477,0.005038619,0.11117709,0.07180685,0.024610937,0.07975191,0.031236589,0.05113536,0.022151232,0.0044816732,0.40678656,0.12475312,0.029275
hebr1245,0.0761475,0.13699341,0.035645723,0.16637701,0.060801208,0.15700918,0.06355435,0.0,0.07400429,0.030634105,0.1068964,0.052292585,0.08178705,0.07128489,0.06468946,0.08832693,0.12547195,0.27896,0.050857186,0.118836105,0.098979354,0.049471796,0.09270209,0.10130441,0.10041332,0.07769817,0.052069545,0.061051905,0.12564409,0.06694919,0.024536312,0.13189232,0.056783378,0.017940342,0.121145785,0.15094239,0.08302909,0.046603143,0.19935912,0.028071523,0.014750838
hind1269,0.048600197,0.34807724,0.02671498,0.0735749,0.03675306,0.06882346,0.010863364,0.07400429,5.9604645e-08,0.020381153,0.049557388,0.1664319,0.07767224,0.016236246,0.028210282,0.022971094,0.029059112,0.14538032,0.16641295,0.010644555,0.04146743,0.012299836,0.0063914657,0.0056818724,0.31297654,0.036550343,0.024497569,0.10293156,0.04159099,0.01543206,0.13459212,0.10092288,0.050805032,0.08617222,0.054921865,0.021666646,0.005338311,0.020289302,0.43506837,0.15279984,0.029387355
hung1274,0.027909517,0.27819407,0.0139116645,0.10271031,0.028918624,0.0889864,0.0158723,0.030634105,0.020381153,0.0,0.054862678,0.12491572,0.07100427,0.022331834,0.0267393,0.04119402,0.06049055,0.21820539,0.10659838,0.044561982,0.04738462,0.005529642,0.021915734,0.036596775,0.22280484,0.04456538,0.012782097,0.08209938,0.06322062,0.024703562,0.0849272,0.116081715,0.04208839,0.046315312,0.07306814,0.06338519,0.024071932,0.012069941,0.3315469,0.096004725,0.0112069845
