,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,1.7881393e-07,0.3916049,0.04633826,0.113055706,0.065475404,0.08695495,0.046215415,0.08665764,0.05256033,0.03017968,0.07022536,0.1815176,0.10454625,0.06154895,0.07097584,0.064739704,0.07148248,0.20416498,0.19935966,0.087672055,0.045930862,0.027027667,0.03684342,0.07990348,0.3112108,0.11577839,0.026795685,0.13133359,0.072870314,0.046341956,0.15284824,0.15869325,0.09361786,0.070209265,0.097135484,0.09821898,0.06555867,0.039651632,0.44748652,0.15934056,0.058825612
copt1239,0.3916049,0.0,0.26587236,0.4050523,0.2757573,0.44727993,0.32109022,0.13084054,0.3368765,0.2758006,0.3661487,0.10767633,0.2613994,0.31728876,0.30706042,0.34566724,0.4072436,0.45230561,0.09700334,0.40409958,0.37472647,0.3144127,0.39922225,0.38339078,0.022302628,0.29664534,0.31942046,0.18931234,0.38667345,0.31014985,0.098707974,0.27371287,0.23671591,0.16964781,0.345577,0.48844212,0.3698644,0.28869694,0.06354314,0.09471363,0.21037245
czec1258,0.04633826,0.26587236,5.9604645e-08,0.07441747,0.033620775,0.053035498,0.01922673,0.038820386,0.024900496,0.018480837,0.04102671,0.10526687,0.049236,0.029196978,0.06730187,0.018105924,0.030195415,0.11992568,0.1564374,0.06284833,0.02950406,0.011970997,0.035372257,0.051615536,0.2355802,0.086936235,0.015764356,0.06726998,0.040780544,0.022113025,0.08687866,0.06842309,0.036904573,0.055914998,0.05634606,0.09140056,0.04592079,0.016991436,0.37415254,0.1054225,0.011213839
dani1285,0.113055706,0.4050523,0.07441747,5.9604645e-08,0.038766384,0.025382698,0.03706044,0.1315037,0.06295049,0.07970512,0.011562824,0.15428817,0.028542161,0.0395903,0.1289528,0.027475893,0.036178887,0.036256075,0.25108314,0.09652567,0.023620129,0.065145016,0.059544384,0.093033016,0.37950146,0.15220833,0.044424713,0.065619886,0.0101133585,0.03008765,0.14904791,0.031647086,0.031169653,0.15656811,0.0042942762,0.13231534,0.09451771,0.039783716,0.49895573,0.17546129,0.100405514
dutc1256,0.065475404,0.2757573,0.033620775,0.038766384,0.0,0.059945107,0.024076879,0.04954213,0.03414178,0.024881661,0.027408779,0.10662109,0.029357255,0.03033179,0.07266593,0.029008687,0.049550295,0.104177356,0.14053267,0.06771451,0.031957448,0.026885867,0.037943065,0.065464675,0.2439661,0.08973342,0.02436608,0.050411403,0.034579337,0.021595597,0.07848036,0.043102264,0.015329242,0.08318281,0.024200737,0.11124569,0.05740249,0.017978013,0.35977054,0.10460806,0.036390007
faro1244,0.08695495,0.44727993,0.053035498,0.025382698,0.059945107,1.1920929e-07,0.039871514,0.14155412,0.06353563,0.07877666,0.014009416,0.17747223,0.049797,0.05060363,0.14909989,0.017493904,0.019470572,0.051702857,0.30637342,0.095662594,0.014620483,0.05295223,0.05750507,0.092900515,0.41967827,0.17836952,0.036428213,0.09802073,0.01352042,0.04152894,0.18232697,0.05239445,0.056153297,0.16246241,0.033372402,0.12241757,0.09559989,0.045141876,0.5678555,0.20697874,0.095695674
finn1318,0.046215415,0.32109022,0.01922673,0.03706044,0.024076879,0.039871514,0.0,0.058842838,0.011419058,0.013070941,0.018649757,0.1327247,0.042718828,0.0029031038,0.04034418,0.014350295,0.026204288,0.09624857,0.15444565,0.038041055,0.019702196,0.007236123,0.014062762,0.03170997,0.27814525,0.061278224,0.007341981,0.06760603,0.016364574,0.0049102306,0.111376524,0.064591944,0.024972498,0.07083696,0.024808407,0.066020966,0.028198838,0.0047397017,0.3950771,0.12409729,0.026981771
hebr1245,0.08665764,0.13084054,0.038820386,0.1315037,0.04954213,0.14155412,0.058842838,0.0,0.073945045,0.032949805,0.09120208,0.0471133,0.06191665,0.06427187,0.07355136,0.08240217,0.11784428,0.20752811,0.054482937,0.12719578,0.087418735,0.050064504,0.095797956,0.112244844,0.095172286,0.093598545,0.051080465,0.046313763,0.10416329,0.057106495,0.02286923,0.096351504,0.042113006,0.017352343,0.09509206,0.17611396,0.0970791,0.042013764,0.19625252,0.027986228,0.019195437
hind1269,0.05256033,0.3368765,0.024900496,0.06295049,0.03414178,0.06353563,0.011419058,0.073945045,5.9604645e-08,0.019118845,0.047415853,0.17276585,0.07801598,0.016110182,0.02949512,0.022765934,0.028180301,0.107372046,0.16917628,0.013319254,0.04214704,0.011023104,0.006770313,0.0084863305,0.3035686,0.03841883,0.026736021,0.10763991,0.037822425,0.01848787,0.14139628,0.09223336,0.05219966,0.088003874,0.04966092,0.031494856,0.007856905,0.0229218,0.42888993,0.16114235,0.02630335
hung1274,0.03017968,0.2758006,0.018480837,0.07970512,0.024881661,0.07877666,0.013070941,0.032949805,0.019118845,0.0,0.046363115,0.12656474,0.06354618,0.018582582,0.027250946,0.03907132,0.057353914,0.16264558,0.11132598,0.04815519,0.04158944,0.0050206184,0.02141273,0.041211605,0.22044432,0.05055219,0.012832224,0.07906282,0.050875366,0.020393789,0.090682805,0.09857917,0.03831607,0.04421699,0.05725795,0.07632685,0.029878259,0.01137346,0.33241135,0.10100496,0.013594449
icel1247,0.07022536,0.3661487,0.04102671,0.011562824,0.027408779,0.014009416,0.018649757,0.09120208,0.047415853,0.046363115,0.0,0.12803543,0.021348476,0.02329737,0.10389882,0.016240895,0.02962035,0.0638594,0.21335691,0.08596349,0.008154273,0.03410214,0.043352902,0.082137585,0.328036,0.1349237,0.015874803,0.054196656,0.0046415925,0.017415226,0.12283832,0.03610319,0.019500434,0.11306101,0.01041168,0.12330407,0.07881957,0.016866148,0.450554,0.1419468,0.06745559
iris1253,0.1815176,0.10767633,0.10526687,0.15428817,0.10662109,0.17747223,0.1327247,0.0471133,0.17276585,0.12656474,0.12803543,5.9604645e-08,0.0569337,0.14001197,0.19961828,0.13264269,0.175049,0.20084423,0.11493069,0.25695628,0.1248759,0.14216268,0.20493299,0.23536772,0.09524524,0.22786808,0.1143527,0.023573995,0.14421177,0.11072093,0.01338625,0.08236009,0.06705612,0.061264336,0.120129645,0.3255067,0.22370356,0.10147208,0.19700813,0.014661133,0.093213916
ital1282,0.10454625,0.2613994,0.049236,0.028542161,0.029357255,0.049797,0.042718828,0.06191665,0.07801598,0.06354618,0.021348476,0.0569337,0.0,0.048529685,0.13445693,0.03492278,0.057348967,0.07285595,0.1714263,0.13830012,0.025721848,0.061713815,0.08705622,0.12611544,0.23787493,0.16392261,0.035375237,0.010500073,0.028593302,0.0294832,0.057152808,0.014347494,0.008279979,0.086933196,0.017536819,0.18902975,0.12002289,0.028963745,0.3575667,0.07718277,0.06382775
