,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,1.1920929e-07,0.9826448,0.015904427,0.02188909,0.017300308,0.053767502,0.0054909587,0.12580687,0.013314486,0.013932705,0.02346152,0.14649892,0.017894685,0.0045669675,0.046278715,0.01932311,0.024838865,0.060639143,0.37138373,0.013883352,0.018097758,0.007549286,0.007980466,0.017329454,0.8638461,0.070066154,0.004994154,0.027214587,0.019754529,0.0051596165,0.18073612,0.03866142,0.018645525,0.14676636,0.011887848,0.015488267,0.021019101,0.0036709309,1.0228225,0.2184388,0.040573
copt1239,0.9826448,5.9604645e-08,0.93749785,1.1008065,0.93469596,1.2126573,0.9571905,0.50898826,0.9179941,0.8501285,1.1028929,0.50044835,0.96871644,0.96116674,0.7199847,1.0753716,1.1197075,1.109528,0.25764596,0.9876674,1.1053271,0.9536829,0.9679454,0.89368606,0.026300788,0.6623188,0.9978923,0.81733406,1.1029034,0.96011895,0.42433947,1.0280398,0.8992755,0.4820956,1.0510367,0.96012527,0.8640938,0.96455604,0.060490727,0.3813315,0.7323564
czec1258,0.015904427,0.93749785,1.1920929e-07,0.025993407,0.014960349,0.04233247,0.008361518,0.105561316,0.011034071,0.016001225,0.01828593,0.12657851,0.011535108,0.012035191,0.063851416,0.011646152,0.020520627,0.040893912,0.39042562,0.013229251,0.017898142,0.0052030087,0.014337242,0.017214715,0.85029113,0.08316052,0.0061419606,0.026323974,0.020264387,0.01652801,0.16798896,0.017756581,0.010149419,0.15727895,0.020797968,0.016580999,0.019948125,0.008662164,1.0305614,0.21990722,0.02677387
dani1285,0.02188909,1.1008065,0.025993407,5.9604645e-08,0.015866876,0.021558285,0.017496228,0.19211566,0.02185595,0.044807494,0.005109608,0.20962453,0.010264277,0.018643856,0.10154909,0.0052834153,0.0042010546,0.013737142,0.49272752,0.015504062,0.0033692122,0.020336807,0.015283108,0.03241694,1.0079591,0.12936491,0.012679577,0.04535216,0.0014542341,0.014937103,0.25345826,0.011460066,0.021383345,0.24247897,0.0024391413,0.022170305,0.03880316,0.0140631795,1.1724639,0.3173939,0.082605064
dutc1256,0.017300308,0.93469596,0.014960349,0.015866876,1.7881393e-07,0.05864221,0.0074576735,0.10730976,0.0025283098,0.014607251,0.02289021,0.13404572,0.0056889653,0.009724677,0.047623873,0.017309308,0.023144662,0.03173399,0.36486125,0.0063684583,0.021243274,0.009208202,0.004534602,0.006860018,0.8466524,0.06336725,0.011736035,0.017358959,0.018361688,0.0061434507,0.15740204,0.01610434,0.0033026934,0.1556058,0.0098567605,0.0069928765,0.008060932,0.006607592,1.0176153,0.21755993,0.033522904
faro1244,0.053767502,1.2126573,0.04233247,0.021558285,0.05864221,1.7881393e-07,0.04843676,0.26485986,0.06174159,0.08800501,0.009518325,0.28156435,0.042151034,0.051998496,0.1779722,0.014121354,0.012682617,0.02437538,0.6264926,0.04505509,0.012649655,0.04526615,0.053626597,0.07735348,1.1303794,0.21367031,0.033114374,0.10148615,0.015068948,0.058578372,0.3523749,0.02593553,0.05993539,0.33467913,0.033407748,0.05858493,0.08817291,0.046817243,1.2992609,0.41733348,0.12931192
finn1318,0.0054909587,0.9571905,0.008361518,0.017496228,0.0074576735,0.04843676,1.1920929e-07,0.11062759,0.0034271479,0.0071651936,0.017433763,0.13926989,0.010272086,0.00055122375,0.04327166,0.01369679,0.02071172,0.04460758,0.36823064,0.0042400956,0.015919328,0.0010986328,0.0020470023,0.0064180493,0.8537619,0.06296623,0.0025490522,0.022744775,0.015103698,0.0043752193,0.17046618,0.023945391,0.0071546435,0.1492312,0.010035276,0.0055929422,0.009308696,0.001086235,1.0186801,0.21719456,0.029773116
hebr1245,0.12580687,0.50898826,0.105561316,0.19211566,0.10730976,0.26485986,0.11062759,0.0,0.096209764,0.06741923,0.1900531,0.020036042,0.12408441,0.11402488,0.042951524,0.17431068,0.20174938,0.21863383,0.117524505,0.12865698,0.19025606,0.10851592,0.118606865,0.08872384,0.4307192,0.034509063,0.12949187,0.06697017,0.19013196,0.11758405,0.015993476,0.1619603,0.09028268,0.023262918,0.16326511,0.11782932,0.07760787,0.11477566,0.593243,0.03620577,0.031056583
hind1269,0.013314486,0.9179941,0.011034071,0.02185595,0.0025283098,0.06174159,0.0034271479,0.096209764,0.0,0.0067068934,0.02549988,0.12968564,0.010310054,0.0051447153,0.037211,0.019230604,0.026640236,0.042470515,0.34797674,0.0034372807,0.024030447,0.0042212605,0.0021904707,0.001755178,0.8255059,0.05187601,0.009256363,0.019683123,0.021692455,0.0060276985,0.15132743,0.022735357,0.004358828,0.14155895,0.014022589,0.0028999448,0.0030748844,0.0047664046,0.99546057,0.20609474,0.02391994
hung1274,0.013932705,0.8501285,0.016001225,0.044807494,0.014607251,0.08800501,0.0071651936,0.06741923,0.0067068934,1.1920929e-07,0.044813216,0.10171795,0.024497509,0.007793069,0.01871711,0.03772521,0.049624443,0.077803314,0.28781694,0.013920486,0.042920828,0.0076930523,0.009881675,0.00498569,0.74484396,0.03114444,0.015470684,0.019840896,0.04218179,0.013136864,0.119987726,0.046494544,0.012168527,0.09885484,0.030660689,0.011171758,0.0046619773,0.010232508,0.9085447,0.15837568,0.010709286
