,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,1.1920929e-07,0.6824682,0.022254705,0.06784904,0.034120977,0.059580803,0.018831372,0.0985502,0.024529517,0.017570794,0.038588762,0.16397351,0.053320885,0.024690032,0.040581048,0.032353222,0.040897608,0.1430999,0.262101,0.0352273,0.027137995,0.012542307,0.016846359,0.033225417,0.54464483,0.06553429,0.010347724,0.07401794,0.042778134,0.020560384,0.16073209,0.096048236,0.047385752,0.085374594,0.04988253,0.035189807,0.027832985,0.014845133,0.72697306,0.1742146,0.0419904
copt1239,0.6824682,3.5762787e-07,0.5717446,0.8274605,0.6217918,0.8601325,0.659557,0.31160772,0.6393585,0.5610945,0.7690316,0.27867818,0.63273513,0.6610573,0.5307642,0.7198454,0.7835463,0.8604715,0.1775704,0.696209,0.76669544,0.63085437,0.7103275,0.64902997,0.030404389,0.48482013,0.6642174,0.49813348,0.7918136,0.66526043,0.25209183,0.6726484,0.5788685,0.3500539,0.75480306,0.7225888,0.6233955,0.63473535,0.063292444,0.23635143,0.45373774
czec1258,0.022254705,0.5717446,5.9604645e-08,0.0668537,0.022721589,0.056474566,0.013756275,0.05736816,0.016505241,0.011894405,0.034933746,0.10561371,0.030020118,0.018924177,0.042628765,0.020175397,0.034676313,0.11631924,0.22475433,0.033029318,0.028948247,0.007201791,0.02364695,0.027350366,0.4698435,0.05625975,0.010066748,0.040593147,0.04084009,0.019031346,0.10754877,0.05490172,0.020451725,0.069422305,0.047051013,0.040519357,0.023245275,0.010443568,0.65876305,0.1316328,0.014819503
dani1285,0.06784904,0.8274605,0.0668537,0.0,0.035166383,0.017428339,0.033219874,0.19650698,0.0447852,0.07656604,0.0098692775,0.2251265,0.025154412,0.034031093,0.11300802,0.017674029,0.015108764,0.028059483,0.4009288,0.04794067,0.013770163,0.05204791,0.03407955,0.05536115,0.72562325,0.13609195,0.03780538,0.0723657,0.0060819983,0.02731365,0.23716283,0.026294947,0.036866844,0.20740402,0.0040811896,0.05477166,0.06181854,0.037190378,0.90586096,0.2778927,0.114510834
dutc1256,0.034120977,0.6217918,0.022721589,0.035166383,5.9604645e-08,0.052346468,0.014956713,0.08242428,0.015775144,0.019511342,0.023759782,0.13045335,0.016023874,0.01888144,0.04856676,0.019530833,0.032488286,0.08620882,0.24285859,0.027251363,0.024542868,0.016121209,0.01764375,0.026248097,0.5206745,0.06017685,0.016608477,0.035628557,0.029429972,0.015118659,0.12089038,0.032776475,0.008586764,0.10455382,0.020853579,0.03748411,0.022598445,0.012374699,0.69951785,0.15737975,0.03699094
faro1244,0.059580803,0.8601325,0.056474566,0.017428339,0.052346468,0.0,0.03885621,0.20757502,0.053360164,0.08090949,0.009013057,0.24466687,0.04149288,0.043299913,0.13486081,0.015147507,0.012280285,0.043545246,0.4459502,0.054424405,0.01114589,0.048208833,0.040943623,0.066180885,0.75676024,0.16304052,0.034608245,0.099333465,0.010004759,0.041302323,0.26961184,0.040064335,0.054409325,0.22132015,0.024951458,0.06141478,0.073210895,0.043393612,0.95230633,0.30642724,0.11809105
finn1318,0.018831372,0.659557,0.013756275,0.033219874,0.014956713,0.03885621,1.7881393e-07,0.090984344,0.0060634613,0.011743188,0.016367912,0.14768082,0.02386415,0.0012024641,0.0319044,0.010858536,0.019862294,0.088107646,0.25336844,0.0137706995,0.014761388,0.0042948723,0.0052200556,0.011668026,0.5449171,0.04757428,0.003947556,0.045592427,0.017335951,0.0037723184,0.14539355,0.047994733,0.015434146,0.09457785,0.018892884,0.018936396,0.011130452,0.0021950603,0.72128403,0.16826612,0.032628298
hebr1245,0.0985502,0.31160772,0.05736816,0.19650698,0.08242428,0.20757502,0.090984344,0.0,0.087786436,0.048457503,0.15039688,0.036233306,0.100004315,0.09547323,0.055713832,0.12736446,0.1636067,0.26480985,0.069511,0.12090665,0.14554387,0.07584357,0.114028096,0.09856027,0.22381419,0.05284804,0.08892578,0.05878967,0.16591763,0.09789407,0.019176304,0.14526224,0.07056922,0.01652956,0.15257525,0.13345718,0.0826056,0.07867128,0.37669688,0.027311802,0.020136774
hind1269,0.024529517,0.6393585,0.016505241,0.0447852,0.015775144,0.053360164,0.0060634613,0.087786436,0.0,0.014005423,0.03093487,0.15293133,0.03557551,0.009041786,0.026771128,0.015448868,0.023377895,0.08872563,0.24926317,0.005284786,0.025915384,0.0063229203,0.004954338,0.002537787,0.5375813,0.03582418,0.013937712,0.057218015,0.02869016,0.008455753,0.1448865,0.05469793,0.023537159,0.09439975,0.029597223,0.008518875,0.003201127,0.010069072,0.7212105,0.17423016,0.028723657
hung1274,0.017570794,0.5610945,0.011894405,0.07656604,0.019511342,0.08090949,0.011743188,0.048457503,0.014005423,0.0,0.046402514,0.11778176,0.043283522,0.0144507885,0.01502496,0.036541283,0.054145396,0.15001291,0.18008989,0.026557207,0.042681456,0.0058344007,0.01769042,0.019329846,0.44139594,0.026422262,0.012609124,0.04886186,0.053670168,0.019554913,0.10164893,0.08059162,0.024240553,0.05437863,0.051609457,0.031956136,0.0119380355,0.009818792,0.61060184,0.11872822,0.011496484
