,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,1.0525712,0.014659226,0.033405304,0.02815783,0.0485543,0.008078277,0.10224503,0.025610626,0.012232482,0.022562921,0.12825334,0.0249151,0.0073915124,0.04002613,0.026787639,0.032758772,0.09413296,0.3510272,0.0347566,0.017237961,0.011169791,0.010878265,0.032035172,0.8211421,0.06730133,0.0041624904,0.032797694,0.02184391,0.011685491,0.1704908,0.07258284,0.025770962,0.100143135,0.022343874,0.029667556,0.027789116,0.005373597,1.0380838,0.17309678,0.03421867
copt1239,1.0525712,1.1920929e-07,0.9905101,1.142963,0.9869414,1.237753,1.0145769,0.61589617,0.96630925,0.9272506,1.1490904,0.5986303,1.0282061,1.0170856,0.81226003,1.1078057,1.143035,1.1255307,0.3306871,1.0202608,1.1486051,1.007582,1.0194762,0.9424604,0.07562065,0.74796677,1.0579635,0.88946897,1.1432664,1.0143216,0.5027863,1.0640885,0.95751846,0.6401777,1.0983002,0.99788475,0.92184585,1.0245361,0.11039817,0.5124882,0.8237785
czec1258,0.014659226,0.9905101,1.1920929e-07,0.031097054,0.018859386,0.038852632,0.00650388,0.08007008,0.012820959,0.012144268,0.019376159,0.10351884,0.016240358,0.009474635,0.046695948,0.013580561,0.0214746,0.062632024,0.35986948,0.020058155,0.016959071,0.0041415095,0.010975003,0.019244552,0.8058524,0.06466985,0.006525278,0.02742207,0.019626558,0.01402545,0.1521166,0.04164982,0.013398945,0.10590446,0.023729801,0.01881808,0.017555833,0.00727123,1.0454483,0.17277837,0.018860877
dani1285,0.033405304,1.142963,0.031097054,5.9604645e-08,0.015312672,0.018625915,0.021071851,0.16492361,0.02560258,0.047871828,0.007837772,0.17586708,0.009457946,0.021884143,0.09381068,0.0070557594,0.0067661405,0.022311985,0.47134072,0.022723913,0.006718755,0.02325052,0.01998198,0.037495613,0.97419685,0.11567652,0.020798266,0.04099518,0.0032109618,0.016050935,0.23521459,0.01669836,0.019834042,0.1963433,0.0022335052,0.030522048,0.04210913,0.018197477,1.1973865,0.2713312,0.07682097
dutc1256,0.02815783,0.9869414,0.018859386,0.015312672,1.7881393e-07,0.049516916,0.011465132,0.090667725,0.007763028,0.020397127,0.023079216,0.11210197,0.0070109963,0.01345396,0.047973156,0.016208291,0.021685421,0.0399006,0.35230243,0.01266247,0.021667778,0.011766434,0.009012401,0.014323592,0.8220902,0.05893421,0.018712342,0.018394291,0.01793313,0.008501291,0.14744276,0.022747278,0.0040145516,0.12693834,0.009683847,0.015488207,0.014312744,0.0110967755,1.0530771,0.18578804,0.034504354
faro1244,0.0485543,1.237753,0.038852632,0.018625915,0.049516916,0.0,0.04052472,0.21429455,0.05518192,0.073859334,0.008143246,0.22948903,0.034077287,0.043513775,0.14485693,0.013488293,0.014003158,0.038392067,0.5750302,0.045954585,0.010891795,0.038216174,0.045728087,0.070730805,1.0673866,0.175955,0.030234039,0.08482778,0.012159407,0.047900915,0.31298363,0.03315431,0.049607575,0.2522815,0.027378619,0.057148457,0.07688475,0.038920403,1.2931972,0.34030765,0.1055491
finn1318,0.008078277,1.0145769,0.00650388,0.021071851,0.011465132,0.04052472,0.0,0.087068856,0.0069077015,0.006636977,0.016250134,0.11542803,0.013011575,0.000564754,0.03388977,0.013575077,0.019925892,0.06118709,0.3480627,0.012794197,0.013512731,0.001218617,0.0016292334,0.011388004,0.8175801,0.052062035,0.0035458803,0.023656964,0.013480902,0.004315555,0.15700668,0.043246984,0.009531081,0.10464811,0.012795866,0.010632515,0.01009953,0.0012869835,1.0443695,0.17479962,0.022681594
hebr1245,0.10224503,0.61589617,0.08007008,0.16492361,0.090667725,0.21429455,0.087068856,5.9604645e-08,0.08017057,0.05318868,0.15487802,0.022082627,0.106716156,0.089389145,0.035671473,0.14146078,0.16355294,0.20470136,0.12532848,0.11050588,0.15277123,0.08521634,0.09209001,0.07593787,0.4456634,0.03153521,0.10279018,0.059609354,0.15427136,0.09494007,0.020724237,0.15866774,0.0754267,0.021410704,0.13811392,0.097159505,0.063075066,0.090976536,0.66762185,0.033150434,0.026465535
hind1269,0.025610626,0.96630925,0.012820959,0.02560258,0.007763028,0.05518192,0.0069077015,0.08017057,0.0,0.013666868,0.030351162,0.11128533,0.017500699,0.009060085,0.032916367,0.01646018,0.021578431,0.04724288,0.33906144,0.0036905408,0.026197493,0.0058911443,0.0046084523,0.0017550588,0.8032595,0.040408254,0.018154383,0.026599884,0.022632718,0.007253349,0.14541578,0.03449291,0.010435641,0.10927218,0.017739356,0.002747178,0.003139913,0.010561049,1.0396619,0.17862046,0.021540463
hung1274,0.012232482,0.9272506,0.012144268,0.047871828,0.020397127,0.073859334,0.006636977,0.05318868,0.013666868,5.9604645e-08,0.038892567,0.08897102,0.027894437,0.0072010756,0.0155053735,0.036359727,0.046881676,0.098252,0.27680814,0.025941253,0.035815477,0.0077695847,0.008642137,0.0147765875,0.7185383,0.030422568,0.012450576,0.024252355,0.03739524,0.014078736,0.11489022,0.07111323,0.016439915,0.06588048,0.03339988,0.018797517,0.009083748,0.0089530945,0.9423435,0.12574112,0.00876075
icel1247,0.022562921,1.1490904,0.019376159,0.007837772,0.023079216,0.008143246,0.016250134,0.15487802,0.030351162,0.038892567,0.0,0.17004174,0.012074292,0.017639339,0.0936324,0.0064953566,0.010138929,0.03945464,0.47237056,0.029655516,0.001809597,0.016810596,0.020335317,0.043490946,0.96050775,0.12210053,0.009633422,0.045044184,0.0024754405,0.020949304,0.2373845,0.027197659,0.021078646,0.18469793,0.009819388,0.035834134,0.04523641,0.013801038,1.1844829,0.2604648,0.067064285
iris1253,0.12825334,0.5986303,0.10351884,0.17586708,0.11210197,0.22948903,0.11542803,0.022082627,0.11128533,0.08897102,0.17004174,5.9604645e-08,0.11059868,0.11644423,0.07429159,0.15858638,0.18121308,0.20777273,0.14068764,0.14778411,0.1677804,0.11601901,0.1253283,0.11532444,0.44052368,0.07461804,0.12534237,0.05426359,0.16993809,0.11376214,0.019869387,0.15991664,0.08806431,0.041923583,0.14965779,0.13971525,0.10358095,0.11235845,0.6573713,0.0322389,0.057697713
ital1282,0.0249151,1.0282061,0.016240358,0.009457946,0.0070109963,0.034077287,0.013011575,0.106716156,0.017500699,0.027894437,0.012074292,0.11059868,0.0,0.014251947,0.06564838,0.010943174,0.016098917,0.03486991,0.38493383,0.024802864,0.011216044,0.01508373,0.014716506,0.029171646,0.8538332,0.08506769,0.013175666,0.0136604905,0.009598196,0.009900808,0.16287863,0.017877579,0.0041502714,0.13911003,0.005816877,0.029114425,0.029134214,0.009404898,1.0830379,0.19539773,0.043991983
komi1268,0.0073915124,1.0170856,0.009474635,0.021884143,0.01345396,0.043513775,0.000564754,0.089389145,0.009060085,0.0072010756,0.017639339,0.11644423,0.014251947,0.0,0.032508373,0.016434908,0.022639275,0.06576747,0.34222537,0.015598059,0.0146923065,0.0029572845,0.002309978,0.013523757,0.8144662,0.0516966,0.004131794,0.023131073,0.014342308,0.0040041804,0.15768468,0.047442615,0.010817945,0.10332596,0.012860954,0.013107896,0.012080133,0.0013961196,1.0361766,0.17281091,0.025205731
kore1280,0.04002613,0.81226003,0.046695948,0.09381068,0.047973156,0.14485693,0.03388977,0.035671473,0.032916367,0.0155053735,0.0936324,0.07429159,0.06564838,0.032508373,1.1920929e-07,0.08320278,0.09472877,0.15026546,0.18821567,0.051507473,0.085790694,0.0373863,0.032368243,0.026923716,0.6040188,0.00515759,0.049291432,0.038998604,0.08536351,0.035266995,0.07624358,0.12248623,0.04497224,0.031618,0.07035279,0.037308633,0.019164383,0.037632167,0.81675553,0.08232385,0.0153820515
