feature,domain,feat_idx,rho_without,importance
GB074,WordOrder,38,-0.005289891548071207,0.006131881206241718
GB133,NominalPhrase,83,-0.0044433258591497745,0.005285315517320285
GB132,NominalPhrase,82,-0.003642520477737611,0.004484510135908122
GB265,Other,131,-0.002676977989292092,0.003518967647462603
GB075,WordOrder,39,-0.002466480574749462,0.0033084702329199732
GB070,WordOrder,34,-0.0023017434677161048,0.0031437331258866155
GB328,Other,166,-0.0021141262069281084,0.002956115865098619
GB072,WordOrder,36,-0.001889900700132697,0.002731890358303208
GB065,Verbal,31,-0.001683979316341011,0.002525968974511522
GB073,WordOrder,37,-0.0011940855865600383,0.0020360752447305492
GB091,WordOrder,49,-0.0011302795954788846,0.0019722692536493953
GB024,Nominal,4,-0.0009197821809362549,0.001761771839106766
GB071,WordOrder,35,-0.0008465656889214325,0.0016885553470919433
GB520,Other,189,-0.0006818285818880738,0.0015238182400585847
GB025,Nominal,5,-0.0006772525511371469,0.0015192422093076579
GB421,Other,182,-0.0005125154441037896,0.0013545051022743006
GB410,Other,180,-0.0004576030750926647,0.0012995927332631757
GB083,WordOrder,44,-0.00042557085983617834,0.0012675605180066892
GB089,WordOrder,47,-0.00042099482908525683,0.0012629844872557678
GB432,Other,186,-0.00037065849082505676,0.0012126481489955678
GB521,Other,190,-0.0003523543678213518,0.0011943440259918627
GB031,Verbal,10,-0.0002928659680593033,0.0011348556262298143
GB203,Other,119,-0.0002908652626335801,0.001132854920804091
GB312,Other,151,-0.000288289937308392,0.0011302795954789028
GB027,Verbal,7,-0.00018761726078798507,0.001029606918958496
GB069,WordOrder,33,-0.00016473710703335118,0.0010067267652038622
GB408,Other,178,-9.609664576945836e-05,0.0009380863039399693
GB321,Other,159,-3.203221525648973e-05,0.0008740218734270006
GB084,WordOrder,45,-2.288015375463929e-05,0.0008648698119251503
GB323,Other,161,-1.8304123003700195e-05,0.0008602937811742112
GB256,Other,125,2.7456184505556727e-05,0.0008145334736649543
GB409,Other,179,0.00011440076877317616,0.0007275888893973348
GB068,WordOrder,32,0.0001418569532787234,0.0007001327048917875
GB030,Verbal,9,0.00022880153754633198,0.000613188120624179
GB136,NominalPhrase,86,0.0003111700910630123,0.0005308195671074986
GB318,Other,157,0.0003432023063195007,0.0004987873518510102
GB047,Verbal,21,0.00035235436782135116,0.0004896352903491598
GB082,WordOrder,43,0.0003935386445796859,0.00044845101359082507
GB193,ClauseStructure,115,0.00039992842000458864,0.0004420612381659223
GB334,Other,171,0.00041184276758341246,0.0004301468905870985
GB152,ClauseStructure,97,0.0004576030750926667,0.00038438658307784427
GB522,Other,191,0.0004759071980963811,0.00036608246007412983
GB301,Other,145,0.0004850592595982295,0.00035693039857228145
GB192,ClauseStructure,114,0.000512515444103791,0.0003294742140667199
GB187,ClauseStructure,112,0.0005170914748547138,0.0003248981833157971
GB158,ClauseStructure,100,0.0005216675056056366,0.0003203221525648743
GB159,ClauseStructure,101,0.0005308195671075026,0.0003111700910630083
GB172,ClauseStructure,107,0.0005308195671075054,0.0003111700910630056
GB107,WordOrder,60,0.0005353955978584059,0.000306594060312105
GB315,Other,154,0.0005720038438658326,0.0002699858143046783
GB028,Verbal,8,0.0006086120898732521,0.00023337756829725886
GB186,ClauseStructure,111,0.0006086120898732555,0.0002333775682972555
GB124,NominalPhrase,76,0.0006223401821260368,0.00021964947604447417
GB302,Other,146,0.0006314922436278852,0.00021049741454262573
GB167,ClauseStructure,104,0.0006452203358806707,0.00019676932228984028
GB058,Verbal,29,0.0006497963666315942,0.00019219329153891671
GB299,Other,143,0.0006681004896352937,0.00017388916853521724
GB080,WordOrder,41,0.0006726765203862179,0.00016931313778429302
GB314,Other,153,0.000677252551137157,0.00016473710703335395
GB111,NominalPhrase,64,0.0006864046126390027,0.00015558504553150822
GB059,Verbal,30,0.0006909806433899276,0.00015100901478058335
GB291,Other,139,0.0006909806433899344,0.00015100901478057652
GB330,Other,168,0.0006909806433899357,0.00015100901478057522
GB317,Other,156,0.0006929744799935456,0.00014901517817696532
GB401,Other,175,0.0007001327048917869,0.00014185695327872407
GB325,Other,163,0.0007092847663936393,0.00013270489177687162
GB021,Nominal,1,0.0007092847663936393,0.00013270489177687162
GB252,Other,122,0.0007230128586464194,0.0001189767995240916
GB120,NominalPhrase,72,0.0007275888893973409,0.00011440076877317009
GB122,NominalPhrase,74,0.0007321649201482665,0.00010982473802224446
GB260,Other,127,0.0007367409508992008,0.00010524870727131016
GB298,Other,142,0.000745893012401056,9.6096645769455e-05
GB327,Other,165,0.0007550450739028854,8.694458426762553e-05
GB270,Other,133,0.0007550450739029084,8.694458426760255e-05
GB204,Other,120,0.0007596211046538306,8.236855351668039e-05
GB096,WordOrder,54,0.0007687731661556871,7.321649201482382e-05
GB296,Other,140,0.0007687731661556912,7.32164920148197e-05
GB320,Other,158,0.0007713521405426279,7.063751762788307e-05
GB196,Other,116,0.0007733260146319972,6.866364353851377e-05
GB057,Verbal,28,0.0007779252276575335,6.406443051297744e-05
GB188,ClauseStructure,113,0.0007779252276575342,6.406443051297679e-05
GB250,Other,121,0.0007916533199103197,5.0336338260191234e-05
GB099,WordOrder,56,0.0007916533199103197,5.0336338260191234e-05
GB092,WordOrder,50,0.000796229350661235,4.5760307509275905e-05
GB023,Nominal,3,0.0008008053814121695,4.1184276758341495e-05
GB316,Other,155,0.0008008053814121735,4.1184276758337484e-05
GB415,Other,181,0.0008008053814121735,4.1184276758337484e-05
GB041,Verbal,16,0.0008191095044158825,2.2880153754628466e-05
GB266,Other,132,0.0008191095044158838,2.2880153754627165e-05
GB105,WordOrder,59,0.0008282615659177336,1.3728092252777318e-05
GB140,NominalPhrase,90,0.0008374136274195807,4.57603075093029e-06
GB134,NominalPhrase,84,0.000841989658170511,0.0
GB273,Other,134,0.0008419896581705137,-2.710505431213761e-18
GB135,NominalPhrase,85,0.0008419896581705137,-2.710505431213761e-18
GB166,ClauseStructure,103,0.0008511417196723648,-9.152061501853858e-06
GB127,NominalPhrase,78,0.0008511417196723648,-9.152061501853858e-06
GB331,Other,169,0.0008511417196723688,-9.15206150185787e-06
GB197,Other,117,0.0008557177504232937,-1.3728092252782739e-05
GB052,Verbal,25,0.000864869811925153,-2.288015375464202e-05
GB081,WordOrder,42,0.000869445842676071,-2.7456184505560057e-05
