,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.39287054409005634,0.2743589743589744,0.29062506161885043,0.0,1.0,0.6371794871794871,40.0,1.0,0.9431568346316264,0.9534827368282452
copt1239,-0.2741088180112571,-0.19487179487179487,0.31451005046356867,0.0,0.0,0.4025641025641026,40.0,1.0,0.989481983378227,0.9360498919774255
czec1258,0.22532833020637902,0.15384615384615388,0.29076804076804075,0.0,0.0,0.5769230769230769,40.0,1.0,0.9891994717947836,0.9255115378565204
dani1285,0.38086303939962485,0.26153846153846155,0.18918319357558028,0.0,1.0,0.6307692307692307,40.0,1.0,0.9612255959727939,0.9626447471143414
dutc1256,0.13939962476547843,0.1076923076923077,0.30282654230002226,0.0,0.0,0.5538461538461539,40.0,1.0,0.9952455471683044,0.9924503279208253
faro1244,-0.30900562851782365,-0.21282051282051284,0.4339887640449438,0.0,0.0,0.3935897435897436,40.0,1.0,0.9752700946377679,0.9462744911110432
finn1318,0.18986866791744844,0.12051282051282051,0.35799088583306693,0.0,0.0,0.5602564102564103,40.0,1.0,0.9494694058346979,0.953679361189036
hebr1245,-0.30769230769230776,-0.18717948717948718,0.49001536098310294,0.0,0.0,0.4064102564102564,40.0,1.0,1.0,0.9454762628883877
hind1269,0.37185741088180113,0.23076923076923078,0.3921971535745808,0.0,0.0,0.6153846153846154,40.0,1.0,0.9502681587249276,0.9165821437834537
hung1274,0.4457786116322702,0.3025641025641026,0.22039255069338826,0.0,0.0,0.6512820512820513,40.0,1.0,0.9762257910303319,0.981906471883868
icel1247,-0.16735459662288932,-0.12051282051282051,0.5378905041756883,0.0,0.0,0.43974358974358974,40.0,1.0,0.8838783482794428,0.9053753418522524
iris1253,-0.25853658536585367,-0.14871794871794874,0.5343586022105615,0.0,0.0,0.4256410256410256,40.0,1.0,0.9677803195523893,0.9136582270885785
ital1282,-0.04784240150093809,-0.02564102564102564,0.43519093900665806,0.0,0.0,0.48717948717948717,40.0,1.0,0.9663649525793367,0.9444230790497826
komi1268,0.2879924953095685,0.17435897435897438,0.4080290412128978,0.0,0.0,0.5871794871794872,40.0,1.0,0.958749328926343,0.968677302362575
kore1280,0.37917448405253285,0.24615384615384617,0.3835801838610829,0.0,1.0,0.6230769230769231,40.0,1.0,0.9026190573102487,0.903888365174262
latv1249,0.1105065666041276,0.06666666666666667,0.13319672131147536,0.0,0.0,0.5333333333333333,40.0,1.0,0.9913793163987619,0.9795661054925631
lith1251,0.16135084427767357,0.09743589743589744,0.22561758706655582,0.0,0.0,0.5487179487179488,40.0,1.0,0.9756912307549065,0.9735346902855061
malt1254,-0.14746716697936213,-0.11538461538461539,0.1600722578834754,0.0,0.0,0.4423076923076923,40.0,1.0,0.9968191411582384,0.9887043759195667
mand1415,-0.07091932457786117,-0.0358974358974359,0.48124999999999996,0.0,0.0,0.48205128205128206,40.0,1.0,1.0,0.9276690364002977
mara1378,0.45384615384615384,0.36153846153846153,0.7006106790542305,0.0,1.0,0.6807692307692308,40.0,1.0,0.760655836937179,0.7932486571003022
mode1248,-0.226641651031895,-0.15384615384615388,0.48162154419137654,0.0,0.0,0.4230769230769231,40.0,1.0,1.0,0.9218700136373165
nort2671,0.32795497185741096,0.2230769230769231,0.3198778422835027,0.0,0.0,0.6115384615384616,40.0,1.0,0.9974286701270764,0.9408712521645646
nucl1235,0.35440900562851785,0.2205128205128205,0.27530384600971797,0.0,1.0,0.6102564102564103,40.0,1.0,0.9399053955401049,0.9403248390320522
nucl1301,0.376360225140713,0.2538461538461539,0.05610985945713973,0.0,1.0,0.6269230769230769,40.0,1.0,0.9976956804838668,0.9578984454646211
nucl1347,-0.3575984990619137,-0.2435897435897436,0.44178226145439264,0.0,0.0,0.3782051282051282,40.0,1.0,0.9735380435855804,0.9272495212452001
nucl1643,0.2671669793621013,0.16666666666666669,0.0,1.0,1.0,0.5833333333333334,40.0,1.0,1.0,0.983280670894402
poli1260,-0.1780487804878049,-0.12820512820512822,0.5875571456966805,0.0,0.0,0.4358974358974359,40.0,1.0,0.9214206543579878,0.9013861182045312
port1283,-0.21181988742964356,-0.15384615384615388,0.45903678397293446,0.0,0.0,0.4230769230769231,40.0,1.0,0.9951683823756073,0.9424325638709216
russ1263,-0.06322701688555347,-0.046153846153846156,0.5632714044432897,0.0,0.0,0.47692307692307695,40.0,1.0,0.9109506337724694,0.892315159933761
slov1268,0.008255159474671672,-0.005128205128205129,0.24986083065000275,0.0,0.0,0.49743589743589745,40.0,1.0,1.0,1.0
stan1289,-0.22138836772983117,-0.15384615384615388,0.4383816502070723,0.0,0.0,0.4230769230769231,40.0,1.0,0.9730397339221133,0.9242741211705066
stan1290,-0.12889305816135085,-0.07692307692307694,0.2964218107945889,0.0,0.0,0.46153846153846156,40.0,1.0,1.0,0.9900056798692219
stan1293,-0.22851782363977488,-0.16410256410256413,0.6731891589382797,0.0,0.0,0.41794871794871796,40.0,1.0,0.8314135647213734,0.8440655836870594
stan1318,-0.16135084427767357,-0.11538461538461539,0.48831541218637997,0.0,0.0,0.4423076923076923,40.0,1.0,0.9461705786022638,0.9541332817507824
swed1254,-0.4470919324577862,-0.30512820512820515,0.5219249349684132,0.0,0.0,0.3474358974358974,40.0,1.0,0.9545655413950488,0.9405667671310789
tami1289,0.31125703564727963,0.21282051282051284,0.5097954479976952,0.0,1.0,0.6064102564102564,40.0,1.0,0.8551571250621219,0.8817123409419254
telu1262,0.4562851782363978,0.33333333333333337,0.11803350970017629,0.0,1.0,0.6666666666666666,40.0,1.0,1.0,0.9493533528335607
ukra1253,0.06397748592870545,0.04102564102564103,0.27020606100189415,0.0,0.0,0.5205128205128206,40.0,1.0,1.0,0.9377656085278853
viet1252,-0.24784240150093811,-0.17692307692307693,0.3593099744932205,0.0,0.0,0.4115384615384615,40.0,1.0,0.9826298255731594,0.9069550616166471
wels1247,-0.41088180112570366,-0.2692307692307693,0.48162154419137654,0.0,0.0,0.36538461538461536,40.0,1.0,0.9383524938503525,0.9089354668129387
west2369,0.04784240150093809,0.02564102564102564,0.3891263057929725,0.0,0.0,0.5128205128205128,40.0,1.0,0.9797474847790822,0.9826162747277952
