,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.5249530956848031,0.3512820512820513,0.2281935181935183,0.0,0.0,0.6756410256410257,40.0,1.0,0.9902635784494794,0.9381300063707816
copt1239,-0.36210131332082557,-0.2538461538461539,0.14470842332613396,0.0,0.0,0.3730769230769231,40.0,1.0,0.9931940771138024,0.9815131283695222
czec1258,0.29756097560975614,0.2076923076923077,0.29076804076804075,0.0,1.0,0.6038461538461538,40.0,1.0,0.9204436329741703,0.9381260296458813
dani1285,0.23696060037523456,0.15384615384615388,0.0,1.0,1.0,0.5769230769230769,40.0,1.0,1.0,0.9975433242778715
dutc1256,-0.01106941838649156,-0.015384615384615385,0.30282654230002226,0.0,0.0,0.49230769230769234,40.0,1.0,1.0,0.9952538652668097
faro1244,-0.4191369606003753,-0.2692307692307693,0.4339887640449438,0.0,0.0,0.36538461538461536,40.0,1.0,0.9509475604335049,0.9500023539321715
finn1318,0.04803001876172608,0.03076923076923077,0.3092270274378658,0.0,0.0,0.5153846153846153,40.0,1.0,0.974266925491975,0.9727556783687694
hebr1245,-0.3185741088180113,-0.20512820512820512,0.5435825435825438,0.0,0.0,0.3974358974358974,40.0,1.0,0.9484547740085448,0.9534562778072962
hind1269,0.3810506566604128,0.2538461538461539,0.3921971535745808,0.0,0.0,0.6269230769230769,40.0,1.0,0.9477791277728794,0.9220780838408488
hung1274,0.3816135084427768,0.2641025641025641,0.16302521008403356,0.0,1.0,0.632051282051282,40.0,1.0,0.9447614565013539,0.9490348072390202
icel1247,-0.22439024390243903,-0.16153846153846155,0.303078768492603,0.0,0.0,0.41923076923076924,40.0,1.0,0.9901736806354152,0.9378538096685561
iris1253,-0.3028142589118199,-0.18205128205128207,0.4633241467034132,0.0,0.0,0.40897435897435896,40.0,1.0,0.951911885946434,0.9604366551063822
ital1282,-0.09906191369606004,-0.05897435897435897,0.41726670777149294,0.0,0.0,0.4705128205128205,40.0,1.0,0.9378718633728678,0.9404587991912882
komi1268,0.21275797373358352,0.13846153846153847,0.4080290412128978,0.0,1.0,0.5692307692307692,40.0,1.0,0.879115444750571,0.8958739574722067
kore1280,0.2960600375234522,0.18461538461538463,0.3835801838610829,0.0,1.0,0.5923076923076923,40.0,1.0,0.9207269580185439,0.9219655060123882
latv1249,0.32045028142589127,0.21025641025641026,0.13319672131147536,0.0,0.0,0.6051282051282051,40.0,1.0,1.0,0.9627774500780908
