,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.5667917448405254,0.4,0.3585736747529201,0.0,1.0,0.7,40.0,1.0,0.9274673268907216,0.9250125160472715
copt1239,-0.32776735459662293,-0.23846153846153847,0.40767670466471684,0.0,0.0,0.38076923076923075,40.0,1.0,0.9409347902399579,0.9507643941915525
czec1258,0.3161350844277674,0.22820512820512823,0.24199314574314587,0.0,0.0,0.6141025641025641,40.0,1.0,1.0,0.9877547795738454
dani1285,0.4300187617260789,0.2974358974358975,0.0,1.0,1.0,0.6487179487179487,40.0,1.0,1.0,0.9737885533899225
dutc1256,0.050281425891181994,0.043589743589743594,0.30282654230002226,0.0,0.0,0.5217948717948718,40.0,1.0,0.9684177598119338,0.9593915927543885
faro1244,-0.1604127579737336,-0.11538461538461539,0.34816753926701577,0.0,0.0,0.4423076923076923,40.0,1.0,0.9999064051231005,0.9691487949663923
finn1318,0.19681050656660415,0.13589743589743591,0.39935250428489816,0.0,0.0,0.5679487179487179,40.0,1.0,0.9327428920990258,0.9307018795509873
hebr1245,-0.3731707317073171,-0.2512820512820513,0.5389624900239426,0.0,0.0,0.37435897435897436,40.0,1.0,0.9240496982689921,0.9386960871506742
hind1269,0.4478424015009382,0.3025641025641026,0.3921971535745808,0.0,1.0,0.6512820512820513,40.0,1.0,0.9016905415624552,0.9124958915568989
hung1274,0.30637898686679177,0.20512820512820512,0.3897058823529411,0.0,0.0,0.6025641025641025,40.0,1.0,0.9414910732423942,0.9250026580676337
icel1247,0.12288930581613511,0.06923076923076923,0.23062398077418245,0.0,0.0,0.5346153846153846,40.0,1.0,1.0,0.9837898090710803
iris1253,0.13470919324577862,0.08974358974358974,0.4055111582717113,0.0,0.0,0.5448717948717948,40.0,1.0,0.9325976112062405,0.9331167026012345
ital1282,0.2953095684803002,0.2153846153846154,0.27228346886426896,0.0,1.0,0.6076923076923076,40.0,1.0,0.9322741345468971,0.9350740237500998
komi1268,0.21388367729831145,0.1435897435897436,0.37933529884749406,0.0,0.0,0.5717948717948718,40.0,1.0,0.9819482436263333,0.9800800968737375
kore1280,0.4386491557223265,0.2974358974358975,0.36057480141218007,0.0,1.0,0.6487179487179487,40.0,1.0,0.9220545975777528,0.9379249566570603
latv1249,0.451219512195122,0.2974358974358975,0.2916003501512016,0.0,1.0,0.6487179487179487,40.0,1.0,0.9306660413643759,0.9362231203922131
lith1251,0.31125703564727963,0.2,0.39350616342610245,0.0,1.0,0.6,40.0,1.0,0.9023323942570831,0.9129474489779489
malt1254,-0.006191369606003753,-0.005128205128205129,0.5683098124958591,0.0,1.0,0.49743589743589745,40.0,1.0,0.8423265473222502,0.8606430486283566
mand1415,-0.3489681050656661,-0.2435897435897436,0.5367441860465116,0.0,0.0,0.3782051282051282,40.0,1.0,1.0,0.9666154763456535
mara1378,0.40356472795497195,0.32820512820512826,0.0,1.0,1.0,0.6641025641025641,40.0,1.0,1.0,0.9785933152960039
mode1248,0.012945590994371484,0.023076923076923078,0.1600722578834754,0.0,1.0,0.5115384615384615,40.0,1.0,0.9832002306665383,0.9861973538762391
nort2671,0.35947467166979363,0.24615384615384617,0.3683215854530595,0.0,0.0,0.6230769230769231,40.0,1.0,0.9800618456459251,0.9848771290185987
nucl1235,0.34465290806754223,0.2230769230769231,0.3552275738972874,0.0,1.0,0.6115384615384616,40.0,1.0,0.9240567403734218,0.9339740188301392
nucl1301,0.32776735459662293,0.21025641025641026,0.3397727272727273,0.0,1.0,0.6051282051282051,40.0,1.0,0.8980675992610028,0.9121517383335458
nucl1347,-0.4337711069418387,-0.32051282051282054,0.680561803368821,0.0,0.0,0.33974358974358976,40.0,1.0,0.8952621312116212,0.885976987665219
nucl1643,0.3420262664165104,0.21025641025641026,0.29296296296296304,0.0,0.0,0.6051282051282051,40.0,1.0,1.0,0.9967167836256715
poli1260,-0.07598499061913698,-0.03333333333333333,0.45857795172863675,0.0,1.0,0.48333333333333334,40.0,1.0,0.9238624396955274,0.9188445920585901
port1283,-0.2309568480300188,-0.14615384615384616,0.44420672409002504,0.0,0.0,0.4269230769230769,40.0,1.0,0.9430488158630549,0.89850335373417
russ1263,0.3870544090056286,0.258974358974359,0.31070721747626323,0.0,0.0,0.6294871794871795,40.0,1.0,0.9997498754146337,0.9865574771704184
slov1268,0.5371482176360226,0.36923076923076925,0.23292721419102339,0.0,0.0,0.6846153846153846,40.0,1.0,0.9788568302901716,0.9281990771495914
stan1289,-0.326078799249531,-0.23333333333333336,0.37888178952919394,0.0,0.0,0.38333333333333336,40.0,1.0,0.9835389240497507,0.961137558217167
stan1290,-0.14953095684803003,-0.10512820512820513,0.2995576766383424,0.0,0.0,0.44743589743589746,40.0,1.0,0.9991963536288467,0.9848540688505709
stan1293,-0.4041275797373359,-0.30769230769230776,0.6853256021409457,0.0,0.0,0.34615384615384615,40.0,1.0,0.8458964578684742,0.8506565170438339
stan1318,-0.15609756097560978,-0.1076923076923077,0.4732736930388594,0.0,1.0,0.4461538461538462,40.0,1.0,0.9203789547455637,0.9356373786240924
swed1254,-0.1812382739212008,-0.12564102564102564,0.7088776003870345,0.0,0.0,0.4371794871794872,40.0,1.0,0.8782651448585458,0.8093726289307652
tami1289,0.31275797373358355,0.2025641025641026,0.18418803418803417,0.0,1.0,0.6012820512820513,40.0,1.0,0.944356631795534,0.9499655164091029
telu1262,0.43039399624765484,0.2974358974358975,0.2709200184928341,0.0,1.0,0.6487179487179487,40.0,1.0,0.9382905841959792,0.9111851843712568
ukra1253,0.4482176360225142,0.30512820512820515,0.05304099801204311,0.0,1.0,0.6525641025641026,40.0,1.0,0.9931244321081384,0.9807378846950854
viet1252,-0.45741088180112577,-0.3358974358974359,0.680561803368821,0.0,0.0,0.33205128205128204,40.0,1.0,0.8560733700269066,0.8753800760779205
wels1247,-0.32270168855534714,-0.22820512820512823,0.5598787962261552,0.0,0.0,0.3858974358974359,40.0,1.0,0.9526520459405922,0.9584165695905619
west2369,0.0009380863039399625,-0.007692307692307693,0.527065527065527,0.0,0.0,0.49615384615384617,40.0,1.0,0.9237871704149099,0.9203718709813167
