,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.301125703564728,0.19743589743589746,0.35612118986412056,0.0,1.0,0.5987179487179487,40.0,1.0,0.917217072830027,0.9351323034160671
copt1239,-0.26979362101313326,-0.2025641025641026,0.3257079261739291,0.0,0.0,0.39871794871794874,40.0,1.0,0.9581511565479097,0.9523302785048889
czec1258,0.1375234521575985,0.08974358974358974,0.29076804076804075,0.0,0.0,0.5448717948717948,40.0,1.0,0.9881710223693793,0.9880935072583578
dani1285,0.4030018761726079,0.2641025641025641,0.0,1.0,1.0,0.632051282051282,40.0,1.0,1.0,0.9885015117965263
dutc1256,0.18911819887429648,0.13846153846153847,0.5531066683277452,0.0,0.0,0.5692307692307692,40.0,1.0,0.9239063612547355,0.909064863965739
faro1244,-0.14427767354596627,-0.09230769230769231,0.4339887640449438,0.0,0.0,0.45384615384615384,40.0,1.0,0.9211848821601417,0.9320219198833716
finn1318,0.022701688555347096,0.023076923076923078,0.25087128771856676,0.0,0.0,0.5115384615384615,40.0,1.0,0.9797740079807535,0.9833189024763439
hebr1245,-0.21669793621013136,-0.14615384615384616,0.13707250341997265,0.0,1.0,0.4269230769230769,40.0,1.0,0.9996519186521193,0.9990105928322434
hind1269,0.39474671669793626,0.27179487179487183,0.41182798800184595,0.0,1.0,0.6358974358974359,40.0,1.0,0.9227238332264064,0.8929499507223819
hung1274,0.19662288930581617,0.13076923076923078,0.3056487168858576,0.0,0.0,0.5653846153846154,40.0,1.0,0.9793376287051903,0.9796210094767726
icel1247,-0.17748592870544094,-0.13076923076923078,0.23062398077418245,0.0,0.0,0.4346153846153846,40.0,1.0,1.0,0.964191845352702
iris1253,-0.39662288930581624,-0.26666666666666666,0.4724465057447032,0.0,0.0,0.36666666666666664,40.0,1.0,0.9590148615967715,0.9685029678425684
ital1282,-0.15121951219512195,-0.10512820512820513,0.43519093900665806,0.0,0.0,0.44743589743589746,40.0,1.0,0.9887160498355215,0.925989764104322
komi1268,0.026641651031894937,0.015384615384615385,0.4656966490299825,0.0,0.0,0.5076923076923077,40.0,1.0,0.9809940723481199,0.9194943720316959
kore1280,0.3958724202626642,0.27692307692307694,0.3835801838610829,0.0,0.0,0.6384615384615384,40.0,1.0,0.974893810915627,0.9115513536239578
latv1249,0.050093808630394004,0.02564102564102564,0.13319672131147536,0.0,0.0,0.5128205128205128,40.0,1.0,0.9925009018588573,0.9805028147300859
lith1251,0.07898686679174484,0.05384615384615385,0.22561758706655582,0.0,0.0,0.5269230769230769,40.0,1.0,1.0,0.9690648748001313
malt1254,-0.24784240150093811,-0.17435897435897438,0.7072044831478794,0.0,0.0,0.4128205128205128,40.0,1.0,0.8204831117294069,0.8388941508152106
mand1415,-0.2859287054409006,-0.20512820512820512,0.48124999999999996,0.0,0.0,0.3974358974358974,40.0,1.0,0.9958460199736588,0.9643783630897461
mara1378,0.4941838649155723,0.4,0.308216619981326,0.0,1.0,0.7,40.0,1.0,0.9301872057972029,0.9336971256122404
mode1248,-0.1405253283302064,-0.09230769230769231,0.43351174176416907,0.0,0.0,0.45384615384615384,40.0,1.0,0.9519616128909544,0.9625436486572275
nort2671,0.038086303939962485,0.03076923076923077,0.36942070275403605,0.0,0.0,0.5153846153846153,40.0,1.0,0.9866796017271116,0.9396866406963357
nucl1235,0.3129455909943715,0.21282051282051284,0.27530384600971797,0.0,1.0,0.6064102564102564,40.0,1.0,0.914956743931484,0.9170664120945117
nucl1301,0.27767354596622895,0.19743589743589746,0.28198904655215334,0.0,1.0,0.5987179487179487,40.0,1.0,0.913307614928528,0.9268750517372544
nucl1347,-0.36679174484052535,-0.2512820512820513,0.3305645840857108,0.0,0.0,0.37435897435897436,40.0,1.0,0.9849843132448824,0.9501334372721744
nucl1643,0.2463414634146342,0.17692307692307693,0.29296296296296304,0.0,1.0,0.5884615384615385,40.0,1.0,0.9350534848921379,0.9414770013509226
poli1260,-0.10375234521575986,-0.07435897435897437,0.30560790360344925,0.0,0.0,0.46282051282051284,40.0,1.0,1.0,0.9377143339126124
port1283,-0.31744840525328333,-0.2230769230769231,0.35071707953063885,0.0,0.0,0.38846153846153847,40.0,1.0,0.9763531426654348,0.9815120580995071
russ1263,-0.12401500938086307,-0.08717948717948719,0.39731924933557533,0.0,0.0,0.4564102564102564,40.0,1.0,0.9536363818383381,0.8990487723785356
slov1268,0.036022514071294566,0.04871794871794872,0.1741888968997839,0.0,0.0,0.5243589743589744,40.0,1.0,0.9996720204391005,0.9997445849938049
stan1289,-0.13677298311444655,-0.08717948717948719,0.3178082191780823,0.0,0.0,0.4564102564102564,40.0,1.0,0.9680840721476838,0.9727990945489524
stan1290,-0.33696060037523456,-0.22820512820512823,0.2964218107945889,0.0,0.0,0.3858974358974359,40.0,1.0,0.9950782427985767,0.955111743529961
stan1293,-0.33489681050656667,-0.2230769230769231,0.23400479190700169,0.0,0.0,0.38846153846153847,40.0,1.0,1.0,0.9977094957839691
