,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.3080675422138837,0.21794871794871798,0.0,1.0,1.0,0.6089743589743589,40.0,1.0,0.9943721701169365,0.9844810859031239
copt1239,-0.11125703564727957,-0.08205128205128207,0.3257079261739291,0.0,0.0,0.45897435897435895,40.0,1.0,0.956767356209197,0.9462054682704611
czec1258,0.18911819887429648,0.12051282051282051,0.24199314574314587,0.0,0.0,0.5602564102564103,40.0,1.0,1.0,0.9347602127291286
dani1285,0.376360225140713,0.2538461538461539,0.0,1.0,1.0,0.6269230769230769,40.0,1.0,0.9924530381868019,0.9926410010560429
dutc1256,0.23039399624765483,0.158974358974359,0.3649571560087813,0.0,0.0,0.5794871794871795,40.0,1.0,0.9835887986320901,0.9858435041157142
faro1244,-0.09493433395872422,-0.043589743589743594,0.4339887640449438,0.0,0.0,0.4782051282051282,40.0,1.0,0.926656636477225,0.9393738917429749
finn1318,0.08911819887429645,0.07435897435897437,0.25087128771856676,0.0,1.0,0.5371794871794872,40.0,1.0,0.9655825270896438,0.9700696043433638
hebr1245,-0.18968105065666047,-0.13589743589743591,0.6197263760738149,0.0,1.0,0.43205128205128207,40.0,1.0,0.8595806837340263,0.8835794075692727
hind1269,0.37504690431519705,0.2641025641025641,0.44193222019725564,0.0,0.0,0.632051282051282,40.0,1.0,0.9156874928566439,0.9257346725054957
hung1274,0.10994371482176361,0.08205128205128207,0.3897058823529411,0.0,1.0,0.541025641025641,40.0,1.0,0.9070919049814935,0.919150375792185
icel1247,-0.12964352720450284,-0.07435897435897437,0.5113457957574209,0.0,1.0,0.46282051282051284,40.0,1.0,0.8771483139271432,0.8992251969571738
iris1253,-0.27579737335834903,-0.1794871794871795,0.335536805740101,0.0,0.0,0.41025641025641024,40.0,1.0,1.0,0.99985307363027
ital1282,-0.22251407129455913,-0.158974358974359,0.43519093900665806,0.0,0.0,0.4205128205128205,40.0,1.0,0.9930672251855662,0.9221045413686416
komi1268,-0.006191369606003753,0.0025641025641025645,0.4656966490299825,0.0,0.0,0.5012820512820513,40.0,1.0,0.9742912235281589,0.9802479330776881
kore1280,0.5213883677298312,0.3666666666666667,0.3835801838610829,0.0,0.0,0.6833333333333333,40.0,1.0,0.9485021979346617,0.9069187540604364
latv1249,-0.016510318949343343,-0.0025641025641025645,0.13319672131147536,0.0,0.0,0.4987179487179487,40.0,1.0,0.9846026974048854,0.934768879835708
lith1251,0.11688555347091935,0.08205128205128207,0.22561758706655582,0.0,0.0,0.541025641025641,40.0,1.0,0.9843595936614037,0.9719538426958038
malt1254,-0.3024390243902439,-0.2076923076923077,0.5598787962261552,0.0,0.0,0.39615384615384613,40.0,1.0,0.9853937992211999,0.9657939631456154
mand1415,-0.07148217636022515,-0.04871794871794872,0.48124999999999996,0.0,1.0,0.4756410256410256,40.0,1.0,0.8876938248750874,0.9023776095733341
mara1378,0.48968105065666045,0.3717948717948718,0.7006106790542305,0.0,1.0,0.6858974358974359,40.0,1.0,0.8522018287521304,0.7953155503789622
mode1248,-0.14258911819887432,-0.10512820512820513,0.30086802581234645,0.0,1.0,0.44743589743589746,40.0,1.0,0.95017875058892,0.9576928862252775
nort2671,0.006191369606003753,-0.0025641025641025645,0.0820840501351684,0.0,1.0,0.4987179487179487,40.0,1.0,0.9992416018976671,0.9962119125142817
nucl1235,0.2482176360225141,0.16666666666666669,0.3704848493417983,0.0,0.0,0.5833333333333334,40.0,1.0,0.9984074504511525,0.9482427602255057
nucl1301,0.29699812382739216,0.19487179487179487,0.05610985945713973,0.0,1.0,0.5974358974358974,40.0,1.0,1.0,0.984535329525539
nucl1347,-0.24221388367729837,-0.158974358974359,0.680561803368821,0.0,0.0,0.4205128205128205,40.0,1.0,0.8641919733871892,0.878465158553497
nucl1643,0.30487804878048785,0.21282051282051284,0.42450687387925884,0.0,0.0,0.6064102564102564,40.0,1.0,0.9622392024714533,0.8882985995620596
poli1260,-0.09305816135084428,-0.06923076923076923,0.37593984962406013,0.0,0.0,0.4653846153846154,40.0,1.0,0.9808973793738707,0.9811194601315297
port1283,-0.24183864915572234,-0.16153846153846155,0.5067947046434662,0.0,0.0,0.41923076923076924,40.0,1.0,0.9983300465771404,0.932632679747918
russ1263,-0.08611632270168856,-0.07435897435897437,0.2800646868568069,0.0,0.0,0.46282051282051284,40.0,1.0,0.9960917726632048,0.9350669914657601
slov1268,0.06848030018761728,0.043589743589743594,0.1741888968997839,0.0,0.0,0.5217948717948718,40.0,1.0,0.9996720204391005,0.9634612695956749
stan1289,-0.24709193245778616,-0.15384615384615388,0.4247791197211641,0.0,0.0,0.4230769230769231,40.0,1.0,0.9519825729734781,0.9352717727744381
stan1290,-0.2232645403377111,-0.14871794871794874,0.4033449068414105,0.0,0.0,0.4256410256410256,40.0,1.0,0.9478031860380806,0.9045277972866332
stan1293,-0.28067542213883684,-0.19487179487179487,0.49430849463444004,0.0,0.0,0.4025641025641026,40.0,1.0,0.9872127252674145,0.8939115441824579
stan1318,-0.13996247654784244,-0.09743589743589744,0.3848759221998659,0.0,0.0,0.4512820512820513,40.0,1.0,0.99837394453736,0.9227135039464075
swed1254,-0.3305816135084428,-0.2538461538461539,0.5219249349684132,0.0,0.0,0.3730769230769231,40.0,1.0,0.9917293547949575,0.9749678480299463
tami1289,0.32026266416510324,0.23076923076923078,0.0828237313592961,0.0,1.0,0.6153846153846154,40.0,1.0,1.0,0.9541338111521307
telu1262,0.40900562851782374,0.28974358974358977,0.11803350970017629,0.0,1.0,0.6448717948717949,40.0,1.0,1.0,0.9863941381328606
ukra1253,0.0726078799249531,0.043589743589743594,0.21360765270729137,0.0,0.0,0.5217948717948718,40.0,1.0,0.9694535224448475,0.9766253074146966
viet1252,-0.2583489681050657,-0.1717948717948718,0.3593099744932205,0.0,0.0,0.41410256410256413,40.0,1.0,1.0,0.9523466798263613
wels1247,-0.2960600375234522,-0.21282051282051284,0.3551498532736806,0.0,1.0,0.3935897435897436,40.0,1.0,0.9510097366746041,0.9561263707754111
west2369,-0.005253283302063791,-0.015384615384615385,0.5820579076393031,0.0,0.0,0.49230769230769234,40.0,1.0,0.9122656565447409,0.9189805070361116
