,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.16848030018761728,0.1076923076923077,0.20853314527503547,0.0,0.0,0.5538461538461539,40.0,1.0,1.0,0.9461082939280052
copt1239,-0.17954971857410884,-0.13076923076923078,0.4291045135097434,0.0,0.0,0.4346153846153846,40.0,1.0,0.9092065215005148,0.9213501817179728
czec1258,0.12401500938086307,0.08205128205128207,0.24199314574314587,0.0,0.0,0.541025641025641,40.0,1.0,1.0,0.9998912844395436
dani1285,0.36791744840525337,0.258974358974359,0.35595739410453314,0.0,0.0,0.6294871794871795,40.0,1.0,0.9522373772671212,0.9591391737389464
dutc1256,0.18180112570356474,0.13076923076923078,0.30282654230002226,0.0,0.0,0.5653846153846154,40.0,1.0,1.0,0.9979079309445975
faro1244,-0.19343339587242028,-0.12307692307692308,0.23329621380846333,0.0,0.0,0.43846153846153846,40.0,1.0,0.9949157490265064,0.99517603803275
finn1318,-0.035084427767354605,-0.0025641025641025645,0.20072909762333116,0.0,0.0,0.4987179487179487,40.0,1.0,1.0,0.9929800393941537
hebr1245,-0.23151969981238277,-0.1564102564102564,0.4656966490299825,0.0,0.0,0.4217948717948718,40.0,1.0,0.9858702005822747,0.9346362996510407
hind1269,0.42138836772983124,0.28461538461538466,0.44193222019725564,0.0,0.0,0.6423076923076924,40.0,1.0,0.9741003808729699,0.9186939101501244
hung1274,0.23846153846153853,0.16153846153846155,0.3056487168858576,0.0,0.0,0.5807692307692308,40.0,1.0,0.956425633702117,0.958946768278476
icel1247,0.06566604127579738,0.046153846153846156,0.27557680631451115,0.0,0.0,0.5230769230769231,40.0,1.0,0.9826293515676102,0.9430900796639742
iris1253,-0.32908067542213887,-0.2205128205128205,0.335536805740101,0.0,0.0,0.38974358974358975,40.0,1.0,0.9940060331931466,0.995239721095651
ital1282,-0.23039399624765483,-0.16923076923076927,0.44082640916236243,0.0,0.0,0.4153846153846154,40.0,1.0,0.9981950918478584,0.9717714988774772
komi1268,0.05534709193245779,0.02564102564102564,0.4080290412128978,0.0,0.0,0.5128205128205128,40.0,1.0,0.9967333866347952,0.9945860861085849
kore1280,0.43227016885553476,0.30769230769230776,0.3835801838610829,0.0,1.0,0.6538461538461539,40.0,1.0,0.8970837805256991,0.8856093337047168
latv1249,-0.06604127579737337,-0.03846153846153847,0.2787264723740133,0.0,1.0,0.4807692307692308,40.0,1.0,0.9405727441000352,0.9534424336545265
lith1251,-0.036022514071294566,-0.020512820512820516,0.39350616342610245,0.0,0.0,0.4897435897435897,40.0,1.0,0.9547863598995212,0.9395602368798954
malt1254,-0.2654784240150094,-0.19487179487179487,0.30560790360344925,0.0,0.0,0.4025641025641026,40.0,1.0,0.9608982354869028,0.9577252440708777
mand1415,-0.18386491557223267,-0.13589743589743591,0.5435825435825438,0.0,0.0,0.43205128205128207,40.0,1.0,0.9637370227405024,0.9234422466649832
mara1378,0.46660412757973746,0.3564102564102565,0.6141157586630158,0.0,1.0,0.6782051282051282,40.0,1.0,0.8813291663357564,0.8355325873213026
mode1248,-0.00375234521575985,0.010256410256410258,0.0820840501351684,0.0,1.0,0.5051282051282051,40.0,1.0,0.9905802210324398,0.9900767016996178
nort2671,-0.0476547842401501,-0.010256410256410258,0.43351174176416907,0.0,0.0,0.4948717948717949,40.0,1.0,0.9784393062204207,0.9206562899221924
