,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.2666230092844563,0.17522422134765428,0.35612118986412056,0.0,0.0,0.591025641025641,40.0,1.0,1.0,0.8927837531969888
copt1239,-0.1629798139530257,-0.12208821836454081,0.3257079261739291,0.0,0.0,0.44358974358974357,40.0,1.0,0.9694284747151638,0.9480899908529069
czec1258,0.21198475461813793,0.14286919170318607,0.24199314574314587,0.0,0.0,0.5756410256410256,40.0,1.0,1.0,0.9338432698749412
dani1285,0.3891106338737261,0.27279566959719964,0.0,1.0,1.0,0.6384615384615384,40.0,1.0,1.0,0.9947710668557737
dutc1256,0.18989068161049272,0.13437096247164249,0.3649571560087813,0.0,0.0,0.5628205128205128,40.0,1.0,0.9823443522947557,0.9512384375049457
faro1244,-0.1297226505119629,-0.09167435804544029,0.23329621380846333,0.0,0.0,0.4551282051282051,40.0,1.0,1.0,0.968356352372176
finn1318,0.06989203744887906,0.06359990256322266,0.41611815040315947,0.0,1.0,0.5358974358974359,40.0,1.0,0.9002800641482427,0.9122478375530886
hebr1245,-0.03323945127265692,-0.019443824332363458,0.5677562326869806,0.0,0.0,0.49230769230769234,40.0,1.0,0.9381800059933116,0.8500053686093683
hind1269,0.45561027384471,0.3084275079986793,0.44193222019725564,0.0,0.0,0.6564102564102564,40.0,1.0,0.9226322430504973,0.9051040484361095
hung1274,0.2428994910228345,0.17099363731794792,0.3056487168858576,0.0,0.0,0.5897435897435898,40.0,1.0,0.9941789805935213,0.9626138902152032
icel1247,-0.13594972462148752,-0.08920806256970036,0.5113457957574209,0.0,0.0,0.45897435897435895,40.0,1.0,0.9433959757025954,0.8668310775172997
iris1253,-0.20630394364944,-0.13368959110228437,0.335536805740101,0.0,0.0,0.43974358974358974,40.0,1.0,0.9940060331931466,0.994109334626422
ital1282,-0.1965074403541253,-0.13316565861853824,0.43519093900665806,0.0,0.0,0.4371794871794872,40.0,1.0,0.9828603200803525,0.9779092403426538
komi1268,-0.033600830419009596,-0.030968386445550552,0.4656966490299825,0.0,0.0,0.4846153846153846,40.0,1.0,0.9794975327686704,0.9778478087494379
kore1280,0.5174231338907053,0.373004187529755,0.3835801838610829,0.0,1.0,0.691025641025641,40.0,1.0,0.8885695617795658,0.8980628767524689
latv1249,0.03520962857888015,0.027185747308321608,0.13319672131147536,0.0,0.0,0.5166666666666667,40.0,1.0,0.9715208074636685,0.9384079670094103
lith1251,0.15499441096728603,0.07762284642038639,0.22561758706655582,0.0,0.0,0.5423076923076923,40.0,1.0,0.9843595936614037,0.9832752673624925
malt1254,-0.2331018306673357,-0.17335769033886295,0.5244952310169703,0.0,0.0,0.4153846153846154,40.0,1.0,0.9060684076034098,0.8958474507758878
mand1415,-0.017678361979914955,-0.0052228045006638855,0.48124999999999996,0.0,0.0,0.5051282051282051,40.0,1.0,0.9961719941049683,0.8275051703583608
mara1378,0.48336390127904866,0.3767820350875317,0.308216619981326,0.0,1.0,0.6897435897435897,40.0,1.0,0.9282837260627977,0.9307796921761102
mode1248,-0.12700650446750586,-0.09179380351374966,0.0820840501351684,0.0,1.0,0.4576923076923077,40.0,1.0,1.0,0.9838631726130553
nort2671,0.09025174777117381,0.06485526188064134,0.40150982689053755,0.0,1.0,0.5371794871794872,40.0,1.0,0.901107322434364,0.9211805929293831
nucl1235,0.4326965810383191,0.27574115127011917,0.49596013771864556,0.0,0.0,0.6397435897435897,40.0,1.0,0.9196968679164351,0.9090134802606625
nucl1301,0.3831605350143506,0.2709733813985673,0.05610985945713973,0.0,1.0,0.6371794871794871,40.0,1.0,1.0,0.9898124735588757
nucl1347,-0.16593929659443843,-0.10580865368896439,0.39897910731244063,0.0,0.0,0.44871794871794873,40.0,1.0,0.9700157555932228,0.9723832456494582
nucl1643,0.46771404207901224,0.3173276548593412,0.42450687387925884,0.0,1.0,0.658974358974359,40.0,1.0,0.8997046194918146,0.9188127548186819
poli1260,-0.16199729972963847,-0.11218757542711895,0.45857795172863675,0.0,0.0,0.44487179487179485,40.0,1.0,0.9730222254085261,0.9518191022357732
port1283,-0.21062031928579636,-0.13990388507832102,0.5067947046434662,0.0,0.0,0.4346153846153846,40.0,1.0,0.9983300465771404,0.8848962276523277
russ1263,-0.0747102262947811,-0.07742096611387637,0.4385392865342356,0.0,0.0,0.4641025641025641,40.0,1.0,0.9862167700086242,0.8725434169361741
slov1268,0.06870982646509179,0.04777396123494775,0.1741888968997839,0.0,0.0,0.5294871794871795,40.0,1.0,0.9924607032870225,0.9666668262537093
stan1289,-0.08150238334651472,-0.05573896308610859,0.3280474954380736,0.0,0.0,0.47435897435897434,40.0,1.0,0.9749722813457609,0.9809663909425091
stan1290,-0.23772424222486632,-0.16699816203683274,0.4033449068414105,0.0,0.0,0.4217948717948718,40.0,1.0,0.9700930524029118,0.9466627137985135
stan1293,-0.2100371710158797,-0.129371410700644,0.49430849463444004,0.0,0.0,0.43846153846153846,40.0,1.0,0.9033122433401348,0.9070929907018841
stan1318,0.08594380647220248,0.06753816335059705,0.5023887587822014,0.0,0.0,0.5358974358974359,40.0,1.0,0.9477498741016799,0.9538498242056879
swed1254,-0.3442030871145718,-0.24597802997349463,0.5219249349684132,0.0,0.0,0.38076923076923075,40.0,1.0,0.9722324428543389,0.9704585739278236
tami1289,0.3467242900124756,0.2569464401555298,0.0828237313592961,0.0,1.0,0.6269230769230769,40.0,1.0,1.0,0.9927701187239228
