,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.31031894934333965,0.2230769230769231,0.3585736747529201,0.0,1.0,0.6115384615384616,40.0,1.0,0.8961832882435867,0.9074971793511523
copt1239,-0.23789868667917452,-0.1794871794871795,0.3257079261739291,0.0,0.0,0.41025641025641024,40.0,1.0,0.9590619905026926,0.9276934304694607
czec1258,0.18986866791744844,0.12564102564102564,0.29076804076804075,0.0,0.0,0.5628205128205128,40.0,1.0,0.9881710223693793,0.9868441370632537
dani1285,0.3485928705440901,0.23333333333333336,0.0,1.0,1.0,0.6166666666666667,40.0,1.0,0.9924530381868019,0.9926203281244087
dutc1256,0.13151969981238276,0.09230769230769231,0.4011805711129983,0.0,0.0,0.5461538461538461,40.0,1.0,0.9914451466544493,0.9216395161970017
faro1244,-0.028705440900562852,-0.01794871794871795,0.33732876712328763,0.0,0.0,0.491025641025641,40.0,1.0,0.9738417357192498,0.9505903895716219
finn1318,0.0953095684803002,0.06410256410256411,0.3092270274378658,0.0,0.0,0.532051282051282,40.0,1.0,0.9854171684704375,0.9834747936671494
hebr1245,-0.16941838649155724,-0.13333333333333333,0.13707250341997265,0.0,1.0,0.43333333333333335,40.0,1.0,0.9839087243153669,0.983941211030396
hind1269,0.36116322701688564,0.25641025641025644,0.44193222019725564,0.0,0.0,0.6282051282051282,40.0,1.0,0.9156874928566439,0.8771825874805839
hung1274,0.23808630393996255,0.16666666666666669,0.3056487168858576,0.0,0.0,0.5833333333333334,40.0,1.0,0.9622697900288851,0.9620206867332903
icel1247,0.020450281425891184,0.03333333333333333,0.17724268867063428,0.0,1.0,0.5166666666666667,40.0,1.0,0.9775513909991876,0.9819340981984435
iris1253,-0.29962476547842404,-0.2,0.335536805740101,0.0,0.0,0.4,40.0,1.0,0.9940060331931466,0.9097418545486068
ital1282,-0.2602251407129456,-0.18717948717948718,0.43519093900665806,0.0,0.0,0.4064102564102564,40.0,1.0,1.0,0.9282142032483952
komi1268,0.17786116322701692,0.10256410256410256,0.4656966490299825,0.0,0.0,0.5512820512820513,40.0,1.0,0.9590660328897971,0.9690478766700276
kore1280,0.4547842401500939,0.31538461538461543,0.34548277809147393,0.0,0.0,0.6576923076923077,40.0,1.0,0.9977952142291591,0.8848679314387116
latv1249,0.09455909943714824,0.05384615384615385,0.13319672131147536,0.0,0.0,0.5269230769230769,40.0,1.0,1.0,0.9706179263591485
lith1251,0.14746716697936213,0.08205128205128207,0.22561758706655582,0.0,0.0,0.541025641025641,40.0,1.0,1.0,0.9780745307220255
malt1254,-0.11838649155722329,-0.10512820512820513,0.32982787821497506,0.0,0.0,0.44743589743589746,40.0,1.0,0.9860694737896945,0.9729769990971894
mand1415,-0.24108818011257038,-0.16923076923076927,0.5127556596409056,0.0,0.0,0.4153846153846154,40.0,1.0,0.9889718609881422,0.8610993614949282
mara1378,0.5193245778611634,0.41282051282051285,0.308216619981326,0.0,1.0,0.7064102564102565,40.0,1.0,0.9301872057972029,0.9248344371115392
mode1248,-0.09474671669793623,-0.06410256410256411,0.0820840501351684,0.0,1.0,0.46794871794871795,40.0,1.0,0.9910584436447261,0.9847764316721738
nort2671,0.11932457786116324,0.10256410256410256,0.40150982689053755,0.0,0.0,0.5512820512820513,40.0,1.0,0.9779417346235179,0.9317107079860075
nucl1235,0.4121951219512196,0.28974358974358977,0.49596013771864556,0.0,0.0,0.6448717948717949,40.0,1.0,0.9287674423997071,0.8920759212082847
nucl1301,0.34690431519699816,0.24615384615384617,0.05610985945713973,0.0,1.0,0.6230769230769231,40.0,1.0,1.0,0.9911305497793192
nucl1347,-0.327392120075047,-0.2205128205128205,0.680561803368821,0.0,0.0,0.38974358974358975,40.0,1.0,0.8843291746519605,0.8623689592281979
nucl1643,0.34765478424015017,0.23333333333333336,0.29296296296296304,0.0,0.0,0.6166666666666667,40.0,1.0,1.0,0.9029510996284292
poli1260,-0.13151969981238276,-0.08717948717948719,0.37593984962406013,0.0,0.0,0.4564102564102564,40.0,1.0,0.9973790522507731,0.9645792836986548
port1283,-0.2716697936210131,-0.19743589743589746,0.5067947046434662,0.0,0.0,0.4012820512820513,40.0,1.0,1.0,0.9320537364435166
russ1263,-0.04577861163227018,-0.0358974358974359,0.39824869750800324,0.0,0.0,0.48205128205128206,40.0,1.0,0.9650050491889447,0.8990889825089255
slov1268,0.05647279549718576,0.0358974358974359,0.1741888968997839,0.0,0.0,0.517948717948718,40.0,1.0,0.9772604400513994,0.974280532818923
stan1289,-0.22908067542213886,-0.15384615384615388,0.3178082191780823,0.0,0.0,0.4230769230769231,40.0,1.0,0.9774681046540159,0.9571578784626001
stan1290,-0.2476547842401501,-0.16923076923076927,0.4033449068414105,0.0,0.0,0.4153846153846154,40.0,1.0,0.9700930524029118,0.9413712592857687
stan1293,-0.2313320825515948,-0.16666666666666669,0.4979427659051831,0.0,0.0,0.4166666666666667,40.0,1.0,0.9451927450390392,0.9473652732173922
stan1318,-0.2532833020637899,-0.16666666666666669,0.3848759221998659,0.0,0.0,0.4166666666666667,40.0,1.0,1.0,0.9757677383761508
swed1254,-0.2714821763602252,-0.18717948717948718,0.5219249349684132,0.0,0.0,0.4064102564102564,40.0,1.0,0.9092767797313004,0.9287574144276214
tami1289,0.33677298311444653,0.2512820512820513,0.0828237313592961,0.0,1.0,0.6256410256410256,40.0,1.0,1.0,0.9995398790580089
telu1262,0.45590994371482185,0.32820512820512826,0.11803350970017629,0.0,1.0,0.6641025641025641,40.0,1.0,1.0,0.995324159686776
ukra1253,0.006566604127579738,0.010256410256410258,0.25527216297946836,0.0,0.0,0.5051282051282051,40.0,1.0,0.9594294005442985,0.9609570546629346
viet1252,-0.3617260787992495,-0.258974358974359,0.49975849975849984,0.0,0.0,0.37051282051282053,40.0,1.0,0.915865075307903,0.9024032935854776
wels1247,-0.3180112570356473,-0.2153846153846154,0.554314937140422,0.0,1.0,0.3923076923076923,40.0,1.0,0.8832492442843162,0.9042397579263365
west2369,0.13452157598499065,0.10512820512820513,0.4101522842639595,0.0,0.0,0.5525641025641026,40.0,1.0,0.9725461441664867,0.9685038197538934
