,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.33489681050656667,0.2358974358974359,0.3585736747529201,0.0,1.0,0.617948717948718,40.0,1.0,0.9006818559194296,0.9220668085441426
copt1239,-0.17185741088180115,-0.13333333333333333,0.3257079261739291,0.0,0.0,0.43333333333333335,40.0,1.0,0.9970403211053088,0.9361713931249864
czec1258,0.23489681050656663,0.1512820512820513,0.29076804076804075,0.0,0.0,0.5756410256410256,40.0,1.0,0.9881710223693793,0.9204948338344537
dani1285,0.3921200750469044,0.26153846153846155,0.0,1.0,1.0,0.6307692307692307,40.0,1.0,0.9978141510460701,0.9876707853749446
dutc1256,0.13733583489681053,0.10512820512820513,0.4011805711129983,0.0,0.0,0.5525641025641026,40.0,1.0,1.0,0.9611888939549393
faro1244,0.04859287054409006,0.03846153846153847,0.33732876712328763,0.0,0.0,0.5192307692307693,40.0,1.0,0.9691328209314471,0.9524617115446921
finn1318,0.0726078799249531,0.05384615384615385,0.21984825034917535,0.0,1.0,0.5269230769230769,40.0,1.0,0.9611381634113975,0.9679862206059635
hebr1245,-0.22026266416510323,-0.1435897435897436,0.38765928906773983,0.0,0.0,0.4282051282051282,40.0,1.0,0.9966319963505021,0.889754388047609
hind1269,0.377485928705441,0.2641025641025641,0.44193222019725564,0.0,0.0,0.632051282051282,40.0,1.0,0.9333301443188248,0.8768039020323957
hung1274,0.2606003752345216,0.18205128205128207,0.3056487168858576,0.0,0.0,0.591025641025641,40.0,1.0,0.9774555328643665,0.9729522953181196
icel1247,0.014071294559099438,0.03076923076923077,0.19520111754796832,0.0,1.0,0.5153846153846153,40.0,1.0,0.973096396940915,0.9749548050818515
iris1253,-0.27617260787992504,-0.19743589743589746,0.5288872628443004,0.0,0.0,0.4012820512820513,40.0,1.0,0.939654267350613,0.868631212072038
ital1282,-0.1881801125703565,-0.13076923076923078,0.43519093900665806,0.0,0.0,0.4346153846153846,40.0,1.0,1.0,0.9207907221413214
komi1268,0.1028142589118199,0.06666666666666667,0.4656966490299825,0.0,0.0,0.5333333333333333,40.0,1.0,0.9579303592853536,0.8982438460245439
kore1280,0.38986866791744845,0.27692307692307694,0.34548277809147393,0.0,0.0,0.6384615384615384,40.0,1.0,1.0,0.9945079909797665
latv1249,0.16510318949343342,0.11025641025641025,0.13319672131147536,0.0,0.0,0.5551282051282052,40.0,1.0,0.9925009018588573,0.9845817961508209
lith1251,0.17936210131332084,0.11025641025641025,0.22561758706655582,0.0,0.0,0.5551282051282052,40.0,1.0,0.9979953392184737,0.9769972251243394
malt1254,-0.11219512195121951,-0.06410256410256411,0.5244952310169703,0.0,0.0,0.46794871794871795,40.0,1.0,0.9139601588640126,0.9250272516428021
mand1415,-0.24859287054409007,-0.16153846153846155,0.5127556596409056,0.0,0.0,0.41923076923076924,40.0,1.0,0.9889718609881422,0.9519899462519165
mara1378,0.5307692307692309,0.417948717948718,0.6141157586630158,0.0,1.0,0.708974358974359,40.0,1.0,0.836319070458842,0.8560795977880957
mode1248,-0.0600375234521576,-0.03846153846153847,0.0820840501351684,0.0,1.0,0.4807692307692308,40.0,1.0,1.0,1.0
nort2671,0.1480300187617261,0.10256410256410256,0.40150982689053755,0.0,0.0,0.5512820512820513,40.0,1.0,0.9779417346235179,0.9317107079860075
nucl1235,0.4251407129455911,0.2923076923076923,0.49596013771864556,0.0,1.0,0.6461538461538462,40.0,1.0,0.8913015772121092,0.8968920302343467
nucl1301,0.34127579737335845,0.2435897435897436,0.05610985945713973,0.0,1.0,0.6217948717948718,40.0,1.0,1.0,0.9911305497793192
nucl1347,-0.2960600375234522,-0.2,0.680561803368821,0.0,0.0,0.4,40.0,1.0,0.878531091809377,0.8753808674819934
nucl1643,0.3333958724202627,0.23846153846153847,0.5625520110957004,0.0,0.0,0.6192307692307693,40.0,1.0,0.8954154352595027,0.840232539072006
poli1260,-0.1127579737335835,-0.0717948717948718,0.37593984962406013,0.0,0.0,0.4641025641025641,40.0,1.0,0.9688605471603294,0.9763747498603036
port1283,-0.20806754221388368,-0.14871794871794874,0.5067947046434662,0.0,0.0,0.4256410256410256,40.0,1.0,0.9666374249850687,0.9227792594617839
russ1263,-0.03677298311444653,-0.023076923076923078,0.10003212736716231,0.0,1.0,0.48846153846153845,40.0,1.0,1.0,0.9999126461806
slov1268,0.09887429643527205,0.07692307692307694,0.06498315024727576,0.0,0.0,0.5384615384615384,40.0,1.0,0.9998964138195322,0.9999195784936631
stan1289,-0.15909943714821767,-0.11538461538461539,0.3178082191780823,0.0,0.0,0.4423076923076923,40.0,1.0,0.9696060270681064,0.9530813206508267
stan1290,-0.19399624765478427,-0.1512820512820513,0.4033449068414105,0.0,0.0,0.42435897435897435,40.0,1.0,0.9516718101105079,0.9602002754942695
stan1293,-0.18386491557223267,-0.12820512820512822,0.48129911940157205,0.0,0.0,0.4358974358974359,40.0,1.0,0.9106142845156824,0.9301243094513014
stan1318,-0.2679174484052533,-0.18461538461538463,0.3848759221998659,0.0,0.0,0.4076923076923077,40.0,1.0,0.9925266157841375,0.9705140302346968
swed1254,-0.23846153846153853,-0.158974358974359,0.5219249349684132,0.0,0.0,0.4205128205128205,40.0,1.0,0.9278666451288161,0.9326659050843367
tami1289,0.3365853658536586,0.2538461538461539,0.0828237313592961,0.0,1.0,0.6269230769230769,40.0,1.0,1.0,0.9995398790580089
telu1262,0.45553470919324585,0.33333333333333337,0.11803350970017629,0.0,1.0,0.6666666666666666,40.0,1.0,1.0,0.995324159686776
ukra1253,0.008442776735459663,0.023076923076923078,0.06427748389462101,0.0,0.0,0.5115384615384615,40.0,1.0,0.996976505532988,0.9976637742147202
viet1252,-0.33545966228893065,-0.24102564102564103,0.49975849975849984,0.0,0.0,0.37948717948717947,40.0,1.0,0.9535536316973977,0.9218424767383407
wels1247,-0.2789868667917449,-0.19230769230769232,0.1600722578834754,0.0,1.0,0.40384615384615385,40.0,1.0,0.9899968133035133,0.9887219949463518
west2369,0.22476547842401504,0.1564102564102564,0.4101522842639595,0.0,0.0,0.5782051282051283,40.0,1.0,0.9450152622045213,0.9397826785727663
