,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.3934333958724203,0.2871794871794872,0.1844758812615956,0.0,1.0,0.6435897435897436,40.0,1.0,0.991570725910249,0.9903648061567891
copt1239,-0.39643527204502815,-0.2794871794871795,0.14470842332613396,0.0,0.0,0.36025641025641025,40.0,1.0,1.0,0.977607653950528
czec1258,0.07673545966228894,0.05641025641025641,0.4516493478378526,0.0,1.0,0.5282051282051282,40.0,1.0,0.9271369298715972,0.9411849451421124
dani1285,0.19474671669793622,0.13846153846153847,0.18918319357558028,0.0,1.0,0.5692307692307692,40.0,1.0,0.9634313437079572,0.9709995829427188
dutc1256,-0.09549718574108819,-0.06410256410256411,0.30282654230002226,0.0,0.0,0.46794871794871795,40.0,1.0,1.0,0.9924594733292869
faro1244,-0.550656660412758,-0.37948717948717947,0.34816753926701577,0.0,0.0,0.31025641025641026,40.0,1.0,0.9819561756547247,0.9781008781688142
finn1318,-0.016697936210131333,-0.007692307692307693,0.3092270274378658,0.0,0.0,0.49615384615384617,40.0,1.0,0.9664571830949782,0.9744850686615426
hebr1245,-0.35684803001876175,-0.26666666666666666,0.38765928906773983,0.0,0.0,0.36666666666666664,40.0,1.0,0.9926510397146762,0.9526403075610368
hind1269,0.19437148217636024,0.12820512820512822,0.19436553030303025,0.0,0.0,0.5641025641025641,40.0,1.0,1.0,0.9292881399923415
hung1274,0.30450281425891185,0.2153846153846154,0.16302521008403356,0.0,0.0,0.6076923076923076,40.0,1.0,0.9989630126014168,0.9374328094663371
icel1247,-0.16848030018761728,-0.1076923076923077,0.19520111754796832,0.0,0.0,0.4461538461538462,40.0,1.0,0.9843082189720271,0.9814499354750277
iris1253,-0.3703564727954972,-0.2512820512820513,0.4724465057447032,0.0,0.0,0.37435897435897436,40.0,1.0,0.9996251843459295,0.9292439664858287
ital1282,-0.006378986866791747,-0.01282051282051282,0.46588085377508776,0.0,0.0,0.4935897435897436,40.0,1.0,0.9226375744322425,0.9396609209901513
komi1268,0.08255159474671671,0.05897435897435897,0.4656966490299825,0.0,1.0,0.5294871794871795,40.0,1.0,0.890637330084701,0.9026055555040735
kore1280,0.20168855534709193,0.1435897435897436,0.03937289562289571,0.0,1.0,0.5717948717948718,40.0,1.0,1.0,0.9867464249710792
latv1249,0.1932457786116323,0.12051282051282051,0.199970791193545,0.0,0.0,0.5602564102564103,40.0,1.0,0.9858326209567627,0.9889533853386678
lith1251,0.27973733583489685,0.18461538461538463,0.2722389131996603,0.0,0.0,0.5923076923076923,40.0,1.0,0.9841263152594956,0.9869319602376313
malt1254,-0.2555347091932458,-0.16666666666666669,0.1600722578834754,0.0,0.0,0.4166666666666667,40.0,1.0,0.9905369493963252,0.9731749462408881
mand1415,-0.32701688555347097,-0.22564102564102564,0.48124999999999996,0.0,0.0,0.3871794871794872,40.0,1.0,1.0,0.8767547227911928
mara1378,0.3287054409005629,0.2512820512820513,0.7006106790542305,0.0,1.0,0.6256410256410256,40.0,1.0,0.8560794413782804,0.846070809502051
mode1248,-0.3581613508442777,-0.24102564102564103,0.3531534131909367,0.0,0.0,0.37948717948717947,40.0,1.0,0.9914183576714536,0.9096820051916671
nort2671,0.09774859287054409,0.0717948717948718,0.3198778422835027,0.0,0.0,0.5358974358974359,40.0,1.0,0.998647055193601,0.95443539590108
nucl1235,0.1885553470919325,0.12820512820512822,0.27530384600971797,0.0,0.0,0.5641025641025641,40.0,1.0,0.9365337965384881,0.9209502635068486
nucl1301,0.1924953095684803,0.13076923076923078,0.48711578276795675,0.0,1.0,0.5653846153846154,40.0,1.0,0.8791211563253346,0.9012113121904106
nucl1347,-0.4474671669793622,-0.33846153846153854,0.44178226145439264,0.0,0.0,0.33076923076923076,40.0,1.0,0.9652540640247466,0.9113911893060601
nucl1643,0.20206378986866794,0.14102564102564102,0.3990584415584415,0.0,1.0,0.5705128205128205,40.0,1.0,0.8617318197116487,0.8800187701725448
