,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.3165103189493434,0.21025641025641026,0.2281935181935183,0.0,1.0,0.6051282051282051,40.0,1.0,0.9791231699268095,0.9469192661364498
copt1239,-0.38742964352720455,-0.25641025641025644,0.14470842332613396,0.0,0.0,0.3717948717948718,40.0,1.0,0.9864857592571598,0.9871602508559045
czec1258,-0.27767354596622895,-0.21794871794871798,0.31719848389465954,0.0,1.0,0.391025641025641,40.0,1.0,0.9498741394023849,0.9585961876265394
dani1285,0.05347091932457786,0.046153846153846156,0.2044629299531262,0.0,1.0,0.5230769230769231,40.0,1.0,0.9594300237433695,0.9686339296138553
dutc1256,-0.18405253283302067,-0.12051282051282051,0.3649571560087813,0.0,0.0,0.43974358974358974,40.0,1.0,0.9828370881038979,0.9843676623909334
faro1244,-0.5574108818011259,-0.3923076923076923,0.3371478873239438,0.0,0.0,0.3038461538461538,40.0,1.0,1.0,0.9945076526932676
finn1318,0.13864915572232647,0.08974358974358974,0.2931956557511931,0.0,0.0,0.5448717948717948,40.0,1.0,0.9696138414860473,0.9222569152023222
hebr1245,-0.35196998123827394,-0.23333333333333336,0.47791445345261396,0.0,0.0,0.38333333333333336,40.0,1.0,0.9053475100467857,0.9142590671471759
hind1269,0.2309568480300188,0.1564102564102564,0.44193222019725564,0.0,0.0,0.5782051282051283,40.0,1.0,0.9194305954656651,0.93138050893379
hung1274,0.3705440900562853,0.25641025641025644,0.22039255069338826,0.0,0.0,0.6282051282051282,40.0,1.0,0.9872860784222894,0.9403616774425816
icel1247,0.039962476547842414,0.04102564102564103,0.19520111754796832,0.0,0.0,0.5205128205128206,40.0,1.0,0.9907521953055435,0.9680458032006126
iris1253,-0.4326454033771107,-0.2794871794871795,0.47134733965956516,0.0,0.0,0.36025641025641025,40.0,1.0,0.9494234562308596,0.9605956217643682
ital1282,0.027204502814258912,0.028205128205128206,0.420009235031553,0.0,0.0,0.514102564102564,40.0,1.0,0.9161436739238455,0.9142246059519706
komi1268,0.2105065666041276,0.1435897435897436,0.4534880348078319,0.0,0.0,0.5717948717948718,40.0,1.0,0.9834378111060119,0.8737526553351087
kore1280,0.11594746716697937,0.0717948717948718,0.2099173553719009,0.0,0.0,0.5358974358974359,40.0,1.0,0.9884267869619646,0.9874551215604036
