,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.24108818011257038,0.16153846153846155,0.3585736747529201,0.0,0.0,0.5807692307692308,40.0,1.0,0.970231551296822,0.9239140787198036
copt1239,-0.275046904315197,-0.18461538461538463,0.3257079261739291,0.0,0.0,0.4076923076923077,40.0,1.0,0.9768691954197204,0.9802003470498717
czec1258,-0.12176360225140713,-0.08205128205128207,0.29076804076804075,0.0,0.0,0.45897435897435895,40.0,1.0,0.9877080276820639,0.9865025445636423
dani1285,0.29174484052532834,0.19487179487179487,0.0,1.0,1.0,0.5974358974358974,40.0,1.0,0.9960332311868797,0.9890088156704643
dutc1256,0.04165103189493434,0.04102564102564103,0.5669597634039226,0.0,0.0,0.5205128205128206,40.0,1.0,0.9178434366450426,0.9297044308173624
faro1244,-0.2407129455909944,-0.1794871794871795,0.4339887640449438,0.0,0.0,0.41025641025641024,40.0,1.0,0.9211848821601417,0.9354413583879185
finn1318,-0.01876172607879925,0.0,0.25087128771856676,0.0,0.0,0.5,40.0,1.0,0.9920553073392495,0.9657852193439371
hebr1245,-0.3105065666041277,-0.23076923076923078,0.5389624900239426,0.0,0.0,0.38461538461538464,40.0,1.0,0.9489266850821712,0.8600567623565352
hind1269,0.3318949343339588,0.2358974358974359,0.44193222019725564,0.0,1.0,0.617948717948718,40.0,1.0,0.8987681801069788,0.9128960801292285
hung1274,0.13921200750469045,0.09487179487179487,0.3056487168858576,0.0,0.0,0.5474358974358975,40.0,1.0,0.9730026920650947,0.9767907500656388
icel1247,-0.18986866791744844,-0.12564102564102564,0.23062398077418245,0.0,0.0,0.4371794871794872,40.0,1.0,1.0,0.969344648304218
iris1253,-0.3881801125703565,-0.2743589743589744,0.335536805740101,0.0,0.0,0.3628205128205128,40.0,1.0,0.9940060331931466,0.9953936433394802
ital1282,-0.24709193245778616,-0.16923076923076927,0.43519093900665806,0.0,0.0,0.4153846153846154,40.0,1.0,0.9971244342158673,0.954397267919199
komi1268,0.03358348968105066,0.01794871794871795,0.4656966490299825,0.0,0.0,0.5089743589743589,40.0,1.0,0.982075476147845,0.967072529498672
kore1280,0.35984990619136964,0.2538461538461539,0.3835801838610829,0.0,0.0,0.6269230769230769,40.0,1.0,0.9875031372041913,0.9011146078156668
latv1249,-0.006754221388367731,0.0,0.13319672131147536,0.0,0.0,0.5,40.0,1.0,1.0,0.9745526507438761
lith1251,0.09868667917448407,0.06410256410256411,0.22561758706655582,0.0,0.0,0.532051282051282,40.0,1.0,0.9843595936614037,0.9817379053381357
