representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,n_targets
grambank_s45_B_masked70,0.06196860842904864,0.3164965464623643,0.039712320200125086,0.22004701004889526,0.43959451909592967,0.15451805439781488,0.0,0.0,0.2926829268292683,0.4549941001506739,0.5198561601000625,0.11002350502444763,40.0,1.0,0.0,0.9351669008677403,0.05319656209119447,0.9239872110776786,0.05139628209553011,41
wals_s45_B_masked30,0.044918317851095964,0.24340389182563923,0.035959974984365234,0.17391556741893632,0.34919662123140827,0.15867936416196293,0.024390243902439025,0.1542574468374819,0.2682926829268293,0.4430707835264622,0.5179799874921825,0.08695778370946816,40.0,1.0,0.0,0.9637912193395665,0.04172763687769231,0.9454681664716981,0.04525203236404945,41
wals_s45_C,0.04490841067166226,0.24965092443476886,0.03442196589014643,0.1781058401989255,0.34778914697551766,0.13943810399228143,0.024390243902439025,0.1542574468374819,0.21951219512195122,0.4139161645970034,0.5191994996873046,0.08796162038619018,40.0,1.0,0.0,0.9599199720780983,0.036657742367880955,0.9384890330726202,0.04183384894165878,41
grambank_s45_C,0.024895613899712076,0.3593830101055484,0.019536367725144794,0.25035218070448967,0.3553399613970025,0.1290198087176421,0.024390243902439025,0.1542574468374819,0.12195121951219512,0.32722946012192045,0.5139774859287055,0.12422618677958129,40.0,1.0,0.0,0.9643311769239005,0.028935647688371764,0.9549640318957007,0.03117548419908361,41
wals_s45_A,0.02350706996751019,0.24222438153746675,0.021200750469043156,0.17261667142777587,0.34424862578667326,0.17090599811780355,0.07317073170731707,0.260416542732471,0.34146341463414637,0.47420053890789227,0.5106003752345215,0.08630833571388793,40.0,1.0,0.0,0.9572433215196048,0.050671369554123075,0.94746473111333,0.041205963791775484,41
wals_s45_B,0.02283439344712397,0.25931317237481144,0.020950594121325824,0.18526127585381658,0.3550926950905064,0.14452260182237534,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.5104752970606629,0.09263063792690827,40.0,1.0,0.0,0.9627342579366248,0.04449419284823754,0.9444746779283305,0.04241507783870675,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,1.0,0.0,0.9452045679056704,0.051268869016235605,0.9314773226125621,0.04163861814583926,41
wals_s45_B_masked50,-0.00507939413352858,0.25184833743605034,0.0008130081300813023,0.17802895447145234,0.3368701883319605,0.15880470793865517,0.04878048780487805,0.2154088016177524,0.3170731707317073,0.4653361958131442,0.5004065040650406,0.08901447723572614,40.0,1.0,0.0,0.9622733131793983,0.03559405120007739,0.9478406488523731,0.033430692588327926,41
grambank_s45_B_masked30,-0.007490962339266918,0.3033724720584445,-0.0051282051282051265,0.20973256483728792,0.35776513735201304,0.13910216040136317,0.04878048780487805,0.2154088016177524,0.21951219512195122,0.4139161645970035,0.4974358974358974,0.10486628241864396,40.0,1.0,0.0,0.9598807903573048,0.0441178192165502,0.9420605885922321,0.03703662869659933,41
wals_s45_B_masked70,-0.015769001967693222,0.24207781736649042,-0.004065040650406503,0.17002955079100276,0.35918730811094773,0.15581492340192257,0.024390243902439025,0.1542574468374819,0.21951219512195122,0.4139161645970034,0.49796747967479676,0.08501477539550137,40.0,1.0,0.0,0.9604327300066515,0.04020338646817961,0.9451822018573304,0.040786487758635775,41
grambank_s45_A,-0.016880977440168407,0.2781515291736876,-0.012945590994371484,0.19217377135529878,0.3916979979636679,0.1326805652992034,0.0,0.0,0.17073170731707318,0.3762743565985735,0.4935272045028143,0.09608688567764939,40.0,1.0,0.0,0.9592374162077641,0.037920100380751956,0.9395490229502574,0.03987605432604787,41
grambank_s45_B_masked50,-0.041609847618176,0.2831640386327902,-0.024390243902439025,0.1903823755045355,0.393010549636959,0.15246082493050245,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.3962945563237054,0.4878048780487804,0.09519118775226774,40.0,1.0,0.0,0.9544530181582958,0.04691060795641436,0.9327167326433462,0.04663054171220963,41
grambank_s45_B,-0.04573285132476091,0.3179248927207407,-0.03039399624765479,0.21731214174336858,0.37083848468845687,0.12859904657471669,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.3962945563237054,0.48480300187617265,0.10865607087168429,40.0,1.0,0.0,0.9656729333563236,0.039510875506546334,0.9492814857046757,0.035733355893373855,41
joint_B_wals_grambank,-0.04704159611952593,0.2587098287932878,-0.02995622263914947,0.18436283106184403,0.3856219202750698,0.13659704811849052,0.0,0.0,0.17073170731707318,0.37627435659857345,0.48502188868042523,0.092181415530922,40.0,1.0,0.0,0.958483127333289,0.04690068009905208,0.9439858122930536,0.04022092795993728,41
