,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.06960600375234523,0.05384615384615385,0.330440039114588,0.0,0.0,0.5269230769230769,40.0,1.0,0.9745027939274926,0.9782473615254988
copt1239,-0.0953095684803002,-0.06923076923076923,0.2513734901207904,0.0,0.0,0.4653846153846154,40.0,1.0,0.9561694163393787,0.9587061736572389
czec1258,-0.1932457786116323,-0.13589743589743591,0.4820023736859953,0.0,0.0,0.43205128205128207,40.0,1.0,0.9865625853402691,0.9019262194553375
dani1285,0.012757973733583493,-0.005128205128205129,0.37849119145540483,0.0,0.0,0.49743589743589745,40.0,1.0,0.9315651479533168,0.8759258099390796
dutc1256,0.251594746716698,0.18461538461538463,0.0,1.0,1.0,0.5923076923076923,40.0,1.0,0.9935004951671668,0.9940503613587209
faro1244,-0.1938086303939963,-0.12307692307692308,0.33732876712328763,0.0,1.0,0.43846153846153846,40.0,1.0,0.9254470461039342,0.9371728859724187
finn1318,0.23808630393996255,0.16666666666666669,0.14420903954802272,0.0,1.0,0.5833333333333334,40.0,1.0,0.9712514984642914,0.963432385972043
hebr1245,0.07542213883677298,0.05641025641025641,0.39178899630027464,0.0,0.0,0.5282051282051282,40.0,1.0,1.0,0.946503636256982
hind1269,0.325328330206379,0.2205128205128205,0.47674604187946884,0.0,0.0,0.6102564102564103,40.0,1.0,0.9475421294734785,0.8596762153517349
hung1274,0.002439024390243903,0.005128205128205129,0.530505831141321,0.0,1.0,0.5025641025641026,40.0,1.0,0.8799160810786687,0.8968909291096183
icel1247,-0.012570356472795498,-0.0025641025641025645,0.4042099136676691,0.0,0.0,0.4987179487179487,40.0,1.0,0.9543244477517682,0.9070385654350597
iris1253,0.0033771106941838653,0.02564102564102564,0.4047277015437392,0.0,0.0,0.5128205128205128,40.0,1.0,0.9697610040407534,0.9128573381622821
ital1282,0.08536585365853659,0.06666666666666667,0.420009235031553,0.0,0.0,0.5333333333333333,40.0,1.0,0.9548281032915199,0.9560061828969536
komi1268,0.07879924953095685,0.05897435897435897,0.5720202874049027,0.0,0.0,0.5294871794871795,40.0,1.0,0.9354352775804572,0.9225590730892624
kore1280,-0.1277673545966229,-0.09230769230769231,0.4568181818181818,0.0,0.0,0.45384615384615384,40.0,1.0,0.973234188194445,0.9539785664945664
latv1249,0.3136960600375235,0.22820512820512823,0.383191686470375,0.0,1.0,0.6141025641025641,40.0,1.0,0.9199979367735706,0.93578452949454
lith1251,-0.3489681050656661,-0.21794871794871798,0.3709297103076577,0.0,0.0,0.391025641025641,40.0,1.0,1.0,1.0
malt1254,-0.0031894934333958733,-0.005128205128205129,0.5683098124958591,0.0,1.0,0.49743589743589745,40.0,1.0,0.8263786587791913,0.858264820239041
mand1415,0.08123827392120077,0.04871794871794872,0.35828825962456257,0.0,0.0,0.5243589743589744,40.0,1.0,0.9843357106372422,0.9675389325661414
mara1378,0.08968105065666042,0.05384615384615385,0.6652661064425771,0.0,0.0,0.5269230769230769,40.0,1.0,0.9995700116126491,0.9030105829584892
mode1248,-0.15609756097560978,-0.11282051282051282,0.7155700693436544,0.0,0.0,0.44358974358974357,40.0,1.0,0.8334243325506602,0.8587444124140914
nort2671,-0.1328330206378987,-0.09230769230769231,0.5484470766476138,0.0,0.0,0.45384615384615384,40.0,1.0,0.8885510711562177,0.9094681616080382
nucl1235,0.1204502814258912,0.07435897435897437,0.39343056555350375,0.0,0.0,0.5371794871794872,40.0,1.0,0.9912901429974015,0.9180522774015555
nucl1301,0.03864915572232646,0.03333333333333333,0.1571608965589813,0.0,0.0,0.5166666666666667,40.0,1.0,1.0,0.9981529888678532
nucl1347,0.06454033771106943,0.04102564102564103,0.0820840501351684,0.0,1.0,0.5205128205128206,40.0,1.0,1.0,0.9900480070153318
nucl1643,-0.17786116322701692,-0.11282051282051282,0.5904416839199449,0.0,0.0,0.44358974358974357,40.0,1.0,0.9570115987472655,0.9362017672485887
poli1260,0.17298311444652908,0.11282051282051282,0.5084735084735086,0.0,0.0,0.5564102564102564,40.0,1.0,0.8908517349635443,0.9048857875141348
port1283,-0.2960600375234522,-0.19487179487179487,0.4178254072733256,0.0,0.0,0.4025641025641026,40.0,1.0,0.9662618772897456,0.9725776537818396
