,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.29656776462652035,0.21791367991895488,0.3585736747529201,0.0,1.0,0.6064102564102564,40.0,1.0,0.8992806491697901,0.918544204984223
copt1239,-0.22565358309027408,-0.16656327025157458,0.3257079261739291,0.0,0.0,0.4166666666666667,40.0,1.0,0.9862954328707193,0.9310699796698437
czec1258,0.1731412423250992,0.1314395709192684,0.24199314574314587,0.0,0.0,0.5641025641025641,40.0,1.0,1.0,0.9157598176733871
dani1285,0.4360565302548552,0.3093996955566126,0.0,1.0,1.0,0.6551282051282051,40.0,1.0,1.0,0.9991001163170937
dutc1256,0.18769079341115047,0.12954063433177873,0.30282654230002226,0.0,0.0,0.5615384615384615,40.0,1.0,1.0,0.9798228449209195
faro1244,-0.12392042548565571,-0.09437954445779893,0.33732876712328763,0.0,0.0,0.45384615384615384,40.0,1.0,0.9628270967470496,0.9637569976989366
finn1318,0.017095637551300443,0.009097663110481831,0.41611815040315947,0.0,0.0,0.5102564102564102,40.0,1.0,0.9494473455559842,0.910901216818261
hebr1245,-0.08476089248357634,-0.06460142426521275,0.5677562326869806,0.0,0.0,0.4717948717948718,40.0,1.0,0.9195525225082685,0.8540655782995257
hind1269,0.436951461976706,0.3039217350776867,0.44193222019725564,0.0,0.0,0.6538461538461539,40.0,1.0,0.9184009113015724,0.9220842965591356
hung1274,0.21908050846561658,0.15845492170717,0.3056487168858576,0.0,0.0,0.5756410256410256,40.0,1.0,1.0,0.9699927414054154
icel1247,-0.06787140851404197,-0.03749324368871464,0.3936208125445474,0.0,1.0,0.4858974358974359,40.0,1.0,0.9063308667070409,0.9250711663970467
iris1253,-0.2524992256708974,-0.1576274752071191,0.335536805740101,0.0,0.0,0.4217948717948718,40.0,1.0,1.0,0.9986297578519233
ital1282,-0.15730444631916224,-0.10960855070465646,0.47049214505586157,0.0,0.0,0.44871794871794873,40.0,1.0,0.9774972688375441,0.9197825828355892
komi1268,0.04179977313367416,0.020753683801805225,0.4656966490299825,0.0,0.0,0.5166666666666667,40.0,1.0,0.9631850731860798,0.9692722431657324
kore1280,0.49136326287266824,0.34930280889173876,0.3835801838610829,0.0,0.0,0.6756410256410257,40.0,1.0,0.969076480958399,0.8989229112184765
latv1249,-0.11219607798527458,-0.07637900434242738,0.5475177853386949,0.0,0.0,0.4666666666666667,40.0,1.0,0.8758186270380256,0.8975755991539448
lith1251,0.0607940685656289,0.014296327745042876,0.22561758706655582,0.0,0.0,0.5089743589743589,40.0,1.0,0.9922672984339254,0.9745238064919686
malt1254,-0.21593209710770297,-0.16181992445429527,0.32982787821497506,0.0,0.0,0.41923076923076924,40.0,1.0,0.9845520032539844,0.987673986086707
mand1415,0.017093226148855088,0.011681614756510285,0.48124999999999996,0.0,0.0,0.5115384615384615,40.0,1.0,1.0,0.8293385451070185
mara1378,0.5138245075958514,0.3984639449579835,0.308216619981326,0.0,1.0,0.6961538461538461,40.0,1.0,0.9282837260627977,0.9332669317202253
mode1248,-0.16128895709357066,-0.1103263615892638,0.0820840501351684,0.0,1.0,0.44743589743589746,40.0,1.0,0.9638318653227504,0.9590618340041804
nort2671,0.21816158126352544,0.15746720872506412,0.40150982689053755,0.0,0.0,0.5807692307692308,40.0,1.0,0.9738692021733282,0.9389643666584029
nucl1235,0.42636512900451934,0.27685481889937813,0.27530384600971797,0.0,0.0,0.6384615384615384,40.0,1.0,0.9880424358938372,0.9329234292574371
nucl1301,0.361102052474328,0.258405697060851,0.05610985945713973,0.0,1.0,0.6307692307692307,40.0,1.0,0.9956192686014905,0.9960463660111655
nucl1347,-0.1580653824644127,-0.09734678963758571,0.44178226145439264,0.0,0.0,0.4551282051282051,40.0,1.0,0.8718778611549897,0.8775834387105221
nucl1643,0.43247104158312133,0.3147266085080352,0.29296296296296304,0.0,1.0,0.6602564102564102,40.0,1.0,0.9055825500612203,0.9202115422361717
poli1260,-0.2371545422877818,-0.1597959373604904,0.45857795172863675,0.0,0.0,0.4217948717948718,40.0,1.0,0.9394094413154256,0.9336705855269214
port1283,-0.18090504538701407,-0.12160912605860535,0.533541480820696,0.0,0.0,0.441025641025641,40.0,1.0,0.9349595555757396,0.9312480582505982
russ1263,-0.134953791772786,-0.10824886079259026,0.39824869750800324,0.0,0.0,0.44743589743589746,40.0,1.0,0.9448039540913312,0.8898130758945404
slov1268,0.018024789161549926,0.025840569706085097,0.1741888968997839,0.0,0.0,0.517948717948718,40.0,1.0,0.9633503132313356,0.9702787958659086
stan1289,-0.1050309909377261,-0.060685842649798497,0.3178082191780823,0.0,0.0,0.4705128205128205,40.0,1.0,0.9835801304480594,0.959157407346435
stan1290,-0.181007427488544,-0.10989399012209465,0.4033449068414105,0.0,0.0,0.45256410256410257,40.0,1.0,0.9301350168976197,0.9048188280095375
stan1293,-0.20215971353115922,-0.1411069741241455,0.4979427659051831,0.0,0.0,0.4346153846153846,40.0,1.0,0.9711930809105573,0.8925108173596296
stan1318,-0.046109807609759815,-0.029813863976290638,0.3848759221998659,0.0,0.0,0.49230769230769234,40.0,1.0,1.0,0.9888730370266409
swed1254,-0.2963067643374673,-0.21161730737792878,0.5219249349684132,0.0,0.0,0.39487179487179486,40.0,1.0,0.9304861742634034,0.9381712934448407
tami1289,0.30516445377439266,0.23949348819235702,0.0828237313592961,0.0,1.0,0.617948717948718,40.0,1.0,1.0,0.9995398790580089
telu1262,0.43613851888588057,0.329464730353658,0.11803350970017629,0.0,1.0,0.6628205128205128,40.0,1.0,0.9946085851581096,0.9946625882367777
ukra1253,-0.04468016037893946,-0.03617679758851913,0.25527216297946836,0.0,0.0,0.4846153846153846,40.0,1.0,0.9594294005442985,0.9628605521732194
viet1252,-0.22448604390191762,-0.15405256808048914,0.3593099744932205,0.0,0.0,0.42435897435897435,40.0,1.0,1.0,0.9594033792053656
wels1247,-0.2438292150211398,-0.17150514404375658,0.554314937140422,0.0,0.0,0.4166666666666667,40.0,1.0,0.9166501058063581,0.8641504678927686
west2369,0.20847449333171336,0.1354332000488987,0.4101522842639595,0.0,0.0,0.5743589743589743,40.0,1.0,0.9564746111209982,0.9649452894329867
