,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.36210131332082557,0.258974358974359,0.29062506161885043,0.0,1.0,0.6294871794871795,40.0,1.0,0.9606477533277286,0.9489201761495835
copt1239,-0.37016885553470924,-0.26153846153846155,0.40767670466471684,0.0,0.0,0.36923076923076925,40.0,1.0,0.9470977830422442,0.930298447955961
czec1258,0.20731707317073172,0.11794871794871795,0.2506009615384615,0.0,0.0,0.558974358974359,40.0,1.0,0.998694342193637,0.9940151179566584
dani1285,0.41144465290806764,0.30512820512820515,0.18918319357558028,0.0,1.0,0.6525641025641026,40.0,1.0,0.9631145460067303,0.9696316669275149
dutc1256,0.08442776735459663,0.07692307692307694,0.41543668317527377,0.0,0.0,0.5384615384615384,40.0,1.0,0.9850004907838181,0.9574757869207393
faro1244,-0.44315196998123835,-0.32051282051282054,0.4339887640449438,0.0,0.0,0.33974358974358976,40.0,1.0,1.0,0.9625358873775345
finn1318,0.017260787992495315,0.005128205128205129,0.35799088583306693,0.0,0.0,0.5025641025641026,40.0,1.0,0.9494694058346979,0.959001551060387
hebr1245,-0.326078799249531,-0.2153846153846154,0.6008696764292109,0.0,0.0,0.3923076923076923,40.0,1.0,0.944434882653463,0.9132800484109855
hind1269,0.27485928705440904,0.17435897435897438,0.3921971535745808,0.0,0.0,0.5871794871794872,40.0,1.0,0.9281901271583848,0.9353130806656681
hung1274,0.40037523452157603,0.27692307692307694,0.3056487168858576,0.0,0.0,0.6384615384615384,40.0,1.0,0.9540750718079202,0.9539707316014029
icel1247,-0.1938086303939963,-0.14102564102564102,0.5378905041756883,0.0,0.0,0.42948717948717946,40.0,1.0,0.8934505618018548,0.9125427896640975
iris1253,-0.20375234521575988,-0.12051282051282051,0.4724465057447032,0.0,0.0,0.43974358974358974,40.0,1.0,0.9885087640848205,0.939734600700635
ital1282,-0.17654784240150098,-0.1076923076923077,0.43519093900665806,0.0,0.0,0.4461538461538462,40.0,1.0,0.9568237655468927,0.9378172010274345
komi1268,0.16679174484052536,0.11025641025641025,0.4670947030497592,0.0,0.0,0.5551282051282052,40.0,1.0,0.9362241151048816,0.9492713498747105
kore1280,0.31763602251407136,0.2076923076923077,0.3835801838610829,0.0,1.0,0.6038461538461538,40.0,1.0,0.9026190573102487,0.922457176419893
latv1249,0.06303939962476549,0.04102564102564103,0.13319672131147536,0.0,0.0,0.5205128205128206,40.0,1.0,0.9913793163987619,0.979655650312572
lith1251,0.1857410881801126,0.12564102564102564,0.22561758706655582,0.0,0.0,0.5628205128205128,40.0,1.0,0.998825987748134,0.9859839744129106
malt1254,-0.10356472795497187,-0.08205128205128207,0.1600722578834754,0.0,0.0,0.45897435897435895,40.0,1.0,0.9926129468541999,0.975288929627885
mand1415,-0.16754221388367735,-0.11025641025641025,0.48124999999999996,0.0,0.0,0.44487179487179485,40.0,1.0,1.0,0.9235478916553821
mara1378,0.4422138836772983,0.3435897435897436,0.5024637127578305,0.0,0.0,0.6717948717948717,40.0,1.0,0.9872855065269857,0.795101336431758
mode1248,-0.24840525328330212,-0.16666666666666669,0.48162154419137654,0.0,0.0,0.4166666666666667,40.0,1.0,1.0,0.9218700136373165
nort2671,0.30300187617260793,0.19487179487179487,0.3198778422835027,0.0,0.0,0.5974358974358974,40.0,1.0,0.9489558081461766,0.9493042320202792
nucl1235,0.1981238273921201,0.12820512820512822,0.27530384600971797,0.0,0.0,0.5641025641025641,40.0,1.0,1.0,0.9262862878823563
nucl1301,0.26191369606003756,0.17692307692307693,0.3397727272727273,0.0,0.0,0.5884615384615385,40.0,1.0,0.9726629640878015,0.8978725024133875
nucl1347,-0.36266416510318955,-0.24615384615384617,0.44178226145439264,0.0,0.0,0.3769230769230769,40.0,1.0,0.9836678564105329,0.917254851621573
nucl1643,0.175609756097561,0.10512820512820513,0.3990584415584415,0.0,1.0,0.5525641025641026,40.0,1.0,0.8857588337151426,0.9065336951256188
poli1260,-0.23489681050656663,-0.16410256410256413,0.43351174176416907,0.0,0.0,0.41794871794871796,40.0,1.0,1.0,0.9626557794808288
port1283,-0.2463414634146342,-0.1564102564102564,0.45903678397293446,0.0,0.0,0.4217948717948718,40.0,1.0,0.9951683823756073,0.9375945049413257
russ1263,-0.012382739212007506,-0.010256410256410258,0.3328724209308019,0.0,0.0,0.4948717948717949,40.0,1.0,0.9708090384054835,0.9602127313501146
slov1268,-0.13320825515947468,-0.09487179487179487,0.24986083065000275,0.0,0.0,0.45256410256410257,40.0,1.0,1.0,1.0
stan1289,-0.22532833020637902,-0.158974358974359,0.4383816502070723,0.0,0.0,0.4205128205128205,40.0,1.0,0.9438990541866773,0.9563224067632191
stan1290,-0.1681050656660413,-0.11282051282051282,0.2964218107945889,0.0,0.0,0.44358974358974357,40.0,1.0,1.0,0.9685837717453606
stan1293,-0.3602251407129456,-0.2538461538461539,0.48963342530547904,0.0,0.0,0.3730769230769231,40.0,1.0,0.9743082855857134,0.9048013385542002
stan1318,-0.150281425891182,-0.10256410256410256,0.48831541218637997,0.0,0.0,0.44871794871794873,40.0,1.0,0.9948914885936704,0.9493906570982619
swed1254,-0.5060037523452158,-0.34871794871794876,0.4832915921288014,0.0,0.0,0.32564102564102565,40.0,1.0,1.0,0.9846421756960523
tami1289,0.2433395872420263,0.1717948717948718,0.5097954479976952,0.0,0.0,0.5858974358974359,40.0,1.0,0.9047892544687958,0.8604985650005672
telu1262,0.40881801125703565,0.30769230769230776,0.11803350970017629,0.0,1.0,0.6538461538461539,40.0,1.0,0.9946085851581096,0.9538518997030964
ukra1253,-0.014634146341463417,-0.028205128205128206,0.27020606100189415,0.0,0.0,0.4858974358974359,40.0,1.0,0.9745543131174804,0.9795892506160453
viet1252,-0.3472795497185742,-0.2512820512820513,0.3593099744932205,0.0,0.0,0.37435897435897436,40.0,1.0,0.9826298255731594,0.9469692775298739
wels1247,-0.38949343339587245,-0.258974358974359,0.5598787962261552,0.0,0.0,0.37051282051282053,40.0,1.0,0.9634445343768824,0.8937580806075375
west2369,-0.03658536585365854,-0.028205128205128206,0.3891263057929725,0.0,0.0,0.4858974358974359,40.0,1.0,0.9676740456355388,0.972652477869567
