,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.4740751797879854,0.31431222174700935,0.29062506161885043,0.0,0.0,0.6576923076923077,40.0,1.0,0.9809438307918767,0.9441593548443203
copt1239,-0.3826432832584377,-0.2623597884003962,0.23167172959721632,0.0,0.0,0.36923076923076925,40.0,1.0,0.9612706691979074,0.9643615142205024
czec1258,0.44876734384767175,0.3218667954225552,0.2506009615384615,0.0,1.0,0.6615384615384615,40.0,1.0,0.9820450290175871,0.9848277027506631
dani1285,0.3347157770806332,0.21586423186198914,0.18918319357558028,0.0,1.0,0.6025641025641025,40.0,1.0,0.9629647581077134,0.970505808901026
dutc1256,-0.09708663768218144,-0.06132719037223673,0.3649571560087813,0.0,0.0,0.46794871794871795,40.0,1.0,0.9835046478040707,0.9868200566972337
faro1244,-0.28824197574577143,-0.19401932990834914,0.4339887640449438,0.0,0.0,0.4076923076923077,40.0,1.0,0.9563625705211406,0.9631579544615781
finn1318,0.05743843636003123,0.02482483274196348,0.35799088583306693,0.0,0.0,0.5128205128205128,40.0,1.0,0.9786575971960304,0.9467540591306121
hebr1245,-0.31076278186765266,-0.1997542065923753,0.5435825435825438,0.0,0.0,0.40384615384615385,40.0,1.0,0.9476788482469806,0.9254807158448934
hind1269,0.37007859012629923,0.25818571868638546,0.19436553030303025,0.0,0.0,0.6307692307692307,40.0,1.0,0.9977584130657897,0.9835509020101199
hung1274,0.41562180631966644,0.324903625589084,0.4957356855785794,0.0,1.0,0.6628205128205128,40.0,1.0,0.8829434045332076,0.9010091677141511
icel1247,-0.05974810673218296,-0.047257281135793194,0.5378905041756883,0.0,0.0,0.4782051282051282,40.0,1.0,0.9077662471413587,0.9021482692288729
iris1253,-0.0440748752588203,-0.045669184319750755,0.5343586022105615,0.0,0.0,0.4858974358974359,40.0,1.0,0.9712099224116849,0.8870957686173061
ital1282,-0.03909413242573399,-0.027401510591850455,0.3203680382430801,0.0,0.0,0.4935897435897436,40.0,1.0,0.9982350795582663,0.9488564967058669
komi1268,0.17147732104595473,0.11229029676427355,0.4670947030497592,0.0,0.0,0.5551282051282052,40.0,1.0,0.9733494064148824,0.8646361821245775
kore1280,0.23750496581458827,0.1572596051954716,0.3835801838610829,0.0,1.0,0.5807692307692308,40.0,1.0,0.9026190573102487,0.9198459103802015
latv1249,0.29460177018916767,0.19820317798146767,0.3724107256322279,0.0,0.0,0.5961538461538461,40.0,1.0,0.9447416951718789,0.9548154726171201
lith1251,0.3649614368926424,0.2622716013791401,0.2722389131996603,0.0,0.0,0.6282051282051282,40.0,1.0,0.9884588769577743,0.9803613752737942
malt1254,-0.07721579658177931,-0.04941988067481544,0.1600722578834754,0.0,0.0,0.4807692307692308,40.0,1.0,0.9942044562572768,0.979842923385851
mand1415,-0.3979898614264832,-0.27571091323844404,0.48124999999999996,0.0,0.0,0.36666666666666664,40.0,1.0,1.0,0.9235661213203421
mara1378,0.45636779306110614,0.3467153806777259,0.5024637127578305,0.0,1.0,0.6743589743589744,40.0,1.0,0.8748678091430235,0.8908790824286794
mode1248,-0.20234175261381432,-0.13615551557200084,0.48162154419137654,0.0,0.0,0.441025641025641,40.0,1.0,0.9427523855267641,0.9537995884046018
nort2671,0.21009641151092764,0.1546602728781911,0.3198778422835027,0.0,0.0,0.5820512820512821,40.0,1.0,0.9680423003530562,0.9742041207267091
