,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5
bela1254,0.3596622889305817,0.25641025641025644,0.0,1.0,1.0,0.6282051282051282,40.0,1.0,1.0,0.965910392666278
copt1239,-0.13227016885553475,-0.10256410256410256,0.3257079261739291,0.0,0.0,0.44871794871794873,40.0,1.0,0.9671606543768889,0.9536021527365779
czec1258,0.1555347091932458,0.1,0.24199314574314587,0.0,0.0,0.55,40.0,1.0,1.0,0.9173929945339631
dani1285,0.33170731707317075,0.2205128205128205,0.0,1.0,1.0,0.6102564102564103,40.0,1.0,0.9924530381868019,0.9926203281244087
dutc1256,0.24502814258911826,0.1564102564102564,0.3649571560087813,0.0,0.0,0.5782051282051283,40.0,1.0,0.9737569522621717,0.9784402012496576
faro1244,-0.08180112570356474,-0.043589743589743594,0.4339887640449438,0.0,0.0,0.4782051282051282,40.0,1.0,0.926656636477225,0.9373347293956016
finn1318,0.08799249530956849,0.0717948717948718,0.25087128771856676,0.0,0.0,0.5358974358974359,40.0,1.0,0.9928285371107269,0.9583803252772287
hebr1245,-0.17354596622889307,-0.11538461538461539,0.37933529884749406,0.0,0.0,0.4423076923076923,40.0,1.0,1.0,0.9044437455579345
hind1269,0.377485928705441,0.26153846153846155,0.41182798800184595,0.0,0.0,0.6307692307692307,40.0,1.0,0.9860172552973543,0.9231596150328764
hung1274,0.10431519699812385,0.07435897435897437,0.3897058823529411,0.0,0.0,0.5371794871794872,40.0,1.0,0.9517388367678311,0.9218005998644437
icel1247,-0.11913696060037525,-0.07435897435897437,0.3936208125445474,0.0,0.0,0.46282051282051284,40.0,1.0,0.9147371377350079,0.9178219663930837
iris1253,-0.2814258911819888,-0.18717948717948718,0.335536805740101,0.0,0.0,0.4064102564102564,40.0,1.0,0.9974454079032796,0.9980338051099077
ital1282,-0.2281425891181989,-0.1794871794871795,0.43519093900665806,0.0,0.0,0.41025641025641024,40.0,1.0,0.9553208711227945,0.9206211928720953
komi1268,0.0981238273921201,0.07435897435897437,0.4656966490299825,0.0,0.0,0.5371794871794872,40.0,1.0,0.9742912235281589,0.9057669674236902
kore1280,0.5302063789868668,0.37948717948717947,0.3835801838610829,0.0,1.0,0.6897435897435897,40.0,1.0,0.8948558751262276,0.9016030163158336
latv1249,-0.041088180112570365,-0.005128205128205129,0.13319672131147536,0.0,0.0,0.49743589743589745,40.0,1.0,0.9715208074636685,0.9670215848420377
lith1251,0.0878048780487805,0.046153846153846156,0.22561758706655582,0.0,0.0,0.5230769230769231,40.0,1.0,0.9843595936614037,0.9409256215299169
malt1254,-0.29005628517823645,-0.2076923076923077,0.5214686693976636,0.0,0.0,0.39615384615384613,40.0,1.0,0.9999078487646826,0.9066858486759822
mand1415,0.006191369606003753,-0.0025641025641025645,0.48124999999999996,0.0,1.0,0.4987179487179487,40.0,1.0,0.8876938248750874,0.9025820523316593
