representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,spearman_rho_same_script,spearman_rho_same_script_std,n_same_script_sources,n_same_script_sources_std,spearman_rho_size_resid,spearman_rho_size_resid_std,n_targets
wals_s42_B_masked70,0.12398297716560656,0.24362804280683767,0.08436522826766729,0.1667852610033874,0.3609358345302629,0.14855129997027303,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.3962945563237054,0.5421826141338337,0.08339263050169368,40.0,0.6390641654697371,0.148551299970273,0.6619651047362,0.10955186603742405,0.6997684953851803,0.08631136884891016,0.15205397301349324,0.3259043746027344,15.121951219512194,11.118420492206745,0.1428224957671716,0.24539299609010717,41
wals_s42_B_masked50,0.08578684848762186,0.25894519550512235,0.058599124452783,0.17760792393980707,0.3312170831364826,0.1507032857466322,0.0,0.0,0.3170731707317073,0.4653361958131442,0.5292995622263915,0.08880396196990353,40.0,0.6687829168635174,0.15070328574663222,0.6819603572974379,0.10582349403901532,0.6990321651861703,0.08452293806526583,0.11685157421289354,0.35455503282477996,15.121951219512194,11.118420492206745,0.10174804374685399,0.24653112643484876,41
wals_s42_C,0.06282014398627388,0.25251425141744305,0.04418830917816836,0.1759475837995934,0.3512836045117297,0.14532367267093066,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.5249218261413383,0.08734581527821637,40.0,0.6487163954882704,0.14532367267093066,0.67181345787345,0.10207745429160572,0.7034183527136283,0.08565518652724247,0.07270810404680732,0.2989905904686051,15.121951219512194,11.118420492206745,0.09102640369743285,0.2513867854524686,41
wals_s42_B,0.041262069281105575,0.266198461489157,0.031019387116948096,0.18635206092365428,0.3500462124911854,0.17939022042628966,0.04878048780487805,0.2154088016177524,0.1951219512195122,0.39629455632370536,0.515509693558474,0.09317603046182713,40.0,0.6499537875088146,0.17939022042628966,0.6738048983246794,0.11339276761768759,0.7072907247784287,0.09345601166180482,0.056731634182908525,0.3389349880944926,15.121951219512194,11.118420492206745,0.055347091932457786,0.2567218506596644,41
wals_s42_B_masked30,0.03567015970347321,0.24185693375485845,0.027517198248905576,0.16760262942845608,0.3361603794168947,0.1715750031403173,0.07317073170731707,0.260416542732471,0.2926829268292683,0.4549941001506739,0.5137585991244528,0.08380131471422804,40.0,0.6638396205831053,0.1715750031403173,0.6854118257092848,0.10084469559058776,0.7097390434271503,0.08260578994258279,0.05409295352323838,0.28037329538124856,15.121951219512194,11.118420492206745,0.05221708689882397,0.232830206929931,41
grambank_s42_A,0.031368690797602156,0.2773568407494132,0.02051282051282051,0.1892341419048596,0.372269303611436,0.15730270378334002,0.024390243902439025,0.1542574468374819,0.21951219512195122,0.4139161645970034,0.5102564102564102,0.09461707095242979,40.0,0.6277306963885639,0.15730270378334002,0.6614850869753066,0.11189752307886644,0.6963116804746241,0.10335642412112694,-0.10956521739130434,0.36045549843442093,15.121951219512194,11.118420492206745,0.0699812382739212,0.263223244813221,41
grambank_s42_C,0.025592907843691816,0.3163223615765096,0.016754981349098787,0.21849683965562489,0.3584563980823758,0.14429042147370857,0.024390243902439025,0.1542574468374819,0.24390243902439024,0.4294345576014392,0.5121013133208255,0.10786156952906896,40.0,0.6415436019176242,0.14429042147370855,0.6693938974780563,0.11558974726637823,0.6944274415215934,0.10249319234930783,-0.1240435211728835,0.40950003969258325,15.121951219512194,11.118420492206745,0.0479979865464696,0.3245329597959426,41
wals_s42_A,0.012808310071843687,0.24447379836870026,0.010318949343339594,0.17121984524318998,0.353478207876194,0.17432761741310748,0.04878048780487805,0.2154088016177524,0.34146341463414637,0.47420053890789227,0.5051594746716698,0.08560992262159497,40.0,0.646521792123806,0.17432761741310748,0.6780369630102521,0.10692560815065581,0.707661842196998,0.09354603072896428,0.07370314842578714,0.305181608393993,15.121951219512194,11.118420492206745,0.0311170091063012,0.23416165145601223,41
grambank_s42_B,0.000841989658170511,0.307252189273593,0.0009380863039399666,0.2079216887400972,0.3602692675635775,0.15686238093965832,0.04878048780487805,0.2154088016177524,0.24390243902439024,0.4294345576014392,0.5004690431519699,0.10396084437004859,40.0,0.6397307324364224,0.1568623809396583,0.6825394663697073,0.11283532863492139,0.7032811388884934,0.1045431676831147,-0.14008995502248872,0.37623922317849023,15.121951219512194,11.118420492206745,0.027053493799478332,0.31127139428689626,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,0.5812285189159044,0.1525516181130591,0.6367244655997581,0.11051935173466279,0.6602690884606061,0.0888759404170377,0.04659670164917542,0.3168277445006351,15.121951219512194,11.118420492206745,-0.005843591268933325,0.17144498612458617,41
