,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.39287054409005634,0.2743589743589744,0.29062506161885043,0.0,1.0,0.6371794871794871,40.0,0.7093749383811495,0.8511796690714103,0.8843481731023413,0.5,3.0,0.45966228893058164
copt1239,-0.2741088180112571,-0.19487179487179487,0.31451005046356867,0.0,0.0,0.4025641025641026,40.0,0.6854899495364314,0.6522282920264869,0.6781913053407347,-0.5130434782608695,24.0,-0.2427767354596623
czec1258,0.22532833020637902,0.15384615384615388,0.29076804076804075,0.0,0.0,0.5769230769230769,40.0,0.7092319592319593,0.8139772039157078,0.8951469651827183,0.25478260869565217,24.0,0.2463414634146342
dani1285,0.38086303939962485,0.26153846153846155,0.18918319357558028,0.0,1.0,0.6307692307692307,40.0,0.8108168064244198,0.8327238582538586,0.8342003655204581,0.11913043478260868,24.0,0.37692307692307697
dutc1256,0.13939962476547843,0.1076923076923077,0.30282654230002226,0.0,0.0,0.5538461538461539,40.0,0.6971734576999777,0.696684537934124,0.7146413541954931,-0.05130434782608695,24.0,0.16003752345215763
faro1244,-0.30900562851782365,-0.21282051282051284,0.4339887640449438,0.0,0.0,0.3935897435897436,40.0,0.5660112359550562,0.6099608601208113,0.6502480285484272,-0.23565217391304347,24.0,-0.20750469043151973
finn1318,0.18986866791744844,0.12051282051282051,0.35799088583306693,0.0,0.0,0.5602564102564103,40.0,0.6420091141669331,0.7183741525329084,0.7018607841536183,0.25652173913043474,24.0,0.21651031894934336
hebr1245,-0.30769230769230776,-0.18717948717948718,0.49001536098310294,0.0,0.0,0.4064102564102564,40.0,0.5099846390168971,0.5086385415061189,0.5572073215221052,,0.0,-0.31332082551594753
hind1269,0.37185741088180113,0.23076923076923078,0.3921971535745808,0.0,0.0,0.6153846153846154,40.0,0.6078028464254192,0.6856442137807501,0.7568505096100144,,1.0,0.3784240150093809
hung1274,0.4457786116322702,0.3025641025641026,0.22039255069338826,0.0,0.0,0.6512820512820513,40.0,0.7796074493066117,0.8000418140722968,0.7932001484292719,0.3678260869565217,24.0,0.4617260787992496
icel1247,-0.16735459662288932,-0.12051282051282051,0.5378905041756883,0.0,0.0,0.43974358974358974,40.0,0.4621094958243117,0.6318800520263677,0.6326487796169141,-0.24,24.0,-0.04615384615384616
iris1253,-0.25853658536585367,-0.14871794871794874,0.5343586022105615,0.0,0.0,0.4256410256410256,40.0,0.4656413977894384,0.5353936255788885,0.5989736767988239,-0.23391304347826083,24.0,-0.19493433395872423
ital1282,-0.04784240150093809,-0.02564102564102564,0.43519093900665806,0.0,0.0,0.48717948717948717,40.0,0.5648090609933419,0.6392948530270854,0.6703875669298457,-0.006956521739130434,24.0,-0.03433395872420263
komi1268,0.2879924953095685,0.17435897435897438,0.4080290412128978,0.0,0.0,0.5871794871794872,40.0,0.5919709587871023,0.677945002399525,0.688847052421093,-0.5,3.0,0.2559099437148218
kore1280,0.37917448405253285,0.24615384615384617,0.3835801838610829,0.0,1.0,0.6230769230769231,40.0,0.616419816138917,0.7607850219437811,0.8076292738227603,,0.0,0.3881801125703565
latv1249,0.1105065666041276,0.06666666666666667,0.13319672131147536,0.0,0.0,0.5333333333333333,40.0,0.8668032786885246,0.792886439058467,0.8193334903081547,0.18173913043478263,24.0,0.2814258911819888
lith1251,0.16135084427767357,0.09743589743589744,0.22561758706655582,0.0,0.0,0.5487179487179488,40.0,0.7743824129334441,0.7598117021428337,0.784455654986454,0.25478260869565217,24.0,0.26191369606003756
malt1254,-0.14746716697936213,-0.11538461538461539,0.1600722578834754,0.0,0.0,0.4423076923076923,40.0,0.8399277421165245,0.7179316303188947,0.7021017420278997,-0.18086956521739128,24.0,-0.11500938086303941
mand1415,-0.07091932457786117,-0.0358974358974359,0.48124999999999996,0.0,0.0,0.48205128205128206,40.0,0.51875,0.49241366685791615,0.5620462930970064,,1.0,-0.06491557223264542
mara1378,0.45384615384615384,0.36153846153846153,0.7006106790542305,0.0,1.0,0.6807692307692308,40.0,0.2993893209457695,0.6212514938079727,0.6988790215389654,,1.0,0.4290806754221389
mode1248,-0.226641651031895,-0.15384615384615388,0.48162154419137654,0.0,0.0,0.4230769230769231,40.0,0.5183784558086234,0.5173302254581114,0.5878087927349959,,0.0,-0.17898686679174486
nort2671,0.32795497185741096,0.2230769230769231,0.3198778422835027,0.0,0.0,0.6115384615384616,40.0,0.6801221577164973,0.6811736255373946,0.7580646700216345,0.23304347826086955,24.0,0.3140712945590995
nucl1235,0.35440900562851785,0.2205128205128205,0.27530384600971797,0.0,1.0,0.6102564102564103,40.0,0.724696153990282,0.7745094530239268,0.7800931074221406,,0.0,0.3585365853658537
nucl1301,0.376360225140713,0.2538461538461539,0.05610985945713973,0.0,1.0,0.6269230769230769,40.0,0.9438901405428602,0.830185367767771,0.868763055593421,0.3347826086956522,24.0,0.34296435272045034
nucl1347,-0.3575984990619137,-0.2435897435897436,0.44178226145439264,0.0,0.0,0.3782051282051282,40.0,0.5582177385456074,0.510178825610518,0.5525062490122692,-0.40695652173913033,24.0,-0.31275797373358355
nucl1643,0.2671669793621013,0.16666666666666669,0.0,1.0,1.0,0.5833333333333334,40.0,1.0,0.8101140056505891,0.8066702547815245,,1.0,0.2692307692307693
poli1260,-0.1780487804878049,-0.12820512820512822,0.5875571456966805,0.0,0.0,0.4358974358974359,40.0,0.4124428543033195,0.5344994578803572,0.5953960997392062,-0.09739130434782609,24.0,-0.11500938086303941
port1283,-0.21181988742964356,-0.15384615384615388,0.45903678397293446,0.0,0.0,0.4230769230769231,40.0,0.5409632160270655,0.5277333434401844,0.5830008450592205,-0.16086956521739126,24.0,-0.13714821763602253
russ1263,-0.06322701688555347,-0.046153846153846156,0.5632714044432897,0.0,0.0,0.47692307692307695,40.0,0.43672859555671034,0.5962987906505324,0.6753546064334454,-1.0,3.0,0.05853658536585367
slov1268,0.008255159474671672,-0.005128205128205129,0.24986083065000275,0.0,0.0,0.49743589743589745,40.0,0.7501391693499972,0.7226628249651253,0.6798202108211957,0.08086956521739129,24.0,0.18705440900562856
stan1289,-0.22138836772983117,-0.15384615384615388,0.4383816502070723,0.0,0.0,0.4230769230769231,40.0,0.5616183497929277,0.5755175566892649,0.6329378507681438,-0.049565217391304345,24.0,-0.15928705440900565
stan1290,-0.12889305816135085,-0.07692307692307694,0.2964218107945889,0.0,0.0,0.46153846153846156,40.0,0.7035781892054112,0.6733278155927342,0.6841490864461406,0.08434782608695651,24.0,-0.11594746716697937
stan1293,-0.22851782363977488,-0.16410256410256413,0.6731891589382797,0.0,0.0,0.41794871794871796,40.0,0.3268108410617203,0.5279832658702069,0.6136601911809276,-0.15826086956521737,24.0,-0.15497185741088182
stan1318,-0.16135084427767357,-0.11538461538461539,0.48831541218637997,0.0,0.0,0.4423076923076923,40.0,0.51168458781362,0.588260284857548,0.6100536995824914,,1.0,-0.1427767354596623
swed1254,-0.4470919324577862,-0.30512820512820515,0.5219249349684132,0.0,0.0,0.3474358974358974,40.0,0.4780750650315868,0.45753371745840066,0.5022193277904022,-0.4313043478260869,24.0,-0.36416510318949347
tami1289,0.31125703564727963,0.21282051282051284,0.5097954479976952,0.0,1.0,0.6064102564102564,40.0,0.4902045520023049,0.7385304308863585,0.7458568238793544,,1.0,0.32138836772983115
telu1262,0.4562851782363978,0.33333333333333337,0.11803350970017629,0.0,1.0,0.6666666666666666,40.0,0.8819664902998237,0.8311758800736928,0.8972764451303626,,1.0,0.45403377110694193
ukra1253,0.06397748592870545,0.04102564102564103,0.27020606100189415,0.0,0.0,0.5205128205128206,40.0,0.7297939389981059,0.6920896621465296,0.7496007720506556,-1.0,3.0,0.14315196998123828
viet1252,-0.24784240150093811,-0.17692307692307693,0.3593099744932205,0.0,0.0,0.4115384615384615,40.0,0.6406900255067796,0.5244295961869255,0.5656953783418803,-0.2217391304347826,24.0,-0.2724202626641651
wels1247,-0.41088180112570366,-0.2692307692307693,0.48162154419137654,0.0,0.0,0.36538461538461536,40.0,0.5183784558086234,0.5594951003701849,0.6121503690059218,-0.35739130434782607,24.0,-0.3872420262664166
west2369,0.04784240150093809,0.02564102564102564,0.3891263057929725,0.0,0.0,0.5128205128205128,40.0,0.6108736942070274,0.6488127054950124,0.6165035565111552,,1.0,0.06378986866791746
