,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5108818011257037,0.38974358974358975,0.14436855267271026,0.0,1.0,0.6948717948717948,40.0,0.8556314473272898,0.9695443736750124,0.9450711020557209,0.5,3.0,0.5003752345215761
copt1239,-0.3026266416510319,-0.21282051282051284,0.14470842332613396,0.0,0.0,0.3935897435897436,40.0,0.855291576673866,0.7289389901027319,0.7314013382890837,-0.4234782608695652,24.0,-0.26041275797373364
czec1258,0.1726078799249531,0.13589743589743591,0.4516493478378526,0.0,0.0,0.5679487179487179,40.0,0.5483506521621474,0.638248418147203,0.7192399780699138,0.1695652173913043,24.0,0.2155722326454034
dani1285,0.2281425891181989,0.13076923076923078,0.0,1.0,1.0,0.5653846153846154,40.0,1.0,0.714263447995883,0.7445875695944845,-0.13739130434782607,24.0,0.24559099437148219
dutc1256,-0.07804878048780489,-0.04871794871794872,0.3649571560087813,0.0,0.0,0.4756410256410256,40.0,0.6350428439912187,0.6299901563799829,0.662602974629353,-0.3869565217391304,24.0,-0.0727954971857411
faro1244,-0.16003752345215763,-0.11025641025641025,0.27690582959641247,0.0,0.0,0.44487179487179485,40.0,0.7230941704035875,0.7603105904162474,0.7481676694433221,0.09739130434782609,24.0,0.012945590994371484
finn1318,0.006191369606003753,0.007692307692307693,0.20072909762333116,0.0,0.0,0.5038461538461538,40.0,0.7992709023766689,0.6588440580413613,0.7049235728261746,0.2252173913043478,24.0,0.07054409005628519
hebr1245,-0.3729831144465291,-0.2358974358974359,0.49001536098310294,0.0,0.0,0.382051282051282,40.0,0.5099846390168971,0.5112971819510074,0.5456578962470888,,0.0,-0.351031894934334
hind1269,0.3737335834896811,0.23846153846153847,0.08542934575884348,0.0,1.0,0.6192307692307693,40.0,0.9145706542411565,0.7997065763778086,0.7773519184447526,,1.0,0.36772983114446534
hung1274,0.3833020637898687,0.2692307692307693,0.5086299688414692,0.0,0.0,0.6346153846153846,40.0,0.49137003115853084,0.6164756230679753,0.7053236877030232,0.40434782608695646,24.0,0.3945590994371483
icel1247,0.025328330206378986,0.028205128205128206,0.4042099136676691,0.0,0.0,0.514102564102564,40.0,0.5957900863323309,0.6404986640245113,0.6748569745269528,0.0826086956521739,24.0,0.019699812382739212
iris1253,-0.32232645403377114,-0.1794871794871795,0.4724465057447032,0.0,0.0,0.41025641025641024,40.0,0.5275534942552969,0.542963207119585,0.5670667598021798,-0.32608695652173914,24.0,-0.29512195121951224
ital1282,0.08123827392120077,0.06153846153846154,0.420009235031553,0.0,0.0,0.5307692307692308,40.0,0.579990764968447,0.6975248250674644,0.7097344830522514,0.07739130434782608,24.0,0.09681050656660414
komi1268,0.23245778611632273,0.13333333333333333,0.4670947030497592,0.0,1.0,0.5666666666666667,40.0,0.5329052969502408,0.7692896393622314,0.7715585746905085,-0.5,3.0,0.20544090056285183
kore1280,0.10750469043151972,0.0794871794871795,0.03937289562289571,0.0,1.0,0.5397435897435897,40.0,0.9606271043771043,0.7642666978585033,0.7602775385942785,,0.0,0.11425891181988744
latv1249,0.09849906191369608,0.06410256410256411,0.13319672131147536,0.0,0.0,0.532051282051282,40.0,0.8668032786885246,0.7547799454183391,0.7804090939909739,0.13652173913043478,24.0,0.19155722326454036
lith1251,0.24784240150093811,0.16410256410256413,0.19179095279181574,0.0,0.0,0.5820512820512821,40.0,0.8082090472081842,0.802335344232813,0.7838623111971412,0.3173913043478261,24.0,0.33921200750469044
malt1254,-0.32026266416510324,-0.2,0.48162154419137654,0.0,0.0,0.4,40.0,0.5183784558086234,0.5410422708527581,0.6170744786672868,-0.2278260869565217,24.0,-0.3037523452157599
mand1415,-0.10712945590994372,-0.07692307692307694,0.48124999999999996,0.0,0.0,0.46153846153846156,40.0,0.51875,0.5505725816989052,0.5555979489291509,,1.0,-0.07842401500938087
mara1378,0.34465290806754223,0.2538461538461539,0.0,1.0,1.0,0.6269230769230769,40.0,1.0,0.7584421196911983,0.702454949768696,,1.0,0.32589118198874306
mode1248,-0.3489681050656661,-0.23076923076923078,0.3531534131909367,0.0,0.0,0.38461538461538464,40.0,0.6468465868090634,0.579704818291307,0.5799564015163754,,0.0,-0.29849906191369613
nort2671,0.03395872420262664,0.028205128205128206,0.1843861910901018,0.0,0.0,0.514102564102564,40.0,0.8156138089098982,0.6465986983228665,0.7129116231858409,0.1652173913043478,24.0,0.08255159474671671
nucl1235,0.2771106941838649,0.18974358974358974,0.13300835654596083,0.0,0.0,0.5948717948717949,40.0,0.8669916434540391,0.774583582939164,0.8152344539467611,,0.0,0.2938086303939963
nucl1301,0.12664165103189495,0.08205128205128207,0.3725810353168843,0.0,1.0,0.541025641025641,40.0,0.6274189646831158,0.700034978734376,0.7501345903751857,0.23826086956521736,24.0,0.13151969981238276
