,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5181056861401846,0.37237249112945214,0.2281935181935183,0.0,1.0,0.6871794871794872,40.0,0.7718064818064817,0.8548648248209407,0.9033766294768621,0.5,3.0,0.527392120075047
copt1239,-0.3726788724861279,-0.24860244685140273,0.14470842332613396,0.0,0.0,0.3871794871794872,40.0,0.855291576673866,0.7271156821164629,0.7386199006062011,-0.506905955242287,24.0,-0.3855534709193247
czec1258,0.28923309523832735,0.20134589874186892,0.29076804076804075,0.0,1.0,0.6025641025641025,40.0,0.7092319592319593,0.8893588295577322,0.9081758165605707,0.3014599562979665,24.0,0.3806754221388368
dani1285,0.11005658540739058,0.0797007788031459,0.35595739410453314,0.0,1.0,0.5346153846153846,40.0,0.6440426058954668,0.8084197704071621,0.8017631243855056,-0.1844753471726814,24.0,0.11181988742964354
dutc1256,0.035234471331268065,0.010431746209550929,0.5669597634039226,0.0,0.0,0.5012820512820513,40.0,0.4330402365960773,0.501421789829359,0.5867205023423138,-0.21659595161213738,24.0,0.05121951219512196
faro1244,-0.29292662471007747,-0.20161489805853972,0.4339887640449438,0.0,0.0,0.4012820512820513,40.0,0.5660112359550562,0.6311128404976777,0.6556674365047781,-0.31806476470694606,24.0,-0.1960600375234522
finn1318,0.2704747951873211,0.17828803288875328,0.35799088583306693,0.0,0.0,0.591025641025641,40.0,0.6420091141669331,0.706184138185488,0.7358443360733199,0.2930672182034088,24.0,0.30769230769230776
hebr1245,-0.31981999251552146,-0.203149800073348,0.5435825435825438,0.0,0.0,0.40384615384615385,40.0,0.4564174564174563,0.5399294259782117,0.5571939077410165,,0.0,-0.350656660412758
hind1269,0.3720935263058585,0.25003052316719754,0.19436553030303025,0.0,0.0,0.6243589743589744,40.0,0.8056344696969697,0.7461695078005476,0.7924048492118589,,1.0,0.3647279549718575
hung1274,0.39472114019055554,0.2693860512899857,0.16302521008403356,0.0,1.0,0.6397435897435897,40.0,0.8369747899159664,0.7917105884768484,0.812578234306396,0.3751642890548607,24.0,0.40375234521575987
icel1247,-0.22079145706829958,-0.1744721863113101,0.5378905041756883,0.0,0.0,0.4217948717948718,40.0,0.4621094958243117,0.5633385622912505,0.5734440899276907,-0.29770936294881045,24.0,-0.14953095684803003
iris1253,-0.24424435138096792,-0.1410157215179249,0.4724465057447032,0.0,0.0,0.43333333333333335,40.0,0.5275534942552969,0.5515284948717113,0.580160710122587,-0.23609152168639982,24.0,-0.25759849906191373
ital1282,-0.029892900923432785,-0.020947002395692436,0.3203680382430801,0.0,0.0,0.49230769230769234,40.0,0.67963196175692,0.661545983554904,0.6586734949617794,0.0008722238637006213,24.0,0.038086303939962485
komi1268,0.2796734088917893,0.1749639507722402,0.3791778975741239,0.0,0.0,0.5923076923076923,40.0,0.6208221024258761,0.6357280163936888,0.6947216006902832,-0.5,3.0,0.23621013133208257
kore1280,0.2603185065056094,0.16343525993921618,0.3835801838610829,0.0,0.0,0.5846153846153846,40.0,0.616419816138917,0.6747845360149354,0.6769280435176841,,0.0,0.2568480300187618
latv1249,0.3388482961605384,0.2294984166101204,0.13319672131147536,0.0,0.0,0.6192307692307693,40.0,0.8668032786885246,0.842862556316779,0.8161898787079424,0.42277744444585835,24.0,0.43921200750469047
lith1251,0.3424979335660028,0.2309555892741681,0.22561758706655582,0.0,0.0,0.6217948717948718,40.0,0.7743824129334441,0.7970498544813609,0.78412494498092,0.42268492284622855,24.0,0.40037523452157603
malt1254,-0.25957094549335274,-0.16527550006680286,0.1600722578834754,0.0,0.0,0.41794871794871796,40.0,0.8399277421165245,0.7411240666039276,0.7104466242594788,-0.2520175806808423,24.0,-0.23958724202626647
mand1415,-0.3547332786989935,-0.26375162728352625,0.48124999999999996,0.0,0.0,0.3717948717948718,40.0,0.51875,0.49241366685791615,0.5365747546978352,,1.0,-0.33808630393996253
mara1378,0.4291352874835056,0.3324955734183239,0.5024637127578305,0.0,1.0,0.6666666666666666,40.0,0.49753628724216953,0.5803394113974296,0.713440125047012,,1.0,0.42851782363977486
mode1248,-0.19719124668496107,-0.12761974619992375,0.5214686693976636,0.0,0.0,0.43974358974358974,40.0,0.4785313306023364,0.504922265204563,0.5466031206693169,,0.0,-0.16060037523452161
