,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.301125703564728,0.19743589743589746,0.35612118986412056,0.0,1.0,0.5987179487179487,40.0,0.6438788101358794,0.751116738623266,0.7359870829502707,0.5,3.0,0.3410881801125704
copt1239,-0.26979362101313326,-0.2025641025641026,0.3257079261739291,0.0,0.0,0.39871794871794874,40.0,0.6742920738260709,0.7407825057017332,0.7495776134857541,-0.48956521739130426,24.0,-0.2714821763602252
czec1258,0.1375234521575985,0.08974358974358974,0.29076804076804075,0.0,0.0,0.5448717948717948,40.0,0.7092319592319593,0.792553159948596,0.8058026323406824,0.16260869565217392,24.0,0.12908067542213886
dani1285,0.4030018761726079,0.2641025641025641,0.0,1.0,1.0,0.632051282051282,40.0,1.0,0.8628867286281638,0.8493822119921848,0.18521739130434778,24.0,0.3562851782363978
dutc1256,0.18911819887429648,0.13846153846153847,0.5531066683277452,0.0,0.0,0.5692307692307692,40.0,0.4468933316722547,0.5751823483344841,0.6593370034651437,0.3217391304347825,24.0,0.12607879924953097
faro1244,-0.14427767354596627,-0.09230769230769231,0.4339887640449438,0.0,0.0,0.45384615384615384,40.0,0.5660112359550562,0.6729858523007342,0.698818506630187,0.05565217391304347,24.0,-0.0827392120075047
finn1318,0.022701688555347096,0.023076923076923078,0.25087128771856676,0.0,0.0,0.5115384615384615,40.0,0.7491287122814332,0.7704576149993683,0.764618302217832,0.06956521739130435,24.0,0.024202626641651036
hebr1245,-0.21669793621013136,-0.14615384615384616,0.13707250341997265,0.0,1.0,0.4269230769230769,40.0,0.8629274965800273,0.791798289073166,0.7458947703171503,,0.0,-0.16979362101313325
hind1269,0.39474671669793626,0.27179487179487183,0.41182798800184595,0.0,1.0,0.6358974358974359,40.0,0.588172011998154,0.7219959372316268,0.7966030627320745,,1.0,0.40938086303939974
hung1274,0.19662288930581617,0.13076923076923078,0.3056487168858576,0.0,0.0,0.5653846153846154,40.0,0.6943512831141424,0.7292362713594837,0.7365195839639012,0.1782608695652174,24.0,0.24352720450281426
icel1247,-0.17748592870544094,-0.13076923076923078,0.23062398077418245,0.0,0.0,0.4346153846153846,40.0,0.7693760192258176,0.6340699296912493,0.6560429934688307,-0.22347826086956518,24.0,-0.16397748592870548
iris1253,-0.39662288930581624,-0.26666666666666666,0.4724465057447032,0.0,0.0,0.36666666666666664,40.0,0.5275534942552969,0.5933634123519804,0.5937911706955094,-0.46434782608695646,24.0,-0.34765478424015017
ital1282,-0.15121951219512195,-0.10512820512820513,0.43519093900665806,0.0,0.0,0.44743589743589746,40.0,0.5648090609933419,0.5921713326791471,0.6510819112499167,-0.13304347826086957,24.0,-0.08836772983114449
komi1268,0.026641651031894937,0.015384615384615385,0.4656966490299825,0.0,0.0,0.5076923076923077,40.0,0.5343033509700176,0.5987863627341911,0.6596664943090562,0.5,3.0,-0.02401500938086304
kore1280,0.3958724202626642,0.27692307692307694,0.3835801838610829,0.0,0.0,0.6384615384615384,40.0,0.616419816138917,0.658469928732644,0.7274604765890852,,0.0,0.400562851782364
latv1249,0.050093808630394004,0.02564102564102564,0.13319672131147536,0.0,0.0,0.5128205128205128,40.0,0.8668032786885246,0.789332419311776,0.7580501242147034,0.07478260869565216,24.0,0.09493433395872422
lith1251,0.07898686679174484,0.05384615384615385,0.22561758706655582,0.0,0.0,0.5269230769230769,40.0,0.7743824129334441,0.6669976351509427,0.710393969227314,0.10956521739130433,24.0,0.12232645403377114
malt1254,-0.24784240150093811,-0.17435897435897438,0.7072044831478794,0.0,0.0,0.4128205128205128,40.0,0.2927955168521205,0.4903005878459671,0.5777231757378353,-0.11391304347826085,24.0,-0.23489681050656663
mand1415,-0.2859287054409006,-0.20512820512820512,0.48124999999999996,0.0,0.0,0.3974358974358974,40.0,0.51875,0.49036819032109097,0.5403678655588632,,1.0,-0.26172607879924953
mara1378,0.4941838649155723,0.4,0.308216619981326,0.0,1.0,0.7,40.0,0.691783380018674,0.8457767780341411,0.9013744467175564,,1.0,0.49212007504690436
mode1248,-0.1405253283302064,-0.09230769230769231,0.43351174176416907,0.0,0.0,0.45384615384615384,40.0,0.5664882582358309,0.6535404121710375,0.635287953825778,,0.0,-0.08742964352720452
nort2671,0.038086303939962485,0.03076923076923077,0.36942070275403605,0.0,0.0,0.5153846153846153,40.0,0.630579297245964,0.6473893995444504,0.7116194208454963,0.09043478260869564,24.0,0.0675422138836773
