,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.06960600375234523,0.05384615384615385,0.330440039114588,0.0,0.0,0.5269230769230769,40.0,0.669559960885412,0.719273398030564,0.730520179634477,-0.5,3.0,0.09249530956848032
copt1239,-0.0953095684803002,-0.06923076923076923,0.2513734901207904,0.0,0.0,0.4653846153846154,40.0,0.7486265098792096,0.8185680165550334,0.8072719291017899,-0.06434782608695652,24.0,-0.09418386491557224
czec1258,-0.1932457786116323,-0.13589743589743591,0.4820023736859953,0.0,0.0,0.43205128205128207,40.0,0.5179976263140047,0.5630034669474989,0.627340545199564,-0.36173913043478256,24.0,-0.17954971857410884
dani1285,0.012757973733583493,-0.005128205128205129,0.37849119145540483,0.0,0.0,0.49743589743589745,40.0,0.6215088085445952,0.5097125946611686,0.6048993252227342,0.04521739130434782,24.0,0.05947467166979363
dutc1256,0.251594746716698,0.18461538461538463,0.0,1.0,1.0,0.5923076923076923,40.0,1.0,0.8612449159115654,0.7213728924096607,0.23304347826086955,24.0,0.22795497185741093
faro1244,-0.1938086303939963,-0.12307692307692308,0.33732876712328763,0.0,1.0,0.43846153846153846,40.0,0.6626712328767124,0.7592333543546648,0.7721483327326587,-0.0634782608695652,24.0,-0.13696060037523455
finn1318,0.23808630393996255,0.16666666666666669,0.14420903954802272,0.0,1.0,0.5833333333333334,40.0,0.8557909604519772,0.8742767349311569,0.890034796774098,0.32347826086956516,24.0,0.29737335834896816
hebr1245,0.07542213883677298,0.05641025641025641,0.39178899630027464,0.0,0.0,0.5282051282051282,40.0,0.6082110036997254,0.5394074474674582,0.5740205941171536,,0.0,0.10712945590994372
hind1269,0.325328330206379,0.2205128205128205,0.47674604187946884,0.0,0.0,0.6102564102564103,40.0,0.5232539581205312,0.5618292390352513,0.6837101855752532,,1.0,0.3238273921200751
hung1274,0.002439024390243903,0.005128205128205129,0.530505831141321,0.0,1.0,0.5025641025641026,40.0,0.46949416885867906,0.6641299086489639,0.69841108039697,-0.03565217391304347,24.0,0.025140712945590997
icel1247,-0.012570356472795498,-0.0025641025641025645,0.4042099136676691,0.0,0.0,0.4987179487179487,40.0,0.5957900863323309,0.6485157101058768,0.7125981594166967,-0.2069565217391304,24.0,-0.010131332082551597
