,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.3080675422138837,0.21794871794871798,0.0,1.0,1.0,0.6089743589743589,40.0,1.0,0.8376292724719866,0.8421276192691739,1.0,3.0,0.3287054409005629
copt1239,-0.11125703564727957,-0.08205128205128207,0.3257079261739291,0.0,0.0,0.45897435897435895,40.0,0.6742920738260709,0.7160357467920321,0.7258556174317419,-0.23478260869565212,24.0,-0.07992495309568483
czec1258,0.18911819887429648,0.12051282051282051,0.24199314574314587,0.0,0.0,0.5602564102564103,40.0,0.7580068542568541,0.8020404788315467,0.8682963513259467,0.3060869565217391,24.0,0.17410881801125708
dani1285,0.376360225140713,0.2538461538461539,0.0,1.0,1.0,0.6269230769230769,40.0,1.0,0.8563745554380917,0.8299107404506068,0.03217391304347826,24.0,0.3309568480300188
dutc1256,0.23039399624765483,0.158974358974359,0.3649571560087813,0.0,0.0,0.5794871794871795,40.0,0.6350428439912187,0.6920551763599523,0.7231506329745407,0.19652173913043475,24.0,0.23714821763602256
faro1244,-0.09493433395872422,-0.043589743589743594,0.4339887640449438,0.0,0.0,0.4782051282051282,40.0,0.5660112359550562,0.7156128604193054,0.7478245194413609,0.27043478260869563,24.0,0.005065666041275799
finn1318,0.08911819887429645,0.07435897435897437,0.25087128771856676,0.0,1.0,0.5371794871794872,40.0,0.7491287122814332,0.8105850727162865,0.8260145278457246,0.2678260869565217,24.0,0.09343339587242028
hebr1245,-0.18968105065666047,-0.13589743589743591,0.6197263760738149,0.0,1.0,0.43205128205128207,40.0,0.38027362392618524,0.620262568327991,0.6392451016998723,,0.0,-0.14315196998123828
hind1269,0.37504690431519705,0.2641025641025641,0.44193222019725564,0.0,0.0,0.632051282051282,40.0,0.5580677798027444,0.6606933267668272,0.6952597307272413,,1.0,0.3844277673545967
hung1274,0.10994371482176361,0.08205128205128207,0.3897058823529411,0.0,1.0,0.541025641025641,40.0,0.6102941176470589,0.7373560368665251,0.777006476248472,0.1269565217391304,24.0,0.1459662288930582
icel1247,-0.12964352720450284,-0.07435897435897437,0.5113457957574209,0.0,1.0,0.46282051282051284,40.0,0.4886542042425791,0.72208758735165,0.708039539334344,-0.11652173913043477,24.0,-0.08198874296435274
iris1253,-0.27579737335834903,-0.1794871794871795,0.335536805740101,0.0,0.0,0.41025641025641024,40.0,0.664463194259899,0.6267698548436901,0.6235895040399072,-0.2817391304347826,24.0,-0.301500938086304
ital1282,-0.22251407129455913,-0.158974358974359,0.43519093900665806,0.0,0.0,0.4205128205128205,40.0,0.5648090609933419,0.5600890513439765,0.6155791612271352,-0.1408695652173913,24.0,-0.18649155722326455
komi1268,-0.006191369606003753,0.0025641025641025645,0.4656966490299825,0.0,0.0,0.5012820512820513,40.0,0.5343033509700176,0.612970023242657,0.6395089231500226,0.5,3.0,-0.026454033771106947
kore1280,0.5213883677298312,0.3666666666666667,0.3835801838610829,0.0,0.0,0.6833333333333333,40.0,0.616419816138917,0.6960757346132642,0.759424705946265,,0.0,0.49568480300187623
latv1249,-0.016510318949343343,-0.0025641025641025645,0.13319672131147536,0.0,0.0,0.4987179487179487,40.0,0.8668032786885246,0.7128390787724448,0.7362391086509018,0.0608695652173913,24.0,0.08855534709193248
lith1251,0.11688555347091935,0.08205128205128207,0.22561758706655582,0.0,0.0,0.541025641025641,40.0,0.7743824129334441,0.7528433071581988,0.7795127737159694,0.23913043478260865,24.0,0.19455909943714825
malt1254,-0.3024390243902439,-0.2076923076923077,0.5598787962261552,0.0,0.0,0.39615384615384613,40.0,0.4401212037738447,0.4785868314713921,0.5105382105122799,-0.21130434782608692,24.0,-0.26041275797373364
