,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.3151969981238274,0.21794871794871798,0.0,1.0,1.0,0.6089743589743589,40.0,1.0,0.8612457003982757,0.8735644237491319,1.0,3.0,0.38048780487804884
copt1239,-0.2110694183864916,-0.16153846153846155,0.3257079261739291,0.0,0.0,0.41923076923076924,40.0,0.6742920738260709,0.6922976455691012,0.7276798271241441,-0.4208695652173913,24.0,-0.2157598499061914
czec1258,0.19587242026266422,0.12307692307692308,0.29076804076804075,0.0,0.0,0.5615384615384615,40.0,0.7092319592319593,0.7839022547849473,0.7924592666118538,0.29478260869565215,24.0,0.13639774859287057
dani1285,0.3737335834896811,0.2512820512820513,0.0,1.0,1.0,0.6256410256410256,40.0,1.0,0.8560032686562203,0.830409492583381,0.1695652173913043,24.0,0.3666041275797374
dutc1256,0.17392120075046907,0.12051282051282051,0.5531066683277452,0.0,0.0,0.5602564102564103,40.0,0.4468933316722547,0.5751095638210306,0.6697749452017807,0.3391304347826086,24.0,0.12457786116322704
faro1244,-0.06979362101313322,-0.0358974358974359,0.23329621380846333,0.0,0.0,0.48205128205128206,40.0,0.7667037861915367,0.716745774847616,0.7592399925376495,0.1973913043478261,24.0,0.007317073170731709
finn1318,0.15121951219512195,0.11538461538461539,0.25087128771856676,0.0,0.0,0.5576923076923077,40.0,0.7491287122814332,0.7432909191105278,0.7757806018010652,0.23043478260869563,24.0,0.15497185741088182
hebr1245,-0.08461538461538462,-0.05641025641025641,0.13707250341997265,0.0,1.0,0.4717948717948718,40.0,0.8629274965800273,0.7174147746798184,0.7002961193703718,,0.0,-0.05966228893058162
hind1269,0.38405253283302065,0.25641025641025644,0.44193222019725564,0.0,0.0,0.6282051282051282,40.0,0.5580677798027444,0.6312499594266273,0.7463863254506764,,1.0,0.3904315196998124
hung1274,0.23658536585365858,0.1564102564102564,0.3056487168858576,0.0,0.0,0.5782051282051283,40.0,0.6943512831141424,0.7183967363204483,0.7959470224996789,0.21391304347826084,24.0,0.2819887429643528
icel1247,-0.06547842401500939,-0.03333333333333333,0.17724268867063428,0.0,0.0,0.48333333333333334,40.0,0.8227573113293657,0.7703524462455731,0.7705821519904593,-0.1226086956521739,24.0,-0.04671669793621014
iris1253,-0.3298311444652908,-0.22564102564102564,0.335536805740101,0.0,0.0,0.3871794871794872,40.0,0.664463194259899,0.6150132134260212,0.6197915686674214,-0.38434782608695645,24.0,-0.2699812382739213
ital1282,-0.2281425891181989,-0.16410256410256413,0.43519093900665806,0.0,0.0,0.41794871794871796,40.0,0.5648090609933419,0.5600890513439765,0.617839323600866,-0.2495652173913043,24.0,-0.16735459662288932
komi1268,0.11838649155722329,0.0717948717948718,0.4656966490299825,0.0,0.0,0.5358974358974359,40.0,0.5343033509700176,0.6124180369072942,0.6390874103600923,0.5,3.0,0.052720450281425905
kore1280,0.48592870544090067,0.3358974358974359,0.34548277809147393,0.0,0.0,0.6679487179487179,40.0,0.654517221908526,0.6656472331397129,0.731143342109639,,0.0,0.4808630393996248
latv1249,0.1461538461538462,0.09230769230769231,0.13319672131147536,0.0,0.0,0.5461538461538461,40.0,0.8668032786885246,0.7239865182690163,0.7557432359861964,0.2269565217391304,24.0,0.14971857410881803
lith1251,0.13433395872420265,0.08717948717948719,0.22561758706655582,0.0,0.0,0.5435897435897435,40.0,0.7743824129334441,0.6669976351509427,0.710393969227314,0.2121739130434782,24.0,0.20694183864915575
malt1254,-0.22176360225140718,-0.16410256410256413,0.7072044831478794,0.0,0.0,0.41794871794871796,40.0,0.2927955168521205,0.47407878767047695,0.5303130215422863,-0.1452173913043478,24.0,-0.17448405253283306
mand1415,-0.18724202626641653,-0.13076923076923078,0.5127556596409056,0.0,0.0,0.4346153846153846,40.0,0.4872443403590944,0.52866725037528,0.5592212725452941,,1.0,-0.15178236397748596
mara1378,0.5251407129455912,0.40769230769230774,0.308216619981326,0.0,1.0,0.7038461538461539,40.0,0.691783380018674,0.8457767780341411,0.8590428521899001,,1.0,0.5170731707317073
mode1248,-0.10431519699812385,-0.06153846153846154,0.0820840501351684,0.0,1.0,0.46923076923076923,40.0,0.9179159498648316,0.8059250874017803,0.7860840899346371,,0.0,-0.036022514071294566
nort2671,0.1230769230769231,0.08974358974358974,0.40150982689053755,0.0,0.0,0.5448717948717948,40.0,0.5984901731094625,0.6416562288904784,0.7177152360034124,0.1878260869565217,24.0,0.10412757973733584
nucl1235,0.4395872420262665,0.31025641025641026,0.49596013771864556,0.0,0.0,0.6551282051282051,40.0,0.5040398622813544,0.6296654720776282,0.7111296283581996,,0.0,0.4671669793621014
