,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.31688555347091935,0.23076923076923078,0.35612118986412056,0.0,0.0,0.6153846153846154,40.0,0.6438788101358794,0.6581613589629662,0.6820542920888828,1.0,3.0,0.34502814258911824
copt1239,-0.10656660412757975,-0.0794871794871795,0.3257079261739291,0.0,0.0,0.46025641025641023,40.0,0.6742920738260709,0.6839492434951399,0.7015234921257263,-0.25130434782608696,24.0,-0.08217636022514073
czec1258,0.3474671669793622,0.22564102564102564,0.3673606789739335,0.0,0.0,0.6128205128205129,40.0,0.6326393210260665,0.772369721564931,0.7837835920938363,0.3408695652173913,24.0,0.34052532833020643
dani1285,0.38461538461538464,0.25641025641025644,0.25257219543714904,0.0,1.0,0.6282051282051282,40.0,0.747427804562851,0.8111572597334494,0.7528788178469183,0.29217391304347823,24.0,0.375234521575985
dutc1256,0.10750469043151972,0.07435897435897437,0.4011805711129983,0.0,0.0,0.5371794871794872,40.0,0.5988194288870017,0.5426939094758609,0.6449345810327225,0.3278260869565217,24.0,0.07579737335834899
faro1244,-0.1103189493433396,-0.06923076923076923,0.33732876712328763,0.0,0.0,0.4653846153846154,40.0,0.6626712328767124,0.6851658055838369,0.7583731928359111,0.15739130434782608,24.0,-0.04596622889305817
finn1318,0.19924953095684808,0.12307692307692308,0.25087128771856676,0.0,0.0,0.5615384615384615,40.0,0.7491287122814332,0.6891845123606286,0.7175577400448526,0.2504347826086956,24.0,0.18105065666041278
hebr1245,0.053283302063789874,0.03333333333333333,0.13707250341997265,0.0,1.0,0.5166666666666667,40.0,0.8629274965800273,0.8481602554740372,0.7755076379727331,,0.0,0.0776735459662289
hind1269,0.4300187617260789,0.28974358974358977,0.31481858948226665,0.0,1.0,0.6448717948717949,40.0,0.6851814105177334,0.7555030913097808,0.7775937721992437,,1.0,0.4444652908067543
hung1274,0.2853658536585366,0.18461538461538463,0.3056487168858576,0.0,0.0,0.5923076923076923,40.0,0.6943512831141424,0.7183967363204483,0.7237112586434772,0.23826086956521736,24.0,0.3311444652908068
icel1247,-0.06810506566604127,-0.043589743589743594,0.23062398077418245,0.0,0.0,0.4782051282051282,40.0,0.7693760192258176,0.7574210987611137,0.6923609696337186,-0.1060869565217391,24.0,-0.036022514071294566
iris1253,-0.29493433395872426,-0.2,0.5288872628443004,0.0,0.0,0.4,40.0,0.47111273715569957,0.5792008637363905,0.593195398194821,-0.36173913043478256,24.0,-0.22964352720450282
