,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.2666230092844563,0.17522422134765428,0.35612118986412056,0.0,0.0,0.591025641025641,40.0,0.6438788101358794,0.6647696668928149,0.7636894881655056,1.0,3.0,0.33264540337711074
copt1239,-0.1629798139530257,-0.12208821836454081,0.3257079261739291,0.0,0.0,0.44358974358974357,40.0,0.6742920738260709,0.7059431946133037,0.7184931880365271,-0.3797086926725209,24.0,-0.15196998123827396
czec1258,0.21198475461813793,0.14286919170318607,0.24199314574314587,0.0,0.0,0.5756410256410256,40.0,0.7580068542568541,0.7971492047231249,0.8679449402698116,0.29790985976229806,24.0,0.21482176360225144
dani1285,0.3891106338737261,0.27279566959719964,0.0,1.0,1.0,0.6384615384615384,40.0,1.0,0.8628867286281638,0.8537634065326665,0.07750934322902375,24.0,0.3958724202626642
dutc1256,0.18989068161049272,0.13437096247164249,0.3649571560087813,0.0,0.0,0.5628205128205128,40.0,0.6350428439912187,0.6081368373463619,0.6750736532018492,0.0557127642128755,24.0,0.1834896810506567
faro1244,-0.1297226505119629,-0.09167435804544029,0.23329621380846333,0.0,0.0,0.4551282051282051,40.0,0.7667037861915367,0.716745774847616,0.7781959710485361,0.15723020376343505,24.0,0.0150093808630394
finn1318,0.06989203744887906,0.06359990256322266,0.41611815040315947,0.0,1.0,0.5358974358974359,40.0,0.5838818495968405,0.7160674595018949,0.7630075265662677,0.19769236980885835,24.0,0.08855534709193248
hebr1245,-0.03323945127265692,-0.019443824332363458,0.5677562326869806,0.0,0.0,0.49230769230769234,40.0,0.4322437673130194,0.5143532453271096,0.599260551134073,,0.0,-0.053095684803001884
hind1269,0.45561027384471,0.3084275079986793,0.44193222019725564,0.0,0.0,0.6564102564102564,40.0,0.5580677798027444,0.7204224231587152,0.7720946498533083,,1.0,0.477673545966229
hung1274,0.2428994910228345,0.17099363731794792,0.3056487168858576,0.0,0.0,0.5897435897435898,40.0,0.6943512831141424,0.6924860539642053,0.7433457607312337,0.17762313799632687,24.0,0.35234521575984995
icel1247,-0.13594972462148752,-0.08920806256970036,0.5113457957574209,0.0,0.0,0.45897435897435895,40.0,0.4886542042425791,0.5749783001761317,0.6401624422597563,-0.2002613810742901,24.0,-0.08292682926829269
iris1253,-0.20630394364944,-0.13368959110228437,0.335536805740101,0.0,0.0,0.43974358974358974,40.0,0.664463194259899,0.6150132134260212,0.620007242354458,-0.1390892876075929,24.0,-0.2210131332082552
ital1282,-0.1965074403541253,-0.13316565861853824,0.43519093900665806,0.0,0.0,0.4371794871794872,40.0,0.5648090609933419,0.5726470568023899,0.5930230528194259,-0.1885069087068861,24.0,-0.16566604127579737
komi1268,-0.033600830419009596,-0.030968386445550552,0.4656966490299825,0.0,0.0,0.4846153846153846,40.0,0.5343033509700176,0.5990900067396532,0.613537010310121,0.5,3.0,-0.09437148217636025
kore1280,0.5174231338907053,0.373004187529755,0.3835801838610829,0.0,1.0,0.691025641025641,40.0,0.616419816138917,0.7293821394587122,0.7438921391982593,,0.0,0.5202626641651033
latv1249,0.03520962857888015,0.027185747308321608,0.13319672131147536,0.0,0.0,0.5166666666666667,40.0,0.8668032786885246,0.7547609800696446,0.7827744128950532,0.12075019506312823,24.0,0.14934333958724202
lith1251,0.15499441096728603,0.07762284642038639,0.22561758706655582,0.0,0.0,0.5423076923076923,40.0,0.7743824129334441,0.7528433071581988,0.7533565566494586,0.29928177742298123,24.0,0.28611632270168863
malt1254,-0.2331018306673357,-0.17335769033886295,0.5244952310169703,0.0,0.0,0.4153846153846154,40.0,0.47550476898302974,0.547179667256938,0.5686602643619049,-0.16405576274211042,24.0,-0.21482176360225144
mand1415,-0.017678361979914955,-0.0052228045006638855,0.48124999999999996,0.0,0.0,0.5051282051282051,40.0,0.51875,0.5325161713884675,0.7060254704070438,,1.0,-0.019512195121951223
mara1378,0.48336390127904866,0.3767820350875317,0.308216619981326,0.0,1.0,0.6897435897435897,40.0,0.691783380018674,0.8216435211872254,0.8200485367529927,,1.0,0.4861163227016886
mode1248,-0.12700650446750586,-0.09179380351374966,0.0820840501351684,0.0,1.0,0.4576923076923077,40.0,0.9179159498648316,0.7465057538834584,0.7253009304889865,,0.0,-0.03864915572232646
nort2671,0.09025174777117381,0.06485526188064134,0.40150982689053755,0.0,1.0,0.5371794871794872,40.0,0.5984901731094625,0.7044988978101748,0.7242777691830966,0.12927102321268769,24.0,0.1328330206378987
nucl1235,0.4326965810383191,0.27574115127011917,0.49596013771864556,0.0,0.0,0.6397435897435897,40.0,0.5040398622813544,0.6235160020345486,0.6700430330904656,,0.0,0.4480300187617261
nucl1301,0.3831605350143506,0.2709733813985673,0.05610985945713973,0.0,1.0,0.6371794871794871,40.0,0.9438901405428602,0.7870041485854055,0.7755344121615795,0.31164327481577236,24.0,0.3707317073170732
nucl1347,-0.16593929659443843,-0.10580865368896439,0.39897910731244063,0.0,0.0,0.44871794871794873,40.0,0.6010208926875593,0.6404402469589012,0.5942805729901535,-0.15274157220817175,24.0,-0.16247654784240154
nucl1643,0.46771404207901224,0.3173276548593412,0.42450687387925884,0.0,1.0,0.658974358974359,40.0,0.5754931261207411,0.7908814268086588,0.7639752665289121,,1.0,0.48011257035647287
poli1260,-0.16199729972963847,-0.11218757542711895,0.45857795172863675,0.0,0.0,0.44487179487179485,40.0,0.5414220482713632,0.6200756337904337,0.6571599686055993,-0.1092730579340148,24.0,-0.0551594746716698
port1283,-0.21062031928579636,-0.13990388507832102,0.5067947046434662,0.0,0.0,0.4346153846153846,40.0,0.4932052953565338,0.4977244575076814,0.5911460530866371,-0.10078595424870307,24.0,-0.19662288930581617
russ1263,-0.0747102262947811,-0.07742096611387637,0.4385392865342356,0.0,0.0,0.4641025641025641,40.0,0.5614607134657644,0.5442692943606627,0.6558790353451134,0.5,3.0,0.0033771106941838653
slov1268,0.06870982646509179,0.04777396123494775,0.1741888968997839,0.0,0.0,0.5294871794871795,40.0,0.8258111031002161,0.821038226707987,0.8296371939841727,0.170333588023851,24.0,0.1078799249530957
stan1289,-0.08150238334651472,-0.05573896308610859,0.3280474954380736,0.0,0.0,0.47435897435897434,40.0,0.6719525045619263,0.7283108611168153,0.7186838164051671,0.06839481667453864,24.0,-0.05459662288930583
stan1290,-0.23772424222486632,-0.16699816203683274,0.4033449068414105,0.0,0.0,0.4217948717948718,40.0,0.5966550931585896,0.6220424697382306,0.6482643528265669,-0.16724764056830768,24.0,-0.21707317073170734
