representation,spearman_rho,spearman_rho_std,kendall_tau,kendall_tau_std,regret@1,regret@1_std,top1_acc,top1_acc_std,top3_acc,top3_acc_std,pairwise_acc,pairwise_acc_std,n_sources,ndcg@1,ndcg@1_std,ndcg@3,ndcg@3_std,ndcg@5,ndcg@5_std,spearman_rho_same_script,spearman_rho_same_script_std,n_same_script_sources,n_same_script_sources_std,spearman_rho_size_resid,spearman_rho_size_resid_std,n_targets
wals_s42_weighted_B_top50,0.2150231089552922,0.17409317788661396,0.14446529080675422,0.11919779346705521,0.32603163787380335,0.1719622525549035,0.07317073170731707,0.260416542732471,0.3170731707317073,0.4653361958131442,0.5722326454033771,0.059598896733527605,40.0,0.6739683621261966,0.1719622525549035,0.6950730853149939,0.11435340420871744,0.7225748926923504,0.09100899477775026,0.2542728635682159,0.2691431155980438,15.121951219512194,11.118420492206745,0.24592962064705073,0.13589343855091457,41
wals_s42_weighted_B_lofo_positive_only,0.21408959868210314,0.1706517881225155,0.14371482176360226,0.11777450115839888,0.3343636730151939,0.1721165057719838,0.07317073170731707,0.260416542732471,0.36585365853658536,0.4816687233690609,0.5718574108818012,0.05888725057919944,40.0,0.6656363269848061,0.17211650577198379,0.6949646482309678,0.10825882249196438,0.72465328580291,0.08916519894862127,0.2552623688155922,0.2599676147974327,15.121951219512194,11.118420492206745,0.23392669198737018,0.12928185005666074,41
wals_s42_weighted_B_top20,0.21405299043609577,0.15382179741681962,0.14546591619762353,0.1095685516918161,0.3480921656474724,0.16136420061895335,0.07317073170731707,0.260416542732471,0.4146341463414634,0.492658777481077,0.5727329580988118,0.054784275845908045,40.0,0.6519078343525276,0.16136420061895332,0.696999963305208,0.10909062247875624,0.723108306104986,0.0886096944336124,0.2176011994002998,0.2318488091218956,15.121951219512194,11.118420492206745,0.22076145151695423,0.11353923876350942,41
wals_s42_weighted_B_top10,0.19299867295108225,0.12018824629567561,0.13295809881175735,0.08293102673275358,0.3197839067955076,0.15277785956461548,0.04878048780487805,0.2154088016177524,0.3902439024390244,0.48780487804878053,0.5664790494058788,0.04146551336637679,40.0,0.6802160932044924,0.15277785956461548,0.6918193581438343,0.09215551528320964,0.723820994029872,0.07520817694318604,0.24563718140929533,0.25514985180822763,15.121951219512194,11.118420492206745,0.20440214158239145,0.1003054116337181,41
wals_s42_weighted_B_lofo_threshold,0.18954834576488358,0.13923485645173764,0.12914321450906815,0.09785754542104069,0.3640726963901913,0.15633200667616673,0.024390243902439025,0.1542574468374819,0.3902439024390244,0.48780487804878053,0.5645716072545341,0.04892877271052034,40.0,0.6359273036098086,0.15633200667616673,0.6826730401195524,0.11529954335785011,0.7146016687291109,0.09046107516278214,0.21364317841079455,0.22914971978713602,15.121951219512194,11.118420492206745,0.20773806799981695,0.11092423379854553,41
wals_s42_weighted_B_lofo_rank_based,0.1676611906832014,0.22214034313264583,0.1135709818636648,0.15374214109791723,0.33943149867285777,0.17981580721027107,0.07317073170731707,0.260416542732471,0.36585365853658536,0.481668723369061,0.5567854909318324,0.07687107054895861,40.0,0.6605685013271422,0.17981580721027104,0.6987452828340173,0.11455501451066909,0.7191838567218716,0.09521114302924287,0.17709145427286357,0.3164397043355944,15.121951219512194,11.118420492206745,0.19933647554111567,0.20722716717032072,41
grambank_s42_weighted_B_lofo_threshold,0.07764608978172334,0.39782605744351474,0.04821763602251408,0.2730987049023262,0.3810397700555531,0.15870745452234702,0.04878048780487805,0.2154088016177524,0.2926829268292683,0.4549941001506739,0.5241088180112571,0.13654935245116306,40.0,0.6189602299444469,0.15870745452234702,0.670685408805792,0.1258177275975524,0.6954473280020997,0.10820566389645866,-0.10038980509745125,0.46939469313064913,15.121951219512194,11.118420492206745,0.09600512515444105,0.39578057939414424,41
grambank_s42_weighted_B_top20,0.06392257355969434,0.40192818098896493,0.037773608505315824,0.27779956743403406,0.35359523935089193,0.16265808385661354,0.07317073170731707,0.26041654273247095,0.2682926829268293,0.4430707835264622,0.518886804252658,0.138899783717017,40.0,0.646404760649108,0.16265808385661354,0.6715034742542851,0.12598394800507506,0.698441661852908,0.10861065545076913,-0.15355322338830585,0.46332988825026994,15.121951219512194,11.118420492206745,0.07874433716194575,0.39989839200871985,41
grambank_s42_weighted_B_top50,0.04943943623301149,0.37939260497149757,0.036022514071294566,0.2606220386422257,0.35124566610221397,0.17481883557971278,0.0975609756097561,0.29672012342918147,0.1951219512195122,0.39629455632370536,0.5180112570356473,0.13031101932111286,40.0,0.6487543338977861,0.17481883557971278,0.6651158986376178,0.11175637824569054,0.6912516829586708,0.10554866551259698,-0.08371814092953521,0.42689663281022905,15.121951219512194,11.118420492206745,0.06028005308195672,0.3702333080455928,41
wals_s42_weighted_B_domain_weighted,0.0491831785109596,0.26645128124628237,0.037085678549093185,0.18579645965686364,0.35520497696686393,0.16378171509812897,0.024390243902439025,0.1542574468374819,0.1951219512195122,0.39629455632370536,0.5185428392745466,0.09289822982843181,40.0,0.6447950230331361,0.16378171509812897,0.6713111419099934,0.10825330816737441,0.7060809319267893,0.08859895738720718,0.07037481259370315,0.33859304140959107,15.121951219512194,11.118420492206745,0.06463643435683888,0.25869294044810326,41
grambank_s42_weighted_B_top10,0.045041870681370985,0.419424824746985,0.025828642901813643,0.289840918664247,0.3665704299460366,0.15827356878518622,0.04878048780487805,0.2154088016177524,0.24390243902439024,0.4294345576014392,0.5129143214509069,0.1449204593321235,40.0,0.6334295700539634,0.15827356878518622,0.6689063428650884,0.11464679316498107,0.6966107738339241,0.10851654205252176,-0.18155922038980507,0.4810168042695793,15.121951219512194,11.118420492206745,0.04397565551640507,0.38197839703465924,41
grambank_s42_weighted_B_lofo_positive_only,0.043097057612227166,0.40388912717217373,0.02482801751094434,0.28098692747705434,0.3723943255605851,0.15600901645496604,0.04878048780487805,0.2154088016177524,0.21951219512195122,0.4139161645970034,0.512414008755472,0.14049346373852714,40.0,0.6276056744394148,0.15600901645496604,0.668551651235069,0.11577945152204128,0.6925085965752257,0.10602266209523589,-0.14929535232383806,0.4437639144372156,15.121951219512194,11.118420492206745,0.061556765661465264,0.3961223657121656,41
grambank_s42_weighted_B_lofo_rank_based,0.032013911133482814,0.3655035649064727,0.024265165728580364,0.24938473868868039,0.34604252840005717,0.170954218103698,0.0975609756097561,0.29672012342918147,0.17073170731707318,0.37627435659857345,0.5121325828642902,0.12469236934434018,40.0,0.6539574715999428,0.17095421810369804,0.6656982323161392,0.11584775546414061,0.6990962812092842,0.10478964683137641,-0.13409295352323838,0.4303354801516675,15.121951219512194,11.118420492206745,0.0506063240744978,0.3468507834466258,41
grambank_s42_weighted_B_domain_weighted,0.000841989658170511,0.307252189273593,0.0009380863039399666,0.2079216887400972,0.3602692675635775,0.15686238093965832,0.04878048780487805,0.2154088016177524,0.24390243902439024,0.4294345576014392,0.5004690431519699,0.10396084437004859,40.0,0.6397307324364224,0.1568623809396583,0.6825394663697073,0.11283532863492139,0.7032811388884934,0.1045431676831147,-0.14008995502248872,0.37623922317849023,15.121951219512194,11.118420492206745,0.027053493799478332,0.31127139428689626,41
random,-0.0004667551365945215,0.17118007808374153,0.0011882426516572886,0.11803718785685784,0.4187714810840956,0.1525516181130591,0.024390243902439025,0.1542574468374819,0.2926829268292683,0.45499410015067393,0.5005941213258287,0.059018593928428925,40.0,0.5812285189159044,0.1525516181130591,0.6367244655997581,0.11051935173466279,0.6602690884606061,0.0888759404170377,0.04659670164917542,0.3168277445006351,15.121951219512194,11.118420492206745,-0.005843591268933325,0.17144498612458617,41
